elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150
1,1,Conifer Close,0,378,All,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150
2,2,Fladgate Drive,0,565,All,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150
3,4,Highfield Drive,0,71,All,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,3.36_1_125.89
4,3,Matai Way,0,557,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150
5,5,Vintry Drive,0,362,All,15_1_150,15_1_150,15_1_150,15_1_150,15.84_1_125.08,15.84_1_125.08,15.84_1_125.08,15.84_1_125.08,15.84_1_125.08,15.84_1_125.08,15.84_1_125.08,15.84_1_125.08,15.84_1_125.08,15.84_1_125.08,15.84_1_125.08,15.84_1_125.08
6,6,Croatia Avenue,0,42,All,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150
7,6,Croatia Avenue,42,76,All,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150
8,7,Lumbarda Drive,0,152,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150
9,8,Tarras Road,0,86,All,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150
10,8,Tarras Road,86,120,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150
11,9,Kowhai Glen,0,305,All,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150
12,1037,Epiha Road Upper,0,415,All,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,9.01_1_122.88,9.01_1_122.88,9.01_1_122.88,9.01_1_122.88,9.01_1_122.88,9.01_1_122.88,9.01_1_122.88,9.01_1_122.88,9.01_1_122.88,9.01_1_122.88,9.01_1_122.88
13,1038,Gossey Drive North,1319,1723,All,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,8.81_1_120.18
14,10,Upper Ahu Ahu Road,0,46,All,17_1_150,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64
15,10,Upper Ahu Ahu Road,46,68,All,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150
16,11,Lower Ahu Ahu Road,0,158,All,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150
17,11,Lower Ahu Ahu Road,158,179,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150
18,12,Kriletich Drive,0,263,All,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150
19,917,Port Street East,0,21,All,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150
20,917,Port Street East,21,396,All,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150
21,917,Port Street East,396,874,All,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150,14.1_1_150
22,917,Port Street East,874,1340,All,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150
23,917,Port Street East,1340,1431,All,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150,17.1_1_150
24,917,Port Street East,1431,2115,All,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150,17.9_1_150
25,917,Port Street East,2120,2350,All,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150
26,13,Puriri Dale Way,0,293,All,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150
27,15,Fendall Close,0,438,All,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,8.88_1_121.12,8.88_1_121.12,8.88_1_121.12,8.88_1_121.12,8.88_1_121.12,8.88_1_121.12,8.88_1_121.12,8.88_1_121.12,8.88_1_121.12,8.88_1_121.12,8.88_1_121.12
28,15,Fendall Close,438,585,All,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150,10_1_150
29,15,Fendall Close,585,643,All,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150
30,15,Fendall Close,643,736,All,10_1_150,10_1_150,10_1_150,10_1_150,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26
31,15,Fendall Close,736,814,All,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,0.77_1_115.98,5.4_1_115.72,5.4_1_115.72,5.4_1_115.72
32,9339,Weston Way,814,886,All,22_1_150,22_1_150,22_1_150,22_1_150,0.77_1_116.02,9_1_150,9_1_150,9_1_150,9_1_150,9_1_150,9_1_150,9_1_150,9_1_150,9_1_150,9_1_150,9_1_150
33,9339,Weston Way,886,939,All,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150
34,9339,Weston Way,965,1051,All,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150
35,9339,Weston Way,1051,1219,All,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,8.47_1_115.56,8.47_1_115.56,8.47_1_115.56,8.47_1_115.56,8.47_1_115.56,8.47_1_115.56,8.47_1_115.56,8.47_1_115.56,8.47_1_115.56,8.47_1_115.56
36,9339,Weston Way,1237,1589,All,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76
37,9339,Weston Way,1589,1999,All,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76,8.42_1_114.76
38,9339,Weston Way,1999,2369,All,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,8.85_1_120.63,8.85_1_120.63,8.85_1_120.63,8.85_1_120.63,8.85_1_120.63,8.85_1_120.63,8.85_1_120.63,8.85_1_120.63,8.85_1_120.63,8.85_1_120.63,8.85_1_120.63
39,9339,Weston Way,2385,2696,All,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,1.59_1_119.21,7.93_1_119.01,7.93_1_119.01,7.93_1_119.01
40,9339,Weston Way,2696,3114,All,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150
41,9339,Weston Way,3114,3398,All,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150
42,9339,Weston Way,3398,3457,All,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,15_1_150,15_1_150,15_1_150,15_1_150
43,9339,Weston Way,3457,3675,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150
44,9167,Foxglove Drive,0,668,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150
