elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
0,1013,Brook Street North,0,220,All,959,1925,2217,2459,2685,2905,3125,3348,3575,3812,4061,4320,4594,4885,5192,5515,5855,6214,6593,6991,7408,7844,8303,8788,9301,9841,10409,11005,11628,12281,12962
1,1,Conifer Close,0,378,All,7302,11473,12367,13259,14174,15122,16108,17159,18274,19453,20693,21994,23380,24874,26471,28166,29955,31840,33834,35936,38144,40460,42908,45474,48152,50948,53866,56909,60084,63393,66842
2,2,Fladgate Drive,0,565,All,1767,3584,4126,4573,4988,5393,5796,6204,6631,7077,7539,8019,8526,9062,9634,10240,10878,11546,12244,12973,13736,14535,15383,16276,17216,18201,19224,20284,21381,22518,23698
3,4,Highfield Drive,0,71,All,941,1541,1739,1916,2090,2265,2445,2630,2823,3027,3240,3463,3700,3953,4220,4503,4802,5117,5448,5796,6160,6542,6943,7365,7808,8271,8756,9264,9793,10346,10923
4,3,Matai Way,0,557,All,1414,2861,3299,3662,4002,4334,4666,5002,5350,5716,6097,6494,6914,7359,7828,8327,8855,9411,9995,10606,11245,11913,12622,13373,14165,14998,15871,16786,17737,18722,19745
5,5,Vintry Drive,0,362,All,3648,6242,6957,7581,8182,8782,9393,10022,10690,11394,12130,12899,13714,14575,15498,16480,17517,18609,19755,20955,22220,23551,24964,26458,28031,29686,31406,33194,35053,36986,38999
6,6,Croatia Avenue,0,42,All,625,835,1139,1846,2029,2215,2407,2606,2814,3034,3268,3515,3774,4047,4336,4643,4972,5323,5696,6090,6506,6943,7404,7889,8404,8951,9531,10142,10787,11466,12175
7,6,Croatia Avenue,42,76,All,625,1244,1417,1555,1679,1797,1912,2026,2141,2260,2382,2508,2640,2778,2922,3071,3228,3392,3563,3739,3922,4110,4307,4513,4729,4954,5187,5429,5679,5937,6202
8,7,Lumbarda Drive,0,152,All,583,650,718,789,862,938,1016,1098,1183,1271,1899,3673,4023,4377,4744,5127,5528,5948,6392,6863,7362,7889,8445,9035,9665,10334,11049,11811,12619,13474,14376
9,8,Tarras Road,0,86,All,1103,1630,1736,1847,1964,3753,4066,4379,4701,5036,5390,5764,6159,6574,7011,7470,7953,8473,9029,9621,10249,10913,11612,12350,13128,13947,14810,15725,16694,17717,18795
10,8,Tarras Road,86,120,All,1125,1193,1265,1339,1417,2087,2216,4231,4580,4927,5285,5657,6045,6456,6891,7351,7835,8343,8878,9446,10057,10709,11402,12136,12911,13726,14584,15489,16442,17451,18522
11,9,Kowhai Glen,0,305,All,703,1183,1338,1466,1584,1697,1808,1920,2032,2146,2262,2383,2509,2642,2781,2927,3077,3234,3395,3563,3736,3915,4103,4301,4507,4722,4946,5178,5419,5668,5926
12,1037,Epiha Road Upper,0,415,All,2719,6471,7175,7802,8411,9023,9646,10298,10988,11712,12469,13257,14082,14970,15919,16927,17990,19107,20279,21515,22814,24176,25610,27127,28719,30376,32101,33896,35766,37713,39739
13,1038,Gossey Drive North,1319,1723,All,2313,5507,6106,6640,7159,7679,8210,8765,9353,9970,10614,11285,11987,12744,13553,14411,15316,16267,17265,18318,19424,20584,21805,23097,24451,25861,27328,28856,30447,32103,33827
14,10,Upper Ahu Ahu Road,0,46,All,1291,847,882,919,957,995,1035,1500,1576,1655,1737,1824,1918,2015,2116,2225,3083,3245,4991,5270,5560,5857,6155,6456,6762,7074,7397,7729,8072,8430,8803
15,10,Upper Ahu Ahu Road,46,68,All,1177,1255,2405,2613,2821,3036,3261,3499,3750,4014,4292,4585,4893,5219,5570,5945,6344,6766,7212,7683,8180,8704,9256,9837,10454,11107,11796,12516,13268,14055,14876
16,11,Lower Ahu Ahu Road,0,158,All,966,1304,2609,2915,3215,3520,3834,4161,4509,4877,5266,5676,6107,6558,7042,7562,8116,8705,9328,9985,10677,11410,12183,12996,13861,14777,15746,16760,17819,18926,20083
17,11,Lower Ahu Ahu Road,158,179,All,954,1025,1099,1176,1255,1339,1426,1516,1610,1708,1811,4805,5216,5629,6055,6501,6966,7454,7966,8510,9087,9699,10344,11032,11765,12549,13387,14278,15221,16217,17265
18,12,Kriletich Drive,0,263,All,2289,4671,5339,5876,6363,6829,7295,7774,8263,8762,9271,9799,10365,10962,11585,12231,12903,13603,14328,15078,15851,16648,17470,18317,19190,20088,21014,21966,22946,23953,24990
19,917,Port Street East,0,21,All,2501,5015,5765,6382,6954,7510,8065,8625,9195,9793,10417,11067,11751,12476,13240,14043,14892,15790,16734,17723,18756,19836,20967,22166,23434,24768,26168,27636,29170,30774,32441
20,917,Port Street East,21,396,All,3272,3858,4449,5050,5664,6295,6944,10609,11631,12701,13819,26964,29775,32631,35589,38679,41949,45409,49068,52930,57003,61295,65831,70710,75933,81498,87407,93663,100272,107243,114608
21,917,Port Street East,396,874,All,1672,3353,3854,4267,4650,5022,5393,5767,6149,6548,6966,7401,7858,8343,8854,9391,9959,10560,11191,11852,12543,13265,14022,14824,15672,16564,17501,18482,19509,20581,21695
22,917,Port Street East,874,1340,All,2299,3667,4089,4456,4809,5160,5516,5881,6261,6662,7083,7526,7993,8488,9011,9560,10142,10757,11408,12095,12815,13571,14364,15204,16090,17023,18002,19027,20102,21228,22398
23,917,Port Street East,1340,1431,All,2597,5216,6011,6672,7288,7890,8493,9103,9727,10380,11063,11777,12529,13328,14171,15057,15994,16986,18031,19128,20277,21478,22739,24074,25487,26977,28543,30186,31907,33708,35590
24,917,Port Street East,1431,2115,All,716,1689,1883,2058,2230,2404,2582,2766,2957,3157,3370,3594,3829,4079,4343,4623,4919,5233,5567,5920,6292,6683,7093,7525,7984,8470,8983,9524,10094,10692,11319
25,917,Port Street East,2120,2350,All,1477,3465,3838,4170,4493,4817,5148,5488,5840,6208,6597,7006,7436,7889,8370,8879,9414,9983,10587,11224,11893,12596,13332,14107,14927,15796,16713,17678,18692,19755,20869
26,13,Puriri Dale Way,0,293,All,2304,4761,5499,6115,6692,7256,7833,8434,9057,9701,10367,11071,11829,12634,13483,14373,15312,16299,17332,18412,19540,20708,21927,23200,24527,25910,27350,28849,30408,32031,33720
27,15,Fendall Close,0,438,All,4095,6361,7161,7878,8578,9284,10009,10772,11574,12414,13294,14219,15225,16303,17449,18660,19935,21282,22702,24193,25756,27406,29133,30937,32821,34787,36837,38976,41205,43529,45951
28,15,Fendall Close,438,585,All,2530,3752,4006,7687,8361,9039,9737,10463,11221,12014,12847,13728,14660,15643,16683,17793,18974,20226,21551,22960,24456,26038,27708,29468,31322,33287,35369,37574,39906,42366,44956
29,15,Fendall Close,585,643,All,1526,1649,1775,1907,2045,2188,2336,3471,3711,3964,7606,8270,8937,9626,10342,11089,11873,12702,13578,14503,15478,16505,17596,18757,19989,21303,22700,24181,25746,27396,29133
30,15,Fendall Close,643,736,All,8800,9359,17909,19467,21047,22686,24411,26248,28191,30234,32381,34651,37041,39578,42277,45094,48030,51094,54292,57630,61114,64749,68571,72601,76845,81307,85990,90897,96033,101402,107011
31,15,Fendall Close,736,814,All,4531,7482,8363,9134,9876,10622,11417,12252,13123,14030,15000,16025,17106,18239,19432,20688,22012,23404,24852,26340,27875,29466,31122,32843,34632,36497,38441,40464,42570,44761,47041
32,9339,Weston Way,814,886,All,7957,13067,14675,16077,17429,18780,20146,21538,22935,24347,25785,27289,28867,30517,32235,34020,35873,37796,39792,41867,44045,46335,48736,51244,53859,56580,59411,62355,65420,68618,71952
33,9339,Weston Way,886,939,All,6364,12629,16999,18652,20225,21857,23561,25325,27147,29095,31147,33288,35537,37939,40483,43164,45956,48822,51780,54843,58018,61340,64819,68475,72308,76317,80511,84892,89464,94232,99215
34,9339,Weston Way,965,1051,All,5098,6951,7607,8203,8787,16917,18478,20036,21629,23320,25096,26950,28882,30918,33049,35288,37631,40062,42594,45234,47987,50858,53851,56971,60236,63666,67280,71084,75078,79263,83641
35,9339,Weston Way,1051,1219,All,5485,11540,13365,14896,16333,17797,19307,20855,22443,24131,25899,27757,29726,31822,34032,36350,38753,41213,43743,46356,49074,51925,54914,58042,61309,64716,68271,71976,75836,79863,84070
36,9339,Weston Way,1237,1589,All,11308,13147,14398,15588,16777,18054,19398,20802,22298,23904,25595,27367,29248,31232,33314,35476,37683,39961,42323,44775,47326,49984,52753,55637,58641,61772,65036,68441,71992,75683,79504
37,9339,Weston Way,1589,1999,All,9193,10689,11707,12674,13640,14679,15772,16914,18130,19436,20811,22252,23781,25394,27087,28845,30639,32491,34412,36405,38479,40640,42891,45236,47679,50224,52878,55646,58533,61534,64640
38,9339,Weston Way,1999,2369,All,7654,9281,10014,10724,11447,12195,12978,13814,14711,15663,16668,17731,18871,20086,21371,22724,24147,25653,27243,28917,30674,32512,34414,36386,38434,40562,42775,45081,47483,49986,52592
39,9339,Weston Way,2385,2696,All,7452,12791,14290,15591,16839,18083,19356,20687,22077,23525,25034,26628,28354,30195,32143,34192,36352,38625,41007,43497,46098,48802,51623,54566,57632,60825,64148,67605,71199,74936,78824
40,9339,Weston Way,2696,3114,All,9747,16006,18024,19786,21474,23148,24864,26658,28525,30463,32472,34592,36880,39315,41885,44583,47423,50408,53535,56801,60209,63751,67445,71296,75308,79485,83832,88353,93053,97940,103025
41,9339,Weston Way,3114,3398,All,4238,7481,8383,9174,9936,10699,11475,12283,13131,14018,14946,15916,16956,18076,19271,20534,21864,23260,24730,26275,27895,29599,31403,33300,35272,37325,39460,41683,43996,46402,48906
42,9339,Weston Way,3398,3457,All,2776,4434,4935,5371,5789,6206,6630,7063,7510,7981,8478,8998,9551,10137,10755,11406,12094,12824,13593,14401,15249,16136,17074,18067,19116,20222,21384,22603,23879,25215,26610
43,9339,Weston Way,3457,3675,All,1376,1450,1528,4032,4351,4667,4993,5332,5685,6054,6440,6844,7273,7726,8204,8711,9252,9827,10435,11079,11763,12488,13254,14060,14907,15801,16749,17753,18814,19934,21113
44,9167,Foxglove Drive,0,668,All,1365,1450,1539,1632,1731,1834,3496,3777,4057,4345,4645,4959,5289,5637,6004,6389,6794,7219,7667,8145,8652,9190,9759,10359,10992,11657,12355,13088,13856,14665,15516
45,16,Sarah Lane,0,515,All,1691,3483,4051,4535,4995,5449,5909,6386,6887,7412,7959,8529,9136,9788,10485,11222,12000,12817,13674,14578,15528,16527,17587,18707,19881,21103,22376,23701,25082,26521,28020
46,17,Ash Drive,0,318,All,6411,8775,9704,10565,11421,12294,23802,26122,28464,30873,33420,36112,38939,41900,45011,48290,51739,55397,59279,63319,67534,71936,76534,81337,86353,91591,97097,102907,109028,115465,122225
47,18,Monaghan Way,0,80,All,415,444,474,506,538,572,608,898,1176,1858,2003,2153,2309,2473,2643,2822,3010,3208,3417,3638,3872,4122,4387,4669,4967,5281,5614,5968,6341,6734,7149
