elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,959,1925,2217,1062,1098,1134,1172,1211,1251,1292,1335,1378,1423,1469,1517,1565,1615,1667,3158,3281,4983
1,1,Conifer Close,0,378,All,7302,11473,12367,4670,4857,5051,5250,5455,5667,5885,6110,6341,6580,6827,7080,10228,10667,14661,15322,23409,24568
2,2,Fladgate Drive,0,565,All,1767,3584,4126,1951,2017,2085,2155,2227,2301,2377,2455,2536,2619,2704,2792,2882,4145,4299,5879,8941,9338
3,4,Highfield Drive,0,71,All,941,1541,1739,1916,2090,2265,868,903,940,977,1016,1055,1096,1138,1181,1226,1271,1319,1367,1417,2045
4,3,Matai Way,0,557,All,1414,2861,3299,1568,1622,1678,1735,1794,1855,1918,1982,2048,2116,2186,2259,2333,2409,3466,4739,4929,7496
5,5,Vintry Drive,0,362,All,3648,6242,2758,2862,2970,3081,3195,3312,3433,3557,3685,3817,3953,4093,4237,6109,6352,8706,13269,13890,5097
6,6,Croatia Avenue,0,42,All,625,835,1139,1846,2029,823,867,911,957,1004,1052,1101,1152,1205,1259,1314,1371,1430,1490,2163,2981
7,6,Croatia Avenue,42,76,All,625,1244,1417,1555,1679,1797,745,767,788,811,834,857,881,906,931,957,984,1011,1039,1067,1097
8,7,Lumbarda Drive,0,152,All,583,650,718,789,862,938,1016,1098,1183,1271,1899,3673,4023,4377,4744,5127,5528,5948,6392,6863,7362
9,8,Tarras Road,0,86,All,1103,1630,1736,1847,1964,3753,4066,4379,1661,1736,1812,1891,1972,2056,2142,2231,2322,2416,2513,2613,2715
10,8,Tarras Road,86,120,All,1125,1193,1265,1339,1417,2087,2216,4231,4580,4927,5285,1986,2066,2148,2231,2317,2406,2496,2589,2685,2783
11,9,Kowhai Glen,0,305,All,703,1183,1338,1466,1584,1697,680,702,724,747,771,795,820,846,873,900,928,957,1374,1425,1478
12,1037,Epiha Road Upper,0,415,All,2719,6471,7175,7802,2908,3021,3137,3257,3380,3508,3639,5258,5482,11015,11563,3858,4006,4158,4315,4477,4643
13,1038,Gossey Drive North,1319,1723,All,2313,5507,6106,6640,2474,2570,2669,2771,2876,2985,3096,4474,4665,9374,9841,3283,3409,3538,3672,3810,3952
14,10,Upper Ahu Ahu Road,0,46,All,1291,847,882,919,957,995,1035,1500,1576,1655,1737,1824,1918,2015,2116,2225,3083,3245,4991,5270,1171
15,10,Upper Ahu Ahu Road,46,68,All,1177,1255,2405,2613,2821,1067,1114,1162,1211,1261,1313,1366,1421,1477,1534,1593,1654,1716,1779,1844,2663
16,11,Lower Ahu Ahu Road,0,158,All,966,1304,2609,2915,1208,1277,1348,1421,1496,1574,1653,1734,1818,1905,1993,2085,2179,3170,3324,4594,7056
17,11,Lower Ahu Ahu Road,158,179,All,954,1025,1099,1176,1255,1339,1426,1516,1610,1708,1811,4805,5216,5629,6055,6501,6966,7454,7966,8510,9087
18,12,Kriletich Drive,0,263,All,2289,4671,5339,2488,2569,2653,2740,2829,2921,3015,3112,3212,4618,4801,4992,5189,5392,5601,5824,6061,12157
19,917,Port Street East,0,21,All,2501,5015,5765,6382,6954,7510,2892,2978,3067,3159,3253,3349,3448,3550,3654,3761,3871,3984,4099,4218,6046
20,917,Port Street East,21,396,All,3272,3858,4449,5050,5664,6295,6944,10609,11631,12701,13819,26964,29775,32631,35589,38679,41949,1276,1346,1417,1490
21,917,Port Street East,396,874,All,1672,3353,3854,1844,1900,1957,2016,2076,2138,2201,2266,2333,2402,2472,2545,2619,2695,3864,3992,5438,8236
22,917,Port Street East,874,1340,All,2299,3667,4089,1779,1837,1897,1958,2021,2085,2151,2219,2289,2360,2434,2509,2586,2666,3828,3961,5403,8195
23,917,Port Street East,1340,1431,All,2597,5216,2315,2391,2469,2548,2630,2714,2800,2889,2980,3073,3169,3267,3368,3472,3578,5136,7008,10630,3449
24,917,Port Street East,1431,2115,All,716,1689,1883,807,839,872,906,941,977,1014,1052,1091,1131,1172,1214,1257,1301,1346,1941,2657,4044
25,917,Port Street East,2120,2350,All,1477,3465,3838,1624,1680,1737,1796,1857,1919,1982,2048,2115,2184,2254,2327,2402,2478,2557,3674,5016,7613
26,13,Puriri Dale Way,0,293,All,2304,4761,5499,6115,6692,7256,2921,3024,3131,3242,3355,3472,3593,3717,3845,3976,4112,5923,6165,6415,8798
27,15,Fendall Close,0,438,All,4095,6361,7161,3114,3248,3385,3527,3673,3824,3979,5766,7953,12195,12843,4688,4870,5058,5252,5452,5657,8177
28,15,Fendall Close,438,585,All,2530,3752,4006,7687,3087,3241,3400,3563,3730,3903,4080,4263,4450,8528,13087,4496,4694,4898,5107,5323,5544
29,15,Fendall Close,585,643,All,1526,1649,1775,1907,2045,2188,2336,3471,3711,3964,7606,8270,3226,3386,3550,3719,3893,4072,4256,4446,6466
30,15,Fendall Close,643,736,All,8800,9359,17909,19467,6787,7107,7437,7778,8130,8493,12353,12986,17988,27695,29293,9001,9401,9814,10241,10680,15511
31,15,Fendall Close,736,814,All,4531,3145,3268,3394,3524,3658,3796,5486,5729,7887,12070,12692,4618,4785,4957,5135,5317,7670,8002,11006,16831
32,9339,Weston Way,814,886,All,7957,5128,5291,5459,5632,5809,5991,8606,8940,9286,9644,19299,20191,21146,7083,7298,7519,7746,11115,11598,12095
33,9339,Weston Way,886,939,All,6364,12629,16999,18652,6794,7044,7301,7565,7837,11307,11845,12397,12964,13574,14225,21787,30196,8916,9231,9555,9888
34,9339,Weston Way,965,1051,All,5098,6951,7607,8203,8787,16917,18478,6894,7184,7483,7791,11297,11894,12513,13150,13839,14575,29573,9472,9844,10229
35,9339,Weston Way,1051,1219,All,5485,11540,5778,5998,6226,6461,6702,9685,10118,10570,14551,22274,23435,8005,8293,8589,8895,9210,13284,13887,19128
36,9339,Weston Way,1237,1589,All,11308,4943,5134,5330,5533,5742,8299,8678,9072,18275,19238,20250,7245,7507,7777,8056,11624,12145,12690,17473,26751
37,9339,Weston Way,1589,1999,All,9193,4019,4174,4334,4498,4668,6747,7055,7376,14858,15641,16464,5890,6103,6323,6550,9450,9875,10317,14206,21750
38,9339,Weston Way,1999,2369,All,7654,3346,3472,3603,3737,3875,4018,4164,6012,8262,12625,13250,4868,5041,5219,5402,5590,5785,8338,11449,11956
39,9339,Weston Way,2385,2696,All,7452,12791,5727,5926,6132,6343,6561,6786,7017,7256,7501,10803,11236,15404,23482,24590,25746,8525,8806,9096,9395
40,9339,Weston Way,2696,3114,All,9747,16006,6132,6346,6566,6793,7027,7267,7516,10827,14851,22652,23736,24868,26048,27280,28592,9935,7902,8170,8446
41,9339,Weston Way,3114,3398,All,4238,7481,8383,3658,3794,3934,4078,4226,4379,4537,4699,4866,7018,7303,10017,10449,15934,16695,17489,5902,6104
42,9339,Weston Way,3398,3457,All,2776,4434,4935,5371,5789,2326,2405,2487,2571,2657,2746,2837,2931,3028,3127,4499,4670,4846,5029,10057,3724
43,9339,Weston Way,3457,3675,All,1376,1450,1528,4032,4351,4667,4993,1901,1973,2046,2122,2199,2278,2360,2443,2529,2616,2707,2799,4031,4187
44,9167,Foxglove Drive,0,668,All,1365,1450,1539,1632,1731,1834,3496,3777,4057,4345,4645,4959,5289,5637,6004,6389,2102,2133,2213,2295,2380
45,16,Sarah Lane,0,515,All,1691,3483,4051,4535,2007,2092,2179,2269,2361,2456,2554,2655,2759,2866,2976,3089,4467,4659,6405,6695,10230
46,17,Ash Drive,0,318,All,6411,8775,9704,10565,11421,12294,23802,7486,7867,8261,8668,9088,9521,9967,10429,15192,15997,16835,23339,35962,38065
47,18,Monaghan Way,0,80,All,415,444,474,506,538,572,608,898,1176,1858,2003,777,813,850,888,928,968,1010,1052,1097,1142
48,1035,Cousins Avenue East,0,61,All,526,1048,1202,1327,1442,1553,1663,674,695,716,738,760,784,807,831,856,882,908,935,962,991
49,19,Elm Close,0,82,All,2632,3988,4343,4717,5108,9926,10920,3204,3395,3591,3792,3999,4211,4430,4654,4886,5123,5368,5620,5879,8563
50,19,Elm Close,82,101,All,3965,5285,5810,6293,12180,13333,14474,4377,4533,4693,4857,5026,5200,5378,5561,5750,5943,6141,6345,6555,6770
51,20,Burkes Creek Road,0,21,All,1883,4530,5063,5548,6026,2363,2466,2572,2681,2793,2909,3028,4389,4592,9258,9751,3492,3631,3775,3922,4074
52,20,Burkes Creek Road,21,520,All,1921,4623,5167,5662,2288,2389,2492,2599,2709,2822,2939,4262,4460,8995,9476,9980,10506,3641,3785,3933,4086
53,20,Burkes Creek Road,549,697,All,2994,4649,5222,2270,2363,2460,2559,2661,2766,2874,4159,4342,8734,9178,3391,3518,3649,3784,3924,4067,4215
54,20,Burkes Creek Road,697,765,All,1329,1791,1979,2153,2327,4502,4931,1945,2035,2128,2222,2319,2419,2521,3658,3836,4019,4209,4404,8877,3241
