elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,20_1_101.88,20_1_101.88,20_1_101.88,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45,14.37_1_113.45
1,1,Conifer Close,0,378,All,10.04_1_74.23,10.04_1_74.23,10.04_1_74.23,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17,11.17_1_88.17
2,2,Fladgate Drive,0,565,All,21_1_84.65,21_1_84.65,21_1_84.65,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25,12.44_1_98.25
3,4,Highfield Drive,0,71,All,9.01_1_93.89,9.01_1_93.89,9.01_1_93.89,9.01_1_93.89,9.01_1_93.89,9.01_1_93.89,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32,13.34_1_105.32
4,3,Matai Way,0,557,All,19_1_91.29,19_1_91.29,19_1_91.29,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88,13.28_1_104.88
5,5,Vintry Drive,0,362,All,15_1_83.76,15_1_83.76,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,12.61_1_99.58,10.82_1_85.42
6,6,Croatia Avenue,0,42,All,9_1_97.85,9_1_97.85,9_1_97.85,9_1_97.85,9_1_97.85,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99,13.8_1_108.99
7,6,Croatia Avenue,42,76,All,39_1_97.85,39_1_97.85,39_1_97.85,39_1_97.85,39_1_97.85,39_1_97.85,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46,15.11_1_94.46
8,7,Lumbarda Drive,0,152,All,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85,17.14_1_102.85
9,8,Tarras Road,0,86,All,8.97_1_96.15,8.97_1_96.15,8.97_1_96.15,8.97_1_96.15,8.97_1_96.15,8.97_1_96.15,8.97_1_96.15,8.97_1_96.15,13.45_1_106.19,13.45_1_106.19,13.45_1_106.19,13.45_1_106.19,13.45_1_106.19,13.45_1_106.19,13.45_1_106.19,13.45_1_106.19,13.45_1_106.19,13.45_1_106.19,13.45_1_106.19,13.45_1_106.19,13.45_1_106.19
10,8,Tarras Road,86,120,All,16.02_1_96.15,16.02_1_96.15,16.02_1_96.15,16.02_1_96.15,16.02_1_96.15,16.02_1_96.15,16.02_1_96.15,16.02_1_96.15,16.02_1_96.15,16.02_1_96.15,16.02_1_96.15,14.42_1_90.15,14.42_1_90.15,14.42_1_90.15,14.42_1_90.15,14.42_1_90.15,14.42_1_90.15,14.42_1_90.15,14.42_1_90.15,14.42_1_90.15,14.42_1_90.15
11,9,Kowhai Glen,0,305,All,20.03_0.5_150.05,20.03_0.5_150.05,20.03_0.5_150.05,20.03_0.5_150.05,20.03_0.5_150.05,20.03_0.5_150.05,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02,11.15_1_88.02
12,1037,Epiha Road Upper,0,415,All,10_1_78.82,10_1_78.82,10_1_78.82,10_1_78.82,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,5.82_1_79.35,5.82_1_79.35,5.82_1_79.35,5.82_1_79.35,5.82_1_79.35,5.82_1_79.35
13,1038,Gossey Drive North,1319,1723,All,10_1_78.56,10_1_78.56,10_1_78.56,10_1_78.56,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,5.8_1_79.03,5.8_1_79.03,5.8_1_79.03,5.8_1_79.03,5.8_1_79.03,5.8_1_79.03
14,10,Upper Ahu Ahu Road,0,46,All,1_2.9_94.03,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,4.56_1_136.7
15,10,Upper Ahu Ahu Road,46,68,All,9.48_1_94.31,9.48_1_94.31,9.48_1_94.31,9.48_1_94.31,9.48_1_94.31,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72
16,11,Lower Ahu Ahu Road,0,158,All,8_1_87.18,8_1_87.18,8_1_87.18,8_1_87.18,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14
17,11,Lower Ahu Ahu Road,158,179,All,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33
18,12,Kriletich Drive,0,263,All,35_1_68.29,35_1_68.29,35_1_68.29,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45
19,917,Port Street East,0,21,All,19_1_98.31,19_1_98.31,19_1_98.31,19_1_98.31,19_1_98.31,19_1_98.31,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32
20,917,Port Street East,21,396,All,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,4.66_1_139.73,4.66_1_139.73,4.66_1_139.73,4.66_1_139.73
21,917,Port Street East,396,874,All,19_1_98.18,19_1_98.18,19_1_98.18,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07,13.94_1_110.07
22,917,Port Street East,874,1340,All,19.01_1_97.63,19.01_1_97.63,19.01_1_97.63,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59,13.88_1_109.59
23,917,Port Street East,1340,1431,All,19_1_99.94,19_1_99.94,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,12.86_1_101.51
24,917,Port Street East,1431,2115,All,16_1_104.24,16_1_104.24,16_1_104.24,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26
