elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
0,1013,Brook Street North,0,220,All,0,0.1,0.2,0.3,0.5,0.6,0.8,1,1.2,1.4,1.7,2,2.4,2.8,3.3,3.9,4.5,5.2,6.1,7.1,8.3,9.6,11,12.5,14.3,16.2,18.4,20.8,23.4,26.2,29.2
1,1,Conifer Close,0,378,All,0.1,1.1,1.3,1.5,1.7,1.9,2.2,2.5,3,3.5,4.2,4.9,5.9,7,8.5,10.1,12.1,14.2,16.8,19.8,23.2,27,31.2,35.4,39.4,43.3,47,50.5,53.9,57.1,60.1
2,2,Fladgate Drive,0,565,All,0,0.1,0.3,0.4,0.6,0.8,1,1.3,1.6,2,2.4,3,3.6,4.3,5.2,6.2,7.5,9,10.6,12.5,14.6,17,19.7,22.8,26.1,29.8,33.5,37.1,40.5,43.8,47
3,4,Highfield Drive,0,71,All,1.6,1.8,2.1,2.5,2.9,3.4,3.9,4.5,5.2,6.1,7.1,8.3,9.6,11.1,12.8,14.6,16.7,19.1,21.7,24.6,27.7,31,34.4,37.6,40.7,43.7,46.6,49.4,52.1,54.7,57.2
4,3,Matai Way,0,557,All,0,0.1,0.2,0.4,0.5,0.7,0.9,1.1,1.4,1.7,2.1,2.5,3,3.6,4.3,5.1,6,7.2,8.5,9.9,11.5,13.3,15.4,17.8,20.4,23.3,26.4,29.8,33.2,36.6,39.8
5,5,Vintry Drive,0,362,All,0,0.1,0.3,0.4,0.6,0.8,1,1.3,1.6,2,2.5,3,3.7,4.4,5.3,6.4,7.7,9.2,11,12.9,15.1,17.6,20.4,23.6,27,30.8,34.5,38.1,41.5,44.9,48
6,6,Croatia Avenue,0,42,All,0,0.1,0.2,0.4,0.5,0.7,0.8,1,1.2,1.5,1.8,2.2,2.6,3.1,3.6,4.2,5,5.8,6.9,8,9.3,10.8,12.4,14.2,16.2,18.5,21,23.7,26.7,29.9,33.1
7,6,Croatia Avenue,42,76,All,0,0.1,0.2,0.4,0.5,0.7,0.8,1,1.2,1.5,1.8,2.2,2.6,3.1,3.6,4.2,5,5.8,6.9,8,9.3,10.8,12.4,14.2,16.2,18.5,21,23.7,26.7,29.9,33.1
8,7,Lumbarda Drive,0,152,All,0,0,0,0,0,0,0,0,0,0,1,1.1,1.2,1.4,1.5,1.7,1.8,2,2.2,2.5,2.8,3.2,3.6,4.1,4.6,5.2,5.9,6.7,7.7,8.8,10
9,8,Tarras Road,0,86,All,0,1,1.1,1.2,1.4,1.5,1.7,1.9,2,2.3,2.5,2.9,3.3,3.7,4.2,4.8,5.4,6.2,7.2,8.3,9.5,10.9,12.4,14.1,16.1,18.3,20.7,23.3,26.2,29.4,32.7
