elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
0,1013,Brook Street North,0,220,All,26101.6,29358.4,32809.8,17316.1,17363.3,17411.7,17461.5,17512.8,17565.7,17620.4,17677.3,17736.8,17799.8,17946.1,18034.3,18135.4,18255.3,18496.6,40785.1,18167.8,18237.2,18308.4,18381.6,18456.8,18534.2,18614,18696.5,18782.2,18950.6,19060,19180
1,1,Conifer Close,0,378,All,51238.7,55609.3,60674.8,50311.8,50847,51400.4,51972.6,52564.4,53176.3,53809.4,54464.8,55322.3,56066.6,56849,57675.6,59409,60560.2,114609.2,56523.6,57293.9,58088.6,58908.3,59753.5,60624.7,61522.6,62626.4,63620.9,64656.2,66288,67827.6,69272.2
2,2,Fladgate Drive,0,565,All,87669.6,93793.3,99033.3,44546.4,44679.5,44816.3,44957.1,45102,45251.4,45406,45566.5,45734.1,46111.1,46342.6,46600.6,46894.8,48189.2,48802.9,108104,46958.5,47155.6,47358,47565.9,47779.5,47999.4,48226,48460.2,48903.3,49200.7,49522.4,49874.4
3,4,Highfield Drive,0,71,All,7640.2,8648,9751,4932.3,4941.1,4950.3,4959.7,4969.6,4979.8,4990.4,5001.6,5013.5,5049.8,5068,5088.9,5113.8,5172.2,5300.1,12054.8,5098.4,5112.5,5127,5142,5157.6,5173.6,5190.4,5207.8,5226.1,5269,5294.8,5323.7
4,3,Matai Way,0,557,All,89369.6,99699.2,109878.7,53030,53173.5,53321.2,53473.3,53630.1,53792,53959.8,54134.3,54317.1,54752.7,55004.6,55286.9,55611.1,56283.7,57679.6,127645.6,55647.4,55862.7,56083.9,56311.3,56545.3,56786.3,57035,57292.5,57802.1,58128.3,58481.7,58870
5,5,Vintry Drive,0,362,All,54826.3,63381.7,40319.6,40556.5,40800.3,41051.3,41309.6,41575.7,41850.2,42133.8,42427.6,42897.4,43251.4,43631.6,44045.9,45282.5,45957.6,94592.8,44654.3,45009.9,45375,45749.7,46134.4,46529.5,46935.4,47353.1,47947.5,48429.5,48937.2,49669.4,50874
6,6,Croatia Avenue,0,42,All,3468,3542.4,3744.1,4146.9,4602.4,3448.5,3462,3476.1,3491,3506.6,3523.1,3540.5,3558.8,3578.3,3615,3640,3667.6,3698.7,3734.4,3852.4,8400.7,3737.4,3765,3793.9,3824.3,3856.1,3889.5,3924.5,3961.2,3999.9,4056.5
7,6,Croatia Avenue,42,76,All,6093,6308.7,6494,6686.4,6930.7,7284.7,2762,2765.6,2769.3,2773,2776.7,2780.6,2784.5,2788.5,2792.5,2796.7,2813.3,2820.6,2828.8,2837.8,2848,2861.4,2925.2,2959.2,3004.6,3071.1,7670.9,2846.4,2851.4,2856.5,2861.7
8,7,Lumbarda Drive,0,152,All,18288,18412.5,18544.9,18765.3,18929.8,19107.3,19298.9,19506.3,19731.7,19986,20571.8,22861.9,24801.5,20392,20497.3,20606,20718.3,20834.4,20954.3,21078.4,21206.7,21339.5,21477,21699.1,21864.5,22039.6,22225.4,22423.3,22642.9,23185.8,23540.6
9,8,Tarras Road,0,86,All,8956.1,9155.8,9292,9470.1,9775.6,10707.6,11927.3,13592.1,9389.1,9459.7,9534.2,9612.8,9695.8,9783.3,9875.7,9973.4,10076.8,10227.1,10351,10484.8,10630.7,10840.1,11175.5,22995.1,10945,11094.8,11251.5,11415.2,11586.2,11764.5,11950.4
10,8,Tarras Road,86,120,All,3635.3,3664.7,3696.6,3731.1,3768.7,3857.1,3914.7,4316.6,4667.2,3807.4,3827.6,3848.5,3870.1,3892.5,3915.7,3939.7,3964.5,3990.1,4016.7,4044.1,4072.6,4102,4132.5,4164.1,4197,4231.4,4283,4323.1,4366.4,9066,3807.4
11,9,Kowhai Glen,0,305,All,42087.7,47450.2,53164.6,58966.5,27375.9,27401.7,27428.1,27455.2,27483.1,27512,27542.2,27700.5,27763.6,27837.9,27926,28032.4,28618.9,28928.2,29361.3,29970.1,31311.1,32935.1,27890,27926.2,27963.3,28001.3,28040.4,28080.7,28122.6,28292.8,28523.8
12,1037,Epiha Road Upper,0,415,All,32510.5,37701.3,43503.7,51917.7,27753.9,28829,29946.9,31114.5,32342.8,33901.7,35371.8,38134.1,40224.4,120986.4,30725.8,31891,33100.2,34360.2,35681.9,37335.1,40009.6,41974.4,115774.1,32989.7,34220,35495.6,36823.3,38465.7,39999.8,42794.1,44912.5
13,1038,Gossey Drive North,1319,1723,All,29298.7,33853.2,39728.8,47615.3,24590.2,25559.1,26567.6,27622.2,28733.5,30164.4,31506.7,34104.9,36047.5,114594.4,26701.9,27737.3,28813.1,29935.7,31115.7,32615.8,35108,36908.3,108665.4,28041.7,29119.4,30238.5,31405.4,32876,34238.8,36826.2,38755.4
14,10,Upper Ahu Ahu Road,0,46,All,5694.8,3705.7,3713.4,3721.3,3729.5,3738,3746.8,3799.8,3823,3851.4,3915.5,3974,4068,4218.1,4543.6,3825.2,3836.5,3848,3859.9,3872.2,3884.9,3898.1,3911.7,3926.1,3958.6,3978.3,4000.2,4025.3,4136.5,4186.6,9289.5
15,10,Upper Ahu Ahu Road,46,68,All,1845,1898.2,2071.2,2295.2,2597.2,1801.7,1806.7,1811.9,1817.3,1822.9,1828.6,1834.6,1840.9,1847.3,1862,1870.7,1880.2,1890.4,1901.5,1914.1,1959,1984.5,2016.9,2060.4,2124.3,5169,1970.9,1981.3,1992.2,2003.4,2014.9
16,11,Lower Ahu Ahu Road,0,158,All,13106.7,13464,14494.5,15859.8,12963.3,13018,13075.8,13136.8,13201.4,13269.6,13342,13418.9,13500.9,13648.4,13755.3,13873.6,14006.4,14440,14670.8,32324,14189.4,14311.3,14439.8,14575.2,14717.8,14868,15026.3,15193.1,15428.9,15627.2,15839.7
17,11,Lower Ahu Ahu Road,158,179,All,1694.1,1702.2,1710.8,1719.9,1729.6,1747.7,1760.7,1775,1790.5,1807.9,1828.2,2058.3,2238.7,1834.1,1844.6,1855.5,1866.9,1878.9,1891.3,1904.4,1918,1939.9,1956.9,1975.2,1994.9,2016.8,2071,2109.2,2156.8,2225.4,2327.9
18,12,Kriletich Drive,0,263,All,37913.6,42173.3,46330.7,22821,22887.5,22955.9,23026.1,23098.4,23172.9,23348.1,23468,23603,24114.7,24462.9,24956.5,25771.9,27205.1,29766.8,23924.4,24117.5,24561.3,27896.1,59397.2,68102.6,68868.2,69082.5,69219.4,69348.4,69482.8,24984.6,25203.7
19,917,Port Street East,0,21,All,2090,2349.3,2596.4,2825.3,3046.1,3283.5,1253.5,1265.8,1278.4,1291.1,1304.2,1317.4,1331,1344.8,1359,1373.6,1388.7,1404.4,1426.9,1445.7,1483.9,1519.7,3256.1,1352.6,1367.1,1381.9,1396.9,1412.2,1427.9,1443.8,1460.1
20,917,Port Street East,21,396,All,31304.8,33444.2,36333.3,40164.5,45005.2,50669.1,56794.8,62906.8,68033.4,72330.4,76143.7,81611.9,86565.1,55937.1,57425.8,58852.7,60214.3,61508.6,62734.9,63894.3,64988.6,66021.1,66995.9,67918.4,68909.1,69764.5,70598.1,71765,73045.1,107104,19107
21,917,Port Street East,396,874,All,49097.9,55789.3,25600.7,25770.5,25944.6,26122.9,26305.9,26493.7,26686.9,26886,27092.2,27307.1,27533.4,27775.5,28199.5,28520.3,28897.9,30080,76428.8,28852.6,29098.1,29349.3,29606.3,29869.4,30138.7,30414.9,30698.5,30990.6,31292.9,31608,32099.5
22,917,Port Street East,874,1340,All,38940.4,45251.2,20419.5,20547.9,20679.2,20813.7,20951.3,21092.5,21237.4,21386.7,21541.1,21702,21871.4,22052.9,22377.7,22620.7,23275,23874.7,60771.7,22847.7,23029,23214.2,23403.5,23597,23795,23997.7,24205.8,24420,24641.8,24873.1,25243.1
23,917,Port Street East,1340,1431,All,10901.4,12147.1,5861.2,5912.7,5965,6018.1,6072,6126.8,6182.4,6239.1,6297,6356.3,6417.5,6481.2,6575,6651.6,6737.5,6956.1,14629.2,5832.8,5886.8,5941.6,5997.4,6054.1,6111.9,6170.7,6230.6,6291.9,6354.8,6419.7,6513.7
24,917,Port Street East,1431,2115,All,30205.1,33683.1,37867.8,28762.6,28875,28990.6,29109.6,29232.2,29358.8,29489.8,29626.3,29769.4,29921.3,30085.6,30267.7,30682.2,30958.5,31305.3,32369.9,91990.9,30968.6,31140.2,31316.4,31497.6,31683.9,31875.9,32074.1,32279.4,32493.1,32717.4,32955.8
25,917,Port Street East,2120,2350,All,13926.1,15290.7,16910.9,13659.3,13772,13887.1,14004.7,14124.9,14247.7,14373.4,14502.3,14634.9,14772,14914.7,15065,15298.1,15484.2,15696.4,16161.6,37157.5,14930.2,15073.3,15219.4,15368.7,15521.1,15676.9,15836.2,15999.4,16166.9,16339.6,16518.5
