elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,26101.6,29358.4,17249.1,17294.4,17340.8,17388.6,17437.8,17488.6,17541.2,17595.8,17653,17713.6,17857.5,17943,18041.3,18158.4,18396.6,40668.8,44057.8,48963,51192.1
1,1,Conifer Close,0,378,All,51238.7,55609.3,60674.8,50311.8,50847,51400.4,51972.6,52564.4,53176.3,53809.4,54464.8,55322.3,56066.6,56849,57675.6,59409,60560.2,114609.2,123279.9,133577.3,138290.1
2,2,Fladgate Drive,0,565,All,87669.6,93793.3,99033.3,44546.4,44679.5,44816.3,44957.1,45102,45251.4,45406,45566.5,45734.1,46111.1,46342.6,46600.6,46894.8,48189.2,48802.9,108104,122574.3,128989.9
3,4,Highfield Drive,0,71,All,7640.2,8648,4921,4929.5,4938.2,4947.3,4956.7,4966.5,4976.8,4987.5,4999,5034.8,5052.5,5072.9,5097.2,5155,5282.1,12030.5,13072.8,14467.6,5107.7
4,3,Matai Way,0,557,All,89369.6,99699.2,52836.9,52974.7,53116.5,53262.5,53413.1,53568.6,53729.8,53897.5,54073.5,54501.8,54745.8,55019.8,55335.3,55998.6,57382.6,127249.6,138183.1,152555.5,158969.8
5,5,Vintry Drive,0,362,All,54826.3,39921.4,40146.4,40378,40616.4,40862,41115,41376,41645.9,41925.6,42381.1,42719.9,43084.4,43482.5,44701.2,45353.6,93872.1,105918.2,111393.4,45266.1,44737.5
6,6,Croatia Avenue,0,42,All,3468,3542.4,3744.1,4146.9,4602.4,3448.5,3462,3476.1,3491,3506.6,3523.1,3540.5,3558.8,3578.3,3615,3640,3667.6,3698.7,3734.4,3852.4,8400.7
7,6,Croatia Avenue,42,76,All,6093,6308.7,6494,6686.4,6930.7,7284.7,2762,2765.6,2769.3,2773,2776.7,2780.6,2784.5,2788.5,2792.5,2796.7,2813.3,2820.6,2828.8,2837.8,2848
8,7,Lumbarda Drive,0,152,All,18288,18412.5,18544.9,18765.3,18929.8,19107.3,19298.9,19506.3,19731.7,19986,20571.8,22861.9,24801.5,27688.9,32098.2,20904.1,21023.2,21146.3,21273.4,21404.7,21540.4
9,8,Tarras Road,0,86,All,8956.1,9155.8,9292,9470.1,9775.6,10707.6,11927.3,13592.1,9389.1,9459.7,9534.2,9612.8,9695.8,9783.3,9875.7,9973.4,10076.8,10227.1,10351,10484.8,10630.7
10,8,Tarras Road,86,120,All,3635.3,3664.7,3696.6,3731.1,3768.7,3857.1,3914.7,4316.6,4667.2,5200.6,6036,3974.9,3995.2,4015.9,4037.3,4059.3,4081.9,4105.2,4129.1,4153.8,4194.7
11,9,Kowhai Glen,0,305,All,42087.7,47450.2,53164.6,58966.5,27375.9,27401.7,27428.1,27455.2,27483.1,27512,27542.2,27700.5,27763.6,27837.9,27926,28032.4,28618.9,28928.2,29361.3,29970.1,31311.1
12,1037,Epiha Road Upper,0,415,All,32510.5,37701.3,43503.7,51917.7,27753.9,28829,29946.9,31114.5,32342.8,33901.7,35371.8,38134.1,40224.4,120986.4,135704.7,31419,32604.6,33834.3,35114.7,36456.7,38130.1
13,1038,Gossey Drive North,1319,1723,All,29298.7,33853.2,39728.8,47615.3,24590.2,25559.1,26567.6,27622.2,28733.5,30164.4,31506.7,34104.9,36047.5,114594.4,128838.4,27277.8,28330.6,29423.7,30563.5,31760.8,33277.9
14,10,Upper Ahu Ahu Road,0,46,All,5694.8,3705.7,3713.4,3721.3,3729.5,3738,3746.8,3799.8,3823,3851.4,3915.5,3974,4068,4218.1,4543.6,5097.7,11194.4,3904.5,3848.6,3860.8,3873.7
15,10,Upper Ahu Ahu Road,46,68,All,1845,1898.2,2071.2,2295.2,2597.2,1801.7,1806.7,1811.9,1817.3,1822.9,1828.6,1834.6,1840.9,1847.3,1862,1870.7,1880.2,1890.4,1901.5,1914.1,1959
16,11,Lower Ahu Ahu Road,0,158,All,13106.7,13464,14494.5,15859.8,12963.3,13018,13075.8,13136.8,13201.4,13269.6,13342,13418.9,13500.9,13648.4,13755.3,13873.6,14006.4,14440,14670.8,32324,36704.9
17,11,Lower Ahu Ahu Road,158,179,All,1694.1,1702.2,1710.8,1719.9,1729.6,1747.7,1760.7,1775,1790.5,1807.9,1828.2,2058.3,2238.7,2526.9,2990.6,3642,4352.6,4918.1,5242.9,1979.7,1953.9
18,12,Kriletich Drive,0,263,All,37913.6,42173.3,46330.7,22821,22887.5,22955.9,23026.1,23098.4,23172.9,23348.1,23468,23603,24114.7,24462.9,24956.5,25771.9,27205.1,29766.8,35935.8,45661.5,69358.7
19,917,Port Street East,0,21,All,2090,2349.3,2596.4,2825.3,3046.1,3283.5,1253.5,1265.8,1278.4,1291.1,1304.2,1317.4,1331,1344.8,1359,1373.6,1388.7,1404.4,1426.9,1445.7,1483.9
20,917,Port Street East,21,396,All,31304.8,33444.2,36333.3,40164.5,45005.2,50669.1,56794.8,62906.8,68033.4,72330.4,76143.7,81611.9,86565.1,92789.2,100934.7,111317.7,123629.9,136362.8,147483.8,155763.6,161249.6
21,917,Port Street East,396,874,All,49097.9,55789.3,25600.7,25770.5,25944.6,26122.9,26305.9,26493.7,26686.9,26886,27092.2,27307.1,27533.4,27775.5,28199.5,28520.3,28897.9,30080,76428.8,86463.3,92095.4
22,917,Port Street East,874,1340,All,38940.4,45251.2,20419.5,20547.9,20679.2,20813.7,20951.3,21092.5,21237.4,21386.7,21541.1,21702,21871.4,22052.9,22377.7,22620.7,23275,23874.7,60771.7,68607.1,72987.1
23,917,Port Street East,1340,1431,All,10901.4,12147.1,5861.2,5912.7,5965,6018.1,6072,6126.8,6182.4,6239.1,6297,6356.3,6417.5,6481.2,6575,6651.6,6737.5,6956.1,14629.2,16305.1,17256.5
24,917,Port Street East,1431,2115,All,30205.1,33683.1,37867.8,28762.6,28875,28990.6,29109.6,29232.2,29358.8,29489.8,29626.3,29769.4,29921.3,30085.6,30267.7,30682.2,30958.5,31305.3,32369.9,91990.9,104712.9
25,917,Port Street East,2120,2350,All,13926.1,15290.7,16910.9,13659.3,13772,13887.1,14004.7,14124.9,14247.7,14373.4,14502.3,14634.9,14772,14914.7,15065,15298.1,15484.2,15696.4,16161.6,37157.5,41712.5
26,13,Puriri Dale Way,0,293,All,73777.2,77592.3,80928.4,35381.4,35497,35616,35738.9,35865.7,35996.8,36132.7,36274,36581.2,36778.1,36995.1,37982,38436.1,39031.6,88523.2,98240.2,103613.9,106775.5
27,15,Fendall Close,0,438,All,28466.8,37026.5,47041.7,25046,25968.9,26940.4,27971.1,29078.2,30658.9,32108.4,35456.7,140836.3,170012.5,184611.9,35197.3,36471.4,37801.1,39196.7,41044.6,42718.6,46225.1
28,15,Fendall Close,438,585,All,11699.3,13114.3,14713.2,18520.1,13112.8,13679.9,14278.9,14914.1,15591.7,16321.2,17243.1,18150.5,19191.8,54788.7,65211.6,17483.5,18249.6,19051.2,19891.8,20776.5,21714.3
29,15,Fendall Close,585,643,All,2930.6,3106.1,3342.1,3552.5,3781.8,4034.2,4316.3,4792.6,5191.2,5769.2,7208.4,8997.1,4640.8,4860.6,5093.1,5340.1,5604,5936,6257.7,6617.9,7182.8
30,15,Fendall Close,643,736,All,17849.9,19871,25332.3,33453.7,17207.9,18006.6,18843.8,19723,20778.4,21794.5,23467.8,24811.1,63499.1,74132.8,79675.4,20561.9,21496.6,22469.6,23483.8,24672.4,26387.3
31,15,Fendall Close,736,814,All,41213.5,6670.1,6833.9,7006.6,7191.7,7513.2,7770.5,8609.2,9110.1,44080.4,53124.2,57460.3,8422.4,8630.2,8848,9078.9,9447.1,10105,10742.7,45438.6,53826.5
32,9339,Weston Way,814,886,All,46011.3,11814.1,12053.3,12298.5,12550.8,12812.1,13197.1,13846.3,14457.7,15018.6,15730.1,53782.2,59366.9,62898,13554.5,13826,14103.7,14496.6,15212.5,15882,16920.4
33,9339,Weston Way,886,939,All,11787,12900.2,14601.6,17299.8,11412.1,11754.3,12106.9,12550.1,12970.4,13686.5,14362.1,15270.8,16794.4,19870.3,27973.8,42916.7,53122.2,17257.2,12811.7,13206.5,13699.2
34,9339,Weston Way,965,1051,All,14009.3,14856.9,15822.8,17173.8,18744.5,23967.6,33011.1,14647,15159.2,15816.7,16496.7,17890.6,19793.4,24556.4,39512,65534.8,74895.7,78456.3,17944,18684.3,19783.6
35,9339,Weston Way,1051,1219,All,62302.6,73634.6,25707.5,26447.1,27215.8,28020.6,29124.3,30845.6,32519,34137.3,110876.7,130143.4,139395.3,31082.3,31957.8,32864.2,33808.5,35053.3,37303.5,38925.4,114414.6
36,9339,Weston Way,1237,1589,All,94083,24693.8,25419.9,26178.7,26978.8,28140.4,30057.4,31935.6,33761.9,135020.1,151363.8,162151.5,32698.5,33640.6,34619,35642.5,37898,39893.9,41826.6,135788,157545.5
37,9339,Weston Way,1589,1999,All,106399,23092.2,23762.9,24467.9,25217.4,26395.9,28476.2,30505,32466.4,153801.8,173181.8,185885.9,30463.8,31342.8,32260.4,33226.8,35667.5,37792,39836.1,152383.9,178217.8
38,9339,Weston Way,1999,2369,All,97513.9,23220.6,23880.8,24572.5,25305,26093.1,27288.8,28354.9,31092.1,124327,149940.1,162608,30457.5,31312.5,32202.7,33137.2,34458.6,35613.5,38382.8,131810.1,148156.5
39,9339,Weston Way,2385,2696,All,78143.1,89161.4,46015.4,46642.8,47286.9,47948.8,48629.9,49332.6,50271.8,51078.3,51936.8,53841.8,55074.8,118126.7,132582.2,141523.7,51702.7,52470.4,53256.7,54062.3,54888.8
40,9339,Weston Way,2696,3114,All,136896,154638.7,61284.2,62854.5,64467.6,66132.7,67865.3,70044.6,72093,75953.6,177644,206291.5,220931.6,58347.9,59886.8,61470,63107.1,65167.2,67051.7,70681.4,172063.8
