elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,26101.6,29358.4,32809.8,36275.8,39780.9,43625.9,48327.4,54209.9,60818.6,66884.9,71267.2,73820.6,75115.2,75694.7,75965.6,76135.9
1,1,Conifer Close,0,378,All,51238.7,55609.3,60674.8,67456.9,77553.6,92282.2,111816.8,134149,154818.9,169604.6,178751.7,184441.9,188265.7,191094.2,193360.8,195299.2
2,2,Fladgate Drive,0,565,All,87669.6,93793.3,99033.3,103977.8,109534.6,117095.2,128220,143543.7,161309.5,176987.4,186732.9,191276.1,193152.2,193916.7,194349.5,194717.9
3,4,Highfield Drive,0,71,All,7640.2,8648,9751,10929.8,12243.8,13835.4,15824.8,18024.1,19941.1,21201.1,21848.2,22122.8,22234.6,22284.5,22315.4,5195.7
4,3,Matai Way,0,557,All,89369.6,99699.2,109878.7,119961.8,130827.7,144179.4,161619.4,182472.6,202805.1,218136.2,226784.4,230688.8,232339.5,233081.4,233538.8,233933.7
5,5,Vintry Drive,0,362,All,54826.3,63381.7,72936.8,84431.6,41178.2,41440.6,41710.5,41988.1,42273.8,42567.8,42870.8,43183.6,43507.2,44007.5,44393.8,44807.1
6,6,Croatia Avenue,0,42,All,3468,3542.4,3744.1,4146.9,4602.4,5284.5,6284.6,7657.6,9344.2,11123.9,12677.9,13790.3,14471.3,14858.9,15083.8,15221.6
7,6,Croatia Avenue,42,76,All,6093,6308.7,6494,6686.4,6930.7,7284.7,7828.9,8621.1,9614.8,10618.8,11400,11866.9,12097.9,12189.7,12221.6,12234.2
8,7,Lumbarda Drive,0,152,All,18288,18412.5,18544.9,18765.3,18929.8,19107.3,19298.9,19506.3,19731.7,19986,20571.8,22861.9,24801.5,27688.9,32098.2,38246.7
9,8,Tarras Road,0,86,All,8956.1,9155.8,9292,9470.1,9775.6,10707.6,11927.3,13592.1,16088.9,19591,24077.5,28824.5,32813.7,35597.6,37375.3,38498.4
10,8,Tarras Road,86,120,All,3635.3,3664.7,3696.6,3731.1,3768.7,3857.1,3914.7,4316.6,4667.2,5200.6,6036,7242.1,8696.8,10080.1,11132.2,11881.7
11,9,Kowhai Glen,0,305,All,42087.7,47450.2,53164.6,58966.5,64962.9,71723.4,80018.5,90102.9,100874.6,110202.3,116716.8,120472.1,122423.9,123284.8,123621.4,123757
12,1037,Epiha Road Upper,0,415,All,32510.5,37701.3,43503.7,51917.7,64268.1,28545,29645.8,30789.6,31983.4,33238.1,34823.5,36321.2,39112.4,41235.7,122110.3,136900.4
13,1038,Gossey Drive North,1319,1723,All,29298.7,33853.2,39728.8,47615.3,59249.2,76430.8,100365.7,130069.7,161063.3,185963.6,201851.3,211123.9,216784.7,220640.8,223565.7,32598.5
14,10,Upper Ahu Ahu Road,0,46,All,5694.8,3705.7,3713.4,3721.3,3729.5,3738,3746.8,3799.8,3823,3851.4,3915.5,3974,4068,4218.1,4543.6,5097.7
15,10,Upper Ahu Ahu Road,46,68,All,1845,1898.2,2071.2,2295.2,2597.2,3047.2,3697.6,4547.2,5487.9,6336.6,6976.7,7390.9,7640.4,7790.7,7884.4,7945.9
16,11,Lower Ahu Ahu Road,0,158,All,13106.7,13464,14494.5,15859.8,17718.8,20563.3,24774.9,30518.8,37401.8,44294.2,49694.1,53138.8,55131.3,56291.7,57012.2,57498.3
17,11,Lower Ahu Ahu Road,158,179,All,1694.1,1702.2,1710.8,1719.9,1729.6,1747.7,1760.7,1775,1790.5,1807.9,1828.2,2058.3,2238.7,2526.9,2990.6,3642
