elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,15.69,17.64,19.72,21.8,23.91,26.22,29.04,10.59,10.62,10.66,10.69,10.73,10.77,10.8,10.84,10.89,10.93,11.03,11.09,11.15,11.23
1,1,Conifer Close,0,378,All,13.56,14.71,16.05,17.85,20.52,24.41,13.74,13.9,14.06,14.23,14.4,14.58,14.77,14.96,15.21,15.43,15.66,16.11,16.41,16.75,31.33
2,2,Fladgate Drive,0,565,All,20.69,22.13,23.37,24.53,25.85,27.63,30.25,10.71,10.75,10.79,10.83,10.87,10.91,10.95,11,11.09,11.15,11.21,11.28,11.42,11.69
3,4,Highfield Drive,0,71,All,15.37,17.4,19.62,21.99,24.64,27.84,31.84,10.03,10.05,10.07,10.09,10.12,10.14,10.16,10.19,10.22,10.3,10.34,10.38,10.44,10.56
4,3,Matai Way,0,557,All,17.44,19.46,21.44,23.41,25.53,28.14,31.54,10.52,10.55,10.59,10.62,10.66,10.69,10.73,10.77,10.81,10.91,10.96,11.02,11.1,11.4
5,5,Vintry Drive,0,362,All,15.78,18.24,20.99,24.3,28.21,32.77,12.12,12.21,12.29,12.38,12.47,12.56,12.66,12.76,12.86,13.01,13.14,13.26,13.46,13.79,14.02
6,6,Croatia Avenue,0,42,All,10.32,10.54,11.14,12.34,13.7,15.73,18.7,10.38,10.42,10.47,10.52,10.57,10.63,10.69,10.75,10.81,10.93,11.01,11.1,11.2,11.38
7,6,Croatia Avenue,42,76,All,22.4,23.19,23.87,24.58,25.48,26.78,28.78,31.7,35.35,39.04,41.91,43.63,44.48,44.82,44.93,44.98,45.01,45.03,45.06,45.08,45.11
8,7,Lumbarda Drive,0,152,All,10.46,10.53,10.61,10.74,10.83,10.93,11.04,11.16,11.29,11.43,11.77,13.08,14.19,15.84,18.36,21.88,26.02,12.44,12.66,12.97,13.85
9,8,Tarras Road,0,86,All,10.41,10.65,10.8,11.01,11.37,12.45,13.87,15.8,10.92,11,11.09,11.18,11.27,11.38,11.48,11.6,11.72,11.89,12.04,12.19,12.36
10,8,Tarras Road,86,120,All,10.69,10.78,10.87,10.97,11.08,11.34,11.51,12.7,13.73,15.3,17.75,21.3,25.58,29.65,12.26,12.47,12.8,14.06,12.32,12.4,12.52
11,9,Kowhai Glen,0,305,All,15.17,17.11,19.17,21.26,23.42,25.86,28.85,32.48,9.91,9.92,9.93,9.94,9.95,9.97,9.98,10.04,10.06,10.09,10.12,10.32,10.41
12,1037,Epiha Road Upper,0,415,All,8.7,10.09,11.65,13.9,7.43,7.72,8.02,8.33,8.66,9.08,9.47,10.21,10.77,32.39,8.23,8.54,8.86,9.2,9.55,10,10.71
13,1038,Gossey Drive North,1319,1723,All,8.06,9.31,10.93,13.1,6.76,7.03,7.31,7.6,7.9,8.3,8.67,9.38,9.91,31.52,7.34,7.63,7.92,8.23,8.56,8.97,9.66
14,10,Upper Ahu Ahu Road,0,46,All,15.48,10.07,10.09,10.11,10.13,10.16,10.18,10.33,10.39,10.47,10.64,10.8,11.05,11.46,12.35,10.39,10.43,10.46,10.49,10.52,10.56
15,10,Upper Ahu Ahu Road,46,68,All,10.48,10.79,11.77,13.04,14.76,17.31,21.01,25.84,31.18,36,39.64,41.99,10.79,10.93,11.17,11.62,26.98,29.21,10.85,10.9,10.95
16,11,Lower Ahu Ahu Road,0,158,All,10.37,10.65,11.47,12.55,14.02,16.27,19.6,24.14,10.52,10.57,10.63,10.7,10.76,10.83,10.91,10.98,11.07,11.2,11.31,11.42,11.61
17,11,Lower Ahu Ahu Road,158,179,All,10.08,10.13,10.18,10.24,10.3,10.4,10.48,10.57,10.66,10.76,10.88,12.25,13.33,15.04,17.8,21.68,25.91,29.27,31.21,32.1,32.5
18,12,Kriletich Drive,0,263,All,17.58,19.55,21.48,23.36,25.37,27.8,31.01,35.05,10.77,10.81,10.85,10.88,10.92,11.01,11.07,11.13,11.21,11.47,11.67,11.97,12.51
19,917,Port Street East,0,21,All,19.17,21.55,23.82,25.92,27.95,30.12,11.5,11.61,11.73,11.85,11.96,12.09,12.21,12.34,12.47,12.6,12.74,12.88,13.09,13.26,13.61
20,917,Port Street East,21,396,All,14.86,15.88,17.25,19.07,21.37,24.06,26.97,29.87,32.3,34.34,36.16,38.75,41.1,26.56,27.27,27.95,28.59,29.21,29.79,30.34,30.86
21,917,Port Street East,396,874,All,16.65,18.92,21.09,23.11,25.08,9,9.06,9.13,9.2,9.27,9.34,9.41,9.49,9.57,9.65,9.74,9.83,9.98,10.1,10.4,10.67
22,917,Port Street East,874,1340,All,16.71,19.42,22,24.74,27.9,9.14,9.21,9.27,9.34,9.41,9.48,9.55,9.62,9.7,9.78,9.86,9.95,10.1,10.21,10.5,10.77
23,917,Port Street East,1340,1431,All,22.38,24.94,12.04,12.14,12.25,12.36,12.47,12.58,12.69,12.81,12.93,13.05,13.18,13.31,13.5,13.66,13.83,14.28,30.04,11.98,12.09
24,917,Port Street East,1431,2115,All,7.94,8.85,9.95,11.42,13.58,16.65,7.75,7.78,7.82,7.85,7.89,7.93,7.97,8.01,8.05,8.1,8.15,8.2,8.32,8.4,8.5
25,917,Port Street East,2120,2350,All,10.44,11.46,12.68,14.26,16.53,10.47,10.55,10.65,10.74,10.84,10.93,11.03,11.13,11.24,11.35,11.46,11.58,11.76,11.91,12.07,12.43
26,13,Puriri Dale Way,0,293,All,21.85,22.98,23.97,25,26.38,28.56,32.05,10.69,10.73,10.77,10.82,10.86,10.91,10.96,11.05,11.12,11.19,11.26,11.57,11.72,11.92
27,15,Fendall Close,0,438,All,5.19,6.76,8.58,11.34,15.48,4.99,5.18,5.37,5.57,5.79,6.1,6.38,7.01,26.29,6.54,6.78,7.02,7.28,7.63,7.94,8.58
28,15,Fendall Close,438,585,All,6.32,7.08,7.94,10,7.08,7.39,7.71,8.05,8.42,8.81,9.31,9.8,10.36,29.58,9.24,9.65,10.07,10.52,10.99,11.49,12.09
29,15,Fendall Close,585,643,All,4.01,4.25,4.57,4.86,5.17,5.52,5.9,6.56,7.1,7.89,9.86,12.31,6.35,6.65,6.97,7.31,7.67,8.12,8.56,9.05,9.83
30,15,Fendall Close,643,736,All,9.38,10.45,13.32,17.59,9.05,9.47,9.91,10.37,10.92,11.46,12.34,13.04,33.39,10.34,10.82,11.31,11.83,12.43,13.22,14.01,14.79
