elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,2.15,3.12,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.06,2.11,2.16,2.48,65.75,74.79,87.88,92.85
1,1,Conifer Close,0,378,All,2.03,5.34,8.79,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.07,2.13,2.2,3.37,3.72,70.62,80.21,91.63,95.71
2,2,Fladgate Drive,0,565,All,1.93,2.84,4.3,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.07,2.13,2.19,3.34,3.64,69.77,85.34,91.57
3,4,Highfield Drive,0,71,All,2.79,4.17,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.06,2.11,2.16,2.49,3.41,67.66,77.05,89.52,1.8
4,3,Matai Way,0,557,All,2.59,3.85,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.06,2.11,2.17,2.5,3.43,67.89,77.39,89.79,94.34
5,5,Vintry Drive,0,362,All,4.29,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.07,2.12,2.18,3.32,3.6,69.35,84.92,91.19,1.8,1.8
6,6,Croatia Avenue,0,42,All,1.8,1.89,3.32,6.89,10.21,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.06,2.1,2.15,2.21,3.36,67.16
7,6,Croatia Avenue,42,76,All,1.8,2.61,3.88,5.96,9.4,15.04,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.07,2.13,2.2,2.29
8,7,Lumbarda Drive,0,152,All,1.8,1.8,1.8,2.02,2.06,2.1,2.16,2.23,2.31,2.42,3.37,8.9,13.36,20.27,31.09,1.8,1.8,1.8,1.8,1.8,1.8
9,8,Tarras Road,0,86,All,1.8,2.42,2.55,2.71,3.27,6.82,11.25,17.12,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.06,2.11,2.16
10,8,Tarras Road,86,120,All,1.8,1.84,1.88,1.94,2.01,2.75,3,8.02,12.21,18.83,29.47,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02
11,9,Kowhai Glen,0,305,All,2.02,3.02,4.62,7.29,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.06,2.13,2.2,2.29,3.18,3.55,4.06,4.76,6.53
12,1037,Epiha Road Upper,0,415,All,2.1,4.39,6.5,9.92,1.8,1.8,1.8,1.8,1.8,2.02,2.07,3.13,3.39,73.54,84.27,1.8,1.8,1.8,1.8,1.8,2.02
13,1038,Gossey Drive North,1319,1723,All,1.8,3.75,6.2,9.46,1.8,1.8,1.8,1.8,1.8,2.02,2.07,3.14,3.39,73.56,84.31,1.8,1.8,1.8,1.8,1.8,2.02
14,10,Upper Ahu Ahu Road,0,46,All,19.59,1.8,1.8,1.8,1.8,1.8,1.8,2.37,2.54,2.78,3.47,4.07,5.12,6.86,10.82,17.67,96.13,1.8,1.8,1.8,1.8
15,10,Upper Ahu Ahu Road,46,68,All,2.57,3.07,6.35,10.31,15.37,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.06,2.12,2.19,2.27,2.38,3.35
16,11,Lower Ahu Ahu Road,0,158,All,1.89,2.24,4.67,7.65,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.07,2.12,2.19,3.32,3.6,69.39,84.96
17,11,Lower Ahu Ahu Road,158,179,All,1.8,1.8,1.8,1.8,1.8,2.02,2.07,2.14,2.23,2.34,2.51,8.61,13.26,20.95,33.57,51.48,71.04,86.43,94.96,1.8,1.8
18,12,Kriletich Drive,0,263,All,2.11,3.19,4.96,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.1,2.22,3.15,3.71,4.57,6.12,8.97,14.25,27.37,48.16,99.5
19,917,Port Street East,0,21,All,1.84,2.63,3.85,5.8,8.96,14.04,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.05,2.75
20,917,Port Street East,21,396,All,1.84,1.84,1.84,1.84,1.84,1.84,2.06,2.75,2.88,3.03,3.6,8.22,11.87,17.42,25.68,37.2,51.81,67.38,80.77,90.08,95.47
21,917,Port Street East,396,874,All,2.07,2.97,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.05,2.09,3.14,67.84,80.92,87.32
22,917,Port Street East,874,1340,All,2.06,4.71,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.05,2.74,3.22,68.42,81.35,87.65
23,917,Port Street East,1340,1431,All,1.91,3.04,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.05,2.09,3.14,67.78,80.82,87.2
24,917,Port Street East,1431,2115,All,1.89,4.26,6.71,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.05,2.08,2.78,67.42,80.41
25,917,Port Street East,2120,2350,All,1.8,4.07,6.42,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.05,2.08,2.78,67.42,80.41
26,13,Puriri Dale Way,0,293,All,1.89,2.84,4.43,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.08,2.15,3.29,3.64,4.14,73.54,86.71,93.57,97.02
27,15,Fendall Close,0,438,All,2.02,4.71,7.25,1.8,1.8,1.8,1.8,1.8,2.02,2.08,3.15,66.09,82.36,89.29,1.8,1.8,1.8,1.8,2.02,2.08,3.15
28,15,Fendall Close,438,585,All,1.82,2.43,2.86,6.5,1.8,1.8,1.8,1.8,1.8,1.8,2.02,2.06,2.1,63.99,80.06,1.8,1.8,1.8,1.8,1.8,1.8
29,15,Fendall Close,585,643,All,1.8,1.8,2.02,2.05,2.09,2.13,2.19,2.95,3.12,3.74,7.78,12.64,1.8,1.8,1.8,1.8,1.8,2.02,2.06,2.12,2.88
30,15,Fendall Close,643,736,All,3.96,5.12,11.78,22.34,1.8,1.8,1.8,1.8,2.02,2.08,3.16,3.49,69.04,85.08,91.69,1.8,1.8,1.8,1.8,2.02,3.07
31,15,Fendall Close,736,814,All,2.42,1.8,1.8,1.8,1.8,2.02,2.08,3.15,3.47,68.77,84.75,91.38,1.8,1.8,1.8,1.8,2.02,2.74,3.35,68.23,83.17
32,9339,Weston Way,814,886,All,9.14,1.8,1.8,1.8,1.8,1.8,2.02,2.75,3.34,3.76,4.36,79.98,89.9,95.23,1.8,1.8,1.8,2.02,2.86,3.59,5.03
33,9339,Weston Way,886,939,All,1.8,2.66,4.62,8.56,1.8,1.8,1.8,2.02,2.13,3.02,3.75,5.04,7.93,14.92,35.46,74.38,99.87,1.8,1.8,1.8,2.02
34,9339,Weston Way,965,1051,All,1.8,2,2.29,3.09,4.04,11.04,24.19,1.8,1.8,2.02,2.23,3.63,5.86,12.98,37.75,81.64,96.12,99.99,1.8,2.02,2.82
35,9339,Weston Way,1051,1219,All,1.8,2.8,1.8,1.8,1.8,1.8,2.02,2.74,3.33,3.74,71.09,86.76,93.02,1.8,1.8,1.8,1.8,2.02,3.09,3.5,69.8
36,9339,Weston Way,1237,1589,All,4.01,1.8,1.8,1.8,1.8,2.02,2.75,3.35,3.8,77.02,87.61,93.66,1.8,1.8,1.8,1.8,2.66,3.27,3.75,71.64,86.33
