elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,1.87,2,2.13,2.27,2.42,2.58,2.75,2.93,3.12,3.33,3.55,3.78,4.02,4.28,4.56,4.86,5.17,5.5,5.85,6.23,6.62
1,1,Conifer Close,0,378,All,15.24,16.11,17.02,17.98,18.97,20,21.08,22.2,23.36,24.56,25.81,27.09,28.41,29.78,31.17,32.61,34.07,35.57,37.1,38.65,40.23
2,2,Fladgate Drive,0,565,All,2.42,2.57,2.74,2.91,3.09,3.28,3.49,3.7,3.93,4.18,4.43,4.71,5,5.3,5.62,5.97,6.33,6.71,7.11,7.53,7.98
3,4,Highfield Drive,0,71,All,0.78,0.84,0.89,0.95,1.02,1.09,1.16,1.24,1.32,1.41,1.51,1.61,1.72,1.83,1.95,2.08,2.22,2.37,2.53,2.7,2.87
4,3,Matai Way,0,557,All,1.57,1.68,1.79,1.91,2.04,2.18,2.32,2.47,2.64,2.81,3,3.2,3.41,3.63,3.87,4.12,4.39,4.68,4.98,5.31,5.65
5,5,Vintry Drive,0,362,All,8.5,9.03,9.59,10.17,10.79,11.45,12.13,12.85,13.61,13.61,14,14.39,14.8,15.21,15.63,16.06,16.51,16.96,17.42,17.89,18.37
6,6,Croatia Avenue,0,42,All,1.87,2,2.13,2.27,2.42,2.58,2.75,2.94,3.13,3.34,3.56,3.79,4.04,4.3,4.58,4.88,5.2,5.53,5.89,6.26,6.66
7,6,Croatia Avenue,42,76,All,1.87,1.93,2,2.07,2.14,2.21,2.28,2.36,2.44,2.52,2.6,2.69,2.78,2.87,2.97,3.07,3.17,3.27,3.38,3.49,3.61
8,7,Lumbarda Drive,0,152,All,4.98,5.31,5.65,6.01,6.39,6.8,7.23,7.68,8.17,8.67,9.21,9.78,10.38,11.01,11.67,12.37,13.1,13.87,14.68,15.53,16.41
9,8,Tarras Road,0,86,All,2.04,2.18,2.32,2.47,2.64,2.81,3,3.2,3.41,3.63,3.87,4.12,4.39,4.68,4.98,5.31,5.65,6.01,6.39,6.8,7.23
10,8,Tarras Road,86,120,All,5.42,5.76,6.13,6.53,6.94,7.38,7.84,8.33,8.85,9.4,9.98,10.58,11.22,11.9,12.61,13.35,14.14,14.96,15.82,16.71,17.65
11,9,Kowhai Glen,0,305,All,0.55,0.57,0.6,0.62,0.65,0.67,0.7,0.72,0.75,0.78,0.81,0.84,0.88,0.91,0.95,0.98,1.02,1.06,1.1,1.15,1.19
12,1037,Epiha Road Upper,0,415,All,4.98,5.31,5.65,6.01,6.01,6.21,6.41,6.63,6.85,7.07,7.3,7.54,7.79,8.04,8.3,8.57,8.85,9.14,9.43,9.73,9.73
13,1038,Gossey Drive North,1319,1723,All,2.75,2.94,3.13,3.34,3.34,3.45,3.57,3.69,3.82,3.95,4.08,4.22,4.36,4.51,4.66,4.82,4.99,5.15,5.33,5.33,5.5
14,10,Upper Ahu Ahu Road,0,46,All,1.87,1.87,1.92,1.98,2.03,2.09,2.15,2.21,2.27,2.33,2.4,2.47,2.54,2.61,2.68,2.75,2.83,2.91,2.99,3.07,3.16
15,10,Upper Ahu Ahu Road,46,68,All,1.87,2,2.13,2.27,2.42,2.58,2.75,2.94,3.13,3.34,3.56,3.79,4.04,4.3,4.58,4.88,5.2,5.53,5.89,6.26,6.66
16,11,Lower Ahu Ahu Road,0,158,All,2.04,2.18,2.32,2.47,2.64,2.81,3,3.2,3.41,3.63,3.87,4.12,4.39,4.68,4.98,5.31,5.65,6.01,6.39,6.8,7.23
17,11,Lower Ahu Ahu Road,158,179,All,1.95,2.08,2.22,2.37,2.53,2.7,2.87,3.06,3.27,3.48,3.71,3.95,4.21,4.49,4.78,5.09,5.42,5.76,6.13,6.53,6.94
18,12,Kriletich Drive,0,263,All,4.39,4.55,4.72,4.89,5.07,5.26,5.45,5.64,5.85,6.06,6.27,6.5,6.73,6.97,7.22,7.48,7.74,8.01,8.29,8.58,8.88
19,917,Port Street East,0,21,All,17.65,18.63,19.65,20.72,21.82,22.97,24.16,25.39,26.66,27.97,29.32,30.7,32.13,33.58,35.07,36.59,38.13,39.7,41.29,42.9,44.52
20,917,Port Street East,21,396,All,36.08,37.61,39.17,40.76,42.36,43.98,45.61,47.25,48.9,50.55,52.2,53.84,55.48,57.1,58.71,60.3,61.87,63.41,64.93,66.42,67.87
21,917,Port Street East,396,874,All,4.78,5.09,5.42,5.76,6.13,6.53,6.94,7.38,7.84,8.33,8.85,9.4,9.98,10.58,11.22,11.9,12.61,13.35,14.14,14.96,15.82
22,917,Port Street East,874,1340,All,7.53,8,8.5,9.03,9.59,10.17,10.79,11.45,12.13,12.85,13.61,14.41,15.24,16.11,17.02,17.98,18.97,20,21.08,22.2,23.36
23,917,Port Street East,1340,1431,All,36.08,37.61,39.17,40.76,42.36,43.98,45.61,47.25,48.9,50.55,52.2,53.84,55.48,57.1,58.71,60.3,61.87,63.41,64.93,66.42,67.87
24,917,Port Street East,1431,2115,All,3,3.2,3.41,3.63,3.87,4.12,4.39,4.68,4.98,5.31,5.65,6.01,6.39,6.8,7.23,7.68,8.17,8.67,9.21,9.78,10.38
25,917,Port Street East,2120,2350,All,14.14,14.96,15.82,16.71,17.65,18.63,19.65,20.72,21.82,22.97,24.16,25.39,26.66,27.97,29.32,30.7,32.13,33.58,35.07,36.59,38.13
26,13,Puriri Dale Way,0,293,All,2.22,2.37,2.53,2.7,2.87,3.06,3.27,3.48,3.71,3.95,4.21,4.49,4.78,5.09,5.42,5.76,6.13,6.53,6.94,7.38,7.84
27,15,Fendall Close,0,438,All,4.58,4.88,5.2,5.53,5.89,5.89,6.07,6.27,6.47,6.68,6.89,7.11,7.33,7.56,7.8,8.05,8.3,8.56,8.83,9.1,9.38
28,15,Fendall Close,438,585,All,11.67,12.37,13.1,13.87,13.87,14.22,14.58,14.94,15.31,15.69,16.08,16.47,16.87,17.28,17.7,18.13,16.33,16.73,17.14,17.55,17.97
29,15,Fendall Close,585,643,All,7.84,8.33,8.85,9.4,9.98,10.58,11.22,11.9,12.61,13.35,14.14,14.96,10.17,10.46,10.74,11.04,11.34,11.65,11.97,12.29,12.63
30,15,Fendall Close,643,736,All,15.24,16.11,17.02,17.98,16.26,16.76,17.28,17.81,18.35,18.9,19.47,20.05,20.64,21.24,21.86,17.99,18.54,19.09,19.66,20.25,20.84
31,15,Fendall Close,736,814,All,6.94,6.94,7.15,7.37,7.59,7.82,8.06,8.3,8.55,8.81,9.08,9.35,9.35,9.62,9.91,10.2,10.5,10.81,11.13,11.45,11.78
32,9339,Weston Way,814,886,All,12.61,13.28,13.98,17.25,17.61,17.98,18.36,18.74,19.13,19.52,19.92,20.33,20.74,21.16,6.66,6.77,6.88,6.99,7.11,7.22,7.34
33,9339,Weston Way,886,939,All,18.97,20,21.08,22.2,18.14,18.54,18.95,19.36,19.78,20.21,20.65,21.09,21.54,22,22.46,22.93,23.41,18.65,19.06,19.48,19.9
34,9339,Weston Way,965,1051,All,17.02,17.98,18.97,20,21.08,22.2,23.36,15.53,16.01,16.51,17.02,17.54,18.08,18.63,19.19,19.76,20.35,20.94,17.59,18.13,18.68
35,9339,Weston Way,1051,1219,All,14.68,15.53,16.41,15.53,15.99,16.48,16.97,17.47,17.99,18.52,19.06,19.61,20.17,20.75,17.51,18.02,18.55,19.09,19.64,20.21,20.79
36,9339,Weston Way,1237,1589,All,9.59,9.59,9.9,10.22,10.55,10.89,11.23,11.59,11.96,12.34,12.72,13.12,13.12,13.53,13.95,14.38,14.82,15.27,15.74,16.21,16.7
37,9339,Weston Way,1589,1999,All,4.78,5.09,5.09,5.26,5.44,5.63,5.82,6.02,6.22,6.44,6.65,6.88,7.11,7.11,7.35,7.59,7.85,8.11,8.38,8.66,8.94
38,9339,Weston Way,1999,2369,All,6.94,7.38,7.84,7.84,8.09,8.34,8.59,8.86,9.13,9.41,9.7,9.99,10.29,10.6,10.92,11.25,11.25,11.59,11.93,12.28,12.65
39,9339,Weston Way,2385,2696,All,17.02,17.98,18.97,20,21.08,22.2,23.36,18.63,19.18,19.74,20.31,20.9,21.49,22.1,22.72,23.36,24,24.66,25.33,26.01,26.71
40,9339,Weston Way,2696,3114,All,45.61,47.25,48.9,50.55,52.2,53.84,55.48,57.1,58.71,60.3,61.87,63.41,64.93,66.42,67.87,69.3,70.68,72.03,73.34,74.61,75.84
41,9339,Weston Way,3114,3398,All,12.61,13.35,14.14,14.96,15.82,16.71,17.65,18.63,19.65,20.72,21.82,22.97,24.16,25.39,26.66,27.97,29.32,30.7,32.13,33.58,35.07
42,9339,Weston Way,3398,3457,All,7.84,8.33,8.85,9.4,9.98,10.58,11.22,11.9,12.61,13.35,14.14,14.96,15.82,16.71,17.65,18.63,19.65,20.72,21.82,22.97,24.16
43,9339,Weston Way,3457,3675,All,8.85,9.4,9.98,10.58,11.22,11.9,12.61,13.35,14.14,14.96,15.82,16.71,17.65,18.63,19.65,20.72,21.82,22.97,24.16,25.39,26.66
