elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,11.22,12.23,14.35,15.68
1,1,Conifer Close,0,378,All,0.4,3.45,4.51,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.36,11.54,12.65,14.9,16.38
2,2,Fladgate Drive,0,565,All,0,0.98,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.33,11.49,13.63,14.99
3,4,Highfield Drive,0,71,All,1.6,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.22,11.34,12.41,14.6,0
4,3,Matai Way,0,557,All,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.22,11.35,12.43,14.63,16.04
5,5,Vintry Drive,0,362,All,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.33,11.47,13.6,14.93,0,0
6,6,Croatia Avenue,0,42,All,0,0.14,1.3,3.21,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,11.31
7,6,Croatia Avenue,42,76,All,0,0.94,1.96,3.08,4.3,5.62,0,0,0,0,0,0,0,0,0,0,0.2,0.24,0.29,0.35,0.42
8,7,Lumbarda Drive,0,152,All,0,0,0,0.2,0.23,0.28,0.32,0.38,0.44,0.52,1.63,3.87,4.96,6.14,7.47,0,0,0,0,0,0
9,8,Tarras Road,0,86,All,0,1.04,1.19,1.36,1.55,3.77,4.85,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,0.04,0.08,0.13,0.19,1.26,1.48,3.75,4.87,6.09,7.47,0,0,0,0,0,0,0,0,0,0.2
11,9,Kowhai Glen,0,305,All,0.26,1.3,2.43,3.67,0,0,0,0,0,0,0,0.2,0.24,0.29,0.35,0.43,1.52,1.78,2.1,2.47,2.93
12,1037,Epiha Road Upper,0,415,All,0,2.18,3.21,4.35,0,0,0,0,0,0,0,1.2,1.34,12.51,13.78,0,0,0,0,0,0
13,1038,Gossey Drive North,1319,1723,All,0,2.18,3.21,4.35,0,0,0,0,0,0,0,1.2,1.34,12.51,13.78,0,0,0,0,0,0
14,10,Upper Ahu Ahu Road,0,46,All,8.9,0,0,0,0,0,0,1,1.26,1.59,1.98,2.51,3.28,4.3,5.77,7.67,20.19,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,1.3,1.48,3.69,4.73,5.88,0,0,0,0,0,0,0,0,0,0.2,0.24,0.29,0.35,0.41,0.5,1.62
16,11,Lower Ahu Ahu Road,0,158,All,0,0.16,2.35,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.33,11.47,13.6
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0.2,0.25,0.31,0.38,0.46,0.59,3.75,4.89,6.16,7.62,9.29,11.16,13.26,15.61,0,0
