elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,43.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.32,87.98,0,0,0
1,1,Conifer Close,0,378,All,47.49,69.94,75.35,0,0,0,0,0,0,0,0,0,0,0,0,77.96,75.55,90.58,0,0,0
2,2,Fladgate Drive,0,565,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.35,80.36,89.38,0,0,0,0
3,4,Highfield Drive,0,71,All,53.91,66.53,0,0,0,0,0,0,0,0,0,0,0,0,0,68.54,73.35,88.98,0,0,0
4,3,Matai Way,0,557,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.54,79.56,88.18,0,0,0,0
5,5,Vintry Drive,0,362,All,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,76.35,80.16,89.18,0,0,0,0
6,6,Croatia Avenue,0,42,All,0,30.86,51.3,60.72,75.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.15,90.58
7,6,Croatia Avenue,42,76,All,0,43.89,55.71,57.92,75.55,85.17,0,0,0,0,0,0,0,0,0,0,62.32,59.92,63.73,74.95,77.96
8,7,Lumbarda Drive,0,152,All,0,0,0,40.28,54.51,68.54,67.33,62.32,65.33,64.93,70.94,80.36,79.96,0,0,0,0,0,0,0,0
9,8,Tarras Road,0,86,All,0,50.9,48.7,54.11,63.73,78.76,81.56,83.57,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,28.66,34.07,36.47,51.3,72.55,76.35,80.36,83.57,0,0,0,0,0,0,0,0,0,61.52,72.55,76.55
11,9,Kowhai Glen,0,305,All,46.49,58.92,65.73,68.94,0,0,0,0,0,0,0,62.32,65.33,69.34,72.55,72.55,78.76,76.35,77.15,81.96,87.58
12,1037,Epiha Road Upper,0,415,All,0,62.93,70.54,75.15,0,0,0,0,0,0,0,68.54,72.14,85.57,0,0,0,0,0,0,81.16
13,1038,Gossey Drive North,1319,1723,All,0,63.33,70.94,75.55,0,0,0,0,0,0,0,68.54,72.55,85.97,0,0,0,0,0,0,81.16
14,10,Upper Ahu Ahu Road,0,46,All,83.37,0,0,0,0,0,0,70.14,68.34,70.54,72.95,73.95,76.75,80.76,85.97,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,52.71,59.92,73.55,77.76,79.56,0,0,0,0,0,0,0,0,0,68.54,69.34,63.73,61.52,64.53,75.55,84.37
16,11,Lower Ahu Ahu Road,0,158,All,0,33.67,64.73,66.13,0,0,0,0,0,0,0,0,0,0,0,0,0,68.54,71.74,89.78,0
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,65.33,65.33,61.12,64.93,64.73,65.53,79.36,79.16,0,0,0,0,0,0,0,0
18,12,Kriletich Drive,0,263,All,46.09,57.92,65.33,0,0,0,0,0,0,62.32,63.73,65.93,74.95,78.36,83.97,88.38,85.77,84.57,0,0,0
19,917,Port Street East,0,21,All,0,40.28,53.51,56.11,73.55,83.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.96
20,917,Port Street East,21,396,All,0,0,0,0,0,0,62.32,71.94,69.54,70.34,71.74,79.96,79.76,0,0,0,0,0,0,0,0
21,917,Port Street East,396,874,All,0,40.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.33,84.77,0,0
22,917,Port Street East,874,1340,All,45.89,65.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.93,66.93,85.57,0,0
23,917,Port Street East,1340,1431,All,0,39.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.33,84.37,0,0
24,917,Port Street East,1431,2115,All,0,62.53,69.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.93,85.97,0
25,917,Port Street East,2120,2350,All,0,62.32,69.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.93,85.97,0
26,13,Puriri Dale Way,0,293,All,0,0,0,0,0,0,0,0,0,0,0,0,70.14,76.35,81.96,91.38,0,0,0,0,0
27,15,Fendall Close,0,438,All,47.09,64.53,72.14,0,0,0,0,0,0,0,68.54,81.56,0,0,0,0,0,0,68.54,78.56,91.18
28,15,Fendall Close,438,585,All,0,50.5,48.3,64.13,0,0,0,0,0,0,0,0,0,83.57,0,0,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,37.27,41.48,55.71,69.74,67.54,73.95,72.14,71.74,75.55,80.96,0,0,0,0,0,56.11,63.13,74.35,82.97
30,15,Fendall Close,643,736,All,58.52,68.14,77.76,81.76,0,0,0,0,0,0,68.54,72.14,83.97,0,0,0,0,0,66.93,78.76,85.17
31,15,Fendall Close,736,814,All,51.3,0,0,0,0,0,0,70.94,70.54,83.97,0,0,0,0,0,75.15,76.35,75.55,90.98,0,0
32,9339,Weston Way,814,886,All,73.15,83.77,0,0,0,0,0,70.14,68.54,73.15,74.15,74.95,85.57,0,0,0,62.32,70.34,76.55,82.36,88.58
33,9339,Weston Way,886,939,All,0,58.32,68.14,74.15,0,0,0,59.92,64.53,69.34,72.55,74.15,77.15,81.16,0,0,0,0,0,0,0
34,9339,Weston Way,965,1051,All,0,37.27,43.49,52.1,64.93,81.96,83.97,0,0,0,0,0,0,0,0,0,0,86.77,0,0,0
35,9339,Weston Way,1051,1219,All,0,56.11,0,0,0,0,0,70.14,70.14,70.94,80.36,0,0,0,0,0,68.54,73.35,75.55,92.99,0
36,9339,Weston Way,1237,1589,All,60.72,0,0,0,0,0,74.95,73.35,72.55,84.77,0,0,0,0,0,77.96,77.15,77.15,91.38,0,0
37,9339,Weston Way,1589,1999,All,60.72,0,0,0,0,0,74.95,73.75,72.95,85.17,0,0,0,0,0,77.96,77.96,77.56,92.18,0,0
38,9339,Weston Way,1999,2369,All,60.72,0,0,0,0,0,0,0,66.93,82.77,0,0,0,0,0,0,68.54,71.74,87.58,0,0
39,9339,Weston Way,2385,2696,All,48.7,0,0,0,0,0,0,0,0,0,68.54,71.74,83.57,0,0,0,0,0,0,0,0
40,9339,Weston Way,2696,3114,All,48.5,0,0,0,0,0,0,0,66.93,83.57,0,0,0,0,0,0,68.54,71.34,87.17,0,0
41,9339,Weston Way,3114,3398,All,46.29,65.33,72.34,0,0,0,0,0,0,0,0,0,70.14,75.55,87.17,0,0,0,0,0,0
42,9339,Weston Way,3398,3457,All,49.9,60.92,68.54,71.14,0,0,0,0,0,0,62.32,64.13,66.53,70.14,80.76,85.57,81.56,79.56,92.59,0,0
43,9339,Weston Way,3457,3675,All,43.89,36.67,41.08,64.33,74.55,83.57,0,0,0,0,0,0,0,0,68.54,69.14,63.13,61.12,74.15,79.76,85.37
44,9167,Foxglove Drive,0,668,All,57.11,65.93,67.54,55.91,67.94,77.35,83.57,0,0,0,0,0,0,0,0,0,0,0,0,71.74,75.75
45,16,Sarah Lane,0,515,All,0,48.3,59.92,63.33,0,0,0,0,0,0,0,0,0,0,0,0,68.54,70.94,86.77,0,0
46,17,Ash Drive,0,318,All,43.89,38.28,44.09,50.7,64.13,74.75,82.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,18,Monaghan Way,0,80,All,0,0,0,40.28,54.11,67.74,65.73,72.55,75.15,75.15,77.56,0,0,0,0,0,0,0,0,0,0
48,1035,Cousins Avenue East,0,61,All,0,41.88,54.11,56.71,74.15,84.37,0,0,0,0,0,0,0,0,0,0,0,56.11,62.53,73.75,77.15
49,19,Elm Close,0,82,All,0,53.51,50.7,54.31,64.33,79.16,82.16,0,0,0,0,0,0,0,0,0,0,0,0,0,81.16
50,19,Elm Close,82,101,All,0,33.07,41.48,44.09,66.73,79.36,82.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,20,Burkes Creek Road,0,21,All,0,63.73,71.14,75.95,79.16,0,0,0,0,0,0,0,70.14,75.95,87.58,0,0,0,0,0,0
52,20,Burkes Creek Road,21,520,All,0,64.13,71.74,76.35,0,0,0,0,0,0,0,68.54,72.95,86.77,0,0,0,0,0,0,81.16
53,20,Burkes Creek Road,549,697,All,46.89,64.93,72.75,0,0,0,0,0,0,0,68.54,70.54,84.57,0,0,0,0,0,0,0,81.16
54,20,Burkes Creek Road,697,765,All,44.09,38.08,43.29,48.5,61.52,77.96,81.16,0,0,0,0,0,0,0,0,0,0,56.11,61.92,73.35,76.35
55,20,Burkes Creek Road,765,1789,All,45.89,58.12,66.33,0,0,0,0,0,0,0,68.54,70.74,84.77,0,0,0,0,0,0,0,81.16
56,21,Tapeka Heights Lane,0,277,All,0,55.31,63.73,69.34,0,0,0,0,0,0,0,0,0,0,76.35,82.77,80.36,78.76,90.58,0,0
57,22,Sir John McKenzie Drive,0,530,All,0,34.27,65.13,66.93,0,0,0,0,0,0,0,0,0,0,0,0,0,68.54,72.14,90.38,0
58,23,Apple Orchard Lane,0,185,All,45.09,55.91,61.32,0,0,0,0,0,0,0,62.32,64.53,66.93,70.54,73.75,83.97,81.16,79.96,77.96,82.77,88.18
59,974,Railway Terrace East,0,730,All,0,49.5,48.5,53.71,63.13,78.36,80.96,83.37,0,0,0,0,0,0,0,0,0,0,0,0,0
60,24,George Noble Road,0,272,All,0,35.87,66.13,67.94,0,0,0,0,0,0,0,0,0,0,0,77.96,74.55,74.15,88.58,0,0
61,24,George Noble Road,272,286,All,0,30.26,35.67,37.47,57.52,71.34,77.56,75.55,75.55,74.55,78.36,0,0,0,0,0,0,0,0,0,0
62,25,Founders Lane,0,597,All,0,0,0,0,52.91,68.14,68.14,74.55,74.55,73.75,74.95,78.36,77.96,0,68.54,72.95,76.95,83.57,80.96,92.18,93.99
63,26,Stud Road,0,205,All,0,35.27,42.69,45.89,67.74,81.56,0,0,0,0,0,0,0,0,0,77.96,75.95,90.98,0,0,0
64,27,Gallop Lane,0,116,All,0,32.46,52.51,61.92,0,0,0,0,0,0,0,0,0,0,0,0,0,56.11,69.74,87.58,0
