elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
0,1013,Brook Street North,0,220,All,0,34.27,44.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.49,76.35,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Conifer Close,0,378,All,47.49,63.53,67.33,0,0,0,0,0,0,0,0,0,0,0,0,71.74,69.74,87.17,0,0,0,0,0,0,0,0,0,0,66.93,72.55,74.15
2,2,Fladgate Drive,0,565,All,0,39.08,49.7,0,0,0,0,0,0,0,0,0,0,0,0,0,65.33,61.52,81.16,0,0,0,0,0,0,0,0,0,0,0,0
3,4,Highfield Drive,0,71,All,53.91,59.92,65.73,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9,59.52,79.16,0,0,0,0,0,0,0,0,0,0,0,0
4,3,Matai Way,0,557,All,0,37.47,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9,59.92,79.56,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Vintry Drive,0,362,All,48.3,58.72,0,0,0,0,0,0,0,0,0,0,0,0,0,71.74,68.34,86.57,0,0,0,0,0,0,0,0,0,0,0,56.11,68.94
6,6,Croatia Avenue,0,42,All,0,21.84,40.48,59.92,71.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.32,79.96,0,0,0,0,0,0,0,0,0,0
7,6,Croatia Avenue,42,76,All,0,35.27,45.89,57.11,71.74,87.58,0,0,0,0,0,0,0,0,0,0,49.9,47.09,43.89,54.51,60.32,62.53,72.55,76.75,77.15,82.36,88.18,0,0,0,0
8,7,Lumbarda Drive,0,152,All,0,0,0,43.49,49.1,64.13,64.13,60.72,61.12,62.93,67.74,75.55,72.95,0,0,0,0,0,0,0,0,0,0,65.33,64.53,69.34,66.93,64.13,64.93,78.36,77.96
9,8,Tarras Road,0,86,All,0,43.09,39.48,53.31,63.33,77.15,81.56,82.77,0,0,0,0,0,0,0,0,0,0,0,0,0,59.12,70.34,83.57,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,19.64,28.66,38.28,43.89,69.74,74.55,78.76,79.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.32,62.93,63.73,88.98,0
11,9,Kowhai Glen,0,305,All,46.49,51.5,57.11,68.14,0,0,0,0,0,0,0,57.52,56.11,59.12,69.34,63.73,74.15,70.14,62.32,65.33,74.15,74.15,0,0,0,0,0,0,0,56.11,59.12
12,1037,Epiha Road Upper,0,415,All,0,56.11,61.92,72.55,0,0,0,0,0,0,0,65.33,63.73,76.75,0,0,0,0,0,0,65.33,66.53,81.96,0,0,0,0,0,0,68.54,72.95
13,1038,Gossey Drive North,1319,1723,All,0,56.31,62.32,72.95,0,0,0,0,0,0,0,65.33,64.13,77.15,0,0,0,0,0,0,65.33,66.93,82.36,0,0,0,0,0,0,68.54,73.35
14,10,Upper Ahu Ahu Road,0,46,All,83.37,0,0,0,0,0,0,66.93,65.33,67.33,68.74,70.94,70.14,71.74,83.97,0,0,0,0,0,0,0,0,0,0,0,0,0,68.54,72.34,84.57
15,10,Upper Ahu Ahu Road,46,68,All,52.71,52.51,65.13,75.15,77.56,0,0,0,0,0,0,0,0,0,62.32,59.92,54.51,49.9,45.89,56.71,69.34,70.54,74.95,77.96,78.36,92.18,0,0,0,0,0
16,11,Lower Ahu Ahu Road,0,158,All,0,24.65,56.11,65.33,0,0,0,0,0,0,0,0,0,0,0,0,0,59.12,55.31,77.96,0,0,0,0,0,0,0,0,0,0,0
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,59.12,62.53,59.52,60.72,62.73,60.92,74.75,72.14,0,0,0,0,0,0,0,0,59.12,62.93,67.33,66.33,70.94,77.15,75.95,76.75,81.56,82.36
18,12,Kriletich Drive,0,263,All,46.09,50.5,56.71,0,0,0,0,0,0,59.12,59.52,61.72,66.73,69.14,80.76,85.57,82.97,82.77,0,49.9,62.12,71.94,77.15,84.97,86.57,94.59,94.39,96.19,95.99,0,56.11
19,917,Port Street East,0,21,All,0,31.26,42.69,55.31,69.74,85.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.73,63.33,81.16,0,0,0,0,0,0,0,0
20,917,Port Street East,21,396,All,0,0,0,0,0,0,59.12,69.74,66.33,67.13,68.34,75.35,72.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.34,71.34,87.37,0
21,917,Port Street East,396,874,All,0,31.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.11,78.76,0,0,0,0,0,0,0,0,0,0,0,0
22,917,Port Street East,874,1340,All,45.89,58.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.32,56.31,79.96,0,0,0,0,0,0,0,0,0,0,0,0
23,917,Port Street East,1340,1431,All,0,30.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.11,77.96,0,0,0,0,0,0,0,0,0,0,0,0
24,917,Port Street East,1431,2115,All,0,55.31,61.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9,74.15,0,0,0,0,0,0,0,0,0,0,0
25,917,Port Street East,2120,2350,All,0,54.51,60.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9,74.15,0,0,0,0,0,0,0,0,0,0,0
26,13,Puriri Dale Way,0,293,All,0,46.69,0,0,0,0,0,0,0,0,0,0,0,63.73,75.55,80.36,91.78,0,0,0,0,0,0,0,0,0,0,71.74,73.35,77.15,77.15
27,15,Fendall Close,0,438,All,47.09,57.52,63.53,0,0,0,0,0,0,0,65.33,78.36,0,0,0,0,0,0,51.3,60.52,80.96,0,0,0,0,0,0,71.74,73.95,87.58,0
28,15,Fendall Close,438,585,All,0,42.69,38.88,63.33,0,0,0,0,0,0,0,0,0,74.15,0,0,0,0,0,0,0,0,68.54,82.77,0,0,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,31.06,44.29,50.5,65.13,64.53,71.74,68.74,68.54,71.34,77.15,0,0,0,0,0,43.49,43.09,53.91,67.54,68.14,73.15,84.77,0,0,0,0,0,0,0
30,15,Fendall Close,643,736,All,58.52,61.52,69.74,78.76,0,0,0,0,0,0,65.33,67.74,76.35,0,0,0,0,0,49.9,60.72,70.14,79.16,0,0,0,0,0,71.74,74.55,79.96,87.17
31,15,Fendall Close,736,814,All,51.3,55.51,0,0,0,0,0,0,63.73,66.53,76.15,0,0,0,0,0,62.32,63.33,58.52,80.96,0,0,0,0,0,74.95,75.35,75.75,83.97,0,0
32,9339,Weston Way,814,886,All,73.15,79.16,83.77,91.58,93.79,0,71.74,79.56,88.18,92.18,92.99,93.59,93.79,0,70.54,85.97,94.59,98.4,98.2,98.2,97.6,0,67.74,81.56,86.37,98.6,98.6,99.2,99.2,0,66.93
33,9339,Weston Way,886,939,All,0,51.3,59.52,71.74,77.15,0,0,0,59.12,61.52,66.93,69.34,67.74,70.94,83.57,0,49.9,52.91,65.33,73.35,84.37,87.58,92.99,0,62.32,71.74,82.77,84.37,87.58,91.38,94.59
34,9339,Weston Way,965,1051,All,0,28.66,35.67,50.9,64.53,82.77,84.37,0,0,59.12,60.32,68.94,68.14,72.14,0,56.11,59.12,77.96,71.74,86.77,88.98,0,60.72,68.54,79.56,86.77,89.78,92.99,0,56.11,64.53
35,9339,Weston Way,1051,1219,All,0,49.1,0,0,0,0,0,66.93,66.93,67.74,76.35,0,0,0,0,0,65.33,66.13,59.92,81.16,0,0,0,0,68.54,77.96,77.96,76.35,84.37,0,0
36,9339,Weston Way,1237,1589,All,60.72,0,0,0,0,0,71.74,70.94,69.34,81.16,0,0,0,0,0,71.74,72.55,70.94,86.77,0,0,0,0,71.74,72.55,79.56,79.56,89.78,0,0,0
37,9339,Weston Way,1589,1999,All,60.72,0,0,0,0,0,71.74,71.34,69.74,81.96,0,0,0,0,0,71.74,73.35,71.34,87.58,0,0,0,0,71.74,72.95,80.36,80.36,90.18,0,0,0
38,9339,Weston Way,1999,2369,All,60.72,0,0,0,0,0,0,0,63.73,79.56,0,0,0,0,0,0,65.33,63.73,82.77,0,0,0,0,0,68.54,76.35,76.35,85.97,0,0,0
39,9339,Weston Way,2385,2696,All,48.7,58.92,0,0,0,0,0,0,0,0,0,65.33,65.33,74.95,0,0,0,0,0,0,0,0,68.54,73.35,74.15,88.18,0,0,0,0,0
40,9339,Weston Way,2696,3114,All,48.5,0,0,0,0,0,0,0,63.73,80.16,0,0,0,0,0,0,65.33,62.93,82.36,0,0,0,0,0,0,74.95,74.95,85.57,0,0,0
41,9339,Weston Way,3114,3398,All,46.29,58.32,63.73,0,0,0,0,0,0,0,0,0,62.32,65.33,84.77,0,0,0,0,0,0,0,0,0,70.94,77.15,87.17,0,0,0,0
