elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
0,1013,Brook Street North,0,220,All,0,25.25,25.05,21.84,22.85,26.05,26.05,26.05,26.05,26.65,25.85,25.05,25.05,25.85,26.85,26.85,27.45,28.06,28.46,28.86,28.86,28.26,28.66,29.26,30.46,100,100,100,100,100,100
1,1,Conifer Close,0,378,All,47.49,57.52,55.91,55.71,55.11,54.51,51.9,50.3,49.7,48.9,47.7,46.09,46.09,46.89,47.9,50.1,51.1,51.7,52.3,51.7,52.51,52.71,53.31,100,100,100,100,100,100,100,100
2,2,Fladgate Drive,0,565,All,0,30.26,30.46,27.45,32.06,32.46,33.07,33.87,34.07,34.27,34.27,34.67,34.87,35.67,36.47,37.07,37.88,38.68,39.28,39.68,40.68,41.08,41.68,42.28,100,100,100,100,100,100,100
3,4,Highfield Drive,0,71,All,53.91,53.51,53.91,53.71,54.11,54.11,52.3,51.9,50.5,49.5,48.9,46.49,46.69,46.09,46.89,47.9,49.9,51.3,51.1,51.5,51.7,52.3,52.3,100,100,100,100,100,100,100,100
4,3,Matai Way,0,557,All,0,28.66,28.86,25.65,29.86,30.86,30.86,31.46,31.66,31.46,31.86,31.86,32.26,33.47,34.07,34.67,35.07,35.47,36.07,36.27,36.27,37.07,37.27,38.08,100,100,100,100,100,100,100
5,5,Vintry Drive,0,362,All,48.3,52.3,52.3,51.9,51.3,48.7,47.7,46.69,44.49,42.69,42.89,41.08,41.88,41.28,42.28,43.09,44.09,45.49,45.49,45.49,45.69,45.49,46.09,100,100,100,100,100,100,100,100
6,6,Croatia Avenue,0,42,All,0,12.22,17.84,27.25,24.25,21.44,19.84,18.84,18.44,18.04,19.24,20.04,21.04,19.44,19.44,19.44,19.64,20.84,21.64,22.04,22.24,22.04,22.04,21.24,21.44,20.84,100,100,100,100,100
7,6,Croatia Avenue,42,76,All,0,26.25,26.25,22.85,25.05,27.45,27.86,27.86,27.45,27.86,27.45,27.45,27.45,27.86,28.26,29.46,30.26,30.26,30.66,31.06,31.06,31.66,31.66,32.06,32.87,100,100,100,100,100,100
8,7,Lumbarda Drive,0,152,All,0,0,0,6.01,6.61,5.21,4.01,2.4,1.6,1.6,2,4.41,4.41,4.41,3.21,3.21,2.81,2.81,2.4,2,2,2,2,2,2,2,2,2,2,2,1.6
9,8,Tarras Road,0,86,All,0,35.67,16.83,15.23,13.23,14.03,13.63,13.23,12.83,12.83,12.83,13.63,13.23,13.63,13.63,14.03,14.03,14.43,14.83,15.23,15.23,15.23,16.03,16.03,16.03,16.03,16.03,16.03,100,100,100
10,8,Tarras Road,86,120,All,0,9.82,7.41,4.41,3.61,9.02,7.82,9.82,9.82,11.02,10.62,10.62,10.62,9.82,9.82,9.82,9.82,9.82,9.82,9.82,10.62,10.62,10.62,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82
11,9,Kowhai Glen,0,305,All,46.49,44.29,42.08,41.08,41.68,39.88,39.08,36.87,35.07,34.47,32.87,31.66,31.26,30.86,30.06,29.66,29.06,28.66,26.65,25.45,24.65,24.45,24.25,24.85,25.25,25.45,100,100,100,100,100
12,1037,Epiha Road Upper,0,415,All,0,49.5,48.3,48.3,47.09,45.09,44.69,40.68,39.48,39.48,38.68,38.28,38.68,38.68,39.08,39.48,40.28,41.48,42.69,42.69,43.49,44.29,44.69,100,100,100,100,100,100,100,100
13,1038,Gossey Drive North,1319,1723,All,0,49.9,48.7,48.7,47.49,45.49,45.09,41.48,40.28,39.88,39.08,38.68,39.88,39.48,39.88,40.68,41.08,42.28,43.09,43.49,44.29,45.09,45.49,100,100,100,100,100,100,100,100
14,10,Upper Ahu Ahu Road,0,46,All,83.37,0,0,0,0,0,0,4.41,2.61,3.21,2.81,1.8,1.8,1.8,1.8,1.8,10.02,10.62,13.23,14.03,16.43,17.64,18.64,19.04,18.84,18.04,17.84,17.64,100,100,100
15,10,Upper Ahu Ahu Road,46,68,All,52.71,45.29,53.11,52.3,50.5,47.29,44.29,39.68,37.27,35.47,34.87,34.47,33.07,33.07,32.87,32.67,32.87,33.07,33.27,33.67,33.67,34.27,33.87,33.67,33.87,100,100,100,100,100,100
16,11,Lower Ahu Ahu Road,0,158,All,0,15.23,40.28,34.47,31.46,29.46,28.46,27.45,27.86,28.66,28.26,28.86,28.26,28.86,29.66,30.66,31.66,31.66,31.86,32.06,32.46,32.46,32.46,32.87,32.67,100,100,100,100,100,100
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,2.81,2.2,1.4,1.4,1.4,0.8,3.61,3.61,4.61,3.61,3.61,3.21,3.21,3.41,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81
18,12,Kriletich Drive,0,263,All,46.09,43.29,41.08,40.48,41.28,38.68,38.88,38.48,37.07,37.27,36.27,35.67,36.67,37.27,37.88,38.48,39.68,40.88,44.49,47.29,48.3,49.5,51.3,100,100,100,100,100,100,100,100
19,917,Port Street East,0,21,All,0,21.84,21.64,18.44,19.24,20.84,20.44,20.24,20.04,19.44,19.64,19.44,20.24,19.84,20.04,19.84,20.04,20.44,21.04,21.04,21.24,21.24,21.44,21.64,22.24,22.65,100,100,100,100,100
20,917,Port Street East,21,396,All,0,0,0,0,0,0,1.2,5.01,3.21,3.01,2.61,4.21,4.21,4.01,2.81,2.61,2.2,2.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
21,917,Port Street East,396,874,All,0,22.04,21.84,18.64,19.44,21.04,20.64,20.44,20.24,19.64,19.84,19.64,20.44,20.04,20.24,20.04,20.24,20.64,21.24,21.24,21.44,21.44,21.64,22.04,22.44,23.05,100,100,100,100,100
22,917,Port Street East,874,1340,All,45.89,52.1,52.71,53.51,53.51,52.71,51.7,49.5,48.5,48.1,45.29,44.89,44.69,43.89,43.09,43.29,43.29,43.09,44.09,44.89,46.09,47.9,47.9,100,100,100,100,100,100,100,100
23,917,Port Street East,1340,1431,All,0,21.44,21.24,18.04,18.84,20.44,20.04,19.84,19.64,19.04,19.04,19.04,18.84,19.24,19.24,19.24,19.44,19.84,20.44,20.44,20.64,20.84,20.84,21.04,21.24,22.24,100,100,100,100,100
24,917,Port Street East,1431,2115,All,0,48.7,47.29,46.49,43.29,37.88,34.47,31.06,29.06,26.45,23.25,21.04,19.84,18.04,18.24,17.84,18.04,17.84,18.04,18.64,18.64,18.64,18.44,18.64,19.04,19.24,19.64,100,100,100,100
25,917,Port Street East,2120,2350,All,0,48.3,46.69,45.89,42.69,37.27,34.07,30.26,28.66,26.25,22.44,20.84,19.24,17.64,17.64,17.64,17.64,17.64,17.64,18.44,18.44,18.44,17.64,18.44,18.44,18.44,19.24,100,100,100,100
26,13,Puriri Dale Way,0,293,All,0,39.08,37.68,39.28,41.48,43.49,43.69,46.29,47.9,48.3,49.3,51.3,53.51,56.71,59.12,60.32,61.92,63.13,63.53,63.93,64.13,100,100,100,100,100,100,100,100,100,100
27,15,Fendall Close,0,438,All,47.09,51.1,50.5,50.5,51.7,49.1,50.1,48.7,49.1,49.1,49.5,49.7,51.3,52.71,55.91,56.31,57.11,58.72,59.12,59.72,60.32,60.52,100,100,100,100,100,100,100,100,100
28,15,Fendall Close,438,585,All,0,34.67,16.43,32.26,24.05,19.44,18.84,18.64,17.84,17.84,17.84,16.63,16.43,15.83,15.83,16.03,16.23,16.23,16.63,16.43,16.23,16.43,17.03,17.03,17.03,17.23,17.23,17.43,100,100,100
29,15,Fendall Close,585,643,All,0,0,10.62,8.22,7.82,6.61,4.41,6.01,4.41,3.61,5.61,5.61,5.61,5.21,5.21,4.01,3.61,3.61,3.61,3.61,3.61,2.4,2.4,2.4,2.4,2.4,2.81,2.81,2.81,2.81,2.81
30,15,Fendall Close,643,736,All,58.52,55.31,59.32,59.12,58.92,59.72,61.32,64.53,69.34,72.95,75.55,77.35,78.36,79.56,80.56,80.16,80.16,80.36,80.16,100,100,100,100,100,100,100,100,100,100,100,100
31,15,Fendall Close,736,814,All,51.3,48.9,50.3,50.7,51.9,49.3,50.5,48.9,49.5,48.7,49.1,49.5,49.9,51.1,56.11,58.72,62.12,63.93,64.53,65.13,65.33,100,100,100,100,100,100,100,100,100,100
32,9339,Weston Way,814,886,All,73.15,75.55,78.56,82.36,86.37,87.98,89.38,89.38,89.78,89.78,89.78,89.58,89.38,89.18,88.78,88.18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
33,9339,Weston Way,886,939,All,0,43.89,45.89,47.09,49.1,50.5,52.91,53.71,55.31,59.12,63.73,68.54,70.54,72.55,74.15,74.95,75.95,76.35,76.35,100,100,100,100,100,100,100,100,100,100,100,100
34,9339,Weston Way,965,1051,All,0,19.24,13.63,13.63,14.43,16.83,26.25,37.88,47.49,50.5,54.91,59.12,61.92,66.93,68.94,70.14,70.94,70.54,70.54,69.74,69.34,100,100,100,100,100,100,100,100,100,100
35,9339,Weston Way,1051,1219,All,0,41.08,41.48,44.29,46.69,49.9,53.31,54.51,56.11,60.32,65.33,69.34,72.55,74.15,75.55,76.75,77.56,78.76,79.56,100,100,100,100,100,100,100,100,100,100,100,100
36,9339,Weston Way,1237,1589,All,60.72,60.72,60.32,60.92,61.72,63.13,65.93,69.74,74.15,78.56,81.96,83.77,84.37,84.77,86.17,86.77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
37,9339,Weston Way,1589,1999,All,60.72,60.92,60.52,61.12,61.92,63.33,66.33,69.94,74.35,78.76,82.16,83.97,84.57,85.17,86.37,86.97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
38,9339,Weston Way,1999,2369,All,60.72,62.73,61.52,61.32,60.92,60.92,60.92,61.52,62.53,64.93,67.74,69.94,71.34,72.95,73.15,73.95,74.75,75.15,75.75,100,100,100,100,100,100,100,100,100,100,100,100
39,9339,Weston Way,2385,2696,All,48.7,52.51,52.91,53.11,53.11,52.91,52.1,52.3,51.3,51.7,52.51,54.31,56.71,59.12,60.12,61.72,63.53,63.73,63.93,64.13,64.53,100,100,100,100,100,100,100,100,100,100
40,9339,Weston Way,2696,3114,All,48.5,45.49,44.69,43.29,42.08,43.29,39.68,39.48,37.68,37.47,35.67,35.47,36.27,36.87,37.47,38.28,39.28,40.68,43.29,46.09,47.9,49.1,49.7,100,100,100,100,100,100,100,100
41,9339,Weston Way,3114,3398,All,46.29,51.9,50.7,50.3,51.1,48.3,47.49,47.09,45.89,44.09,43.29,43.49,43.29,44.89,46.49,48.3,50.5,51.5,51.9,51.3,52.1,52.51,53.51,100,100,100,100,100,100,100,100
42,9339,Weston Way,3398,3457,All,49.9,46.49,46.09,43.89,42.28,38.88,36.67,34.47,33.87,32.26,31.06,29.66,29.66,29.26,29.86,30.46,30.66,30.86,31.06,31.46,31.46,31.86,31.46,31.86,32.46,100,100,100,100,100,100
43,9339,Weston Way,3457,3675,All,43.89,18.24,11.22,32.46,22.24,18.44,17.84,17.64,16.83,16.83,16.43,15.43,15.03,14.83,14.83,14.63,14.63,14.83,14.43,14.83,14.83,14.83,15.23,15.63,15.63,15.63,15.63,15.83,100,100,100
44,9167,Foxglove Drive,0,668,All,57.11,52.91,45.09,17.03,16.43,13.03,16.63,15.83,15.83,15.43,14.43,13.83,13.83,13.23,13.23,13.23,13.03,13.03,12.22,12.02,12.02,11.82,12.02,12.02,12.02,12.02,12.22,12.63,12.63,12.63,100
45,16,Sarah Lane,0,515,All,0,31.66,32.06,31.06,34.07,34.87,35.67,36.07,36.47,36.87,37.27,37.27,38.28,40.28,41.08,41.88,42.69,44.29,45.89,46.69,47.09,47.49,47.49,100,100,100,100,100,100,100,100
46,17,Ash Drive,0,318,All,43.89,19.84,14.23,12.42,13.43,11.42,14.83,16.63,20.64,32.87,37.68,42.48,45.69,48.1,50.1,52.71,53.71,54.71,56.91,56.71,56.31,56.31,54.91,100,100,100,100,100,100,100,100
