elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,36.27,47.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.69,69.74,74.55,86.97
1,1,Conifer Close,0,378,All,47.49,66.13,72.75,0,0,0,0,0,0,0,0,0,0,0,0,59.12,61.52,72.55,76.35,83.97,93.39
2,2,Fladgate Drive,0,565,All,0,41.08,52.51,0,0,0,0,0,0,0,0,0,0,0,0,0,59.12,61.12,72.34,80.36,91.18
3,4,Highfield Drive,0,71,All,53.91,62.12,71.14,77.56,80.96,88.58,0,0,0,0,0,0,0,0,0,0,0,0,0,46.69,62.53
4,3,Matai Way,0,557,All,0,39.48,50.9,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9,60.32,71.34,75.95,88.98
5,5,Vintry Drive,0,362,All,48.3,60.92,0,0,0,0,0,0,0,0,0,0,0,0,0,59.12,60.32,71.54,78.16,84.77,0
6,6,Croatia Avenue,0,42,All,0,23.45,41.08,59.72,66.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.91,74.15
7,6,Croatia Avenue,42,76,All,0,37.27,48.3,56.11,67.33,80.76,0,0,0,0,0,0,0,0,0,0,49.9,48.7,48.3,49.9,57.11
8,7,Lumbarda Drive,0,152,All,0,0,0,37.27,45.89,57.92,64.93,64.13,63.73,64.13,66.53,71.74,73.75,71.74,68.94,70.94,70.94,77.15,81.56,88.18,94.99
9,8,Tarras Road,0,86,All,0,45.49,39.08,49.9,55.31,70.94,81.96,85.57,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,21.24,27.05,34.07,41.08,63.73,74.95,82.77,80.76,77.15,74.75,0,0,0,0,0,0,0,0,0,52.91
11,9,Kowhai Glen,0,305,All,46.49,53.51,62.12,69.34,77.15,86.17,0,0,0,0,0,0,0,56.11,54.51,57.52,56.11,52.1,62.32,62.93,69.34
12,1037,Epiha Road Upper,0,415,All,0,58.32,66.93,73.75,0,0,0,0,0,0,0,62.32,65.33,78.76,79.16,0,0,0,0,0,0
13,1038,Gossey Drive North,1319,1723,All,0,58.72,67.33,74.15,0,0,0,0,0,0,0,62.32,65.73,79.16,79.56,0,0,0,0,0,0
14,10,Upper Ahu Ahu Road,0,46,All,83.37,0,0,0,0,0,0,70.14,66.73,68.54,68.54,68.14,70.14,68.14,66.53,69.94,87.17,96.39,97.19,99.2,0
15,10,Upper Ahu Ahu Road,46,68,All,52.71,54.51,70.54,76.35,80.16,0,0,0,0,0,0,0,0,0,52.91,56.11,54.51,50.5,49.9,50.5,67.74
16,11,Lower Ahu Ahu Road,0,158,All,0,26.45,61.12,65.73,0,0,0,0,0,0,0,0,0,0,0,0,0,56.11,56.71,70.34,84.17
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,52.91,63.33,62.93,63.53,63.93,62.12,70.74,72.75,71.94,69.34,71.34,71.54,78.16,84.37,89.38,96.59
18,12,Kriletich Drive,0,263,All,46.09,52.51,61.72,0,0,0,0,0,0,62.32,60.92,60.72,67.74,66.53,65.73,69.34,68.94,67.94,68.74,66.33,96.79
19,917,Port Street East,0,21,All,0,33.07,44.69,52.91,63.73,76.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.12
20,917,Port Street East,21,396,All,0,0,0,0,0,0,62.32,72.34,67.33,68.34,67.33,71.54,73.35,71.34,67.74,70.34,70.34,0,0,0,0
21,917,Port Street East,396,874,All,0,33.27,44.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.51,52.3,69.74,83.37
22,917,Port Street East,874,1340,All,45.89,60.72,70.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.51,52.51,69.94,83.57
23,917,Port Street East,1340,1431,All,0,32.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.51,70.14,78.76,0
24,917,Port Street East,1431,2115,All,0,57.52,66.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3,67.74,82.77
25,917,Port Street East,2120,2350,All,0,56.71,66.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3,67.74,82.77
26,13,Puriri Dale Way,0,293,All,0,48.9,58.72,67.94,76.95,87.17,0,0,0,0,0,0,0,0,0,0,0,56.11,60.72,61.52,77.96
27,15,Fendall Close,0,438,All,47.09,59.72,68.74,0,0,0,0,0,0,0,63.73,75.75,80.56,83.97,0,0,0,0,0,0,60.72
28,15,Fendall Close,438,585,All,0,44.89,38.68,63.53,0,0,0,0,0,0,0,0,0,74.95,77.15,0,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,31.06,39.88,47.09,59.12,65.33,75.15,69.94,69.94,71.74,72.75,0,0,0,0,0,46.69,47.29,49.1,64.73
30,15,Fendall Close,643,736,All,58.52,63.93,75.15,80.56,0,0,0,0,0,0,63.73,65.73,78.76,83.57,83.57,0,0,0,0,0,60.72
31,15,Fendall Close,736,814,All,51.3,0,0,0,0,0,0,71.74,68.34,83.77,81.56,82.77,0,0,0,0,0,54.51,59.92,72.34,85.77
32,9339,Weston Way,814,886,All,73.15,0,0,0,0,0,0,70.14,67.54,68.74,67.54,78.76,82.36,85.17,0,0,0,46.69,57.52,64.33,70.94
33,9339,Weston Way,886,939,All,0,52.91,64.53,72.55,0,0,0,61.52,62.93,67.74,67.74,68.54,70.94,69.34,68.54,73.35,96.99,0,43.49,51.3,71.74
34,9339,Weston Way,965,1051,All,0,30.26,35.67,47.49,56.31,73.35,85.97,0,0,62.32,61.52,66.93,68.94,68.54,66.93,72.14,77.96,96.99,0,46.69,57.92
35,9339,Weston Way,1051,1219,All,0,50.9,0,0,0,0,0,70.14,67.74,69.34,77.56,80.36,83.57,0,0,0,0,0,52.91,59.92,77.15
36,9339,Weston Way,1237,1589,All,60.72,0,0,0,0,0,71.74,74.55,70.14,85.17,85.97,83.17,0,0,0,0,57.52,61.92,64.13,72.55,88.18
37,9339,Weston Way,1589,1999,All,60.72,0,0,0,0,0,71.74,74.95,70.74,85.77,86.37,83.57,0,0,0,0,57.52,62.32,64.53,73.35,88.58
38,9339,Weston Way,1999,2369,All,60.72,0,0,0,0,0,0,0,65.33,83.57,81.16,82.36,0,0,0,0,0,0,52.91,69.34,80.76
39,9339,Weston Way,2385,2696,All,48.7,61.12,0,0,0,0,0,0,0,0,0,62.32,66.93,76.35,77.96,83.17,83.17,0,0,0,0
40,9339,Weston Way,2696,3114,All,48.5,54.71,0,0,0,0,0,0,0,65.33,76.95,79.16,82.77,84.97,85.57,87.58,95.19,0,0,0,0
41,9339,Weston Way,3114,3398,All,46.29,60.52,68.94,0,0,0,0,0,0,0,0,0,63.73,62.93,72.34,77.15,79.76,83.37,86.97,0,0
42,9339,Weston Way,3398,3457,All,49.9,55.71,65.13,71.54,77.56,0,0,0,0,0,0,57.52,59.32,58.12,56.31,65.73,64.73,64.73,65.93,79.76,0
43,9339,Weston Way,3457,3675,All,43.89,29.46,33.07,63.73,65.93,75.15,85.17,0,0,0,0,0,0,0,0,54.51,53.71,49.9,49.1,59.12,67.33
44,9167,Foxglove Drive,0,668,All,57.11,61.52,64.13,51.5,59.12,69.54,84.37,86.57,83.57,82.77,76.35,78.36,82.16,85.57,86.37,95.39,0,0,0,0,0
45,16,Sarah Lane,0,515,All,0,42.69,53.71,62.93,0,0,0,0,0,0,0,0,0,0,0,0,59.12,61.32,72.55,76.95,90.78
46,17,Ash Drive,0,318,All,43.89,31.06,36.07,46.49,55.71,66.33,82.97,0,0,0,0,0,0,0,0,59.12,62.53,63.53,73.35,81.36,92.79
47,18,Monaghan Way,0,80,All,0,0,0,37.27,45.49,57.11,63.73,73.35,73.35,74.15,72.14,0,0,0,0,0,0,0,0,0,0
48,1035,Cousins Avenue East,0,61,All,0,34.87,46.29,54.11,64.93,77.56,85.57,0,0,0,0,0,0,0,0,0,0,0,43.49,47.9,55.31
49,19,Elm Close,0,82,All,0,47.9,40.48,50.1,55.91,71.34,82.57,0,0,0,0,0,0,0,0,0,0,0,0,0,60.72
50,19,Elm Close,82,101,All,0,25.85,33.47,42.08,57.92,71.54,83.17,0,0,0,0,0,0,0,0,0,49.9,49.5,48.9,50.3,57.52
51,20,Burkes Creek Road,0,21,All,0,58.92,67.74,74.35,79.36,0,0,0,0,0,0,0,63.73,63.33,74.55,79.96,0,0,0,0,0
52,20,Burkes Creek Road,21,520,All,0,59.12,68.14,74.95,0,0,0,0,0,0,0,62.32,66.13,79.56,79.96,83.57,83.57,0,0,0,0
53,20,Burkes Creek Road,549,697,All,46.89,60.12,69.54,0,0,0,0,0,0,0,63.73,63.93,79.56,81.96,0,0,0,0,0,0,0
54,20,Burkes Creek Road,697,765,All,44.09,30.86,35.27,45.69,53.31,69.94,81.56,0,0,0,0,57.52,59.52,58.32,62.93,67.33,66.53,66.53,66.93,83.57,0
55,20,Burkes Creek Road,765,1789,All,45.89,52.71,62.73,0,0,0,0,0,0,0,63.73,64.13,79.76,82.16,82.36,84.97,85.37,92.18,96.19,0,0
56,21,Tapeka Heights Lane,0,277,All,0,49.9,59.92,70.14,77.96,0,0,0,0,0,0,0,0,0,57.52,62.32,63.73,63.73,65.33,74.95,89.78
57,22,Sir John McKenzie Drive,0,530,All,0,27.05,61.52,66.53,73.55,83.77,0,0,0,0,0,0,0,0,0,0,0,0,43.49,54.91,64.93
58,23,Apple Orchard Lane,0,185,All,45.09,50.5,55.51,64.13,72.75,83.37,0,0,0,0,0,0,0,56.11,55.31,57.92,56.71,52.51,63.33,63.73,70.14
59,974,Railway Terrace East,0,730,All,0,43.69,38.88,49.5,54.71,70.54,81.36,85.17,0,0,0,0,0,0,0,0,0,0,0,0,0
60,24,George Noble Road,0,272,All,0,28.66,62.53,68.34,0,0,0,0,0,0,0,0,0,0,0,59.12,61.12,63.33,72.95,77.96,91.78
61,24,George Noble Road,272,286,All,0,22.85,28.66,35.27,49.1,60.72,75.95,76.75,73.75,73.35,72.95,73.75,76.35,81.16,84.37,86.77,96.19,0,0,0,0
62,25,Founders Lane,0,597,All,0,0,0,0,43.49,57.52,65.73,75.55,72.14,72.14,70.14,69.74,71.74,70.14,69.74,71.74,75.55,83.57,88.98,0,52.91
63,26,Stud Road,0,205,All,0,28.26,34.47,43.89,58.72,72.95,0,0,0,0,0,0,0,0,0,59.12,61.92,72.95,78.76,85.17,0
64,27,Gallop Lane,0,116,All,0,24.85,42.69,61.52,69.34,79.56,0,0,0,0,0,0,0,0,0,0,0,0,0,52.91,63.73
65,27,Gallop Lane,116,136,All,46.69,30.66,33.27,41.48,48.7,61.32,67.94,65.33,64.33,64.73,62.32,72.14,73.95,72.14,69.14,71.14,71.34,77.76,82.77,88.78,95.59
66,7056,Dawick Street,0,78,All,0,24.05,41.88,60.72,67.74,77.96,0,0,0,0,0,0,0,0,0,0,0,0,0,46.69,62.93
67,7056,Dawick Street,78,88,All,59.92,64.33,70.14,71.94,72.14,74.95,84.57,86.17,83.37,78.56,76.15,81.16,85.17,86.97,95.99,0,0,0,0,0,0
68,28,Stirrup Lane,0,261,All,44.29,51.5,69.74,75.55,79.76,87.37,0,0,0,0,0,0,0,0,0,0,0,56.11,59.12,60.72,76.35
69,29,Riroriro Road,0,122,All,44.29,51.3,60.52,73.35,0,0,0,0,0,0,0,0,0,0,0,0,0,46.69,55.71,68.54,83.97
70,29,Riroriro Road,122,139,All,0,21.64,27.86,34.87,45.09,58.32,66.13,81.96,79.96,75.95,74.55,74.95,75.95,77.96,81.56,0,49.9,53.31,67.33,66.53,86.37
71,30,Curly McLeod Way,0,69,All,47.29,55.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9,70.14,74.95,81.96,0
72,30,Curly McLeod Way,69,82,All,71.74,77.15,83.77,86.97,88.18,93.19,0,70.14,78.56,89.78,96.99,97.19,97.8,97.8,98,100,100,100,100,0,0
73,32,Karearea Lane,0,56,All,52.3,61.32,71.54,0,0,0,0,0,0,0,0,0,0,56.11,54.11,56.51,55.11,51.5,50.3,61.92,68.74
74,32,Karearea Lane,84,154,All,51.9,0,0,0,0,0,0,0,0,62.32,59.72,59.52,60.92,59.52,63.73,66.93,65.73,65.73,66.13,81.16,0
75,32,Karearea Lane,154,820,All,0,0,0,0,0,0,0,0,0,0,0,0,0,56.11,60.72,64.93,72.75,78.96,83.17,87.98,0
76,32,Karearea Lane,820,1262,All,0,20.04,37.27,48.3,61.52,72.55,83.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,33,Okoare Lane,0,58,All,0,22.44,28.26,47.29,53.91,65.13,76.35,77.15,79.56,75.55,0,0,0,0,0,0,0,0,0,0,0
78,35,Leicester Place,0,660,All,0,0,0,37.27,48.5,64.73,76.15,77.35,74.15,73.95,71.94,72.95,74.55,80.36,85.17,94.99,96.79,97.39,98.4,0,60.72
79,36,Paneika Lane,0,370,All,44.29,23.25,28.46,41.68,49.7,60.32,67.74,65.53,72.34,72.34,70.54,70.34,72.14,70.34,70.34,72.95,76.35,84.17,88.78,95.59,0
80,36,Paneika Lane,370,391,All,0,43.49,54.91,64.53,74.15,85.17,0,0,0,0,0,0,0,0,0,0,0,46.69,56.11,58.32,75.55
81,36,Paneika Lane,391,520,All,45.89,28.46,34.27,41.88,55.11,65.53,76.75,77.76,73.95,73.75,72.55,73.15,75.75,80.16,83.97,86.97,96.39,96.79,96.99,0,52.91
82,37,Freemason Avenue,0,149,All,0,40.28,51.3,58.72,0,0,0,0,0,0,0,0,0,0,0,0,0,56.11,57.11,70.94,84.37
83,37,Freemason Avenue,149,172,All,0,0,0,0,0,52.91,62.93,62.32,62.32,63.33,66.13,66.13,68.14,67.74,66.13,69.54,69.14,68.34,68.94,0,0
84,37,Freemason Avenue,172,362,All,0,49.3,59.12,69.14,0,0,0,0,0,0,0,0,0,0,59.12,65.33,64.93,64.93,73.75,82.36,92.99
85,38,Tyler Place,0,279,All,45.89,55.11,65.33,0,0,0,0,0,0,0,0,0,0,0,59.12,64.53,62.93,74.15,79.56,85.97,94.59
86,38,Tyler Place,279,322,All,49.9,61.72,73.55,80.16,83.37,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3,56.11,66.53
87,38,Tyler Place,322,334,All,52.51,53.71,43.29,51.3,57.72,74.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,38,Tyler Place,334,389,All,0,45.89,56.11,0,0,0,0,0,0,0,0,0,0,0,59.12,64.53,62.93,74.15,79.56,85.97,94.59
89,39,Ashlar Court,0,251,All,0,41.28,52.71,59.92,72.34,83.57,0,0,0,0,0,0,0,0,0,0,0,0,43.49,55.71,65.73
90,40,Bravery Road,0,278,All,44.89,52.1,61.92,71.14,77.35,0,0,0,0,0,0,0,58.32,57.92,56.51,58.52,65.33,65.53,66.33,65.13,71.94
91,41,Huamanu Street,0,116,All,0,37.47,49.1,56.71,68.54,81.16,86.37,0,0,0,0,0,0,0,0,0,49.9,48.3,47.9,49.5,56.71
92,41,Huamanu Street,116,134,All,0,0,0,37.27,46.29,58.92,65.53,64.33,64.13,64.53,71.54,72.55,74.35,72.55,70.54,72.34,75.15,80.76,85.97,0,52.91
93,1092,Bronte Road East,0,156,All,0,34.07,45.89,53.71,64.53,77.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.91
94,1092,Bronte Road East,156,183,All,0,34.07,45.89,53.71,64.53,77.15,0,0,0,0,0,0,0,0,0,0,0,46.69,47.09,48.7,56.11
95,42,Te Manaki Street,0,377,All,0,40.68,52.1,59.32,71.74,82.97,0,0,0,0,0,0,0,0,0,0,0,0,43.49,55.11,65.13
96,44,Dickins Lane,0,474,All,0,0,31.06,40.28,48.3,64.53,75.55,76.35,78.76,74.95,0,0,0,0,0,0,0,0,0,0,0
97,44,Dickins Lane,474,1091,All,0,0,0,0,43.49,56.11,64.53,63.73,69.34,70.14,69.34,67.74,69.34,66.93,65.93,69.74,69.34,71.94,80.56,0,52.91
98,43,Infantry Lane,0,95,All,0,36.07,47.09,55.31,66.13,79.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.91
99,45,Chatfield Lane,0,83,All,0,22.24,37.47,49.1,54.51,65.33,76.55,77.56,80.36,76.15,0,0,0,0,0,0,0,0,0,0,52.91
100,20,Burkes Creek Road,765,1789,All,0,42.08,53.51,62.32,72.95,84.37,0,0,0,0,0,0,0,62.32,61.32,75.95,76.55,80.96,84.77,0,0
