elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,0,30.66,36.07,36.27,43.49,57.31,59.12,61.52,63.33,65.33,65.13,65.33,67.94,74.75,76.95,78.56
1,1,Conifer Close,0,378,All,47.49,62.12,65.33,68.34,72.95,81.16,81.96,82.57,84.77,86.97,88.18,89.18,90.38,91.78,93.59,94.99
2,2,Fladgate Drive,0,565,All,0,35.67,41.48,41.88,52.3,63.33,65.73,68.54,70.54,73.15,75.75,77.15,81.76,83.77,85.37,87.58
3,4,Highfield Drive,0,71,All,53.91,58.12,63.33,66.53,72.14,80.96,82.57,84.57,85.97,87.37,89.18,89.38,90.98,91.18,92.79,0
4,3,Matai Way,0,557,All,0,34.07,39.88,40.08,50.1,61.72,63.53,66.53,68.34,70.54,72.75,74.35,78.96,81.56,83.37,85.57
5,5,Vintry Drive,0,362,All,48.3,56.91,61.72,64.93,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Croatia Avenue,0,42,All,0,17.84,29.26,41.68,44.69,53.11,53.31,54.71,56.11,57.31,57.92,60.52,63.73,66.73,70.34,71.54
7,6,Croatia Avenue,42,76,All,0,31.66,37.27,37.27,45.49,58.72,60.72,63.33,64.93,66.93,68.94,67.74,72.55,76.75,78.36,81.16
8,7,Lumbarda Drive,0,152,All,0,0,0,21.64,25.45,35.67,34.47,32.87,33.27,36.07,38.28,41.88,40.68,37.88,34.47,32.46
9,8,Tarras Road,0,86,All,0,40.68,28.26,30.26,33.27,45.89,47.09,49.1,49.5,49.9,50.1,51.7,53.71,56.11,57.52,64.93
10,8,Tarras Road,86,120,All,0,15.63,18.04,17.64,21.64,39.88,41.08,45.89,46.29,48.3,47.9,48.3,47.49,47.9,49.9,53.31
11,9,Kowhai Glen,0,305,All,46.49,49.3,52.3,54.71,61.12,69.94,71.14,71.74,71.34,73.35,74.35,74.15,76.95,79.36,79.76,81.36
12,1037,Epiha Road Upper,0,415,All,0,54.11,58.32,61.12,66.13,0,0,0,0,0,0,0,31.06,30.46,42.48,43.49
13,1038,Gossey Drive North,1319,1723,All,0,54.51,58.72,61.52,66.53,74.15,75.55,75.55,76.75,80.36,81.16,82.77,85.57,86.37,87.58,0
14,10,Upper Ahu Ahu Road,0,46,All,83.37,0,0,0,0,0,0,37.27,35.67,39.28,39.28,38.28,37.68,35.47,32.67,31.06
15,10,Upper Ahu Ahu Road,46,68,All,52.71,50.3,62.53,65.33,69.34,75.55,74.95,74.55,73.35,74.75,76.35,76.95,79.96,81.16,82.36,83.97
