elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
0,1013,Brook Street North,0,220,All,0,0.073,0.151,0.236,0.329,0.429,0.536,0.651,0.773,0.903,1.04,1.184,1.352,1.549,1.776,2.033,2.319,2.634,2.979,3.354,3.758,4.192,4.692,5.265,5.912,6.634,7.429,8.297,9.24,10.257,11.347
1,1,Conifer Close,0,378,All,0,0.1,0.174,0.256,0.345,0.442,0.546,0.658,0.778,0.905,1.04,1.183,1.337,1.522,1.738,1.984,2.261,2.568,2.906,3.274,3.674,4.103,4.584,5.141,5.774,6.484,7.27,8.133,9.073,10.088,11.181
2,2,Fladgate Drive,0,565,All,0,0.074,0.153,0.239,0.333,0.434,0.543,0.659,0.783,0.915,1.054,1.2,1.373,1.576,1.809,2.073,2.366,2.69,3.043,3.427,3.841,4.286,4.806,5.402,6.073,6.819,7.64,8.537,9.509,10.557,11.68
3,4,Highfield Drive,0,71,All,0,0.074,0.152,0.238,0.331,0.432,0.54,0.656,0.779,0.91,1.048,1.194,1.365,1.566,1.796,2.057,2.347,2.668,3.018,3.398,3.808,4.248,4.761,5.347,6.009,6.745,7.557,8.442,9.403,10.438,11.548
4,3,Matai Way,0,557,All,0,0.074,0.153,0.239,0.333,0.434,0.543,0.66,0.783,0.915,1.054,1.201,1.374,1.577,1.81,2.073,2.367,2.69,3.044,3.428,3.842,4.287,4.808,5.404,6.075,6.822,7.644,8.541,9.514,10.562,11.685
5,5,Vintry Drive,0,362,All,0,0.075,0.155,0.243,0.338,0.441,0.552,0.671,0.797,0.931,1.073,1.222,1.402,1.613,1.855,2.127,2.431,2.765,3.131,3.527,3.954,4.425,4.974,5.6,6.304,7.084,7.942,8.877,9.889,10.979,12.146
6,6,Croatia Avenue,0,42,All,0,0,0.1,0.173,0.252,0.337,0.431,0.531,0.639,0.754,0.877,1.007,1.145,1.29,1.46,1.659,1.889,2.147,2.436,2.754,3.101,3.478,3.885,4.321,4.826,5.405,6.059,6.786,7.587,8.462,9.41
7,6,Croatia Avenue,42,76,All,0,0.073,0.151,0.236,0.329,0.429,0.537,0.651,0.774,0.903,1.04,1.185,1.353,1.55,1.777,2.034,2.32,2.636,2.981,3.356,3.761,4.195,4.695,5.269,5.917,6.639,7.435,8.305,9.248,10.266,11.357
8,7,Lumbarda Drive,0,152,All,0,0,0,0,0,0,0,0,0,0,0,0.1,0.173,0.251,0.335,0.428,0.527,0.634,0.749,0.87,0.999,1.136,1.279,1.445,1.641,1.866,2.12,2.404,2.717,3.06,3.432
9,8,Tarras Road,0,86,All,0,0,0,0,0,0.1,0.173,0.253,0.341,0.435,0.537,0.647,0.764,0.888,1.02,1.159,1.306,1.482,1.688,1.924,2.189,2.484,2.808,3.162,3.546,3.959,4.407,4.929,5.525,6.195,6.94
