elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,12.22,12.22,11.02,11.02,11.02,11.02,10.62,11.82,12.22,11.82,12.42,12.22,13.23,12.83,12.83,11.82,10.22,10.62,9.82,9.42,9.82
1,1,Conifer Close,0,378,All,24.85,25.85,26.45,25.65,26.65,28.86,30.66,32.67,33.47,34.07,35.07,36.87,37.88,38.08,39.48,41.28,42.69,43.49,45.29,46.09,48.1
2,2,Fladgate Drive,0,565,All,12.22,12.02,10.62,10.82,10.82,10.62,10.42,11.62,11.82,11.62,12.22,11.82,12.83,12.42,12.42,10.02,9.82,10.22,9.02,8.82,9.22
3,4,Highfield Drive,0,71,All,6.01,4.41,3.21,4.01,4.41,4.41,4.41,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,4.01
4,3,Matai Way,0,557,All,12.22,12.83,11.42,11.82,11.42,11.42,11.42,12.22,12.83,12.22,13.63,13.63,13.63,13.63,13.63,13.63,10.62,12.22,10.22,10.62,10.62
5,5,Vintry Drive,0,362,All,12.22,15.23,13.43,13.83,14.83,15.03,14.63,15.83,16.03,16.03,16.63,16.83,17.64,17.03,17.03,16.83,16.83,19.04,17.03,17.64,17.43
6,6,Croatia Avenue,0,42,All,6.01,6.01,6.01,6.61,7.41,5.81,6.01,6.01,6.01,6.01,6.01,7.01,8.22,7.82,8.22,8.62,9.02,9.82,11.02,11.42,13.43
7,6,Croatia Avenue,42,76,All,6.01,2,1.8,2,1.6,1.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
8,7,Lumbarda Drive,0,152,All,0,0.4,0.4,0.4,0.6,0.6,0.4,0.4,0.4,0.4,0.6,2,2.4,2,2.4,2.61,2.61,3.01,3.41,3.81,4.61
9,8,Tarras Road,0,86,All,12.22,17.64,18.44,18.44,19.04,19.24,19.44,20.84,20.04,20.04,21.64,23.25,24.85,27.05,30.26,31.66,35.67,37.88,39.48,41.88,43.89
10,8,Tarras Road,86,120,All,6.01,5.21,5.21,5.21,5.21,5.61,5.61,5.61,5.61,5.21,5.21,5.21,5.21,5.21,5.21,5.61,5.61,6.01,6.61,6.61,7.41
