elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,12.22,11.82,12.22,12.22,12.22,13.23,11.62,10.62,10.62,10.62,10.22,10.22,10.22,9.82,9.42,9.02,8.62,8.62,8.22,8.22,8.22
1,1,Conifer Close,0,378,All,24.85,25.85,26.45,26.25,26.65,26.85,25.65,26.05,26.25,25.85,25.85,25.85,26.45,27.05,28.06,28.66,28.86,29.06,30.06,31.66,32.26
2,2,Fladgate Drive,0,565,All,12.22,11.42,12.02,12.02,11.82,11.22,11.42,10.42,10.42,10.22,10.02,9.82,9.82,9.22,9.02,8.42,7.82,7.62,7.41,7.41,7.41
3,4,Highfield Drive,0,71,All,6.01,4.41,4.41,4.41,4.41,4.41,4.41,4.01,3.61,3.61,3.61,3.61,4.01,4.01,4.01,4.01,3.61,4.01,3.61,3.61,3.61
4,3,Matai Way,0,557,All,12.22,12.22,12.83,12.83,12.83,13.63,13.63,11.42,11.42,11.42,11.42,10.62,11.42,10.62,10.62,10.62,9.82,9.02,9.02,9.02,9.02
5,5,Vintry Drive,0,362,All,12.22,15.23,15.23,15.43,15.43,15.23,13.83,14.63,14.63,14.63,14.43,14.43,14.43,14.43,14.43,14.03,14.23,13.63,13.43,13.23,13.23
6,6,Croatia Avenue,0,42,All,6.01,6.01,6.01,6.61,6.61,6.61,6.61,6.01,6.01,6.01,6.21,6.21,6.21,6.61,7.01,7.41,7.41,7.41,8.62,9.82,10.62
7,6,Croatia Avenue,42,76,All,6.01,1.6,1.4,1.4,1,1,0.8,0.8,1.2,1.2,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.4
8,7,Lumbarda Drive,0,152,All,0,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.8,2.4,2.81,2.81,3.61,4.21,3.61,4.21,4.21,4.41
9,8,Tarras Road,0,86,All,12.22,17.64,17.64,17.64,18.44,18.44,18.84,19.24,18.44,18.44,19.24,19.24,20.04,20.84,21.64,22.44,23.25,23.25,24.05,24.85,25.45
10,8,Tarras Road,86,120,All,6.01,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.61,5.61,5.21,5.21,5.61,5.61,5.21,5.21,5.61
11,9,Kowhai Glen,0,305,All,6.01,2.4,2.4,2.2,2,2,1.6,1.6,1.4,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
12,1037,Epiha Road Upper,0,415,All,32.06,31.66,31.66,31.66,28.26,28.66,28.66,29.06,28.66,29.06,29.06,29.46,29.46,29.86,24.05,24.85,25.05,25.45,25.45,26.25,26.25
13,1038,Gossey Drive North,1319,1723,All,32.06,31.66,31.66,31.66,28.26,28.66,28.66,29.06,28.66,29.06,29.06,29.46,29.46,29.86,24.05,24.85,25.05,25.45,25.45,26.25,26.25
14,10,Upper Ahu Ahu Road,0,46,All,6.01,1.2,2.2,2.81,3.21,3.41,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,2.81,2.81,2.81,2.81,2.81,2.81
15,10,Upper Ahu Ahu Road,46,68,All,6.01,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.01,5.21,5.21,5.21,5.61,5.61,5.21,5.21,5.61
16,11,Lower Ahu Ahu Road,0,158,All,6.01,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.01,7.01,7.41,7.41,8.22,8.22,8.62,9.42,10.62,12.22,12.83,13.63,13.63
17,11,Lower Ahu Ahu Road,158,179,All,6.01,7.41,7.41,7.41,7.41,7.41,7.41,7.41,8.22,8.22,8.22,9.02,9.02,10.22,11.42,12.83,13.63,14.43,14.43,14.43,15.23
18,12,Kriletich Drive,0,263,All,6.01,2.2,2,2,1.8,1.8,1.4,1.4,1,1,1.2,1,1,1,1,1,1,1,1,0.8,0.8
19,917,Port Street East,0,21,All,24.85,24.45,24.45,24.05,24.05,23.45,22.04,22.44,22.44,22.04,22.04,22.44,22.44,22.44,22.44,22.85,22.44,22.44,22.04,21.64,21.24
20,917,Port Street East,21,396,All,24.85,30.26,38.48,47.7,53.71,66.13,72.14,75.55,80.96,86.57,88.98,89.78,91.58,77.76,78.36,78.96,80.36,81.36,83.17,84.17,84.77
21,917,Port Street East,396,874,All,24.85,24.45,24.45,24.05,24.05,22.24,22.04,22.44,22.44,22.04,22.04,22.44,22.44,22.44,22.44,22.85,22.44,22.44,22.04,21.64,21.24
22,917,Port Street East,874,1340,All,12.22,12.22,12.83,12.83,12.83,10.62,10.62,11.42,11.42,11.42,11.42,10.62,11.42,10.62,10.62,10.62,9.82,9.02,9.02,9.02,9.02
23,917,Port Street East,1340,1431,All,12.22,12.22,10.42,10.62,10.42,10.62,10.62,11.42,11.42,11.42,11.42,10.62,11.42,10.62,10.62,10.62,9.82,9.02,9.02,8.02,7.82
24,917,Port Street East,1431,2115,All,6.01,4.41,4.41,4.41,4.41,4.41,3.61,4.01,3.61,3.61,3.61,3.61,4.01,4.01,4.01,4.01,3.61,4.01,3.61,3.61,3.61
