elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,12.22,12.83,13.23,11.22,11.22,12.02,11.82,12.22,12.42,12.22,12.22,11.42,11.42,10.62,10.22,9.82,9.82,10.22,9.82,9.82,9.82
1,1,Conifer Close,0,378,All,24.85,26.85,27.45,26.65,27.86,30.46,31.86,33.67,34.47,35.67,36.87,37.88,39.28,39.08,38.88,40.88,41.08,41.68,42.08,44.29,44.89
2,2,Fladgate Drive,0,565,All,12.22,12.42,12.83,11.02,11.02,11.82,11.62,11.82,11.62,11.82,11.62,11.22,11.22,10.22,10.02,9.62,9.42,9.82,9.62,9.22,9.02
3,4,Highfield Drive,0,71,All,6.01,4.41,4.41,4.41,4.41,4.41,4.41,4.41,3.61,3.61,3.61,3.61,4.41,4.41,4.41,4.41,3.61,3.61,4.41,4.41,4.41
4,3,Matai Way,0,557,All,12.22,13.63,13.63,11.82,11.42,12.22,12.22,12.83,13.63,12.83,12.83,12.22,12.22,12.22,11.42,11.42,10.62,10.62,10.62,10.62,10.62
5,5,Vintry Drive,0,362,All,12.22,15.63,12.42,13.63,14.23,15.83,15.83,16.23,16.43,16.83,16.23,16.43,16.23,16.03,16.23,15.83,15.83,16.23,15.83,16.43,16.83
6,6,Croatia Avenue,0,42,All,6.01,6.01,6.01,6.61,6.61,5.81,6.01,6.21,6.61,6.61,6.61,6.61,6.61,7.01,7.41,8.62,9.02,9.42,10.22,11.42,13.83
7,6,Croatia Avenue,42,76,All,6.01,1.8,1.6,1.8,1.2,1.2,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
8,7,Lumbarda Drive,0,152,All,0,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.8,2.2,2.61,2.81,2.81,3.61,4.41,4.61,5.41,5.61,6.21
9,8,Tarras Road,0,86,All,12.22,18.44,18.44,18.44,19.24,20.84,21.24,22.04,20.84,21.64,23.25,24.85,26.25,27.05,29.46,31.06,32.46,34.87,35.67,38.68,39.48
10,8,Tarras Road,86,120,All,6.01,5.21,5.21,5.21,5.21,5.61,5.61,5.61,5.61,5.21,5.21,4.81,4.81,4.81,5.21,6.01,6.01,6.61,7.41,7.41,7.41
11,9,Kowhai Glen,0,305,All,6.01,2.61,2.81,2.4,2.2,2.2,1.4,1.6,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
12,1037,Epiha Road Upper,0,415,All,32.06,32.46,32.87,34.07,30.26,33.67,34.47,36.47,37.27,39.08,39.88,41.48,42.28,43.09,44.29,32.87,34.07,36.07,36.47,38.28,38.68
13,1038,Gossey Drive North,1319,1723,All,32.06,32.46,32.87,34.07,30.26,33.67,34.47,36.47,37.27,39.08,39.88,41.48,42.28,43.09,44.29,32.87,34.07,36.07,36.47,38.28,38.68
