elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,1.5,2.52,3.61,4.81,6.11,7.54,9.15,0,0,0,0,0,0,0,0,0,0,1,1.17,1.37,1.59
1,1,Conifer Close,0,378,All,0.1,1.32,3.32,4.51,5.86,7.44,0,0,0,0,0,0,0,0,1,1.21,1.47,2.27,2.66,3.21,13.93
2,2,Fladgate Drive,0,565,All,0.6,1.61,2.72,3.94,5.29,6.81,8.53,0,0,0,0,0,0,0,0,1,1.17,1.38,1.62,2.39,2.76
3,4,Highfield Drive,0,71,All,0,0.98,2.04,3.2,4.48,5.88,7.46,0,0,0,0,0,0,0,0,0,1,1.17,1.36,1.59,2.35
4,3,Matai Way,0,557,All,3.1,4.27,5.56,6.98,8.55,10.3,12.27,0,0,0,0,0,0,0,0,0,1,1.18,1.39,1.62,2.39
5,5,Vintry Drive,0,362,All,6.3,7.59,9,10.57,12.31,14.31,0,0,0,0,0,0,0,0,0,1,1.2,1.44,2.21,2.57,3.05
6,6,Croatia Avenue,0,42,All,0,0.09,2.2,4.14,5.23,6.43,7.79,0,0,0,0,0,0,0,0,0,1,1.15,1.34,1.55,2.29
7,6,Croatia Avenue,42,76,All,0,0.97,2.01,3.16,4.42,5.78,7.31,9,10.86,12.88,15.12,17.66,20.66,24.2,28.29,33.04,38.45,44.5,51.21,58.26,65.56
8,7,Lumbarda Drive,0,152,All,0,0,0,0.5,0.59,0.69,0.81,0.94,1.09,1.3,1.57,4.91,6.19,7.6,9.27,11.18,13.35,0,0.5,1.2,3.32
9,8,Tarras Road,0,86,All,0,0.09,0.2,0.33,1.48,2.74,4.82,6.11,0,0,0,0,0,0,0,0,0,1,1.16,1.35,1.57
10,8,Tarras Road,86,120,All,0,0.09,0.2,0.33,0.48,0.66,0.91,4.25,5.53,6.96,8.64,10.61,12.86,15.39,0,0.5,1.4,4.82,0,0,0.5
11,9,Kowhai Glen,0,305,All,0.4,1.38,2.43,3.59,4.84,6.2,7.66,9.22,0,0,0,0,0,0,0,0.5,0.62,0.76,0.92,1.11,1.4
12,1037,Epiha Road Upper,0,415,All,1.3,2.57,3.63,4.8,0,0,0,0,0,1,1.2,1.94,2.28,12.67,0,0,0,0,0,1,1.74
13,1038,Gossey Drive North,1319,1723,All,0,1.21,3.19,4.35,0,0,0,0,0,1,1.2,1.95,2.29,12.68,0,0,0,0,0,1,1.74
14,10,Upper Ahu Ahu Road,0,46,All,0.8,0,0,0,0,0,0,0,0,0,1,1.16,1.34,1.55,2.29,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,0,1.09,2.29,4.26,5.4,6.65,8.08,9.68,11.45,13.4,15.63,18.17,0,0,0.5,0.66,12.86,14,0,0,0
16,11,Lower Ahu Ahu Road,0,158,All,0.4,1.51,2.72,4.71,5.84,7.14,8.63,10.32,0,0,0,0,0,0,0,0,0,1,1.2,1.43,2.19
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0.5,0.62,0.77,0.94,1.16,1.47,4.89,6.28,7.9,9.86,12.15,14.78,17.84,21.37,25.4,29.9
18,12,Kriletich Drive,0,263,All,0.85,2,3.23,4.59,6.07,7.66,9.38,11.21,0,0,0,0,0,0.5,0.66,0.88,1.13,1.57,2.2,3.06,4.39
