elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,1.5,2.52,3.61,4.81,6.11,7.54,9.15,10.95,12.92,15.08,17.45,20.11,23.22,26.85,31.05,35.9,41.44,47.66,54.57,62.11,69.93
1,1,Conifer Close,0,378,All,0.1,1.32,3.32,4.51,5.86,7.44,9.26,11.34,13.87,16.84,20.27,24.37,29.2,34.95,41.02,47.22,53.55,60.02,66.63,73.42,80.4
2,2,Fladgate Drive,0,565,All,0.6,1.61,2.72,3.94,5.29,6.81,8.53,10.45,12.59,15.08,17.96,21.24,25.18,29.91,35.43,41.75,48.39,55.22,62.24,69.5,77
3,4,Highfield Drive,0,71,All,0,0.98,2.04,3.2,4.48,5.88,7.46,9.21,11.13,13.23,15.63,18.34,21.55,25.33,29.77,34.91,40.74,47.26,54.15,61.26,68.63
4,3,Matai Way,0,557,All,3.1,4.27,5.56,6.98,8.55,10.3,12.27,14.45,16.88,19.69,22.92,26.56,30.8,35.81,41.63,48.26,55.68,63.41,71.45,79.8,88.46
5,5,Vintry Drive,0,362,All,6.3,7.59,9,10.57,12.31,14.31,16.62,19.23,22.33,0,0,0,0,0,0,0,0,1,1.18,1.39,1.64
6,6,Croatia Avenue,0,42,All,0,0.09,2.2,4.14,5.23,6.43,7.79,9.31,10.99,12.84,14.91,17.27,19.91,22.85,26.29,30.37,35.09,40.47,46.5,52.86,59.46
7,6,Croatia Avenue,42,76,All,0,0.97,2.01,3.16,4.42,5.78,7.31,9,10.86,12.88,15.12,17.66,20.66,24.2,28.29,33.04,38.45,44.5,51.21,58.26,65.56
8,7,Lumbarda Drive,0,152,All,0,0,0,0.5,0.59,0.69,0.81,0.94,1.09,1.3,1.57,4.91,6.19,7.6,9.27,11.18,13.35,15.77,18.48,21.54,24.95
9,8,Tarras Road,0,86,All,0,0.09,0.2,0.33,1.48,2.74,4.82,6.11,7.57,9.2,11.08,13.25,15.71,18.44,21.52,25.03,28.96,33.54,38.7,44.08,49.69
10,8,Tarras Road,86,120,All,0,0.09,0.2,0.33,0.48,0.66,0.91,4.25,5.53,6.96,8.64,10.61,12.86,15.39,18.27,21.54,25.22,29.29,33.72,38.29,43.09
11,9,Kowhai Glen,0,305,All,0.4,1.38,2.43,3.59,4.84,6.2,7.66,9.22,10.88,12.64,14.52,16.55,18.89,21.61,24.73,28.23,32.13,36.41,41.08,46.14,51.64
12,1037,Epiha Road Upper,0,415,All,1.3,2.57,3.63,4.8,0,0,0,0,0,1,1.2,1.94,2.28,12.67,15.18,17.04,19.2,21.63,24.4,27.72,0
13,1038,Gossey Drive North,1319,1723,All,0,1.21,3.19,4.35,0,0,0,0,0,1,1.2,1.95,2.29,12.68,15.19,17.06,19.22,21.67,24.46,0,0
14,10,Upper Ahu Ahu Road,0,46,All,0.8,0,0,0,0,0,0,0,0,0,1,1.16,1.34,1.55,2.29,2.61,12.99,14.42,17.07,19.04,21.24
15,10,Upper Ahu Ahu Road,46,68,All,0,1.09,2.29,4.26,5.4,6.65,8.08,9.68,11.45,13.4,15.63,18.17,21.03,24.26,28.12,32.65,37.86,43.76,50.07,56.61,63.38
16,11,Lower Ahu Ahu Road,0,158,All,0.4,1.51,2.72,4.71,5.84,7.14,8.63,10.32,12.19,14.38,16.91,19.78,23.03,26.79,31.27,36.49,42.33,48.37,54.6,61.03,67.66
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0.5,0.62,0.77,0.94,1.16,1.47,4.89,6.28,7.9,9.86,12.15,14.78,17.84,21.37,25.4,29.9
18,12,Kriletich Drive,0,263,All,0.85,2,3.23,4.59,6.07,7.66,9.38,11.21,13.17,15.28,17.58,20.04,22.9,26.18,29.88,34,38.55,43.53,48.92,54.74,61.04
19,917,Port Street East,0,21,All,0.2,1.12,2.1,3.18,4.36,5.62,6.98,8.44,10.02,11.73,13.56,15.51,17.72,20.31,23.33,26.78,30.68,35.01,39.77,44.98,50.67
20,917,Port Street East,21,396,All,0.2,0.2,0.2,0.2,0.2,0.2,0.7,0.76,0.84,0.92,2.02,4.19,5.2,6.31,7.55,8.91,10.39,11.99,13.72,15.6,17.65
21,917,Port Street East,396,874,All,1.2,2.15,3.16,4.26,5.46,6.75,8.14,9.62,11.24,13.01,14.91,16.96,19.27,21.96,25.1,28.67,32.67,37.12,42,47.35,53.23
22,917,Port Street East,874,1340,All,0.7,2.86,4.18,5.6,7.12,8.73,10.43,12.28,14.46,16.98,19.83,23.04,26.61,30.58,34.98,39.83,45.11,50.86,57.47,64.95,73.36
23,917,Port Street East,1340,1431,All,0.5,2.35,3.34,4.42,5.6,6.87,8.23,9.69,11.27,12.97,14.79,16.75,18.97,21.56,24.57,28.02,31.9,36.21,40.96,46.14,51.79
24,917,Port Street East,1431,2115,All,0.4,2.46,4.31,5.31,6.39,7.57,8.84,10.2,11.68,13.27,14.98,16.81,18.77,21.01,23.61,26.63,30.07,33.93,38.22,42.93,48.06
25,917,Port Street East,2120,2350,All,0,2.06,3.91,4.91,5.99,7.17,8.44,9.8,11.27,12.86,14.57,16.4,18.36,20.59,23.18,26.19,29.63,33.49,37.77,42.47,47.59
26,13,Puriri Dale Way,0,293,All,0.4,1.45,2.62,3.92,5.45,7.26,9.34,11.93,15.05,18.71,23.2,28.51,34.72,41.01,47.37,53.82,60.34,66.95,73.64,80.51,87.63
27,15,Fendall Close,0,438,All,0.25,3.14,4.29,5.58,7.06,0,0,0,0,0,1,1.23,2.01,12.4,14.79,16.56,18.64,21.03,23.75,27.08,31
28,15,Fendall Close,438,585,All,0.1,0.17,1.25,3.43,0,0,0,0,0,0,1,1.14,1.3,11.99,14.14,15.49,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,0.5,0.57,0.65,0.75,0.86,0.98,1.11,2.29,3.59,5.69,0,0,0,0,0,0.5,0.6,0.73,0.87
30,15,Fendall Close,643,736,All,0.6,1.85,3.34,5.81,0,0,0,0,1,1.23,2.01,2.42,12.9,15.54,17.62,0,0,0,0,1,1.78
31,15,Fendall Close,736,814,All,0.1,0,0,0,0,1,1.22,1.99,2.39,12.84,15.44,17.45,0,0,0,0,1,1.27,2.1,12.57,14.21
32,9339,Weston Way,814,886,All,0.1,1.08,2.14,0,0,0,0,0,1,1.28,2.13,2.62,3.32,14.27,0,0,0,0,0,0,0
33,9339,Weston Way,886,939,All,0,0.3,1.67,4,0,0,0,0.5,0.75,1.08,1.71,2.65,4.27,6.65,11.1,15.89,31.13,0,0.5,1.98,8.09
34,9339,Weston Way,965,1051,All,0,0.21,0.48,1.91,2.72,4.86,7.47,0,0,0.5,0.94,1.9,3.72,7.08,12.64,20.99,27.42,42.85,0,0.5,1.98
35,9339,Weston Way,1051,1219,All,0,1.12,2.38,0,0,0,0,1,1.26,2.08,2.55,13.17,16.02,18.33,0,0,0,0,1,1.81,2.29
36,9339,Weston Way,1237,1589,All,0.1,0,0,0,0,1,1.27,2.1,2.59,13.25,16.16,18.54,0,0,0,0,1,1.83,2.32,12.95,14.91
37,9339,Weston Way,1589,1999,All,0.1,1.54,0,0,0,0,1,1.78,2.19,2.68,13.36,16.3,18.72,0,0,0,0,1,1.83,2.34,12.99
38,9339,Weston Way,1999,2369,All,0.1,1.44,2.9,0,0,0,0,0,1,1.23,2.01,12.4,14.79,16.56,18.64,21.03,0,0,0,0,1
39,9339,Weston Way,2385,2696,All,0.55,2.55,3.75,5.17,6.84,8.78,11.16,0,0,0,0,0,0,1,1.23,1.5,2.32,2.76,13.39,15.16,18.25
40,9339,Weston Way,2696,3114,All,0.45,2.26,3.23,4.28,5.43,6.93,8.3,9.77,11.33,12.99,14.77,16.66,18.91,21.53,24.53,27.9,31.65,35.78,40.3,45.27,50.68
41,9339,Weston Way,3114,3398,All,0.1,1.49,2.61,3.85,5.25,6.87,8.72,10.8,13.3,16.24,19.61,23.58,28.42,34.17,40.49,46.96,53.57,60.32,67.22,74.31,81.59
