elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,49.3,60.12,0,0,0,0,0,0,0,0,0,0,52.91,61.72,69.74,70.14,71.74,85.57,0,0,0
1,1,Conifer Close,0,378,All,40.28,52.3,68.14,0,0,0,0,0,0,0,0,56.11,60.32,69.74,76.75,83.17,78.76,88.58,0,0,0
2,2,Fladgate Drive,0,565,All,45.49,54.31,0,0,0,0,0,0,0,0,0,56.11,59.92,69.34,75.95,82.77,78.36,88.18,0,0,0
3,4,Highfield Drive,0,71,All,0,38.08,0,0,0,0,0,0,0,0,0,56.11,56.71,67.33,74.15,80.36,75.95,85.97,0,0,0
4,3,Matai Way,0,557,All,52.71,64.53,0,0,0,0,0,0,0,0,0,56.11,57.92,67.74,74.55,81.96,77.15,86.37,0,0,0
5,5,Vintry Drive,0,362,All,60.72,0,0,0,0,0,0,0,0,0,62.32,65.13,65.93,73.75,80.96,85.77,90.58,0,0,0,0
6,6,Croatia Avenue,0,42,All,0,23.05,55.91,66.53,77.15,0,0,0,0,0,0,0,0,0,62.32,58.72,58.72,57.92,66.93,77.96,88.98
7,6,Croatia Avenue,42,76,All,0,36.87,52.1,58.72,74.15,85.57,0,0,0,0,0,0,0,0,0,0,43.49,47.9,56.11,62.93,70.14
8,7,Lumbarda Drive,0,152,All,0,0,0,49.9,59.92,72.55,67.74,64.13,68.54,71.74,70.54,81.96,80.76,0,0,0,0,0,0,0,0
9,8,Tarras Road,0,86,All,0,23.25,38.68,40.28,63.73,79.16,84.37,83.57,0,0,0,0,0,0,0,0,0,51.3,61.52,73.15,77.76
10,8,Tarras Road,86,120,All,0,23.25,38.68,40.28,56.11,71.74,69.34,81.96,81.16,0,0,0,0,0,0,0,0,0,53.71,60.72,63.13
11,9,Kowhai Glen,0,305,All,43.49,52.71,61.72,63.53,0,0,0,0,0,0,0,51.3,48.3,53.71,53.71,55.31,58.32,59.12,68.54,78.76,86.77
12,1037,Epiha Road Upper,0,415,All,49.1,60.32,69.54,74.15,0,0,0,0,0,62.32,66.53,72.14,73.75,85.57,0,0,0,0,0,68.54,78.36
13,1038,Gossey Drive North,1319,1723,All,0,50.5,66.53,70.54,0,0,0,0,0,62.32,66.93,72.55,74.15,85.97,0,0,0,0,0,68.54,78.76
14,10,Upper Ahu Ahu Road,0,46,All,46.49,0,0,0,0,0,0,0,0,0,62.32,63.53,64.13,72.14,77.96,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,0,46.69,58.72,69.14,77.76,0,0,0,0,0,0,0,0,0,49.9,48.3,48.7,49.9,59.92,71.74,76.75
16,11,Lower Ahu Ahu Road,0,158,All,43.49,53.71,62.93,73.95,0,0,0,0,0,0,0,0,0,56.11,66.93,67.33,64.53,72.95,74.55,86.77,0
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,68.54,65.53,62.32,64.73,67.94,69.74,81.56,80.96,0,0,0,0,0,0,0,0
18,12,Kriletich Drive,0,263,All,47.09,56.51,67.74,0,0,0,0,0,0,56.11,55.11,54.91,63.13,73.95,81.16,90.18,82.77,81.76,0,0,0
19,917,Port Street East,0,21,All,41.88,47.9,54.11,59.12,73.55,83.97,0,0,0,0,0,0,0,0,0,0,0,0,59.12,70.14,75.35
20,917,Port Street East,21,396,All,41.88,29.86,38.28,39.48,54.91,64.13,65.73,62.12,64.33,62.12,77.96,80.56,78.96,0,0,0,0,0,0,0,0
21,917,Port Street East,396,874,All,48.3,58.52,0,0,0,0,0,0,0,0,0,0,0,0,62.32,57.52,57.11,71.74,85.17,0,0
22,917,Port Street East,874,1340,All,46.29,60.92,0,0,0,0,0,0,0,0,0,0,0,0,62.32,58.32,57.52,72.55,85.57,0,0
23,917,Port Street East,1340,1431,All,44.29,59.72,0,0,0,0,0,0,0,0,0,0,0,0,62.32,56.71,56.11,70.94,84.37,0,0
24,917,Port Street East,1431,2115,All,43.49,59.92,72.14,0,0,0,0,0,0,0,0,0,0,0,0,52.91,52.91,56.11,63.73,83.57,0
25,917,Port Street East,2120,2350,All,0,57.52,70.14,0,0,0,0,0,0,0,0,0,0,0,0,52.91,52.91,56.11,63.73,83.57,0
26,13,Puriri Dale Way,0,293,All,43.49,53.31,0,0,0,0,0,0,0,0,62.32,68.54,68.54,77.96,83.57,89.78,92.99,0,0,0,0
27,15,Fendall Close,0,438,All,42.48,61.72,71.94,0,0,0,0,0,65.33,70.34,77.35,86.37,0,0,0,0,0,0,0,0,68.54
28,15,Fendall Close,438,585,All,40.28,29.26,48.1,62.73,0,0,0,0,0,0,62.32,62.93,63.73,84.37,0,0,0,0,0,0,68.54
29,15,Fendall Close,585,643,All,0,0,43.49,50.1,61.12,73.75,68.14,64.33,68.74,75.75,79.76,82.16,0,0,0,0,0,46.69,55.31,62.53,64.33
30,15,Fendall Close,643,736,All,45.09,54.71,68.34,75.55,0,0,0,0,65.33,70.94,77.56,76.75,82.77,0,0,0,0,51.3,62.53,76.75,84.37
31,15,Fendall Close,736,814,All,40.28,0,0,0,0,76.35,76.75,78.36,76.35,81.96,0,0,0,0,62.32,63.73,71.34,74.15,83.57,0,0
32,9339,Weston Way,814,886,All,40.28,45.09,0,0,0,0,0,65.33,71.34,74.15,78.76,79.36,83.97,0,0,0,43.49,49.5,65.13,77.76,85.97
33,9339,Weston Way,886,939,All,0,30.66,49.1,65.73,0,0,0,60.72,63.73,66.93,70.94,77.96,77.96,82.77,0,0,0,0,0,0,0
34,9339,Weston Way,965,1051,All,0,30.26,42.69,54.51,70.14,82.36,87.17,0,0,0,0,0,0,0,0,52.91,54.11,84.37,0,0,0
35,9339,Weston Way,1051,1219,All,0,47.49,0,0,0,0,71.74,70.14,75.55,76.75,82.77,0,0,0,0,52.91,67.74,65.33,74.15,88.18,0
36,9339,Weston Way,1237,1589,All,40.28,0,0,0,0,76.35,77.15,78.76,77.15,82.36,0,0,0,0,62.32,72.55,72.14,76.35,88.18,0,0
37,9339,Weston Way,1589,1999,All,40.28,0,0,0,0,76.35,77.56,79.16,77.56,82.77,0,0,0,0,62.32,73.35,72.55,76.75,88.98,0,0
38,9339,Weston Way,1999,2369,All,40.28,0,0,0,0,0,71.74,68.54,74.15,80.36,0,0,0,0,62.32,62.32,69.34,68.54,82.77,0,0
39,9339,Weston Way,2385,2696,All,44.69,0,0,0,0,0,0,65.33,70.14,73.35,78.36,78.76,83.17,0,0,0,0,0,0,68.54,74.55
40,9339,Weston Way,2696,3114,All,43.89,0,0,0,0,0,71.74,69.74,74.95,81.16,0,0,0,0,62.32,61.92,68.94,68.14,82.36,0,0
41,9339,Weston Way,3114,3398,All,40.28,53.51,62.53,0,0,0,0,0,0,62.32,65.33,70.94,72.55,79.56,87.78,0,0,0,0,0,0
42,9339,Weston Way,3398,3457,All,0,55.11,63.73,66.33,0,0,0,0,0,0,52.91,52.51,49.5,54.51,54.91,59.12,59.92,75.55,86.37,0,0
43,9339,Weston Way,3457,3675,All,39.08,31.26,46.89,65.13,74.95,85.77,0,0,0,0,0,0,0,0,49.9,48.1,48.3,49.3,56.91,70.34,76.15
44,9167,Foxglove Drive,0,668,All,41.88,29.86,38.28,39.48,54.91,64.13,83.77,0,0,0,0,0,0,0,0,0,0,0,0,59.12,61.92
45,16,Sarah Lane,0,515,All,47.29,60.72,70.94,74.75,0,0,0,0,0,0,0,0,52.91,62.93,70.94,71.74,74.95,77.96,87.58,0,0
46,17,Ash Drive,0,318,All,39.08,31.26,47.29,51.3,63.93,80.36,85.17,0,0,0,0,0,0,0,0,0,0,0,59.12,69.34,74.95
47,18,Monaghan Way,0,80,All,0,0,0,49.9,59.52,70.94,66.13,62.53,78.36,78.36,80.36,0,0,0,0,0,0,0,0,0,0
48,1035,Cousins Avenue East,0,61,All,0,34.87,50.5,57.92,73.35,84.77,0,0,0,0,0,0,0,0,0,0,0,46.69,54.91,61.92,63.73
49,19,Elm Close,0,82,All,48.3,52.91,48.9,54.31,69.54,80.56,86.57,0,0,0,0,0,0,0,0,0,49.9,53.71,64.93,74.95,83.97
50,19,Elm Close,82,101,All,0,27.45,40.68,52.3,71.54,82.16,86.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,20,Burkes Creek Road,0,21,All,0,50.9,66.73,71.14,78.36,0,0,0,0,0,62.32,66.13,71.74,77.15,88.18,0,0,0,0,0,68.54
52,20,Burkes Creek Road,21,520,All,0,51.3,66.93,71.74,0,0,0,0,0,62.32,67.33,73.35,74.95,87.58,0,0,0,0,0,68.54,79.16
53,20,Burkes Creek Road,549,697,All,47.9,58.92,68.94,0,0,0,0,0,65.33,68.14,72.95,74.15,81.96,0,0,0,0,0,59.12,71.14,81.36
54,20,Burkes Creek Road,697,765,All,40.28,31.66,47.09,54.91,69.74,80.76,86.77,0,0,0,0,0,0,0,0,0,0,46.69,54.11,61.52,62.93
55,20,Burkes Creek Road,765,1789,All,48.3,59.32,69.34,0,0,0,0,0,65.33,68.34,73.15,75.35,82.16,0,0,0,0,0,59.12,71.34,81.56
56,21,Tapeka Heights Lane,0,277,All,0,45.89,59.12,64.53,0,0,0,0,0,0,0,56.11,62.32,71.74,80.36,85.97,81.16,81.16,91.38,0,0
57,22,Sir John McKenzie Drive,0,530,All,45.89,32.06,65.53,68.74,0,0,0,0,0,0,0,0,0,56.11,67.33,67.74,65.33,73.35,74.95,86.97,0
58,23,Apple Orchard Lane,0,185,All,42.89,52.51,61.92,0,0,0,0,0,0,0,52.91,53.31,50.1,54.91,62.93,64.53,64.13,64.53,70.94,81.16,87.17
59,974,Railway Terrace East,0,730,All,0,21.44,37.07,39.68,55.31,78.96,83.97,83.37,0,0,0,0,0,0,0,0,0,0,0,68.54,71.74
60,24,George Noble Road,0,272,All,47.9,59.12,69.14,75.15,0,0,0,0,0,0,0,0,52.91,64.93,72.55,79.56,76.75,78.76,89.38,0,0
61,24,George Noble Road,272,286,All,0,28.66,41.88,42.69,62.32,77.96,78.76,80.76,79.16,78.76,80.76,0,0,0,0,0,0,0,0,0,0
62,25,Founders Lane,0,597,All,0,0,0,0,57.52,72.14,68.54,66.53,71.74,74.55,79.16,79.96,79.16,0,49.9,63.33,80.36,83.57,92.59,93.79,93.79
63,26,Stud Road,0,205,All,0,29.06,48.3,53.71,70.54,83.17,0,0,0,0,0,0,52.91,64.13,72.14,79.16,76.35,87.17,0,0,0
64,27,Gallop Lane,0,116,All,0,26.25,57.52,68.14,0,0,0,0,0,0,0,0,0,56.11,65.33,66.13,62.93,69.34,72.55,85.17,0
65,27,Gallop Lane,116,136,All,42.69,31.06,42.28,39.88,55.11,74.15,68.94,65.93,69.94,72.14,70.34,81.36,80.36,0,0,0,0,0,0,0,0
66,7056,Dawick Street,0,78,All,0,25.45,56.71,66.93,0,0,0,0,0,0,0,0,0,56.11,64.93,65.33,62.32,67.74,71.74,84.37,0
67,7056,Dawick Street,78,88,All,51.5,61.92,69.74,73.15,77.96,86.97,88.18,87.98,88.18,83.37,83.97,86.57,87.37,0,49.9,74.95,87.58,93.79,96.99,96.99,96.99
68,28,Stirrup Lane,0,261,All,0,49.1,60.72,72.95,0,0,0,0,0,0,0,0,52.91,65.33,73.35,80.76,77.96,79.16,89.78,0,0
69,29,Riroriro Road,0,122,All,45.09,54.51,63.33,74.55,0,0,0,0,0,0,0,0,0,56.11,66.13,66.93,63.73,70.14,73.35,85.97,0
70,29,Riroriro Road,122,139,All,0,24.85,39.88,41.48,58.32,72.95,70.14,82.77,81.96,0,0,0,0,0,0,0,0,0,0,0,0
71,30,Curly McLeod Way,0,69,All,49.9,0,0,0,0,0,0,0,0,0,0,56.11,58.72,68.54,74.95,81.16,88.98,0,0,0,0
72,30,Curly McLeod Way,69,82,All,44.69,54.11,62.73,65.33,77.35,0,0,0,0,0,0,0,0,0,0,46.69,47.9,48.9,0,0,0
73,32,Karearea Lane,0,56,All,46.89,58.72,0,0,0,0,0,0,0,0,0,0,46.69,52.1,52.1,49.9,52.1,54.11,65.33,75.55,82.77
74,32,Karearea Lane,84,154,All,44.29,0,0,0,0,0,0,0,0,56.11,54.51,54.11,50.5,55.31,66.53,68.94,67.54,78.36,76.95,89.58,0
75,32,Karearea Lane,154,820,All,60.32,0,0,0,0,0,0,0,0,62.32,63.73,69.34,69.34,78.76,82.36,87.58,91.38,0,0,0,0
76,32,Karearea Lane,820,1262,All,0,21.64,37.27,52.1,70.94,81.56,85.97,0,0,0,0,0,0,0,0,0,0,0,59.12,70.94,75.55
77,33,Okoare Lane,0,58,All,0,27.05,40.48,42.08,59.12,73.95,76.15,81.36,79.56,79.96,0,0,0,0,0,0,0,0,0,68.54,71.94
78,35,Leicester Place,0,660,All,0,0,0,49.9,61.92,77.35,78.36,79.96,78.76,78.96,0,51.3,58.32,80.36,87.37,92.38,94.39,94.79,98.4,100,100
79,36,Paneika Lane,0,370,All,0,0,0,49.9,60.72,74.95,74.95,70.94,72.55,75.95,79.56,80.76,79.96,0,49.9,68.74,82.57,89.38,93.79,94.39,94.39
80,36,Paneika Lane,370,391,All,0,41.48,55.31,62.32,75.55,86.77,0,0,0,0,0,0,0,0,62.32,61.52,61.52,66.13,71.34,80.36,89.78
81,36,Paneika Lane,391,520,All,0,0,43.49,50.9,62.73,77.56,77.96,72.34,77.76,77.76,80.56,0,0,51.3,63.33,82.97,83.37,84.77,92.18,93.39,90.18
82,37,Freemason Avenue,0,149,All,0,55.31,64.13,67.74,0,0,0,0,0,0,0,0,0,56.11,67.74,68.14,65.73,73.75,75.55,87.58,0
83,37,Freemason Avenue,149,172,All,0,0,0,0,0,68.54,64.93,61.52,62.93,61.92,56.71,62.32,72.95,81.16,85.97,0,0,0,0,0,0
84,37,Freemason Avenue,172,362,All,45.89,60.52,72.75,76.35,0,0,0,0,0,0,0,56.11,61.52,70.94,79.16,85.57,79.96,79.96,90.58,0,0
85,38,Tyler Place,0,279,All,41.88,53.91,64.53,0,0,0,0,0,0,0,0,56.11,61.12,70.54,78.76,85.17,79.56,88.98,0,0,0
86,38,Tyler Place,279,322,All,47.9,61.12,73.15,77.15,83.37,0,0,0,0,0,0,0,0,0,62.32,60.72,60.72,59.92,68.94,79.56,85.57
87,38,Tyler Place,322,334,All,50.5,58.32,58.12,56.91,71.74,86.17,0,0,0,0,0,0,0,0,0,0,0,51.3,61.32,72.55,76.35
88,38,Tyler Place,334,389,All,0,42.69,0,0,0,0,0,0,0,0,62.32,67.74,66.93,76.35,82.77,88.98,92.59,0,0,0,0
