elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,49.3,60.72,0,0,0,0,0,0,0,0,0,0,43.49,48.7,52.3,61.52,68.34,79.16,84.37,88.78,88.98
1,1,Conifer Close,0,378,All,40.28,52.71,65.33,0,0,0,0,0,0,0,0,43.49,52.1,56.11,59.92,70.14,74.15,84.37,88.58,92.18,92.59
2,2,Fladgate Drive,0,565,All,45.49,54.71,60.12,0,0,0,0,0,0,0,0,0,43.49,50.9,54.91,64.13,70.14,73.75,83.17,88.58,89.38
3,4,Highfield Drive,0,71,All,0,37.68,0,0,0,0,0,0,0,0,0,43.49,50.5,54.51,57.11,67.74,71.34,81.56,86.77,89.78,0
4,3,Matai Way,0,557,All,52.71,65.33,0,0,0,0,0,0,0,0,0,43.49,51.3,55.31,57.52,68.94,72.55,81.96,87.17,90.58,91.38
5,5,Vintry Drive,0,362,All,60.72,0,0,0,0,0,0,0,0,0,49.9,52.71,59.12,60.52,66.13,73.35,83.57,88.58,93.99,0,0
6,6,Croatia Avenue,0,42,All,0,22.65,51.3,64.33,71.94,0,0,0,0,0,0,0,0,0,43.49,51.7,57.92,57.92,61.92,66.53,72.95
7,6,Croatia Avenue,42,76,All,0,36.47,46.29,56.11,67.74,78.76,0,0,0,0,0,0,0,0,0,0,43.49,44.29,49.5,48.7,52.91
8,7,Lumbarda Drive,0,152,All,0,0,0,43.49,56.31,63.73,61.92,59.92,60.72,62.53,61.12,68.94,71.74,71.34,71.34,0,0,0,0,0,0
9,8,Tarras Road,0,86,All,0,23.25,30.26,39.48,59.92,72.55,77.56,78.76,0,0,0,0,0,0,0,0,0,49.9,55.91,59.52,59.52
10,8,Tarras Road,86,120,All,0,23.25,30.26,39.48,51.3,62.93,63.73,77.15,74.15,73.75,71.34,0,0,0,0,0,0,0,0,0,43.49
11,9,Kowhai Glen,0,305,All,43.49,53.11,58.52,61.32,0,0,0,0,0,0,0,38.68,39.48,38.68,39.48,49.9,57.52,59.12,65.33,66.93,68.54
12,1037,Epiha Road Upper,0,415,All,49.1,61.12,66.93,71.94,0,0,0,0,0,56.11,56.11,59.52,64.53,77.15,82.77,0,0,0,0,0,49.9
13,1038,Gossey Drive North,1319,1723,All,0,50.9,63.73,68.54,0,0,0,0,0,56.11,56.71,59.92,64.93,77.56,83.17,0,0,0,0,0,49.9
14,10,Upper Ahu Ahu Road,0,46,All,46.49,0,0,0,0,0,0,0,0,0,49.9,50.7,57.11,59.52,62.32,70.94,82.16,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,0,46.29,55.31,66.93,72.55,0,0,0,0,0,0,0,0,0,37.27,43.69,45.89,46.09,54.31,58.52,59.32
16,11,Lower Ahu Ahu Road,0,158,All,43.49,54.11,59.92,71.74,0,0,0,0,0,0,0,0,0,43.49,49.9,59.12,64.13,69.34,72.55,80.36,84.77
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,59.12,59.32,58.32,56.71,58.92,60.32,68.54,71.94,71.74,71.74,78.96,86.77,91.58,95.79,0,0
18,12,Kriletich Drive,0,263,All,47.09,56.91,64.93,0,0,0,0,0,0,48.3,44.89,42.48,55.71,62.12,66.53,76.15,78.76,77.56,77.56,82.36,95.79
19,917,Port Street East,0,21,All,41.88,47.9,48.7,56.31,67.13,77.15,0,0,0,0,0,0,0,0,0,0,0,0,52.91,56.51,58.32
20,917,Port Street East,21,396,All,41.88,29.46,29.46,38.28,49.9,56.71,59.52,58.12,56.31,50.5,65.53,67.54,70.14,69.54,70.74,77.15,80.16,78.56,84.17,86.97,87.98
21,917,Port Street East,396,874,All,48.3,58.92,0,0,0,0,0,0,0,0,0,0,0,0,43.49,51.3,56.71,68.54,80.76,84.37,83.17
22,917,Port Street East,874,1340,All,46.29,61.72,0,0,0,0,0,0,0,0,0,0,0,0,43.49,51.5,56.91,69.14,81.16,84.77,83.57
23,917,Port Street East,1340,1431,All,44.29,60.32,0,0,0,0,0,0,0,0,0,0,0,0,43.49,50.1,55.71,68.34,80.36,83.97,82.57
24,917,Port Street East,1431,2115,All,43.49,60.52,69.54,0,0,0,0,0,0,0,0,0,0,0,0,46.69,52.91,55.31,59.12,76.35,77.15
25,917,Port Street East,2120,2350,All,0,57.52,67.74,0,0,0,0,0,0,0,0,0,0,0,0,46.69,52.91,55.31,59.12,76.35,77.15
26,13,Puriri Dale Way,0,293,All,43.49,53.71,59.52,0,0,0,0,0,0,0,0,43.49,54.51,58.32,63.73,72.55,76.35,86.77,92.18,94.59,95.39
27,15,Fendall Close,0,438,All,42.48,62.53,69.34,0,0,0,0,0,59.12,61.32,64.73,72.75,79.56,84.77,0,0,0,0,52.91,57.31,62.73
28,15,Fendall Close,438,585,All,40.28,28.86,40.28,60.52,0,0,0,0,0,0,49.9,49.9,56.11,74.15,80.36,0,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,37.27,45.89,57.72,65.33,62.32,60.32,61.12,67.13,68.14,69.34,0,0,0,0,0,43.49,48.7,48.3,46.49
30,15,Fendall Close,643,736,All,45.09,55.11,65.73,73.35,0,0,0,0,59.12,61.52,64.93,63.73,77.15,83.17,86.37,0,0,0,0,52.91,61.52
31,15,Fendall Close,736,814,All,40.28,0,0,0,0,68.54,70.34,72.75,69.94,77.76,79.36,80.76,0,0,0,0,49.9,56.71,66.33,73.35,77.76
