elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12,20_1_139.12
1,1,Conifer Close,0,378,All,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68,10.56_1_132.68
2,2,Fladgate Drive,0,565,All,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36,21_1_135.36
3,4,Highfield Drive,0,71,All,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92,16_1_136.92
4,3,Matai Way,0,557,All,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79,19_1_136.79
5,5,Vintry Drive,0,362,All,15.04_1_134.89,15.04_1_134.89,15.04_1_134.89,15.04_1_134.89,15.04_1_134.89,15.04_1_134.89,15.04_1_134.89,15.04_1_134.89,15.04_1_134.89,15.52_1_122.49,15.52_1_122.49,15.52_1_122.49,15.52_1_122.49,15.52_1_122.49,15.52_1_122.49,15.52_1_122.49,15.52_1_122.49,15.52_1_122.49,15.52_1_122.49,15.52_1_122.49,15.52_1_122.49
6,6,Croatia Avenue,0,42,All,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33,11.07_1_138.33
7,6,Croatia Avenue,42,76,All,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33,39_1_138.33
8,7,Lumbarda Drive,0,152,All,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37,19_1_139.37
9,8,Tarras Road,0,86,All,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97,12.88_1_137.97
10,8,Tarras Road,86,120,All,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97,19_1_137.97
11,9,Kowhai Glen,0,305,All,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97,34_1_136.97
12,1037,Epiha Road Upper,0,415,All,10.72_1_133.94,10.72_1_133.94,10.72_1_133.94,10.72_1_133.94,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.87_1_120.91,8.33_1_113.56
13,1038,Gossey Drive North,1319,1723,All,10.71_1_133.88,10.71_1_133.88,10.71_1_133.88,10.71_1_133.88,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.86_1_120.79,8.35_1_113.87,8.35_1_113.87
14,10,Upper Ahu Ahu Road,0,46,All,17_1_134.06,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26,16.25_1_128.26
15,10,Upper Ahu Ahu Road,46,68,All,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12,13.71_1_137.12
16,11,Lower Ahu Ahu Road,0,158,All,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96,9.97_1_135.96
17,11,Lower Ahu Ahu Road,158,179,All,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01,19_1_136.01
18,12,Kriletich Drive,0,263,All,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27,35_1_131.27
19,917,Port Street East,0,21,All,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68,19_1_139.68
20,917,Port Street East,21,396,All,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68,11.17_1_139.68
21,917,Port Street East,396,874,All,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64,19_1_139.64
22,917,Port Street East,874,1340,All,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51,19_1_139.51
23,917,Port Street East,1340,1431,All,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98,19_1_139.98
24,917,Port Street East,1431,2115,All,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77,16.89_1_140.77
