elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,71.74,77.15,85.17,88.18,88.18,0,24.85,37.27,37.27,37.27,49.9,49.9,62.32,62.32,74.95,74.95,74.95,74.95,81.16,87.58,93.79
1,1,Conifer Close,0,378,All,46.69,52.91,62.32,68.54,74.95,0,24.85,37.27,37.27,37.27,49.9,49.9,62.32,62.32,74.95,74.95,74.95,74.95,81.16,87.58,0
2,2,Fladgate Drive,0,565,All,88.18,90.58,92.99,93.79,93.79,0,24.85,37.27,37.27,37.27,49.9,49.9,62.32,62.32,74.95,74.95,74.95,74.95,81.16,87.58,93.79
3,4,Highfield Drive,0,71,All,74.95,81.16,87.58,92.18,92.18,0,24.85,37.27,37.27,37.27,49.9,49.9,62.32,62.32,74.95,74.95,74.95,74.95,81.16,87.58,93.79
4,3,Matai Way,0,557,All,81.16,84.37,87.58,90.58,90.58,0,24.85,37.27,37.27,37.27,49.9,49.9,62.32,62.32,74.95,74.95,74.95,74.95,81.16,87.58,93.79
5,5,Vintry Drive,0,362,All,71.74,77.96,85.97,88.38,88.78,0,24.85,37.27,37.27,37.27,49.9,49.9,62.32,62.32,74.95,74.95,74.95,74.95,81.16,87.58,93.79
6,6,Croatia Avenue,0,42,All,38.68,46.69,54.51,62.32,66.93,0,24.85,37.27,37.27,37.27,49.9,49.9,62.32,62.32,74.95,74.95,74.95,74.95,81.16,87.58,93.79
7,6,Croatia Avenue,42,76,All,73.35,77.96,84.37,85.97,85.97,88.98,95.39,97.8,0,5.61,12.22,16.83,19.64,24.45,27.86,31.06,33.27,46.69,52.51,63.33,68.54
8,7,Lumbarda Drive,0,152,All,12.22,20.04,27.86,35.67,44.29,59.92,74.95,85.57,88.18,88.18,89.78,94.59,97.39,0,9.02,12.22,12.22,24.85,31.06,40.28,49.9
9,8,Tarras Road,0,86,All,20.84,28.26,37.27,47.09,56.71,69.74,84.37,94.19,0,6.01,15.23,20.04,27.86,29.46,37.27,40.28,40.28,56.11,62.32,71.74,77.96
10,8,Tarras Road,86,120,All,18.44,26.25,34.87,43.49,51.3,63.73,79.56,89.78,92.18,93.79,0,6.61,9.02,13.63,20.04,24.85,26.25,39.48,45.09,56.11,62.32
11,9,Kowhai Glen,0,305,All,65.33,70.14,76.35,78.76,80.36,0,24.85,37.27,37.27,37.27,49.9,49.9,62.32,62.32,74.95,74.95,74.95,74.95,81.16,87.58,93.79
12,1037,Epiha Road Upper,0,415,All,46.69,52.91,62.32,68.54,0,21.64,43.49,59.12,68.54,74.95,81.16,87.58,93.79,96.99,0,15.23,21.64,37.27,46.69,62.32,74.95
13,1038,Gossey Drive North,1319,1723,All,46.69,52.91,62.32,68.54,0,21.64,43.49,59.12,68.54,74.95,81.16,87.58,93.79,96.99,0,15.23,21.64,37.27,46.69,62.32,74.95
14,10,Upper Ahu Ahu Road,0,46,All,62.93,0,9.02,18.44,24.85,38.68,52.91,62.32,70.14,68.54,76.35,79.56,87.58,90.58,96.99,0,4.41,17.03,26.65,38.08,45.69
15,10,Upper Ahu Ahu Road,46,68,All,43.49,48.3,57.52,62.32,65.33,77.15,90.58,95.39,0,48.3,77.56,0,7.41,13.63,22.44,27.86,31.66,46.69,54.51,65.33,75.55
16,11,Lower Ahu Ahu Road,0,158,All,37.27,43.49,49.9,62.32,68.54,0,24.85,37.27,37.27,37.27,49.9,49.9,62.32,62.32,74.95,74.95,74.95,74.95,81.16,87.58,93.79
17,11,Lower Ahu Ahu Road,158,179,All,9.02,15.23,24.05,29.46,38.68,49.9,62.32,70.14,74.95,76.35,77.96,82.77,85.17,0,9.02,12.22,12.22,24.85,31.06,40.28,49.9
18,12,Kriletich Drive,0,263,All,66.93,70.94,77.96,81.96,81.16,0,24.85,37.27,37.27,37.27,49.9,49.9,62.32,62.32,74.95,74.95,74.95,74.95,81.16,87.58,93.79
19,917,Port Street East,0,21,All,81.16,84.37,87.58,90.58,90.58,93.79,0,24.85,24.85,24.85,37.27,37.27,49.9,49.9,49.9,62.32,62.32,68.54,68.54,81.16,87.58
20,917,Port Street East,21,396,All,0,9.02,21.64,32.46,41.88,57.52,75.55,88.18,90.58,93.39,95.79,96.99,99.4,0,11.02,16.03,16.83,34.47,38.68,49.9,58.32
21,917,Port Street East,396,874,All,81.16,84.37,87.58,0,12.22,24.85,37.27,49.9,52.91,56.11,62.32,68.54,74.95,81.16,87.58,87.58,87.58,93.79,93.79,96.99,0
