elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
0,1013,Brook Street North,0,220,All,71.74,72.55,74.15,74.15,73.35,73.35,73.35,73.35,73.35,73.35,73.35,73.35,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,1,Conifer Close,0,378,All,46.69,46.69,49.9,49.9,49.9,56.11,56.11,56.11,62.32,56.11,62.32,62.32,62.32,62.32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,2,Fladgate Drive,0,565,All,88.18,88.18,88.18,84.37,84.37,84.37,84.37,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,4,Highfield Drive,0,71,All,74.95,76.35,81.16,81.16,81.16,81.16,81.16,81.16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,3,Matai Way,0,557,All,81.16,81.16,81.16,77.96,77.96,77.96,77.96,77.96,77.96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,5,Vintry Drive,0,362,All,71.74,74.95,74.95,74.95,74.95,75.55,75.55,75.55,75.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,6,Croatia Avenue,0,42,All,38.68,40.28,40.28,37.27,34.07,37.27,38.68,38.68,43.49,43.49,46.69,48.3,49.9,49.9,49.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7,6,Croatia Avenue,42,76,All,73.35,74.95,73.35,71.74,70.14,70.14,68.54,66.93,65.33,62.32,49.9,49.9,46.69,46.69,43.49,40.28,40.28,37.27,35.67,32.46,31.06,100,100,100,100,100,100,100,100,100,100
8,7,Lumbarda Drive,0,152,All,12.22,12.83,12.22,11.42,10.62,12.22,10.62,10.62,10.62,10.62,10.62,9.82,10.62,10.62,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,7.82
9,8,Tarras Road,0,86,All,20.84,21.64,21.64,23.25,23.25,23.25,24.85,25.85,25.85,25.85,26.65,26.65,26.65,26.25,25.85,27.45,27.86,29.06,31.06,31.06,100,100,100,100,100,100,100,100,100,100,100
