elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,71.74,81.16,0,18.44,31.06,43.49,49.9,49.9,49.9,49.9,49.9,56.11,62.32,65.33,68.54,74.95,81.16,84.37,87.58,90.58,93.79
1,1,Conifer Close,0,378,All,46.69,62.32,74.95,0,24.85,37.27,37.27,37.27,37.27,37.27,37.27,43.49,49.9,56.11,62.32,68.54,68.54,74.95,81.16,87.58,87.58
2,2,Fladgate Drive,0,565,All,88.18,93.39,95.79,0,24.85,37.27,37.27,37.27,37.27,37.27,37.27,43.49,49.9,56.11,62.32,68.54,68.54,74.95,81.16,87.58,87.58
3,4,Highfield Drive,0,71,All,74.95,84.37,0,18.44,31.06,43.49,49.9,49.9,49.9,49.9,49.9,56.11,62.32,65.33,68.54,74.95,81.16,84.37,87.58,90.58,0
4,3,Matai Way,0,557,All,81.16,87.58,0,18.44,31.06,43.49,49.9,49.9,49.9,49.9,49.9,56.11,62.32,65.33,68.54,74.95,81.16,84.37,87.58,90.58,93.79
5,5,Vintry Drive,0,362,All,71.74,0,18.44,31.06,43.49,52.91,56.11,62.32,62.32,56.11,62.32,62.32,68.54,71.74,71.74,81.16,84.37,87.58,93.79,0,0
6,6,Croatia Avenue,0,42,All,38.68,52.91,65.33,74.95,85.97,0,15.23,18.44,18.44,21.64,21.64,24.85,31.06,37.27,43.49,49.9,56.11,62.32,65.33,70.14,74.95
7,6,Croatia Avenue,42,76,All,73.35,82.77,90.58,93.79,92.18,97.39,0,6.01,7.41,9.02,9.02,10.62,16.83,23.25,26.25,35.67,41.88,46.69,51.3,52.91,57.52
8,7,Lumbarda Drive,0,152,All,12.22,27.05,37.27,50.9,65.33,79.56,83.97,88.18,87.58,85.17,82.36,83.17,87.58,88.98,87.58,0,10.62,13.63,16.83,21.64,23.25
9,8,Tarras Road,0,86,All,20.84,35.67,47.49,62.53,77.56,89.38,95.39,96.99,0,4.01,4.81,9.02,15.23,20.04,24.85,34.07,42.69,49.1,52.91,57.92,60.72
10,8,Tarras Road,86,120,All,18.44,34.07,45.09,59.12,71.74,82.77,88.18,92.18,92.18,92.18,92.18,0,9.02,10.62,15.23,21.64,26.25,30.26,35.67,35.67,36.47
11,9,Kowhai Glen,0,305,All,65.33,74.95,83.57,87.58,0,18.44,24.85,24.85,24.85,24.85,31.06,37.27,37.27,43.49,49.9,56.11,62.32,68.54,74.95,74.95,81.16
12,1037,Epiha Road Upper,0,415,All,46.69,62.32,74.95,81.16,0,27.86,43.49,52.91,56.11,62.32,68.54,71.74,81.16,84.37,90.58,0,18.44,24.85,31.06,37.27,43.49
13,1038,Gossey Drive North,1319,1723,All,46.69,62.32,74.95,81.16,0,27.86,43.49,52.91,56.11,62.32,68.54,71.74,81.16,84.37,90.58,0,18.44,24.85,31.06,37.27,43.49
14,10,Upper Ahu Ahu Road,0,46,All,62.93,0,18.44,31.06,43.49,52.91,56.11,62.32,62.32,56.11,62.32,62.32,68.54,71.74,71.74,81.16,84.37,0,0,12.22,18.44
15,10,Upper Ahu Ahu Road,46,68,All,43.49,56.11,66.93,74.95,84.37,0,12.22,12.22,15.23,15.23,15.23,15.23,21.64,27.86,31.06,40.28,46.69,49.9,54.51,59.12,59.92
16,11,Lower Ahu Ahu Road,0,158,All,37.27,49.9,62.32,74.95,0,18.44,24.85,24.85,24.85,24.85,31.06,37.27,37.27,43.49,49.9,56.11,62.32,68.54,74.95,74.95,81.16
17,11,Lower Ahu Ahu Road,158,179,All,9.02,21.64,34.07,45.09,59.12,68.54,70.94,71.74,70.14,68.54,65.33,66.13,64.53,67.74,64.53,71.74,74.95,72.95,77.15,0,0
18,12,Kriletich Drive,0,263,All,66.93,76.35,84.77,0,24.85,37.27,37.27,37.27,37.27,37.27,37.27,43.49,49.9,56.11,62.32,68.54,68.54,74.95,81.16,87.58,87.58
19,917,Port Street East,0,21,All,81.16,87.58,93.79,95.39,95.39,98.6,0,9.02,10.62,12.22,18.44,18.44,26.25,31.06,37.27,46.69,51.3,56.11,62.32,66.93,71.74
20,917,Port Street East,21,396,All,0,15.23,31.06,48.3,62.93,76.35,85.17,90.58,90.58,91.38,92.99,93.79,96.19,96.99,97.8,98.6,98.6,99.4,99.4,99.8,99.8
21,917,Port Street East,396,874,All,81.16,87.58,0,18.44,31.06,43.49,49.9,49.9,49.9,49.9,49.9,56.11,62.32,65.33,68.54,74.95,81.16,84.37,87.58,90.58,93.79
22,917,Port Street East,874,1340,All,81.16,87.58,0,18.44,31.06,43.49,49.9,49.9,49.9,49.9,49.9,56.11,62.32,65.33,68.54,74.95,81.16,84.37,87.58,90.58,93.79
23,917,Port Street East,1340,1431,All,81.16,87.58,0,18.44,31.06,43.49,49.9,49.9,49.9,49.9,49.9,56.11,62.32,65.33,68.54,74.95,81.16,84.37,87.58,90.58,93.79
