elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1,1,Conifer Close,0,378,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
2,2,Fladgate Drive,0,565,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3,4,Highfield Drive,0,71,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
4,3,Matai Way,0,557,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
5,5,Vintry Drive,0,362,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
6,6,Croatia Avenue,0,42,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
7,6,Croatia Avenue,42,76,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
8,7,Lumbarda Drive,0,152,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
9,8,Tarras Road,0,86,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10,8,Tarras Road,86,120,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11,9,Kowhai Glen,0,305,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12,1037,Epiha Road Upper,0,415,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
13,1038,Gossey Drive North,1319,1723,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14,10,Upper Ahu Ahu Road,0,46,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15,10,Upper Ahu Ahu Road,46,68,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
16,11,Lower Ahu Ahu Road,0,158,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17,11,Lower Ahu Ahu Road,158,179,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18,12,Kriletich Drive,0,263,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19,917,Port Street East,0,21,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20,917,Port Street East,21,396,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
21,917,Port Street East,396,874,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
22,917,Port Street East,874,1340,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
23,917,Port Street East,1340,1431,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
24,917,Port Street East,1431,2115,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
25,917,Port Street East,2120,2350,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
26,13,Puriri Dale Way,0,293,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
27,15,Fendall Close,0,438,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
28,15,Fendall Close,438,585,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
29,15,Fendall Close,585,643,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
30,15,Fendall Close,643,736,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
31,15,Fendall Close,736,814,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
32,9339,Weston Way,814,886,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
33,9339,Weston Way,886,939,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
34,9339,Weston Way,965,1051,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
35,9339,Weston Way,1051,1219,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
36,9339,Weston Way,1237,1589,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
37,9339,Weston Way,1589,1999,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
38,9339,Weston Way,1999,2369,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
39,9339,Weston Way,2385,2696,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
40,9339,Weston Way,2696,3114,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
41,9339,Weston Way,3114,3398,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
42,9339,Weston Way,3398,3457,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
43,9339,Weston Way,3457,3675,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
44,9167,Foxglove Drive,0,668,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
45,16,Sarah Lane,0,515,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
46,17,Ash Drive,0,318,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
47,18,Monaghan Way,0,80,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
48,1035,Cousins Avenue East,0,61,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
49,19,Elm Close,0,82,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
50,19,Elm Close,82,101,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
51,20,Burkes Creek Road,0,21,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
52,20,Burkes Creek Road,21,520,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
53,20,Burkes Creek Road,549,697,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
54,20,Burkes Creek Road,697,765,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
55,20,Burkes Creek Road,765,1789,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
56,21,Tapeka Heights Lane,0,277,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
57,22,Sir John McKenzie Drive,0,530,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
58,23,Apple Orchard Lane,0,185,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
59,974,Railway Terrace East,0,730,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
60,24,George Noble Road,0,272,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
61,24,George Noble Road,272,286,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
62,25,Founders Lane,0,597,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
63,26,Stud Road,0,205,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
64,27,Gallop Lane,0,116,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
65,27,Gallop Lane,116,136,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
66,7056,Dawick Street,0,78,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
67,7056,Dawick Street,78,88,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
68,28,Stirrup Lane,0,261,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
69,29,Riroriro Road,0,122,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
70,29,Riroriro Road,122,139,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
71,30,Curly McLeod Way,0,69,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
72,30,Curly McLeod Way,69,82,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
73,32,Karearea Lane,0,56,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
74,32,Karearea Lane,84,154,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
75,32,Karearea Lane,154,820,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
76,32,Karearea Lane,820,1262,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
77,33,Okoare Lane,0,58,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
78,35,Leicester Place,0,660,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
79,36,Paneika Lane,0,370,All,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
