file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,elem_index,treatment,treat_category,budget_category,period,period_calendar,forced,follow_up,treatment_cost,treatment_qty,treatment_comment,treatment_reason,is_committed
10,Upper Ahu Ahu Road,0,46,All,14,ChipSeal_P,Preserve,Resurfacing,1,2024,True,False,3680,368,committed import,committed,True
32,Karearea Lane,84,154,All,74,ChipSeal_P,Preserve,Resurfacing,1,2024,True,False,7920,792,committed import,committed,True
32,Karearea Lane,154,820,All,75,ChipSeal_P,Preserve,Resurfacing,1,2024,True,False,77210,7721,committed import,committed,True
9339,Weston Way,814,886,All,32,RMaint,Maintenance,Maintenance,1,2024,False,False,572.89,572.8907828316218,mesh_cracks =6; shove =0; poth =0,pdi =6.04; sdi =0.1; age =22,False
30,Curly McLeod Way,69,82,All,72,RMaint,Maintenance,Maintenance,1,2024,False,False,21.23,21.229585386412715,mesh_cracks =5.5; shove =0; poth =0,pdi =5.72; sdi =0.55; age =39,False
2,Fladgate Drive,0,565,All,101,RMaint,Maintenance,Maintenance,1,2024,False,False,3174.88,3174.884502802687,mesh_cracks =0; shove =0; poth =0.89,pdi =8.9; sdi =8.9; age =21,False
9339,Weston Way,3398,3457,All,104,RMaint,Maintenance,Maintenance,1,2024,False,False,295.77,295.77241382876133,mesh_cracks =16; shove =0; poth =0,pdi =16.68; sdi =1.69; age =19,False
9339,Weston Way,1237,1589,All,108,RMaint,Maintenance,Maintenance,1,2024,False,False,1660.25,1660.2472879768427,mesh_cracks =0; shove =0; poth =0.93,pdi =12.42; sdi =36.93; age =16,False
29,Riroriro Road,122,139,All,110,RMaint,Maintenance,Maintenance,1,2024,False,False,51.98,51.98364518408776,mesh_cracks =0; shove =7.56; poth =0,pdi =7.56; sdi =10.97; age =12,False
44,Dickins Lane,0,474,All,111,RMaint,Maintenance,Maintenance,1,2024,False,False,2549.57,2549.5744717456855,mesh_cracks =0; shove =8.08; poth =0,pdi =10.03; sdi =11.02; age =2,False
21,Tapeka Heights Lane,0,277,All,112,RMaint,Maintenance,Maintenance,1,2024,False,False,2033.46,2033.4578937051497,mesh_cracks =13.08; shove =0; poth =0,pdi =13.08; sdi =0; age =17,False
2,Fladgate Drive,0,565,All,121,RMaint,Maintenance,Maintenance,1,2024,False,False,1937.35,1937.3520628260358,mesh_cracks =0; shove =0; poth =0,pdi =7.1; sdi =17.74; age =21,False
15,Fendall Close,736,814,All,122,RMaint,Maintenance,Maintenance,1,2024,False,False,715.03,715.0278438233395,mesh_cracks =19.91; shove =0; poth =0,pdi =19.91; sdi =20.24; age =22,False
20,Burkes Creek Road,21,520,All,123,RMaint,Maintenance,Maintenance,1,2024,False,False,3905.18,3905.178016676609,mesh_cracks =18.98; shove =0; poth =0.64,pdi =25.41; sdi =9.93; age =10,False
917,Port Street East,396,874,All,129,RMaint,Maintenance,Maintenance,1,2024,False,False,1107.4,1107.3992614196704,mesh_cracks =0; shove =0; poth =0.8,pdi =8.04; sdi =8.04; age =19,False
20,Burkes Creek Road,21,520,All,130,RMaint,Maintenance,Maintenance,1,2024,False,False,1773.33,1773.32514210371,mesh_cracks =0; shove =0; poth =0,pdi =7.18; sdi =17.96; age =10,False
18,Monaghan Way,0,80,All,137,RMaint,Maintenance,Maintenance,1,2024,False,False,111.38,111.37509477753747,mesh_cracks =0; shove =8.99; poth =0,pdi =12.03; sdi =7.61; age =6,False
20,Burkes Creek Road,21,520,All,140,RMaint,Maintenance,Maintenance,1,2024,False,False,4644.63,4644.62595692501,mesh_cracks =19.69; shove =0; poth =0,pdi =19.69; sdi =0; age =10,False
9339,Weston Way,3398,3457,All,142,RMaint,Maintenance,Maintenance,1,2024,False,False,226.68,226.68024476127832,mesh_cracks =0; shove =0; poth =0.73,pdi =12.05; sdi =19.23; age =19,False
41,Huamanu Street,116,134,All,144,RMaint,Maintenance,Maintenance,1,2024,False,False,69.83,69.83037367224784,mesh_cracks =11.17; shove =7.33; poth =0,pdi =18.5; sdi =8.3; age =9,False
38,Tyler Place,322,334,All,147,RMaint,Maintenance,Maintenance,1,2024,False,False,37.75,37.754419600578494,mesh_cracks =0; shove =0; poth =0.95,pdi =9.46; sdi =9.46; age =7,False
41,Huamanu Street,0,116,All,149,RMaint,Maintenance,Maintenance,1,2024,False,False,290.33,290.33017084554166,mesh_cracks =0; shove =3.03; poth =0,pdi =5.19; sdi =5.42; age =36,False
1092,Bronte Road East,156,183,All,152,RMaint,Maintenance,Maintenance,1,2024,False,False,68.81,68.81007472013327,mesh_cracks =0; shove =0; poth =1.2,pdi =11.95; sdi =17.51; age =22,False
37,Freemason Avenue,172,362,All,156,RMaint,Maintenance,Maintenance,1,2024,False,False,1222.78,1222.7781572181275,mesh_cracks =15.96; shove =0; poth =0,pdi =15.96; sdi =21.32; age =16,False
15,Fendall Close,585,643,All,157,RMaint,Maintenance,Maintenance,1,2024,False,False,216.75,216.75228495593322,mesh_cracks =0; shove =0; poth =0,pdi =6.57; sdi =18.15; age =7,False
38,Tyler Place,279,322,All,162,RMaint,Maintenance,Maintenance,1,2024,False,False,102.57,102.57438927878567,mesh_cracks =10.68; shove =0; poth =0,pdi =13.34; sdi =32.22; age =32,False
1,Conifer Close,0,378,All,163,RMaint,Maintenance,Maintenance,1,2024,False,False,1266.66,1266.6605596385104,mesh_cracks =0; shove =0; poth =0.37,pdi =5.85; sdi =11.07; age =10,False
917,Port Street East,1431,2115,All,164,RMaint,Maintenance,Maintenance,1,2024,False,False,2030.56,2030.5565402988907,mesh_cracks =0; shove =11.45; poth =0,pdi =11.45; sdi =0; age =16,False
38,Tyler Place,334,389,All,165,RMaint,Maintenance,Maintenance,1,2024,False,False,225.1,225.10323453225067,mesh_cracks =0; shove =0; poth =0,pdi =6.47; sdi =16.17; age =32,False
9167,Foxglove Drive,0,668,All,166,RMaint,Maintenance,Maintenance,1,2024,False,False,2677.45,2677.453791991536,mesh_cracks =11.29; shove =0; poth =0,pdi =11.29; sdi =0; age =13,False
8,Tarras Road,0,86,All,167,RMaint,Maintenance,Maintenance,1,2024,False,False,197.62,197.61734755082279,mesh_cracks =0; shove =11.53; poth =0,pdi =14.95; sdi =38.38; age =8,False
9339,Weston Way,814,886,All,168,RMaint,Maintenance,Maintenance,1,2024,False,False,443.82,443.8210707684163,mesh_cracks =0; shove =0; poth =0.52,pdi =11.19; sdi =20.12; age =22,False
9339,Weston Way,965,1051,All,169,RMaint,Maintenance,Maintenance,1,2024,False,False,1267.17,1267.1678638035207,mesh_cracks =19.55; shove =8.44; poth =0,pdi =27.98; sdi =0; age =11,False
29,Riroriro Road,0,122,All,170,RMaint,Maintenance,Maintenance,1,2024,False,False,419.87,419.868993101172,mesh_cracks =18.34; shove =0; poth =0.97,pdi =28.41; sdi =10.69; age =8,False
20,Burkes Creek Road,697,765,All,171,RMaint,Maintenance,Maintenance,1,2024,False,False,435.08,435.0810206345003,mesh_cracks =0; shove =4.02; poth =0,pdi =8.59; sdi =11.44; age =10,False
27,Gallop Lane,0,116,All,174,RMaint,Maintenance,Maintenance,1,2024,False,False,321.06,321.056824747974,mesh_cracks =0; shove =6.67; poth =0,pdi =6.67; sdi =27.97; age =8,False
38,Tyler Place,279,322,All,175,RMaint,Maintenance,Maintenance,1,2024,False,False,313.57,313.5731208785869,mesh_cracks =0; shove =0; poth =0.39,pdi =7.78; sdi =37.31; age =32,False
37,Freemason Avenue,0,149,All,176,RMaint,Maintenance,Maintenance,1,2024,False,False,734.05,734.0477003823039,mesh_cracks =0; shove =0; poth =1.06,pdi =10.58; sdi =10.58; age =16,False
38,Tyler Place,279,322,All,177,RMaint,Maintenance,Maintenance,1,2024,False,False,272.32,272.3180084017545,mesh_cracks =0; shove =0; poth =1.13,pdi =11.49; sdi =11.8; age =32,False
7056,Dawick Street,78,88,All,184,RMaint,Maintenance,Maintenance,1,2024,False,False,19.04,19.036571408602356,mesh_cracks =0; shove =0; poth =0.95,pdi =9.48; sdi =32.04; age =8,False
9339,Weston Way,3114,3398,All,188,RMaint,Maintenance,Maintenance,1,2024,False,False,1805.23,1805.2252395846338,mesh_cracks =0; shove =0; poth =0.53,pdi =5.31; sdi =32.55; age =16,False
15,Fendall Close,585,643,All,189,RMaint,Maintenance,Maintenance,1,2024,False,False,149.69,149.69383657346876,mesh_cracks =0; shove =0; poth =0,pdi =7.2; sdi =17.99; age =7,False
27,Gallop Lane,0,116,All,192,RMaint,Maintenance,Maintenance,1,2024,False,False,307.48,307.48054726421896,mesh_cracks =0; shove =0; poth =0,pdi =5.9; sdi =14.74; age =8,False
27,Gallop Lane,0,116,All,193,RMaint,Maintenance,Maintenance,1,2024,False,False,302.16,302.15555386164476,mesh_cracks =10.41; shove =0; poth =0,pdi =11.24; sdi =2.08; age =8,False
24,George Noble Road,272,286,All,194,RMaint,Maintenance,Maintenance,1,2024,False,False,57.99,57.993313326155345,mesh_cracks =0; shove =4.22; poth =0,pdi =9.74; sdi =13.79; age =9,False
43,Infantry Lane,0,95,All,195,RMaint,Maintenance,Maintenance,1,2024,False,False,103.48,103.48411708004456,mesh_cracks =17.55; shove =0; poth =0,pdi =21.21; sdi =15.44; age =19,False
41,Huamanu Street,116,134,All,198,RMaint,Maintenance,Maintenance,1,2024,False,False,27.72,27.71702429348975,mesh_cracks =0; shove =0; poth =0,pdi =5.1; sdi =19.92; age =9,False
32,Karearea Lane,820,1262,All,199,RMaint,Maintenance,Maintenance,1,2024,False,False,1907.72,1907.7232342900293,mesh_cracks =4.37; shove =0; poth =0.77,pdi =12.06; sdi =7.7; age =7,False
9339,Weston Way,965,1051,All,201,RMaint,Maintenance,Maintenance,1,2024,False,False,908.78,908.7799271775032,mesh_cracks =0; shove =7.83; poth =0,pdi =13.36; sdi =20.68; age =11,False
20,Burkes Creek Road,697,765,All,204,RMaint,Maintenance,Maintenance,1,2024,False,False,244.44,244.4376352259801,mesh_cracks =0; shove =7.03; poth =1.18,pdi =21.17; sdi =17.63; age =10,False
21,Tapeka Heights Lane,0,277,All,207,RMaint,Maintenance,Maintenance,1,2024,False,False,1793.12,1793.117294168069,mesh_cracks =0; shove =0; poth =0,pdi =6.95; sdi =17.38; age =17,False
917,Port Street East,2120,2350,All,208,RMaint,Maintenance,Maintenance,1,2024,False,False,517.14,517.135772314016,mesh_cracks =11.96; shove =0; poth =0.87,pdi =20.66; sdi =13.76; age =16,False
37,Freemason Avenue,149,172,All,210,RMaint,Maintenance,Maintenance,1,2024,False,False,83.73,83.727323154128,mesh_cracks =18.97; shove =0; poth =0,pdi =18.97; sdi =0; age =6,False
27,Gallop Lane,116,136,All,212,RMaint,Maintenance,Maintenance,1,2024,False,False,146.44,146.44361056587846,mesh_cracks =7.41; shove =4.33; poth =0,pdi =11.74; sdi =0; age =8,False
9339,Weston Way,965,1051,All,216,RMaint,Maintenance,Maintenance,1,2024,False,False,927.53,927.5258870754838,mesh_cracks =5.39; shove =0; poth =0,pdi =5.39; sdi =0; age =11,False
41,Huamanu Street,0,116,All,221,RMaint,Maintenance,Maintenance,1,2024,False,False,266.78,266.78107137053826,mesh_cracks =16.43; shove =0; poth =0,pdi =19.41; sdi =7.46; age =36,False
917,Port Street East,2120,2350,All,224,RMaint,Maintenance,Maintenance,1,2024,False,False,452.46,452.45958221624375,mesh_cracks =0; shove =0; poth =0.86,pdi =8.63; sdi =8.63; age =16,False
30,Curly McLeod Way,0,69,All,226,RMaint,Maintenance,Maintenance,1,2024,False,False,95.41,95.40524998020427,mesh_cracks =0; shove =0; poth =0,pdi =7.3; sdi =18.26; age =17,False
9339,Weston Way,886,939,All,227,RMaint,Maintenance,Maintenance,1,2024,False,False,526.29,526.286824976479,mesh_cracks =0; shove =10.07; poth =0,pdi =16.78; sdi =16.77; age =11,False
38,Tyler Place,279,322,All,228,RMaint,Maintenance,Maintenance,1,2024,False,False,256.42,256.4199511566666,mesh_cracks =0; shove =0; poth =0.6,pdi =8.71; sdi =12.8; age =32,False
32,Karearea Lane,84,154,All,229,RMaint,Maintenance,Maintenance,1,2024,False,False,101.92,101.92416581959593,mesh_cracks =2.91; shove =0; poth =0,pdi =10.12; sdi =26.4; age =28,False
917,Port Street East,2120,2350,All,230,RMaint,Maintenance,Maintenance,1,2024,False,False,462.2,462.203164852655,mesh_cracks =0; shove =4.17; poth =0,pdi =5.41; sdi =35.54; age =16,False
33,Okoare Lane,0,58,All,231,RMaint,Maintenance,Maintenance,1,2024,False,False,119.13,119.1252368829963,mesh_cracks =0; shove =0; poth =0,pdi =5.03; sdi =41.74; age =6,False
