elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.2,1.3
1,1,Conifer Close,0,378,All,0,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.3,1.5,1.6,1.9
2,2,Fladgate Drive,0,565,All,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.3,1.4,1.6
3,4,Highfield Drive,0,71,All,0,0.2,0.4,0.7,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
4,3,Matai Way,0,557,All,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.2,1.4,1.5
5,5,Vintry Drive,0,362,All,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.3,1.4,1.6,0
6,6,Croatia Avenue,0,42,All,0,0.2,0.4,0.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
7,6,Croatia Avenue,42,76,All,0,0.2,0.4,0.6,0.9,1.3,0,0,0,0,0,0,0,0,0,0,1,1.2,1.5,1.8,2.1
8,7,Lumbarda Drive,0,152,All,0,0,0,1,1.2,1.4,1.6,1.9,2.2,2.6,3.1,3.8,4.6,5.6,6.9,8.5,10.4,12.7,15.4,18.6,22.3
9,8,Tarras Road,0,86,All,0,0.2,0.4,0.7,1,1.3,1.8,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,0.2,0.4,0.7,1,1.3,1.8,2.5,3.3,4.3,5.6,0,0,0,0,0,0,0,0,0,1
11,9,Kowhai Glen,0,305,All,0.8,1,1.2,1.5,1.7,2,0,0,0,0,0,0,0,1,1.2,1.5,1.8,2.2,2.7,3.4,4.4
12,1037,Epiha Road Upper,0,415,All,0,0.2,0.6,0.9,0,0,0,0,0,0,0,1,1.1,1.3,1.4,0,0,0,0,0,0
13,1038,Gossey Drive North,1319,1723,All,0,0.2,0.6,0.9,0,0,0,0,0,0,0,1,1.1,1.3,1.4,0,0,0,0,0,0
14,10,Upper Ahu Ahu Road,0,46,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.2,1.3,1.5,1.6,0
15,10,Upper Ahu Ahu Road,46,68,All,0,0.2,0.4,0.7,1,0,0,0,0,0,0,0,0,0,1,1.2,1.4,1.7,2.1,2.5,3.1
16,11,Lower Ahu Ahu Road,0,158,All,0,0.2,0.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.2,1.4
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,1,1.2,1.5,1.9,2.3,2.9,3.8,4.8,6.1,8,10.3,13.2,16.7,20.9,26,31.9
18,12,Kriletich Drive,0,263,All,1.1,1.3,1.6,0,0,0,0,0,0,1,1.4,1.8,2.5,3.6,5,7.1,10,13.8,18.8,25.3,33
19,917,Port Street East,0,21,All,0,0.1,0.3,0.4,0.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,917,Port Street East,21,396,All,0,0,0,0,0,0,1,1.1,1.3,1.4,1.6,1.8,2.1,2.3,2.7,3.1,3.6,0,0,0,0
21,917,Port Street East,396,874,All,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
22,917,Port Street East,874,1340,All,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
23,917,Port Street East,1340,1431,All,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,0
24,917,Port Street East,1431,2115,All,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
25,917,Port Street East,2120,2350,All,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
26,13,Puriri Dale Way,0,293,All,0,0.3,0.7,1.2,2,3.1,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.3,1.5
27,15,Fendall Close,0,438,All,0.1,0.4,0.7,0,0,0,0,0,0,0,1,1.1,1.3,1.5,0,0,0,0,0,0,1
28,15,Fendall Close,438,585,All,0,0.1,0.3,0.5,0,0,0,0,0,0,0,0,0,1,1.1,0,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,1,1.1,1.3,1.5,1.7,2,2.2,2.6,3,3.6,0,0,0,0,0,1,1.2,1.5,1.7
30,15,Fendall Close,643,736,All,1.2,1.7,2.5,3.7,0,0,0,0,0,0,1,1.2,1.3,1.5,1.8,0,0,0,0,0,1
31,15,Fendall Close,736,814,All,0.2,0,0,0,0,0,0,1,1.1,1.3,1.5,1.7,0,0,0,0,0,0,1,1.2,1.4
32,9339,Weston Way,814,886,All,0.2,0,0,0,0,0,0,0,1,1.2,1.4,1.6,1.8,2.1,0,0,0,1,1.7,3,5
33,9339,Weston Way,886,939,All,0,0.4,1,1.8,0,0,0,1,1.5,2.2,3.4,5.3,8.5,13.3,20.2,29.6,39.8,0,1,4,16.2
34,9339,Weston Way,965,1051,All,0,0.4,1,1.8,3.2,5.3,8.8,0,0,1,1.9,3.8,7.4,14.2,25.3,40,52.7,63.3,0,1,4
35,9339,Weston Way,1051,1219,All,0,0.4,0,0,0,0,0,0,1,1.2,1.4,1.6,1.9,0,0,0,0,0,1,1.2,1.4
36,9339,Weston Way,1237,1589,All,0,0,0,0,0,0,0,1,1.2,1.4,1.6,1.9,0,0,0,0,0,1,1.2,1.4,1.7
37,9339,Weston Way,1589,1999,All,0,0,0,0,0,0,0,1,1.2,1.4,1.6,1.9,0,0,0,0,0,1,1.2,1.4,1.7
38,9339,Weston Way,1999,2369,All,0,0,0,0,0,0,0,0,1,1.1,1.3,1.5,0,0,0,0,0,0,1,1.1,1.3
39,9339,Weston Way,2385,2696,All,0.9,1.3,0,0,0,0,0,0,0,0,0,1,1.1,1.3,1.5,1.7,1.9,0,0,0,0
40,9339,Weston Way,2696,3114,All,0.7,0.7,0,0,0,0,0,0,0,1,1.1,1.3,1.5,1.7,1.9,2.2,2.5,0,0,0,0
41,9339,Weston Way,3114,3398,All,0.2,1.2,1.5,0,0,0,0,0,0,0,0,0,1,1.1,1.3,1.4,1.6,1.8,2,0,0
42,9339,Weston Way,3398,3457,All,0,0.2,0.4,0.6,0.9,0,0,0,0,0,0,1,1.2,1.4,1.7,2,2.4,2.9,3.6,4.4,0
