elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,959,1925,2217,2459,2685,2905,3125,3348,3575,3812,4061,4320,4594,4885,5192,5515
1,1,Conifer Close,0,378,All,7302,11473,12367,13259,14174,15122,16108,17159,18274,19453,20693,21994,23380,24874,26471,28166
2,2,Fladgate Drive,0,565,All,1767,3584,4126,4573,4988,5393,5796,6204,6631,7077,7539,8019,8526,9062,9634,10240
3,4,Highfield Drive,0,71,All,941,1541,1739,1916,2090,2265,2445,2630,2823,3027,3240,3463,3700,3953,4220,4503
4,3,Matai Way,0,557,All,1414,2861,3299,3662,4002,4334,4666,5002,5350,5716,6097,6494,6914,7359,7828,8327
5,5,Vintry Drive,0,362,All,3648,6242,6957,7581,8182,8782,9393,10022,10690,11394,12130,12899,13714,14575,15498,16480
6,6,Croatia Avenue,0,42,All,625,835,1139,1846,2029,2215,2407,2606,2814,3034,3268,3515,3774,4047,4336,4643
7,6,Croatia Avenue,42,76,All,625,1244,1417,1555,1679,1797,1912,2026,2141,2260,2382,2508,2640,2778,2922,3071
8,7,Lumbarda Drive,0,152,All,583,650,718,789,862,938,1016,1098,1183,1271,1899,3673,4023,4377,4744,5127
9,8,Tarras Road,0,86,All,1103,1630,1736,1847,1964,3753,4066,4379,4701,5036,5390,5764,6159,6574,7011,7470
10,8,Tarras Road,86,120,All,1125,1193,1265,1339,1417,2087,2216,4231,4580,4927,5285,5657,6045,6456,6891,7351
11,9,Kowhai Glen,0,305,All,703,1183,1338,1466,1584,1697,1808,1920,2032,2146,2262,2383,2509,2642,2781,2927
12,1037,Epiha Road Upper,0,415,All,2719,6471,7175,7802,8411,9023,9646,10298,10988,11712,12469,13257,14082,14970,15919,16927
13,1038,Gossey Drive North,1319,1723,All,2313,5507,6106,6640,7159,7679,8210,8765,9353,9970,10614,11285,11987,12744,13553,14411
14,10,Upper Ahu Ahu Road,0,46,All,1291,847,882,919,957,995,1035,1500,1576,1655,1737,1824,1918,2015,2116,2225
15,10,Upper Ahu Ahu Road,46,68,All,1177,1255,2405,2613,2821,3036,3261,3499,3750,4014,4292,4585,4893,5219,5570,5945
16,11,Lower Ahu Ahu Road,0,158,All,966,1304,2609,2915,3215,3520,3834,4161,4509,4877,5266,5676,6107,6558,7042,7562
17,11,Lower Ahu Ahu Road,158,179,All,954,1025,1099,1176,1255,1339,1426,1516,1610,1708,1811,4805,5216,5629,6055,6501
18,12,Kriletich Drive,0,263,All,2289,4671,5339,5876,6363,6829,7295,7774,8263,8762,9271,9799,10365,10962,11585,12231
19,917,Port Street East,0,21,All,2501,5015,5765,6382,6954,7510,8065,8625,9195,9793,10417,11067,11751,12476,13240,14043
20,917,Port Street East,21,396,All,3272,3858,4449,5050,5664,6295,6944,10609,11631,12701,13819,26964,29775,32631,35589,38679
21,917,Port Street East,396,874,All,1672,3353,3854,4267,4650,5022,5393,5767,6149,6548,6966,7401,7858,8343,8854,9391
22,917,Port Street East,874,1340,All,2299,3667,4089,4456,4809,5160,5516,5881,6261,6662,7083,7526,7993,8488,9011,9560
23,917,Port Street East,1340,1431,All,2597,5216,6011,6672,7288,7890,8493,9103,9727,10380,11063,11777,12529,13328,14171,15057
24,917,Port Street East,1431,2115,All,716,1689,1883,2058,2230,2404,2582,2766,2957,3157,3370,3594,3829,4079,4343,4623
25,917,Port Street East,2120,2350,All,1477,3465,3838,4170,4493,4817,5148,5488,5840,6208,6597,7006,7436,7889,8370,8879
26,13,Puriri Dale Way,0,293,All,2304,4761,5499,6115,6692,7256,7833,8434,9057,9701,10367,11071,11829,12634,13483,14373
27,15,Fendall Close,0,438,All,4095,6361,7161,7878,8578,9284,10009,10772,11574,12414,13294,14219,15225,16303,17449,18660
28,15,Fendall Close,438,585,All,2530,3752,4006,7687,8361,9039,9737,10463,11221,12014,12847,13728,14660,15643,16683,17793
29,15,Fendall Close,585,643,All,1526,1649,1775,1907,2045,2188,2336,3471,3711,3964,7606,8270,8937,9626,10342,11089
30,15,Fendall Close,643,736,All,8800,9359,17909,19467,21047,22686,24411,26248,28191,30234,32381,34651,37041,39578,42277,45094
31,15,Fendall Close,736,814,All,4531,7482,8363,9134,9876,10622,11417,12252,13123,14030,15000,16025,17106,18239,19432,20688
32,9339,Weston Way,814,886,All,7957,13067,14675,16077,17429,18780,20146,21538,22935,24347,25785,27289,28867,30517,32235,34020
33,9339,Weston Way,886,939,All,6364,12629,16999,18652,20225,21857,23561,25325,27147,29095,31147,33288,35537,37939,40483,43164
34,9339,Weston Way,965,1051,All,5098,6951,7607,8203,8787,16917,18478,20036,21629,23320,25096,26950,28882,30918,33049,35288
35,9339,Weston Way,1051,1219,All,5485,11540,13365,14896,16333,17797,19307,20855,22443,24131,25899,27757,29726,31822,34032,36350
36,9339,Weston Way,1237,1589,All,11308,13147,14398,15588,16777,18054,19398,20802,22298,23904,25595,27367,29248,31232,33314,35476
37,9339,Weston Way,1589,1999,All,9193,10689,11707,12674,13640,14679,15772,16914,18130,19436,20811,22252,23781,25394,27087,28845
38,9339,Weston Way,1999,2369,All,7654,9281,10014,10724,11447,12195,12978,13814,14711,15663,16668,17731,18871,20086,21371,22724
39,9339,Weston Way,2385,2696,All,7452,12791,14290,15591,16839,18083,19356,20687,22077,23525,25034,26628,28354,30195,32143,34192
40,9339,Weston Way,2696,3114,All,9747,16006,18024,19786,21474,23148,24864,26658,28525,30463,32472,34592,36880,39315,41885,44583
41,9339,Weston Way,3114,3398,All,4238,7481,8383,9174,9936,10699,11475,12283,13131,14018,14946,15916,16956,18076,19271,20534
42,9339,Weston Way,3398,3457,All,2776,4434,4935,5371,5789,6206,6630,7063,7510,7981,8478,8998,9551,10137,10755,11406
43,9339,Weston Way,3457,3675,All,1376,1450,1528,4032,4351,4667,4993,5332,5685,6054,6440,6844,7273,7726,8204,8711
44,9167,Foxglove Drive,0,668,All,1365,1450,1539,1632,1731,1834,3496,3777,4057,4345,4645,4959,5289,5637,6004,6389
45,16,Sarah Lane,0,515,All,1691,3483,4051,4535,4995,5449,5909,6386,6887,7412,7959,8529,9136,9788,10485,11222
46,17,Ash Drive,0,318,All,6411,8775,9704,10565,11421,12294,23802,26122,28464,30873,33420,36112,38939,41900,45011,48290
47,18,Monaghan Way,0,80,All,415,444,474,506,538,572,608,898,1176,1858,2003,2153,2309,2473,2643,2822
48,1035,Cousins Avenue East,0,61,All,526,1048,1202,1327,1442,1553,1663,1773,1885,1999,2118,2242,2373,2511,2656,2807
49,19,Elm Close,0,82,All,2632,3988,4343,4717,5108,9926,10920,11927,12971,14073,15240,16475,17779,19155,20603,22139
50,19,Elm Close,82,101,All,3965,5285,5810,6293,12180,13333,14474,15636,16858,18145,19498,20917,22404,23960,25601,27361
51,20,Burkes Creek Road,0,21,All,1883,4530,5063,5548,6026,6509,7004,7530,8086,8671,9284,9924,10601,11331,12111,12938
52,20,Burkes Creek Road,21,520,All,1921,4623,5167,5662,6150,6643,7149,7686,8255,8853,9478,10132,10825,11572,12369,13214
53,20,Burkes Creek Road,549,697,All,2994,4649,5222,5731,6227,6725,7234,7763,8319,8903,9515,10162,10852,11593,12384,13223
54,20,Burkes Creek Road,697,765,All,1329,1791,1979,2153,2327,4502,4931,5364,5817,6291,6788,7307,7851,8427,9038,9683
55,20,Burkes Creek Road,765,1789,All,2065,3655,4230,4721,5186,5646,6110,6591,7097,7625,8176,8754,9367,10026,10728,11470
56,21,Tapeka Heights Lane,0,277,All,2534,5287,6116,6808,7458,8100,8770,9461,10173,10906,11685,12508,13384,14308,15286,16317
57,22,Sir John McKenzie Drive,0,530,All,1531,2043,4042,4473,4891,5312,5742,6187,6661,7161,7688,8240,8820,9434,10093,10799
58,23,Apple Orchard Lane,0,185,All,910,1822,2079,2283,2468,2644,2817,2988,3164,3345,3531,3723,3923,4133,4352,4583
59,974,Railway Terrace East,0,730,All,1367,2010,2131,2258,2391,4553,4914,5272,5641,6027,6435,6863,7315,7789,8287,8809
60,24,George Noble Road,0,272,All,5013,6735,13295,14675,16010,17352,18728,20196,21744,23368,25067,26843,28731,30743,32893,35175
61,24,George Noble Road,272,286,All,3706,3965,4235,4516,4808,5113,7566,8078,8618,9185,17594,19107,20618,22203,23876,25639
62,25,Founders Lane,0,597,All,2363,2686,3016,3354,3703,4063,4435,6717,7324,7963,8633,9335,10070,10846,17067,22664
63,26,Stud Road,0,205,All,1773,2408,2670,2914,5680,6255,6831,7439,8077,8747,9448,10182,10963,11792,12665,13592
64,27,Gallop Lane,0,116,All,2824,3756,5081,8181,8937,9701,10485,11296,12149,13054,14010,15014,16068,17173,18344,19604
65,27,Gallop Lane,116,136,All,2341,2514,2695,2884,3080,3284,3497,3719,3950,4191,4442,10012,10833,11670,12542,13454
66,7056,Dawick Street,0,78,All,1065,1414,1913,3080,3364,3651,3946,4251,4570,4909,5268,5645,6040,6455,6895,7365
67,7056,Dawick Street,78,88,All,1407,1517,1632,1754,1881,2014,2154,2300,2454,2618,2791,4477,4838,5210,5599,6010
68,28,Stirrup Lane,0,261,All,1569,1891,3673,4041,4415,4803,5211,5646,6109,6598,7115,7661,8246,8869,9536,10247
69,29,Riroriro Road,0,122,All,1307,1575,2088,3340,3641,3955,4282,4626,4989,5374,5783,6216,6672,7153,7665,8217
70,29,Riroriro Road,122,139,All,1943,2061,2185,2313,2447,2587,2733,7230,7823,8416,9028,9665,10330,11027,11756,12527
71,30,Curly McLeod Way,0,69,All,987,1720,1989,2220,2439,2655,2873,3098,3330,3576,3836,4108,4395,4699,5019,5356
72,30,Curly McLeod Way,69,82,All,1633,2615,2884,3106,3311,3509,3705,3901,4099,4301,4506,4716,4937,5167,5408,5657
73,32,Karearea Lane,0,56,All,2109,2893,3207,3480,3739,3998,4262,4533,4812,5099,5395,5700,6019,6353,6703,7066
74,32,Karearea Lane,84,154,All,2537,1574,1629,1684,1742,1801,1862,1924,1988,2054,2122,2192,2263,2337,3361,3488
75,32,Karearea Lane,154,820,All,1834,1861,1931,2002,2076,2152,2230,2311,2394,2479,2567,2658,2751,2847,4103,4268
76,32,Karearea Lane,820,1262,All,1517,1615,2393,2552,4890,5313,5737,6173,6627,7100,7596,8115,8664,9243,9855,10502
77,33,Okoare Lane,0,58,All,1357,1452,1550,2303,2464,2634,2813,3000,5750,6247,6746,7264,7809,8384,8989,9625
78,35,Leicester Place,0,660,All,2140,2538,2938,3344,3758,5829,6494,7191,7920,8683,9488,10349,11261,17870,23902,26427
79,36,Paneika Lane,0,370,All,826,958,1092,1229,1369,1513,1662,1817,2217,2418,2629,2849,3081,3323,6437,7070
80,36,Paneika Lane,370,391,All,748,1563,1838,2078,2310,2542,2778,3027,3290,3565,3852,4153,4476,4823,5194,5587
81,36,Paneika Lane,391,520,All,2266,2501,2744,2996,3549,3864,4195,4543,4907,5289,10233,11229,12250,13315,14433,15607
82,37,Freemason Avenue,0,149,All,2462,5009,5788,6440,7050,7650,8251,8861,9501,10172,10870,11598,12369,13185,14054,14979
83,37,Freemason Avenue,149,172,All,1628,1770,1918,2071,2231,2396,2569,2748,2935,3130,4643,4958,5287,10133,11005,11880
84,37,Freemason Avenue,172,362,All,6655,13867,16048,17877,19593,21280,23045,24872,26755,28698,30748,32922,35240,37689,40273,43003
85,38,Tyler Place,0,279,All,1940,3490,4048,4523,4975,5422,5879,6360,6866,7395,7946,8528,9153,9817,10518,11254
86,38,Tyler Place,279,322,All,2470,4260,4839,5310,5741,6153,6565,6989,7422,7864,8314,8781,9280,9804,10350,10917
87,38,Tyler Place,322,334,All,4614,4892,5182,7640,8112,12896,13873,14883,15935,17034,18185,19390,20654,21993,23408,24900
88,38,Tyler Place,334,389,All,7640,15680,18022,19944,21720,23442,25182,26990,28857,30779,32758,34829,37062,39433,41926,44537
89,39,Ashlar Court,0,251,All,1538,3129,3610,4009,4381,4745,5108,5477,5864,6267,6685,7119,7578,8063,8581,9130
90,40,Bravery Road,0,278,All,4472,5265,8133,10610,11444,12269,13114,14008,14950,15941,16979,18066,19227,20459,21775,23173
91,41,Huamanu Street,0,116,All,784,1565,1786,1963,2122,2275,2424,2573,2723,2879,3040,3205,3379,3560,3750,3949
92,41,Huamanu Street,116,134,All,2498,2673,2855,3044,3241,3447,3661,3884,4117,4360,11559,12532,13506,14513,15562,16660
93,1092,Bronte Road East,0,156,All,2095,4191,4826,5353,5843,6322,6801,7286,7781,8292,8828,9389,9982,10613,11278,11979
94,1092,Bronte Road East,156,183,All,1428,2863,3303,3670,4013,4349,4685,5026,5374,5733,6110,6505,6922,7364,7832,8323
95,42,Te Manaki Street,0,377,All,1092,2220,2562,2847,3113,3374,3634,3899,4177,4467,4770,5084,5417,5769,6145,6545
96,44,Dickins Lane,0,474,All,1758,1998,2243,2495,2754,4210,4621,5052,9898,10978,12073,13209,14400,15661,16997,18409
97,44,Dickins Lane,474,1091,All,2010,2285,2565,2853,3150,3456,3773,4101,6189,6720,7279,7865,8479,9123,9797,18901
98,43,Infantry Lane,0,95,All,796,1599,1842,2045,2234,2418,2603,2790,2981,3181,3390,3608,3839,4084,4343,4615
99,45,Chatfield Lane,0,83,All,1553,1637,2401,2541,2688,2842,3003,3172,6023,6492,6962,7448,7954,8482,9035,9613
100,20,Burkes Creek Road,765,1789,All,2627,5453,6389,7201,7981,8759,9550,10375,11245,12158,13113,14111,15174,16319,17542,18840
101,38,Tyler Place,279,322,All,4200,8547,9740,10687,11540,12350,13155,13981,14823,15679,16548,17449,18414,19430,20489,21587
102,1037,Epiha Road Upper,0,415,All,6345,12652,14189,15658,17147,18683,20281,21976,23785,25702,27723,29849,32097,34518,37114,39877
103,37,Freemason Avenue,172,362,All,5141,10889,12612,14058,15440,16861,18306,19777,21343,22974,24661,26434,28322,30312,32374,34480
104,43,Infantry Lane,0,95,All,1208,2433,2799,3101,3381,3654,3927,4202,4485,4783,5092,5414,5754,6113,6491,6893
105,8,Tarras Road,86,120,All,3173,3386,3610,3847,4096,4358,4632,8850,9592,10337,11108,11911,12752,13633,14557,15529
106,23,Apple Orchard Lane,0,185,All,2332,4759,5423,5951,6426,6877,7338,7806,8279,8757,9250,9763,10302,10866,11451,12064
107,9339,Weston Way,814,886,All,16899,22273,24507,26698,28901,31043,33183,35355,37580,39867,42231,44696,47270,49952,52743,55648
108,8,Tarras Road,86,120,All,1391,1467,1547,1630,1716,2516,2661,5060,5456,5850,6253,6672,7108,7571,8059,8574
109,38,Tyler Place,334,389,All,6685,14020,16114,17824,19418,21041,22672,24311,26030,27809,29630,31514,33510,35599,37766,39946
110,38,Tyler Place,322,334,All,3782,4130,4491,6778,7351,14304,15758,17231,18755,20345,22010,23756,25595,27542,29601,31776
111,32,Karearea Lane,154,820,All,2402,4920,5702,6361,6983,7596,8212,8846,9513,10210,10936,11692,12494,13352,14269,15240
112,12,Kriletich Drive,0,263,All,4807,9827,11257,12414,13472,14488,15501,16548,17622,18719,19840,21000,22247,23564,24942,26374
113,917,Port Street East,2120,2350,All,2816,4603,5149,5647,6138,6636,7148,7677,8233,8826,9455,10118,10816,11554,12333,13158
114,9339,Weston Way,3398,3457,All,3506,7121,8285,9279,10223,11159,12105,13073,14070,15118,16221,17378,18605,19911,21293,22752
