elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,0.1,0.2,0.3,0.5,0.6,0.8,1,1.2,1.4,1.7,2,2.4,2.8,3.3,3.9,4.5,5.2,6.1,7.1,8.3
1,1,Conifer Close,0,378,All,0.1,1.1,1.3,1.5,1.7,1.9,2.2,2.5,3,3.5,4.2,4.9,5.9,7,8.5,10.1,12.1,14.2,16.8,19.8,23.2
2,2,Fladgate Drive,0,565,All,0,0.1,0.3,0.4,0.6,0.8,1,1.3,1.6,2,2.4,3,3.6,4.3,5.2,6.2,7.5,9,10.6,12.5,14.6
3,4,Highfield Drive,0,71,All,1.6,1.8,2.1,2.5,2.9,3.4,3.9,4.5,5.2,6.1,7.1,8.3,9.6,11.1,12.8,14.6,16.7,19.1,21.7,24.6,27.7
4,3,Matai Way,0,557,All,0,0.1,0.2,0.4,0.5,0.7,0.9,1.1,1.4,1.7,2.1,2.5,3,3.6,4.3,5.1,6,7.2,8.5,9.9,11.5
5,5,Vintry Drive,0,362,All,0,0.1,0.3,0.4,0.6,0.8,1,1.3,1.6,2,2.5,3,3.7,4.4,5.3,6.4,7.7,9.2,11,12.9,15.1
6,6,Croatia Avenue,0,42,All,0,0.1,0.2,0.4,0.5,0.7,0.8,1,1.2,1.5,1.8,2.2,2.6,3.1,3.6,4.2,5,5.8,6.9,8,9.3
7,6,Croatia Avenue,42,76,All,0,0.1,0.2,0.4,0.5,0.7,0.8,1,1.2,1.5,1.8,2.2,2.6,3.1,3.6,4.2,5,5.8,6.9,8,9.3
8,7,Lumbarda Drive,0,152,All,0,0,0,0,0,0,0,0,0,0,1,1.1,1.2,1.4,1.5,1.7,1.8,2,2.2,2.5,2.8
9,8,Tarras Road,0,86,All,0,1,1.1,1.2,1.4,1.5,1.7,1.9,2,2.3,2.5,2.9,3.3,3.7,4.2,4.8,5.4,6.2,7.2,8.3,9.5
10,8,Tarras Road,86,120,All,0,0,0,0,0,1,1.1,1.3,1.4,1.6,1.7,1.9,2.1,2.4,2.8,3.1,3.6,4.1,4.7,5.3,6.1
11,9,Kowhai Glen,0,305,All,0.1,0.3,0.5,0.8,1,1.3,1.6,2,2.4,2.8,3.2,3.7,4.3,4.9,5.6,6.3,7.1,8,9,9.9,11
12,1037,Epiha Road Upper,0,415,All,0,0.1,0.3,0.5,0.7,0.9,1.1,1.4,1.8,2.3,2.8,3.5,4.2,5.2,6.3,7.7,9.3,11.1,13.2,15.6,18.4
13,1038,Gossey Drive North,1319,1723,All,0,0.1,0.3,0.5,0.7,0.9,1.1,1.4,1.8,2.3,2.9,3.5,4.3,5.2,6.4,7.8,9.4,11.2,13.3,15.8,18.6
14,10,Upper Ahu Ahu Road,0,46,All,8.9,0,0,0,0,0,0,1,1.3,1.6,2,2.5,3.3,4.3,5.6,7.5,9.9,13.1,17,21.9,27.8
15,10,Upper Ahu Ahu Road,46,68,All,1.3,1.4,1.6,1.8,2,2.2,2.4,2.8,3.1,3.6,4.1,4.7,5.3,6.1,7,8.1,9.3,10.7,12.3,14,15.9
16,11,Lower Ahu Ahu Road,0,158,All,0,0.1,0.3,0.4,0.6,0.8,1,1.2,1.5,1.8,2.3,2.8,3.4,4,4.8,5.8,6.9,8.2,9.7,11.4,13.3
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.3,1.4,1.6,1.8,2,2.2,2.5,2.8
18,12,Kriletich Drive,0,263,All,0,0.2,0.3,0.6,0.8,1.1,1.4,1.9,2.4,3.1,3.9,4.9,6.2,7.8,9.7,11.9,14.5,17.5,21,25,29.4
19,917,Port Street East,0,21,All,0,0.1,0.2,0.3,0.5,0.7,0.8,1,1.2,1.5,1.8,2.1,2.6,3.1,3.6,4.2,4.9,5.8,6.8,7.9,9.2
20,917,Port Street East,21,396,All,0,0,0,0,0,0,0,1,1.1,1.2,1.4,1.5,1.7,1.8,2,2.2,2.5,2.8,3.2,3.6,4.1
21,917,Port Street East,396,874,All,0,0.1,0.2,0.3,0.5,0.7,0.8,1,1.2,1.5,1.8,2.2,2.6,3.1,3.6,4.2,4.9,5.8,6.8,8,9.3
22,917,Port Street East,874,1340,All,0.1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.2,2.5,2.8,3.2,3.6,4.1,4.6,5.3,6,6.9,7.9,9.1,10.4
23,917,Port Street East,1340,1431,All,0,0.1,0.2,0.3,0.5,0.6,0.8,1,1.2,1.4,1.7,2.1,2.5,2.9,3.5,4,4.7,5.5,6.5,7.6,8.8
24,917,Port Street East,1431,2115,All,0,0.1,0.2,0.3,0.5,0.6,0.8,0.9,1.1,1.3,1.6,1.9,2.3,2.7,3.2,3.7,4.2,4.9,5.7,6.7,7.7
25,917,Port Street East,2120,2350,All,0,0.1,0.2,0.3,0.5,0.6,0.8,0.9,1.1,1.3,1.6,1.9,2.3,2.7,3.2,3.7,4.2,4.9,5.7,6.7,7.7
26,13,Puriri Dale Way,0,293,All,0,0.2,0.4,0.6,0.8,1.1,1.5,2,2.6,3.3,4.2,5.3,6.7,8.4,10.4,12.8,15.6,18.9,22.7,27,31.8
27,15,Fendall Close,0,438,All,0.2,1.2,1.4,1.6,1.8,2.1,2.4,2.8,3.3,4,4.7,5.6,6.7,8.1,9.8,11.8,14.1,16.8,19.9,23.5,27.5
28,15,Fendall Close,438,585,All,0,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2,2.2,2.4,2.7,3,3.4,3.8,4.2,4.7,5.2,5.8,6.6
29,15,Fendall Close,585,643,All,0,0,0,0,0,0,0,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2,2.2,2.4,2.7,3,3.4
