elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,26101.6,29358.4,32809.8,36275.8,39780.9,17460,17511.2,17563.9,17618,17673.8,17731.3,17790.7,17852.4,17916.9,17984.9,18136.5,18230.4,18337.4,18463.5,18711.4,41033.1
1,1,Conifer Close,0,378,All,51238.7,55609.3,60674.8,67456.9,77553.6,51375.5,51951.6,52547.2,53162.8,53799.1,54456.9,55136.9,55840.4,56747.1,57543,58378.4,60084.1,61175.1,62410.5,117358.4,57755.9
2,2,Fladgate Drive,0,565,All,87669.6,93793.3,99033.3,103977.8,109534.6,44951.1,45096.2,45245.3,45398.6,45556.5,45719.3,45887.6,46062.1,46244.2,46636,46883.9,47158.9,47705.3,48822.8,49470.3,109179.7
3,4,Highfield Drive,0,71,All,7640.2,8648,9751,10929.8,12243.8,4956.5,4966.2,4976.1,4986.4,4997.1,5008.1,5019.7,5031.8,5044.7,5082,5101.2,5123.4,5149.5,5209.2,5338.7,12107
4,3,Matai Way,0,557,All,89369.6,99699.2,109878.7,119961.8,130827.7,53444,53599.8,53760.2,53925.3,54095.5,54271.2,54453.1,54642.1,54839.9,55290.8,55559.8,55859.9,56202.5,56895,58315.6,128476.3
5,5,Vintry Drive,0,362,All,54826.3,63381.7,72936.8,84431.6,98018.1,41640.3,41916.2,42200,42491.8,42791.9,43100.8,43418.9,43747.1,44086.5,44602.9,45006.2,45437,46095.5,47227.2,47978.2,97143
6,6,Croatia Avenue,0,42,All,3468,3542.4,3744.1,4146.9,4602.4,3448.5,3462,3476.1,3491,3506.6,3523.1,3540.5,3558.8,3578.3,3615,3640,3667.6,3698.7,3734.4,3852.4,8400.7
7,6,Croatia Avenue,42,76,All,6093,6308.7,6494,6686.4,6930.7,7284.7,7828.9,8621.1,2772.2,2775.9,2779.8,2783.7,2787.7,2791.7,2795.8,2800,2804.3,2808.7,2825.6,2833.3,2841.8
8,7,Lumbarda Drive,0,152,All,18288,18412.5,18544.9,18765.3,18929.8,19107.3,19298.9,19506.3,19731.7,19986,20571.8,22861.9,24801.5,20392,20497.3,20606,20718.3,20834.4,20954.3,21078.4,21206.7
9,8,Tarras Road,0,86,All,8956.1,9155.8,9292,9470.1,9775.6,10707.6,11927.3,13592.1,9389.1,9459.7,9534.2,9612.8,9695.8,9783.3,9875.7,9973.4,10076.8,10227.1,10351,10484.8,10630.7
