elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,2.15,3.12,4.64,7.12,11.17,17.74,28.07,42.77,60.22,76.55,88.35,95.07,98.29,99.52,99.89,99.98
1,1,Conifer Close,0,378,All,2.03,5.34,8.79,13.36,20.74,32.34,48.48,67.17,83.72,93.72,98.04,99.51,99.91,99.99,100,100
2,2,Fladgate Drive,0,565,All,1.93,2.84,4.3,6.75,10.86,17.91,29.39,45.88,65.27,82.42,92.96,97.67,99.4,99.88,99.98,100
3,4,Highfield Drive,0,71,All,2.79,4.17,6.47,10.41,17.12,28.03,44.07,63.11,80.12,91.29,96.86,99.04,99.77,99.95,99.99,100
4,3,Matai Way,0,557,All,2.59,3.85,5.89,9.31,14.99,24.31,38.4,56.35,74.25,87.78,95.27,98.45,99.59,99.92,99.99,100
5,5,Vintry Drive,0,362,All,4.29,8.23,12.59,19.57,30.32,45.6,63.65,79.89,91.19,96.88,99.08,99.77,99.96,99.99,100,100
6,6,Croatia Avenue,0,42,All,1.8,1.89,3.32,6.89,10.21,15.39,23.51,35.43,50.85,67.57,81.99,91.61,96.64,98.82,99.65,99.92
7,6,Croatia Avenue,42,76,All,1.8,2.61,3.88,5.96,9.4,15.04,24.2,37.8,55,72.42,85.96,94.01,97.93,99.43,99.87,99.98
8,7,Lumbarda Drive,0,152,All,1.8,1.8,1.8,2.02,2.06,2.1,2.16,2.23,2.31,2.42,3.37,8.9,13.36,20.27,31.09,46.33
9,8,Tarras Road,0,86,All,1.8,2.42,2.55,2.71,3.27,6.82,11.25,17.12,26.25,39.36,56.42,73.96,87.27,94.79,98.18,99.45
10,8,Tarras Road,86,120,All,1.8,1.84,1.88,1.94,2.01,2.75,3,8.02,12.21,18.83,29.47,44.97,63.48,80.26,91.38,96.9
11,9,Kowhai Glen,0,305,All,2.02,3.02,4.62,7.29,11.77,19.11,30.41,45.77,63,78.2,88.86,94.96,98.07,99.38,99.83,99.96
12,1037,Epiha Road Upper,0,415,All,2.1,4.39,6.5,9.92,15.47,24.6,38.4,56.31,74.97,88.81,96,98.82,99.72,99.95,99.99,100
13,1038,Gossey Drive North,1319,1723,All,1.8,3.75,6.2,9.46,14.8,23.64,37.16,55.02,74.03,88.34,95.83,98.78,99.71,99.95,99.99,100
14,10,Upper Ahu Ahu Road,0,46,All,19.59,1.8,1.8,1.8,1.8,1.8,1.8,2.37,2.54,2.78,3.47,4.07,5.12,6.86,10.82,17.67
15,10,Upper Ahu Ahu Road,46,68,All,2.57,3.07,6.35,10.31,15.37,23.11,34.7,50.19,67.21,81.72,91.5,96.63,98.83,99.65,99.92,99.99
16,11,Lower Ahu Ahu Road,0,158,All,1.89,2.24,4.67,7.65,11.49,17.69,27.47,41.52,58.93,76.34,89.04,95.81,98.64,99.63,99.92,99.99
17,11,Lower Ahu Ahu Road,158,179,All,1.8,1.8,1.8,1.8,1.8,2.02,2.07,2.14,2.23,2.34,2.51,8.61,13.26,20.95,33.57,51.48
18,12,Kriletich Drive,0,263,All,2.11,3.19,4.96,7.99,13.14,21.67,34.88,52.72,71.4,85.81,94.08,97.89,99.41,99.87,99.98,100
19,917,Port Street East,0,21,All,1.84,2.63,3.85,5.8,8.96,14.04,21.97,33.53,48.61,65.22,79.73,89.73,95.56,98.41,99.52,99.88
20,917,Port Street East,21,396,All,1.84,1.84,1.84,1.84,1.84,1.84,2.06,2.75,2.88,3.03,3.6,8.22,11.87,17.42,25.68,37.2
