elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,1.87,2,2.13,2.27,2.42,2.58,2.75,2.75,2.83,2.91,3,3.09,3.18,3.27,3.36,3.46,3.56,3.67,3.77,3.88,3.99
1,1,Conifer Close,0,378,All,15.24,16.11,17.02,17.98,18.97,20,17.18,17.68,18.2,18.73,19.27,19.82,20.38,20.96,21.55,22.14,22.75,23.38,24.01,24.66,25.31
2,2,Fladgate Drive,0,565,All,2.42,2.57,2.74,2.91,3.09,3.28,3.49,3.49,3.6,3.71,3.82,3.94,4.06,4.19,4.32,4.45,4.59,4.73,4.87,5.02,5.18
3,4,Highfield Drive,0,71,All,0.78,0.84,0.89,0.95,1.02,1.09,1.16,1.16,1.2,1.23,1.27,1.3,1.34,1.38,1.42,1.46,1.51,1.55,1.59,1.64,1.69
4,3,Matai Way,0,557,All,1.57,1.68,1.79,1.91,2.04,2.18,2.32,2.32,2.39,2.46,2.54,2.62,2.7,2.78,2.87,2.95,3.04,3.14,3.23,3.33,3.43
5,5,Vintry Drive,0,362,All,8.5,9.03,9.59,10.17,10.79,11.45,11.45,11.77,12.11,12.45,12.8,13.16,13.53,13.9,14.29,14.68,15.09,15.5,15.92,16.35,16.79
6,6,Croatia Avenue,0,42,All,1.87,2,2.13,2.27,2.42,2.58,2.75,2.75,2.83,2.92,3,3.09,3.18,3.27,3.36,3.46,3.56,3.66,3.76,3.87,3.98
7,6,Croatia Avenue,42,76,All,1.87,1.93,2,2.07,2.14,2.21,2.28,2.36,2.44,2.52,2.6,2.69,2.78,2.87,2.97,3.07,3.17,3.27,3.38,3.49,3.61
8,7,Lumbarda Drive,0,152,All,4.98,5.31,5.65,6.01,6.39,6.8,7.23,7.68,8.17,8.67,9.21,9.78,10.38,11.01,11.67,12.37,13.1,13.1,13.35,13.59,13.85
9,8,Tarras Road,0,86,All,2.04,2.18,2.32,2.47,2.64,2.81,3,3.2,3.2,3.3,3.4,3.5,3.61,3.72,3.84,3.95,4.07,4.2,4.33,4.46,4.6
10,8,Tarras Road,86,120,All,5.42,5.76,6.13,6.53,6.94,7.38,7.84,8.33,8.85,9.4,9.98,10.58,11.22,11.9,11.9,12.13,12.36,12.6,12.6,12.84,13.09
11,9,Kowhai Glen,0,305,All,0.55,0.57,0.6,0.62,0.65,0.67,0.7,0.72,0.72,0.75,0.77,0.79,0.81,0.84,0.86,0.89,0.91,0.94,0.97,1,1.03
12,1037,Epiha Road Upper,0,415,All,4.98,5.31,5.65,6.01,6.01,6.21,6.41,6.63,6.85,7.07,7.3,7.54,7.79,8.04,8.04,8.3,8.57,8.85,9.14,9.43,9.73
13,1038,Gossey Drive North,1319,1723,All,2.75,2.94,3.13,3.34,3.34,3.45,3.57,3.69,3.82,3.95,4.08,4.22,4.36,4.51,4.51,4.66,4.82,4.99,5.15,5.33,5.5
14,10,Upper Ahu Ahu Road,0,46,All,1.87,1.87,1.92,1.98,2.03,2.09,2.15,2.21,2.27,2.33,2.4,2.47,2.54,2.61,2.68,2.68,2.75,2.83,2.91,2.99,3.07
15,10,Upper Ahu Ahu Road,46,68,All,1.87,2,2.13,2.27,2.42,2.58,2.75,2.94,3.13,3.34,3.56,3.79,3.79,3.87,3.95,4.03,4.12,4.21,4.21,4.29,4.38
16,11,Lower Ahu Ahu Road,0,158,All,2.04,2.18,2.32,2.47,2.64,2.81,3,3.2,3.2,3.3,3.4,3.5,3.6,3.71,3.83,3.94,4.06,4.18,4.31,4.44,4.57
17,11,Lower Ahu Ahu Road,158,179,All,1.95,2.08,2.22,2.37,2.53,2.7,2.87,3.06,3.27,3.48,3.71,3.95,4.21,4.49,4.78,5.09,5.42,5.76,6.13,6.53,6.94
18,12,Kriletich Drive,0,263,All,4.39,4.55,4.72,4.89,5.07,5.26,5.45,5.64,5.64,5.81,5.99,6.17,6.36,6.55,6.75,6.95,7.16,7.38,7.6,7.83,8.06
19,917,Port Street East,0,21,All,17.65,18.63,19.65,20.72,21.82,22.97,18.47,18.84,19.23,19.62,20.01,20.41,20.82,21.23,21.65,22.08,22.51,22.94,23.38,23.83,24.29
20,917,Port Street East,21,396,All,36.08,37.61,39.17,40.76,42.36,43.98,45.61,47.25,48.9,50.55,52.2,53.84,55.48,31.65,32.41,33.18,33.95,34.74,35.53,36.34,37.15
21,917,Port Street East,396,874,All,4.78,5.09,5.42,5.76,6.13,6.13,6.28,6.43,6.58,6.73,6.89,7.05,7.21,7.38,7.55,7.72,7.9,8.08,8.27,8.46,8.65
22,917,Port Street East,874,1340,All,7.53,8,8.5,9.03,9.59,9.59,9.79,10,10.22,10.44,10.66,10.88,11.11,11.35,11.59,11.83,12.08,12.33,12.59,12.85,13.12
23,917,Port Street East,1340,1431,All,36.08,37.61,24.36,24.79,25.22,25.65,26.09,26.54,26.99,27.44,27.9,28.37,28.84,29.31,29.79,30.27,30.76,31.25,31.75,22.05,22.45
24,917,Port Street East,1431,2115,All,3,3.2,3.41,3.63,3.87,4.12,4.12,4.21,4.3,4.39,4.49,4.58,4.68,4.78,4.88,4.98,5.09,5.19,5.3,5.41,5.53
25,917,Port Street East,2120,2350,All,14.14,14.96,15.82,16.71,17.65,16.11,16.42,16.74,17.06,17.39,17.72,18.06,18.4,18.75,19.1,19.46,19.82,20.19,20.56,20.94,21.32
26,13,Puriri Dale Way,0,293,All,2.22,2.37,2.53,2.7,2.87,3.06,3.27,3.27,3.38,3.49,3.6,3.72,3.85,3.98,4.11,4.24,4.38,4.53,4.68,4.83,4.99
27,15,Fendall Close,0,438,All,4.58,4.88,5.2,5.53,5.89,5.89,6.07,6.27,6.47,6.68,6.89,7.11,7.33,7.56,7.56,7.8,8.05,8.3,8.56,8.83,9.1
28,15,Fendall Close,438,585,All,11.67,12.37,13.1,13.87,13.87,14.22,14.58,14.94,15.31,15.69,16.08,16.47,16.87,17.28,15.94,16.33,16.73,17.14,17.55,17.97,18.4
29,15,Fendall Close,585,643,All,7.84,8.33,8.85,9.4,9.98,10.58,11.22,11.9,12.61,13.35,14.14,14.96,10.17,10.46,10.74,11.04,11.34,11.65,11.97,12.29,12.63
30,15,Fendall Close,643,736,All,15.24,16.11,17.02,17.98,16.26,16.76,17.28,17.81,18.35,18.9,19.47,20.05,20.64,17.46,17.99,18.54,19.09,19.66,20.25,20.84,21.45
31,15,Fendall Close,736,814,All,6.94,7.34,7.75,8.19,8.19,8.44,8.7,8.96,9.24,9.52,9.8,10.1,10.4,10.4,10.71,11.03,11.36,11.7,12.04,12.39,12.76
32,9339,Weston Way,814,886,All,12.61,13.28,13.98,14.72,15.48,16.28,17.11,17.98,18.87,19.81,20.77,21.77,22.81,23.88,24.98,26.11,27.28,28.48,24.6,25.11,25.63
33,9339,Weston Way,886,939,All,18.97,20,21.08,22.2,23.36,24.56,25.81,27.09,28.41,29.78,31.17,32.61,34.07,35.57,37.1,38.65,24.77,25.31,25.85,26.4,26.96
34,9339,Weston Way,965,1051,All,17.02,17.98,18.97,20,21.08,22.2,23.36,15.53,16.01,16.51,17.02,17.54,18.08,18.63,19.19,16.81,17.33,17.86,18.4,18.96,19.53
35,9339,Weston Way,1051,1219,All,14.68,15.53,15.1,15.55,16.02,16.5,16.99,17.49,18,18.53,19.07,16.76,17.25,17.76,18.28,18.81,19.36,19.91,20.48,21.06,17.64
36,9339,Weston Way,1237,1589,All,9.59,10.17,10.17,10.5,10.84,11.19,11.55,11.92,12.3,12.69,13.09,13.09,13.5,13.92,14.35,14.79,15.25,15.71,16.19,16.68,17.18
37,9339,Weston Way,1589,1999,All,4.78,5.09,5.42,5.42,5.6,5.8,5.99,6.2,6.41,6.63,6.85,7.09,7.09,7.33,7.57,7.83,8.09,8.36,8.64,8.93,9.22
38,9339,Weston Way,1999,2369,All,6.94,7.38,7.38,7.61,7.84,8.08,8.33,8.59,8.85,9.12,9.4,9.4,9.68,9.97,10.27,10.58,10.9,11.22,11.56,11.9,11.9
39,9339,Weston Way,2385,2696,All,17.02,17.98,18.97,16.71,17.21,17.71,18.22,18.75,19.29,19.84,20.4,20.97,21.56,22.15,22.76,18.38,18.91,19.45,20,20.57,21.14
40,9339,Weston Way,2696,3114,All,45.61,27.53,28.22,28.93,29.64,30.37,31.1,31.85,32.6,33.37,22.69,23.3,23.93,24.56,25.2,25.86,26.53,27.21,27.9,20.51,21.08
41,9339,Weston Way,3114,3398,All,12.61,13.35,14.14,14.96,15.82,15.24,15.67,16.1,16.55,17,17.47,17.95,18.43,18.93,19.44,19.95,20.48,17.39,17.86,18.35,18.84
42,9339,Weston Way,3398,3457,All,7.84,8.33,8.85,9.4,9.98,9.98,10.25,10.52,10.81,11.1,11.4,11.7,12.02,12.33,12.66,12.99,13.34,13.68,14.04,14.41,14.41
43,9339,Weston Way,3457,3675,All,8.85,9.4,9.98,10.58,11.22,11.9,12.61,13.35,14.14,14.96,15.82,16.71,17.65,18.63,19.65,20.72,21.82,22.97,24.16,25.39,26.66
