elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,9.55,12.35,15.31,2.01,2.05,2.09,2.13,2.18,2.22,2.27,2.32,2.37,2.42,2.55,2.63,2.71,2.82,3.02,22.16,25.08,29.3
1,1,Conifer Close,0,378,All,6.51,8.16,10.07,6.16,6.36,6.57,6.78,7.01,7.24,7.48,7.73,8.05,8.33,8.63,8.94,9.6,10.03,30.46,33.73,37.63,39.41
2,2,Fladgate Drive,0,565,All,16.7,18.76,20.53,2.16,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.56,2.69,2.76,2.85,2.95,3.39,3.59,23.58,28.46,30.62
3,4,Highfield Drive,0,71,All,9.1,12,15.17,18.56,22.34,26.91,1.43,1.46,1.49,1.52,1.55,1.58,1.62,1.65,1.69,1.8,1.86,1.92,2,2.17,2.55
4,3,Matai Way,0,557,All,12.06,14.94,17.78,1.93,1.97,2.01,2.05,2.09,2.14,2.19,2.24,2.29,2.41,2.48,2.56,2.65,2.83,3.22,22.73,25.8,29.8
5,5,Vintry Drive,0,362,All,9.68,13.2,3.72,3.82,3.92,4.02,4.13,4.23,4.35,4.46,4.58,4.78,4.92,5.08,5.25,5.76,6.04,26.03,30.99,33.24,5.8
6,6,Croatia Avenue,0,42,All,1.89,2.2,3.06,4.77,6.71,1.8,1.86,1.92,1.99,2.05,2.12,2.2,2.27,2.36,2.51,2.62,2.74,2.87,3.02,3.52,22.86
7,6,Croatia Avenue,42,76,All,19.14,20.28,21.25,22.26,23.54,25.4,1.65,1.67,1.69,1.71,1.73,1.75,1.77,1.79,1.81,1.83,1.92,1.96,2,2.05,2.1
8,7,Lumbarda Drive,0,152,All,2.09,2.19,2.3,2.48,2.61,2.76,2.92,3.08,3.27,3.48,3.96,5.83,7.41,9.77,13.38,18.4,24.31,29.87,34.22,37.48,40.24
9,8,Tarras Road,0,86,All,2.02,2.35,2.58,2.87,3.38,4.93,6.96,9.72,2.74,2.86,2.98,3.11,3.25,3.39,3.55,3.71,3.88,4.13,4.34,4.56,4.8
10,8,Tarras Road,86,120,All,2.42,2.54,2.67,2.82,2.98,3.35,3.59,5.28,6.75,8.99,12.5,3.84,3.93,4.02,4.11,4.2,4.29,4.39,4.49,4.6,4.77
11,9,Kowhai Glen,0,305,All,8.82,11.58,14.52,17.51,20.6,24.08,1.27,1.28,1.3,1.31,1.33,1.34,1.36,1.44,1.48,1.52,1.56,1.62,1.93,2.1,2.34
12,1037,Epiha Road Upper,0,415,All,8.7,10.09,11.65,13.9,7.43,7.72,8.02,8.33,8.66,9.08,9.47,10.21,10.77,32.39,36.33,8.41,8.73,9.06,9.4,9.76,10.21
