elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,11.22,0,0,0
1,1,Conifer Close,0,378,All,0.4,3.45,4.51,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.36,11.54,0,0,0
2,2,Fladgate Drive,0,565,All,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.33,11.48,0,0,0
3,4,Highfield Drive,0,71,All,1.6,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.22,11.34,0,0,0
4,3,Matai Way,0,557,All,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.22,11.35,0,0,0
5,5,Vintry Drive,0,362,All,0.5,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.33,11.48,0,0,0
6,6,Croatia Avenue,0,42,All,0,0.14,1.3,3.21,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,11.31
7,6,Croatia Avenue,42,76,All,0,0.94,1.96,3.08,4.3,5.62,0,0,0,0,0,0,0,0,0,0,0.2,0.24,0.29,0.35,0.42
8,7,Lumbarda Drive,0,152,All,0,0,0,0.2,0.23,0.28,0.32,0.38,0.44,0.52,1.63,3.87,4.96,0,0,0,0,0,0,0,0
9,8,Tarras Road,0,86,All,0,1.04,1.19,1.36,1.55,3.77,4.85,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,0.04,0.08,0.13,0.19,1.26,1.48,3.75,4.87,0,0,0,0,0,0,0,0,0,0.2,0.24,0.29
11,9,Kowhai Glen,0,305,All,0.26,1.3,2.43,3.67,0,0,0,0,0,0,0,0.2,0.24,0.29,0.35,0.43,1.52,1.78,2.1,2.47,2.93
12,1037,Epiha Road Upper,0,415,All,0,2.18,3.21,4.35,0,0,0,0,0,0,0,1.2,1.34,12.51,0,0,0,0,0,0,1.2
13,1038,Gossey Drive North,1319,1723,All,0,2.18,3.21,4.35,0,0,0,0,0,0,0,1.2,1.34,12.51,0,0,0,0,0,0,1.2
14,10,Upper Ahu Ahu Road,0,46,All,8.9,0,0,0,0,0,0,1,1.26,1.59,1.98,2.51,3.28,4.3,5.77,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,1.3,1.48,3.69,4.73,5.88,0,0,0,0,0,0,0,0,0,0.2,0.24,0.29,0.35,0.41,0.5,1.62
16,11,Lower Ahu Ahu Road,0,158,All,0,0.16,2.35,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.33,11.47,0
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0.2,0.25,0.31,0.38,0.46,0.59,3.75,4.89,0,0,0,0,0,0,0,0
18,12,Kriletich Drive,0,263,All,0.22,1.24,2.36,0,0,0,0,0,0,0.2,0.28,0.37,1.51,1.89,2.37,3.02,3.87,4.92,0,0.2,0.77
19,917,Port Street East,0,21,All,0,0.91,1.89,2.97,4.14,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,917,Port Street East,21,396,All,0,0,0,0,0,0,0.2,1.23,1.36,1.51,1.68,3.87,4.89,0,0,0,0,0,0,0,0
21,917,Port Street East,396,874,All,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.3,0,0
22,917,Port Street East,874,1340,All,0.2,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.09,11.39,0,0
23,917,Port Street East,1340,1431,All,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.3,0,0
24,917,Port Street East,1431,2115,All,0,2.12,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.29,0
25,917,Port Street East,2120,2350,All,0,2.12,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.29,0
26,13,Puriri Dale Way,0,293,All,0,1.05,0,0,0,0,0,0,0,0,0,0,0,1.2,1.37,1.56,11.77,0,0,0,0
27,15,Fendall Close,0,438,All,0.32,2.2,3.34,0,0,0,0,0,0,0,1.2,11.37,0,0,0,0,0,0,0,0,0
28,15,Fendall Close,438,585,All,0,1.03,1.15,3.29,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,0.2,0.23,0.26,0.3,0.34,1.39,1.54,1.71,3.91,4.95,0,0,0,0,0,0.2,0.24,0.29,1.35
30,15,Fendall Close,643,736,All,2.64,3.07,5.66,7.34,0,0,0,0,0,0,1.2,1.4,11.62,0,0,0,0,0,1,1.38,1.63
31,15,Fendall Close,736,814,All,1.04,0,0,0,0,0,0,1.2,1.39,11.6,0,0,0,0,0,1,1.37,1.6,12.88,0,0
32,9339,Weston Way,814,886,All,6.04,8.82,12.17,0,1,3.46,13.31,39.48,63.05,78.57,89.07,0,1,3.97,16.37,48.5,71.57,86.5,95.98,0,1
