elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,0,0.94,1.94,3.05,4.26,5.57,7,8.55,10.23,12.05,14.04,16.24,18.81,21.83,25.29,29.24
1,1,Conifer Close,0,378,All,0.4,3.45,4.51,5.68,6.99,8.46,10.1,11.98,14.19,16.72,19.58,22.84,26.64,31.25,36.44,42.12
2,2,Fladgate Drive,0,565,All,0,0.98,2.04,3.22,4.5,5.93,7.5,9.22,11.15,13.34,15.8,18.53,21.76,25.57,30.06,35.25
3,4,Highfield Drive,0,71,All,1.6,2.68,3.87,5.23,6.73,8.4,10.24,12.26,14.49,17.01,19.84,23,26.67,30.9,35.75,41.28
4,3,Matai Way,0,557,All,0,0.97,2.01,3.16,4.43,5.81,7.34,9.01,10.83,12.89,15.19,17.74,20.74,24.28,28.37,33.1
5,5,Vintry Drive,0,362,All,0.5,2.42,3.51,4.71,6.04,7.52,9.17,10.97,13.06,15.45,18.13,21.15,24.79,29.06,34,39.39
6,6,Croatia Avenue,0,42,All,0,0.14,1.3,3.21,4.28,5.44,6.74,8.15,9.7,11.4,13.31,15.42,17.75,20.3,23.25,26.7
7,6,Croatia Avenue,42,76,All,0,0.94,1.96,3.08,4.3,5.62,7.07,8.65,10.35,12.21,14.27,16.55,19.21,22.33,25.91,29.99
8,7,Lumbarda Drive,0,152,All,0,0,0,0.2,0.23,0.28,0.32,0.38,0.44,0.52,1.63,3.87,4.96,6.14,7.47,8.97
9,8,Tarras Road,0,86,All,0,1.04,1.19,1.36,1.55,3.77,4.85,6.03,7.35,8.8,10.46,12.33,14.43,16.74,19.3,22.12
10,8,Tarras Road,86,120,All,0,0.04,0.08,0.13,0.19,1.26,1.48,3.75,4.87,6.09,7.47,9.02,10.75,12.7,14.89,17.35
11,9,Kowhai Glen,0,305,All,0.26,1.3,2.43,3.67,5.02,6.48,8.05,9.73,11.52,13.43,15.48,17.68,20.23,23.18,26.53,30.28
12,1037,Epiha Road Upper,0,415,All,0,2.18,3.21,4.35,5.61,7.02,8.6,10.35,12.39,14.71,17.34,20.28,23.61,27.67,32.48,37.81
13,1038,Gossey Drive North,1319,1723,All,0,2.18,3.21,4.35,5.62,7.03,8.61,10.37,12.41,14.75,17.38,20.34,23.69,27.78,32.62,37.97
14,10,Upper Ahu Ahu Road,0,46,All,8.9,0,0,0,0,0,0,1,1.26,1.59,1.98,2.51,3.28,4.3,5.77,7.67
15,10,Upper Ahu Ahu Road,46,68,All,1.3,1.48,3.69,4.73,5.88,7.14,8.56,10.16,11.94,13.89,16.07,18.48,21.11,24.09,27.68,31.88
16,11,Lower Ahu Ahu Road,0,158,All,0,0.16,2.35,3.38,4.49,5.73,7.12,8.64,10.35,12.31,14.52,16.99,19.71,22.75,26.37,30.67
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0.2,0.25,0.31,0.38,0.46,0.59,3.75,4.89,6.16,7.62,9.29
18,12,Kriletich Drive,0,263,All,0.22,1.24,2.36,3.59,4.94,6.41,8.04,9.87,11.91,14.16,16.63,19.39,22.79,26.84,31.53,36.87
19,917,Port Street East,0,21,All,0,0.91,1.89,2.97,4.14,5.4,6.77,8.22,9.79,11.5,13.37,15.38,17.65,20.31,23.38,26.85
20,917,Port Street East,21,396,All,0,0,0,0,0,0,0.2,1.23,1.36,1.51,1.68,3.87,4.89,6.02,7.26,8.6
21,917,Port Street East,396,874,All,0,0.91,1.89,2.97,4.14,5.41,6.77,8.23,9.8,11.52,13.38,15.4,17.68,20.35,23.42,26.9
22,917,Port Street East,874,1340,All,0.2,2.32,3.63,5.04,6.55,8.15,9.85,11.69,13.85,16.38,19.26,22.51,26.13,30.15,34.57,39.4
23,917,Port Street East,1340,1431,All,0,0.91,1.89,2.96,4.12,5.38,6.74,8.19,9.75,11.44,13.29,15.28,17.53,20.15,23.18,26.61
24,917,Port Street East,1431,2115,All,0,2.12,3.04,4.03,5.12,6.3,7.58,8.94,10.41,12,13.73,15.6,17.61,19.91,22.58,25.65
25,917,Port Street East,2120,2350,All,0,2.12,3.04,4.03,5.12,6.3,7.58,8.94,10.41,12,13.73,15.6,17.61,19.9,22.58,25.64
26,13,Puriri Dale Way,0,293,All,0,1.05,2.2,3.48,4.94,6.59,8.47,10.72,13.37,16.4,19.92,24.06,29.07,34.61,40.68,47.29
