elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,30.86,35.07,36.87,43.09,47.9,48.7,53.11,53.31,54.31,53.11,53.91,55.71,62.32,63.53,64.33,65.13,67.74,69.74,71.14,71.14
1,1,Conifer Close,0,378,All,47.49,61.72,63.53,67.13,69.34,69.94,69.94,71.54,71.34,73.95,75.15,76.35,77.76,78.96,80.76,83.37,84.17,85.37,86.37,86.77,87.17
2,2,Fladgate Drive,0,565,All,0,35.87,40.48,42.48,50.7,53.91,55.51,60.32,61.12,62.93,64.13,65.33,70.14,71.94,72.55,74.95,76.35,77.56,78.96,80.16,80.96
3,4,Highfield Drive,0,71,All,53.91,57.72,61.72,65.53,68.34,69.74,70.34,72.95,72.75,74.35,76.15,76.75,78.16,78.16,80.16,81.36,83.17,84.97,85.57,86.57,86.57
4,3,Matai Way,0,557,All,0,34.27,38.88,40.68,48.5,52.3,53.31,58.32,58.72,59.32,61.52,62.53,66.33,69.54,70.14,71.74,73.55,75.15,76.15,77.35,77.56
5,5,Vintry Drive,0,362,All,48.3,56.51,60.12,63.93,65.93,67.13,66.33,69.14,67.54,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Croatia Avenue,0,42,All,0,18.04,28.06,42.28,43.49,43.69,43.09,46.49,46.29,46.09,45.89,48.3,51.7,53.91,56.91,57.52,57.92,60.52,63.13,64.73,65.53
7,6,Croatia Avenue,42,76,All,0,32.06,36.07,37.88,44.29,49.1,50.5,54.91,54.91,55.71,56.11,56.11,58.72,64.13,64.93,66.13,67.74,69.74,71.74,72.95,72.95
8,7,Lumbarda Drive,0,152,All,0,0,0,18.44,23.25,26.25,23.65,24.05,21.64,22.44,24.85,28.66,29.46,27.86,26.25,24.05,24.05,25.05,28.26,28.26,31.06
9,8,Tarras Road,0,86,All,0,40.68,26.65,30.26,31.26,36.87,37.88,41.88,39.48,39.48,39.08,39.88,43.09,44.69,46.69,52.91,53.31,53.71,55.71,57.52,58.32
10,8,Tarras Road,86,120,All,0,16.03,15.23,16.43,19.24,31.06,31.66,38.68,36.87,37.88,36.47,34.87,35.67,37.27,38.68,41.88,41.88,48.3,49.1,49.1,51.3
11,9,Kowhai Glen,0,305,All,46.49,48.9,51.5,54.51,59.72,60.32,60.72,63.53,61.92,63.13,62.73,62.12,64.73,67.13,66.33,66.33,66.93,68.34,68.34,68.14,67.54
12,1037,Epiha Road Upper,0,415,All,0,53.71,56.71,60.32,0,0,0,0,0,0,0,20.04,21.64,36.47,34.87,36.87,36.87,37.47,41.88,43.89,0
13,1038,Gossey Drive North,1319,1723,All,0,54.11,57.11,60.72,0,0,0,0,0,0,0,20.04,22.04,36.87,35.27,37.27,37.27,37.88,42.28,0,0
14,10,Upper Ahu Ahu Road,0,46,All,83.37,0,0,0,0,0,0,27.86,25.25,27.86,26.45,24.45,25.85,24.05,23.65,22.85,42.69,49.5,53.11,56.11,58.52
15,10,Upper Ahu Ahu Road,46,68,All,52.71,49.9,60.92,64.33,65.33,65.73,64.33,65.53,63.53,63.93,64.73,65.13,67.74,69.14,68.94,69.54,71.14,72.75,73.95,74.75,74.95
16,11,Lower Ahu Ahu Road,0,158,All,0,21.04,49.7,48.9,50.1,50.9,51.1,54.51,55.11,56.51,58.12,57.72,59.92,65.33,65.93,67.33,69.74,71.54,72.95,73.75,73.95
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,21.64,21.64,22.85,21.44,22.24,20.84,27.45,28.46,28.06,26.85,24.65,24.65,26.05,30.06,32.87,38.28
18,12,Kriletich Drive,0,263,All,46.09,47.9,50.5,53.91,59.32,59.52,60.52,64.73,63.33,65.13,65.73,67.54,72.14,73.55,74.35,76.55,77.76,79.56,81.96,84.57,85.57
19,917,Port Street East,0,21,All,0,27.66,31.86,33.67,39.68,43.09,43.69,47.9,47.9,47.49,46.29,47.7,50.9,54.31,57.52,57.92,58.32,60.12,62.32,63.73,64.53
20,917,Port Street East,21,396,All,0,0,0,0,0,0,18.44,29.46,25.85,27.66,25.45,28.26,29.06,27.45,25.05,23.65,23.45,23.45,25.05,26.85,28.46
21,917,Port Street East,396,874,All,0,27.86,32.06,33.87,39.88,43.29,43.89,48.1,48.1,47.7,46.49,47.9,51.1,54.91,57.72,58.12,58.52,60.32,62.73,63.93,64.73
22,917,Port Street East,874,1340,All,45.89,56.31,60.52,65.33,67.74,68.74,69.74,70.74,70.54,73.35,73.55,75.55,76.55,76.75,77.76,79.16,79.76,80.16,81.56,82.97,83.77
23,917,Port Street East,1340,1431,All,0,27.25,31.46,33.27,39.28,42.69,43.29,47.49,47.49,47.09,45.69,47.29,49.5,53.11,56.71,57.31,57.72,59.12,61.52,62.93,63.73
24,917,Port Street East,1431,2115,All,0,53.11,55.91,58.92,61.32,59.12,56.71,57.92,56.11,54.11,50.5,49.3,50.5,51.9,55.51,55.91,56.31,56.71,58.92,60.92,61.32
25,917,Port Street East,2120,2350,All,0,52.91,55.31,58.32,60.72,58.32,56.11,57.52,55.31,53.71,49.9,49.1,49.9,51.3,55.31,55.31,56.11,56.11,58.32,59.92,60.72
26,13,Puriri Dale Way,0,293,All,0,44.09,47.09,52.91,59.52,63.53,63.73,68.74,70.34,73.55,76.55,80.16,82.57,85.77,87.78,88.38,89.18,90.38,91.38,92.18,92.59
27,15,Fendall Close,0,438,All,47.09,55.31,58.52,62.73,66.33,0,0,0,0,0,0,0,20.84,33.67,34.47,36.27,36.07,37.07,38.48,42.28,43.09
28,15,Fendall Close,438,585,All,0,40.08,26.25,46.69,0,0,0,0,0,0,0,0,0,32.46,34.07,35.67,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,18.44,20.84,24.45,27.45,24.05,32.06,27.86,28.66,31.06,29.46,0,0,0,0,0,12.22,14.43,13.63,15.03
30,15,Fendall Close,643,736,All,58.52,59.52,66.33,69.54,0,0,0,0,0,0,21.64,22.04,37.47,40.68,40.68,0,0,0,0,0,14.43
31,15,Fendall Close,736,814,All,51.3,0,0,0,0,0,0,28.66,26.05,48.1,50.9,46.29,0,0,0,0,0,15.23,18.24,22.04,23.65
32,9339,Weston Way,814,886,All,73.15,78.36,83.37,0,28.66,36.27,73.35,94.59,96.39,96.99,97.19,97.39,97.8,100,0,0,0,0,0,0,0
33,9339,Weston Way,886,939,All,0,48.3,54.51,59.12,0,0,0,21.64,20.84,27.05,26.25,24.85,26.25,25.45,25.45,27.86,52.1,0,13.63,15.23,17.64
34,9339,Weston Way,965,1051,All,0,24.85,23.25,27.86,32.46,39.88,49.1,0,0,20.04,20.44,23.25,23.65,24.45,24.05,25.85,31.06,52.91,0,12.83,13.63
35,9339,Weston Way,1051,1219,All,0,46.29,50.9,0,0,0,0,0,23.25,25.85,24.05,40.68,42.69,43.09,0,0,0,0,0,16.03,16.03
36,9339,Weston Way,1237,1589,All,60.72,0,0,0,0,0,29.46,31.66,28.66,59.92,56.71,51.3,0,0,0,0,16.83,17.23,20.04,23.25,24.45
37,9339,Weston Way,1589,1999,All,60.72,64.93,0,0,0,0,0,28.66,26.25,28.26,44.29,44.29,45.89,0,0,0,0,15.23,18.44,18.44,20.84
38,9339,Weston Way,1999,2369,All,60.72,66.33,68.14,0,0,0,0,0,0,0,21.64,37.47,39.08,41.48,42.28,42.28,0,0,0,0,0
39,9339,Weston Way,2385,2696,All,48.7,56.71,60.72,64.93,67.54,68.94,70.14,0,0,0,0,0,0,0,0,17.23,17.84,18.04,23.65,24.45,25.65
40,9339,Weston Way,2696,3114,All,48.5,50.1,53.31,56.71,60.12,63.33,60.92,65.33,63.93,65.33,65.53,67.33,71.74,73.15,73.75,75.95,77.35,79.36,81.16,83.37,85.17
41,9339,Weston Way,3114,3398,All,46.29,56.11,58.72,62.53,65.73,66.73,66.13,69.54,68.94,70.54,72.14,74.95,75.55,77.56,79.96,81.56,83.77,85.17,86.17,86.37,86.97
42,9339,Weston Way,3398,3457,All,49.9,51.1,54.71,57.31,60.32,59.72,58.72,60.92,60.92,60.72,60.72,60.12,61.12,65.73,66.13,67.13,68.74,70.34,72.14,73.15,73.35
43,9339,Weston Way,3457,3675,All,43.89,24.05,20.84,46.89,42.48,41.68,42.08,46.29,43.49,45.29,42.69,42.69,45.09,47.29,48.3,53.71,54.11,54.11,55.31,57.11,57.92
44,9167,Foxglove Drive,0,668,All,57.11,57.11,53.71,32.06,35.07,35.67,40.88,44.49,42.48,43.89,40.48,40.28,43.69,44.49,45.29,51.1,51.5,52.1,51.9,52.91,54.51
45,16,Sarah Lane,0,515,All,0,37.27,41.88,45.89,52.91,56.11,57.92,61.92,62.32,64.53,66.53,68.54,72.95,74.55,75.55,77.96,79.16,81.16,82.77,83.97,84.37
46,17,Ash Drive,0,318,All,43.89,25.65,23.85,26.85,31.66,33.87,39.08,45.29,48.5,61.52,66.93,74.15,77.35,79.76,82.77,84.97,85.77,86.77,88.78,88.98,88.78
47,18,Monaghan Way,0,80,All,0,0,0,18.44,22.44,25.45,22.44,30.26,31.06,34.07,32.46,30.26,31.06,29.46,29.46,29.46,28.66,31.06,34.07,35.67,40.28
48,1035,Cousins Avenue East,0,61,All,0,29.46,33.67,35.27,41.48,45.09,45.89,50.5,50.5,50.5,48.7,50.5,53.31,57.92,59.12,59.92,60.72,62.93,64.93,66.53,66.93
49,19,Elm Close,0,82,All,0,43.09,27.45,30.66,31.86,37.47,38.48,42.69,40.68,41.28,40.88,42.28,45.49,48.3,53.91,54.91,55.31,57.11,59.52,61.32,61.92
50,19,Elm Close,82,101,All,0,20.44,21.24,23.05,33.87,37.68,39.28,43.89,42.28,44.69,43.69,44.69,48.1,52.1,57.11,58.52,59.52,63.13,65.53,66.93,67.13
51,20,Burkes Creek Road,0,21,All,0,54.51,57.52,60.92,63.93,65.53,0,0,0,0,0,0,0,20.04,20.24,30.86,30.66,30.46,32.67,33.87,36.67
52,20,Burkes Creek Road,21,520,All,0,54.91,57.92,61.52,64.53,66.13,64.53,0,0,0,0,0,0,0,18.44,28.66,28.26,29.46,31.06,31.66,31.66
