elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,0,0.073,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.09,1.19
1,1,Conifer Close,0,378,All,0,0.1,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.092,1.195,1.309
2,2,Fladgate Drive,0,565,All,0,0.074,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.098,1.207
3,4,Highfield Drive,0,71,All,0,0.074,0.152,0.238,0.331,0.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,Matai Way,0,557,All,0,0.074,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.094,1.2
5,5,Vintry Drive,0,362,All,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.097,1.205,0
6,6,Croatia Avenue,0,42,All,0,0,0.1,0.173,0.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,6,Croatia Avenue,42,76,All,0,0.073,0.151,0.236,0.329,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,Lumbarda Drive,0,152,All,0,0,0,0,0,0,0,0,0,0,0,0.1,0.173,0.251,0.335,0.428,0.527,0.634,0.749,0.87,0.999
9,8,Tarras Road,0,86,All,0,0,0,0,0,0.1,0.173,0.253,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Tarras Road,86,120,All,0,0,0,0,0,0,0,0.1,0.173,0.251,0.337,0,0,0,0,0,0,0,0,0,0
11,9,Kowhai Glen,0,305,All,0,0.074,0.152,0.238,0.331,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1037,Epiha Road Upper,0,415,All,0,0.1,0.174,0.255,0,0,0,0,0,0,0,0,0,1,1.1,0,0,0,0,0,0
13,1038,Gossey Drive North,1319,1723,All,0,0.1,0.174,0.255,0,0,0,0,0,0,0,0,0,1,1.101,0,0,0,0,0,0
14,10,Upper Ahu Ahu Road,0,46,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.093,1.196,1.31,0
15,10,Upper Ahu Ahu Road,46,68,All,0,0,0.1,0.174,0.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11,Lower Ahu Ahu Road,0,158,All,0,0,0.1,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.097
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0,0,0,0,0,0,0.1,0.174,0.252,0.338,0.432,0.533,0.641,0.757,0.881,1.012
18,12,Kriletich Drive,0,263,All,0,0.075,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,917,Port Street East,0,21,All,0,0.072,0.147,0.23,0.32,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,917,Port Street East,21,396,All,0,0,0,0,0,0,0,0,0,0,0,0.1,0.175,0.256,0.345,0.441,0.543,0,0,0,0
21,917,Port Street East,396,874,All,0,0.072,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.086
22,917,Port Street East,874,1340,All,0.01,0.112,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.086
23,917,Port Street East,1340,1431,All,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.085,0
24,917,Port Street East,1431,2115,All,0,0.1,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.084
25,917,Port Street East,2120,2350,All,0,0.1,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.084
26,13,Puriri Dale Way,0,293,All,0,0.075,0.155,0.242,0.338,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,15,Fendall Close,0,438,All,0.01,0.085,0.166,0,0,0,0,0,0,0,0,1,1.092,1.195,0,0,0,0,0,0,0
28,15,Fendall Close,438,585,All,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,1.089,0,0,0,0,0,0
29,15,Fendall Close,585,643,All,0,0,0,0,0,0,0,0,0,0,0.1,0.173,0,0,0,0,0,0,0,0,0
30,15,Fendall Close,643,736,All,0,0,0.1,0.176,0,0,0,0,0,0,0,0,1,1.096,1.204,0,0,0,0,0,0
31,15,Fendall Close,736,814,All,0,0,0,0,0,0,0,0,0,1,1.095,1.202,0,0,0,0,0,0,0,1,1.099
32,9339,Weston Way,814,886,All,0,0,0,0,0,0,0,0,0,0,0,1,1.106,1.224,0,0,0,0,0,0,0
33,9339,Weston Way,886,939,All,0,0,0.1,0.178,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,9339,Weston Way,965,1051,All,0,0,0,0,0,0.1,0.176,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,9339,Weston Way,1051,1219,All,0,0.076,0,0,0,0,0,0,0,0,1,1.098,1.209,0,0,0,0,0,0,0,1
36,9339,Weston Way,1237,1589,All,0.01,0,0,0,0,0,0,0,0,1,1.099,1.212,0,0,0,0,0,0,0,1,1.103
37,9339,Weston Way,1589,1999,All,0.01,0,0,0,0,0,0,0,0,1,1.099,1.212,0,0,0,0,0,0,0,1,1.103
38,9339,Weston Way,1999,2369,All,0.01,0,0,0,0,0,0,0,0,1,1.092,1.195,0,0,0,0,0,0,0,1,1.095
39,9339,Weston Way,2385,2696,All,0,0.075,0,0,0,0,0,0,0,0,0,0,0,1,1.093,1.198,1.315,0,0,0,0
40,9339,Weston Way,2696,3114,All,0,0.075,0,0,0,0,0,0,0,0,1,1.092,1.196,1.311,1.438,1.577,1.727,0,0,0,0
41,9339,Weston Way,3114,3398,All,0,0.074,0.154,0,0,0,0,0,0,0,0,0,0,0,1,1.091,1.193,1.306,1.43,0,0
42,9339,Weston Way,3398,3457,All,0,0.073,0.151,0.237,0.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,9339,Weston Way,3457,3675,All,0,0,0,0.1,0.173,0.25,0.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9167,Foxglove Drive,0,668,All,0,0,0,0,0,0,0.1,0.171,0.247,0.329,0.418,0.515,0.618,0.728,0.846,0.97,0,0,0,0,0
45,16,Sarah Lane,0,515,All,0,0.074,0.153,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.091,1.192
46,17,Ash Drive,0,318,All,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1,1.098,1.208
47,18,Monaghan Way,0,80,All,0,0,0,0,0,0,0,0,0.1,0.172,0.249,0,0,0,0,0,0,0,0,0,0
48,1035,Cousins Avenue East,0,61,All,0,0.073,0.15,0.235,0.327,0.426,0.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,19,Elm Close,0,82,All,0,0,0,0,0,0.1,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,19,Elm Close,82,101,All,0,0,0,0,0.1,0.178,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,20,Burkes Creek Road,0,21,All,0,0.1,0.174,0.255,0.344,0,0,0,0,0,0,0,0,0,1,1.102,0,0,0,0,0
52,20,Burkes Creek Road,21,520,All,0,0.1,0.174,0.255,0,0,0,0,0,0,0,0,0,1,1.102,1.215,1.339,0,0,0,0
