elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,0,0.073,0.151,0.236,0.329,0.429,0.536,0.651,0.773,0.903,1.04,1.184,1.352,1.549,1.776,2.033
1,1,Conifer Close,0,378,All,0,0.1,0.174,0.256,0.345,0.442,0.546,0.658,0.778,0.905,1.04,1.183,1.337,1.522,1.738,1.984
2,2,Fladgate Drive,0,565,All,0,0.074,0.153,0.239,0.333,0.434,0.543,0.659,0.783,0.915,1.054,1.2,1.373,1.576,1.809,2.073
3,4,Highfield Drive,0,71,All,0,0.074,0.152,0.238,0.331,0.432,0.54,0.656,0.779,0.91,1.048,1.194,1.365,1.566,1.796,0
4,3,Matai Way,0,557,All,0,0.074,0.153,0.239,0.333,0.434,0.543,0.66,0.783,0.915,1.054,1.201,1.374,1.577,1.81,2.073
5,5,Vintry Drive,0,362,All,0,0.075,0.155,0.243,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Croatia Avenue,0,42,All,0,0,0.1,0.173,0.252,0.337,0.431,0.531,0.639,0.754,0.877,1.007,1.145,1.29,1.46,1.659
7,6,Croatia Avenue,42,76,All,0,0.073,0.151,0.236,0.329,0.429,0.537,0.651,0.774,0.903,1.04,1.185,1.353,1.55,1.777,2.034
8,7,Lumbarda Drive,0,152,All,0,0,0,0,0,0,0,0,0,0,0,0.1,0.173,0.251,0.335,0.428
9,8,Tarras Road,0,86,All,0,0,0,0,0,0.1,0.173,0.253,0.341,0.435,0.537,0.647,0.764,0.888,1.02,1.159
10,8,Tarras Road,86,120,All,0,0,0,0,0,0,0,0.1,0.173,0.251,0.337,0.429,0.53,0.637,0.752,0.875
11,9,Kowhai Glen,0,305,All,0,0.074,0.152,0.238,0.331,0.431,0.539,0.655,0.778,0.908,1.046,1.192,1.362,1.562,1.792,2.051
12,1037,Epiha Road Upper,0,415,All,0,0.1,0.174,0.255,0.343,0,0,0,0,0,0,0,0,0,1,1.101
13,1038,Gossey Drive North,1319,1723,All,0,0.1,0.174,0.255,0.343,0.439,0.542,0.653,0.772,0.898,1.032,1.173,1.324,1.505,1.716,0
14,10,Upper Ahu Ahu Road,0,46,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,0,0,0.1,0.174,0.255,0.344,0.44,0.544,0.655,0.774,0.9,1.033,1.174,1.327,1.509,1.722
16,11,Lower Ahu Ahu Road,0,158,All,0,0,0.1,0.174,0.253,0.339,0.433,0.535,0.644,0.761,0.885,1.016,1.155,1.302,1.476,1.68
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,0,0,0,0,0,0,0.1,0.174,0.252,0.338,0.432
18,12,Kriletich Drive,0,263,All,0,0.075,0.154,0.242,0.337,0.44,0.55,0.668,0.794,0.928,1.069,1.218,1.397,1.606,1.846,2.117
19,917,Port Street East,0,21,All,0,0.072,0.147,0.23,0.32,0.417,0.521,0.632,0.75,0.876,1.008,1.147,1.304,1.488,1.701,1.942
20,917,Port Street East,21,396,All,0,0,0,0,0,0,0,0,0,0,0,0.1,0.175,0.256,0.345,0.441
21,917,Port Street East,396,874,All,0,0.072,0.147,0.23,0.32,0.417,0.522,0.633,0.751,0.876,1.009,1.148,1.305,1.49,1.703,1.944
22,917,Port Street East,874,1340,All,0.01,0.112,0.221,0.338,0.461,0.592,0.729,0.878,1.055,1.261,1.494,1.756,2.047,2.365,2.712,3.087
23,917,Port Street East,1340,1431,All,0,0.072,0.147,0.23,0.32,0.417,0.521,0.632,0.75,0.875,1.007,1.146,1.303,1.487,1.699,1.94
24,917,Port Street East,1431,2115,All,0,0.1,0.171,0.248,0.332,0.423,0.521,0.625,0.737,0.856,0.982,1.115,1.255,1.415,1.603,1.819
25,917,Port Street East,2120,2350,All,0,0.1,0.171,0.248,0.332,0.423,0.521,0.625,0.737,0.856,0.982,1.115,1.255,1.415,1.603,1.819
26,13,Puriri Dale Way,0,293,All,0,0.075,0.155,0.242,0.338,0.441,0.552,0.67,0.796,0.93,1.072,1.222,1.401,1.612,1.853,2.125
27,15,Fendall Close,0,438,All,0.01,0.085,0.166,0.255,0.352,0,0,0,0,0,0,0,0,1,1.092,1.196
28,15,Fendall Close,438,585,All,0,0,0,0.1,0.175,0.258,0.348,0.445,0.55,0.662,0.781,0.907,1.04,1.181,1.338,1.523
29,15,Fendall Close,585,643,All,0,0,0,0,0,0,0,0,0,0,0.1,0.173,0.253,0.34,0.435,0.536
30,15,Fendall Close,643,736,All,0,0,0.1,0.176,0,0,0,0,0,0,0,0,1,1.096,1.204,1.324
31,15,Fendall Close,736,814,All,0,0.075,0.156,0.245,0.341,0.446,0.558,0.678,0.806,0.941,1.085,1.238,0,0,0,0
32,9339,Weston Way,814,886,All,0,0.077,0.159,0.25,0,0,0,0,0,0,0,0,0,1,1.076,1.158
33,9339,Weston Way,886,939,All,0,0,0.1,0.178,0.264,0.358,0.46,0,0,0,0,0,0,0,0,0
34,9339,Weston Way,965,1051,All,0,0,0,0,0,0.1,0.176,0.258,0,0,0,0,0,0,0,0
35,9339,Weston Way,1051,1219,All,0,0.076,0.157,0.245,0.342,0.447,0,0,0,0,0,0,0,0,1,1.1
36,9339,Weston Way,1237,1589,All,0.01,0.116,0.231,0.353,0.483,0,0,0,0,0,0,0,0,1,1.101,1.215
37,9339,Weston Way,1589,1999,All,0.01,0.116,0.231,0.353,0.484,0,0,0,0,0,0,0,0,1,1.101,1.215
38,9339,Weston Way,1999,2369,All,0.01,0.114,0.225,0.345,0.472,0,0,0,0,0,0,0,0,1,1.093,1.197
39,9339,Weston Way,2385,2696,All,0,0.075,0.155,0.242,0.337,0.44,0.551,0.67,0.796,0.93,1.071,1.22,0,0,0,0
40,9339,Weston Way,2696,3114,All,0,0.075,0.155,0.242,0.337,0.44,0.551,0.67,0.796,0.93,1.071,1.22,1.4,1.61,1.851,2.122
41,9339,Weston Way,3114,3398,All,0,0.074,0.154,0.241,0.335,0.437,0.547,0.664,0.789,0.922,1.062,1.21,1.386,1.593,1.83,2.097
42,9339,Weston Way,3398,3457,All,0,0.073,0.151,0.237,0.329,0.43,0.537,0.652,0.775,0.904,1.042,1.186,0,0,0,0
43,9339,Weston Way,3457,3675,All,0,0,0,0.1,0.173,0.25,0.334,0.426,0.525,0.632,0.746,0.866,0.995,1.13,1.273,1.438
44,9167,Foxglove Drive,0,668,All,0,0,0,0,0,0,0.1,0.171,0.247,0.329,0.418,0.515,0.618,0.728,0.846,0.97
45,16,Sarah Lane,0,515,All,0,0.074,0.153,0.24,0.334,0.436,0.545,0.662,0.787,0.919,1.059,1.206,1.381,1.586,1.821,2.087
46,17,Ash Drive,0,318,All,0,0,0,0,0,0,0.1,0.175,0.258,0.349,0.448,0.554,0.669,0.791,0.92,0
47,18,Monaghan Way,0,80,All,0,0,0,0,0,0,0,0,0.1,0.172,0.249,0.333,0.424,0.523,0.629,0.741
48,1035,Cousins Avenue East,0,61,All,0,0.073,0.15,0.235,0.327,0.426,0.532,0.646,0.767,0.896,1.032,1.175,1.34,1.534,1.757,2.009
