elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,12.22,12.42,11.02,11.02,11.02,11.02,11.02,12.22,12.22,11.82,12.83,12.83,14.03,13.63,14.43,13.63,12.83,12.42,11.02,11.02,11.02
1,1,Conifer Close,0,378,All,24.85,26.05,26.65,26.25,27.86,29.86,31.86,33.27,34.07,35.27,36.07,37.68,38.88,38.68,40.48,43.29,44.49,45.09,48.7,50.3,51.7
2,2,Fladgate Drive,0,565,All,12.22,12.22,10.82,10.82,10.82,10.82,10.82,12.02,12.02,11.62,12.22,12.42,13.63,13.43,14.03,12.02,12.22,12.02,10.42,10.22,10.22
3,4,Highfield Drive,0,71,All,6.01,4.41,3.41,4.01,4.41,4.41,4.41,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.41,3.21,3.61
4,3,Matai Way,0,557,All,12.22,13.63,11.82,11.82,11.42,11.42,12.22,12.83,12.83,12.22,13.63,13.63,15.23,14.43,15.23,15.23,13.63,13.63,11.62,11.42,12.22
5,5,Vintry Drive,0,362,All,12.22,10.62,13.63,13.83,14.83,15.23,15.03,16.23,16.23,16.03,16.83,17.64,18.64,18.24,18.84,19.04,19.64,18.84,22.04,22.04,22.44
6,6,Croatia Avenue,0,42,All,6.01,6.01,6.01,6.61,7.41,5.81,6.01,6.01,6.01,6.01,6.01,7.82,9.02,9.02,10.22,10.62,11.02,11.82,12.42,12.83,16.23
7,6,Croatia Avenue,42,76,All,6.01,2.2,2,2,1.8,1.8,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
8,7,Lumbarda Drive,0,152,All,0,0.4,0.4,0.4,0.6,0.6,0.4,0.4,0.4,0.4,0.6,2,2.4,2,2.4,2.61,2.61,3.01,3.21,3.61,4.41
9,8,Tarras Road,0,86,All,12.22,17.64,18.44,18.44,19.04,19.44,19.84,21.24,20.04,20.04,22.44,24.85,26.25,27.86,31.66,34.07,37.27,39.48,43.49,45.89,48.3
10,8,Tarras Road,86,120,All,6.01,5.21,5.21,5.21,5.21,5.61,5.61,5.61,5.61,4.81,4.81,4.81,4.81,5.21,5.61,6.21,6.61,7.41,7.41,7.41,7.82
11,9,Kowhai Glen,0,305,All,6.01,3.01,3.21,2.61,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1,1,1
12,1037,Epiha Road Upper,0,415,All,32.06,31.66,32.46,33.67,29.86,32.87,34.07,36.07,36.87,38.28,38.28,40.68,41.48,42.28,34.47,38.28,40.68,42.28,45.89,47.09,48.7
13,1038,Gossey Drive North,1319,1723,All,32.06,31.66,32.46,33.67,29.86,32.87,34.07,36.07,36.87,38.28,38.28,40.68,41.48,42.28,34.47,38.28,40.68,42.28,45.89,47.09,48.7
14,10,Upper Ahu Ahu Road,0,46,All,6.01,1.2,2.81,3.61,3.61,3.61,3.21,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,3.21
15,10,Upper Ahu Ahu Road,46,68,All,6.01,5.21,5.21,5.21,5.21,5.01,4.81,5.01,5.01,4.81,4.81,4.81,4.81,5.21,5.61,6.21,6.61,7.41,7.41,7.41,7.82
16,11,Lower Ahu Ahu Road,0,158,All,6.01,7.41,7.41,7.41,6.01,6.61,6.61,6.61,6.61,6.61,7.82,9.02,10.62,12.22,12.83,14.43,16.03,18.44,23.25,25.45,24.85
17,11,Lower Ahu Ahu Road,158,179,All,6.01,7.41,7.41,7.41,7.82,8.22,7.82,7.41,7.41,7.82,9.02,11.42,12.83,12.22,12.42,13.03,15.23,16.23,20.44,21.44,24.25
18,12,Kriletich Drive,0,263,All,6.01,2.81,2.61,1.2,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1,1,1,1,1,1,1,18.44,16.03,14.63
19,917,Port Street East,0,21,All,24.85,24.85,24.85,25.05,25.25,27.86,27.05,29.06,29.06,29.06,29.86,32.06,31.66,31.06,32.87,34.87,36.47,36.87,40.28,40.48,41.08
20,917,Port Street East,21,396,All,24.85,30.66,39.48,50.3,63.33,79.76,87.17,91.18,93.59,95.39,97.39,98.2,98.4,91.18,91.98,92.79,92.99,93.39,93.59,96.39,97.39
21,917,Port Street East,396,874,All,24.85,24.85,23.45,23.65,23.65,26.05,27.05,29.06,29.06,29.06,29.86,32.06,31.66,31.06,32.87,34.87,36.47,36.87,40.28,39.28,38.68
22,917,Port Street East,874,1340,All,12.22,13.63,11.82,11.82,11.42,11.42,12.22,12.83,12.83,12.22,13.63,13.63,15.23,14.43,15.23,15.23,13.63,13.63,12.83,11.42,12.22
23,917,Port Street East,1340,1431,All,12.22,13.63,11.82,11.82,11.42,11.42,12.22,12.83,12.83,12.22,13.63,13.63,15.23,14.43,15.23,15.23,13.63,13.63,12.83,11.42,12.22
24,917,Port Street East,1431,2115,All,6.01,4.41,4.41,4.01,4.41,4.41,4.41,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,4.41,4.01,3.61
25,917,Port Street East,2120,2350,All,12.22,15.23,15.23,13.63,13.63,13.63,13.63,15.23,15.23,15.23,16.03,16.83,18.44,17.64,18.44,18.44,18.44,19.24,21.64,21.64,17.64
26,13,Puriri Dale Way,0,293,All,12.22,14.03,12.22,12.22,12.42,12.42,12.42,13.63,13.63,13.23,14.83,14.83,15.63,15.23,16.03,16.03,15.63,13.03,12.63,12.42,12.83
27,15,Fendall Close,0,438,All,12.22,16.03,16.03,15.23,15.63,16.03,16.23,17.43,17.43,17.23,18.04,19.24,6.01,6.01,6.01,6.61,7.01,8.02,7.82,8.02,8.42
28,15,Fendall Close,438,585,All,12.22,18.44,18.84,18.84,18.44,18.84,19.44,20.84,21.24,22.44,26.25,29.46,31.06,33.67,25.45,28.26,33.07,36.27,40.68,42.89,44.89
29,15,Fendall Close,585,643,All,6.01,8.02,8.22,8.22,8.42,8.42,8.22,8.22,9.62,10.62,12.02,14.63,14.23,16.43,18.64,19.44,23.45,26.85,30.46,32.46,34.47
30,15,Fendall Close,643,736,All,24.85,26.65,27.45,28.06,25.85,29.26,31.46,34.27,34.47,36.07,36.87,39.28,40.48,31.66,36.67,39.08,41.68,43.49,47.09,48.7,50.5
31,15,Fendall Close,736,814,All,6.01,1.2,1.8,2.81,2.61,2.81,2.81,2.4,2.4,2.4,2.2,2.2,2,2.2,2,2,2,2.2,2,1.8,1.8
32,9339,Weston Way,814,886,All,12.22,12.02,10.62,10.42,10.62,10.62,10.62,11.82,11.82,11.42,11.82,12.22,13.23,12.63,11.82,11.42,10.42,10.42,10.02,9.62,10.02
33,9339,Weston Way,886,939,All,24.85,25.85,26.25,27.05,23.05,26.85,29.06,31.26,31.66,32.06,33.67,34.87,36.07,36.07,5.21,5.21,6.01,6.61,6.61,6.61,7.41
34,9339,Weston Way,965,1051,All,12.22,16.03,16.03,16.43,16.83,17.23,16.83,9.02,8.22,7.21,8.42,9.42,11.02,10.62,11.62,11.82,12.42,12.83,11.42,12.22,12.63
