elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,12.22,12.83,11.02,11.42,11.42,11.42,11.02,12.22,12.22,11.82,12.83,12.42,12.83,12.22,13.23,12.22,11.42,11.82,11.02,11.02,11.42
1,1,Conifer Close,0,378,All,24.85,26.05,28.06,27.86,30.46,32.26,34.27,35.67,36.47,37.68,38.88,39.68,43.09,44.09,46.29,48.7,50.5,51.7,55.31,56.91,57.92
2,2,Fladgate Drive,0,565,All,12.22,10.62,10.82,11.02,11.02,11.02,10.82,12.02,12.02,11.62,12.42,12.22,12.42,12.02,12.83,11.02,11.02,10.42,10.22,10.22,10.42
3,4,Highfield Drive,0,71,All,6.01,4.41,3.41,4.01,4.41,4.41,4.41,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.41,4.01,4.41
4,3,Matai Way,0,557,All,12.22,10.62,11.82,12.22,12.22,12.22,12.22,12.83,12.83,12.22,13.63,13.63,13.63,13.63,13.63,14.43,12.22,11.22,11.42,12.22,12.22
5,5,Vintry Drive,0,362,All,12.22,10.62,13.63,14.03,15.03,15.43,15.23,16.43,16.43,16.23,17.03,17.43,17.43,16.83,17.64,17.84,18.24,17.23,20.84,21.24,22.44
6,6,Croatia Avenue,0,42,All,6.01,6.01,6.01,6.61,7.41,5.81,6.01,6.01,6.01,6.01,6.01,7.41,7.82,7.82,9.02,9.82,9.82,11.02,11.82,13.03,16.23
7,6,Croatia Avenue,42,76,All,6.01,2.2,2,2,1.8,1.8,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
8,7,Lumbarda Drive,0,152,All,0,0.4,0.4,0.4,0.6,0.6,0.4,0.4,0.4,0.4,0.6,2,2.4,2,2.4,2.61,2.61,3.01,3.21,4.41,5.41
9,8,Tarras Road,0,86,All,12.22,17.64,18.44,18.44,19.24,19.64,20.04,21.44,20.04,20.04,23.25,25.45,29.46,32.46,36.47,38.68,42.69,45.09,49.1,52.1,53.71
10,8,Tarras Road,86,120,All,6.01,5.21,5.21,5.21,5.21,5.61,5.61,5.61,5.61,4.81,4.81,4.81,4.81,5.21,6.01,6.61,6.61,7.41,7.82,7.82,8.62
11,9,Kowhai Glen,0,305,All,6.01,3.01,3.21,2.61,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1,1,1
12,1037,Epiha Road Upper,0,415,All,32.06,31.66,34.07,35.27,32.46,35.67,36.87,39.08,39.88,41.08,41.88,43.89,46.69,48.7,39.48,42.69,45.89,48.3,51.3,52.91,54.11
13,1038,Gossey Drive North,1319,1723,All,32.06,31.66,34.07,35.27,32.46,35.67,36.87,39.08,39.88,41.08,41.88,43.89,46.69,48.7,39.48,42.69,45.89,48.3,51.3,52.91,54.11
14,10,Upper Ahu Ahu Road,0,46,All,6.01,1.2,2.81,3.61,3.61,3.61,3.21,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,3.61
15,10,Upper Ahu Ahu Road,46,68,All,6.01,5.21,5.21,5.21,5.21,5.01,4.81,5.01,5.01,4.81,4.81,4.81,4.81,5.21,6.01,6.61,6.61,7.41,7.82,7.82,8.62
16,11,Lower Ahu Ahu Road,0,158,All,6.01,7.41,7.41,7.41,6.01,6.61,6.61,6.61,6.61,6.61,8.22,8.62,9.42,10.62,11.82,13.63,14.83,16.83,22.04,25.45,23.65
17,11,Lower Ahu Ahu Road,158,179,All,6.01,7.41,7.41,7.41,7.82,8.22,7.82,7.41,7.41,7.82,9.42,11.02,11.42,10.62,11.22,11.82,13.83,14.63,19.44,20.64,23.25
18,12,Kriletich Drive,0,263,All,6.01,2.81,2.61,1.2,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1,1,1,1,1,1,1,18.44,15.63,14.43
19,917,Port Street East,0,21,All,24.85,24.85,26.25,26.25,27.86,29.86,28.66,29.86,29.86,29.46,30.66,32.46,34.47,35.27,37.27,39.08,41.48,42.28,45.49,43.69,43.49
20,917,Port Street East,21,396,All,24.85,30.66,40.68,51.7,65.13,80.36,87.58,91.18,93.79,95.79,97.6,98.4,98.4,92.18,93.19,93.79,93.99,94.39,94.59,97.19,98.2
21,917,Port Street East,396,874,All,24.85,24.85,24.85,24.85,24.85,27.45,28.66,29.86,29.86,29.46,30.66,32.46,34.47,35.27,37.27,39.08,41.48,42.28,45.49,42.69,40.88
22,917,Port Street East,874,1340,All,12.22,13.63,11.82,12.22,12.22,12.22,12.22,12.83,12.83,12.22,13.63,13.63,13.63,13.63,13.63,14.43,12.22,12.83,12.22,12.22,12.22
23,917,Port Street East,1340,1431,All,12.22,13.63,11.82,12.22,12.22,12.22,12.22,12.83,12.83,12.22,13.63,13.63,13.63,13.63,13.63,14.43,12.22,12.83,12.22,12.22,12.22
24,917,Port Street East,1431,2115,All,6.01,4.41,4.41,4.01,4.41,4.41,4.41,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,4.41,4.81,4.41
