elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,12.22,11.82,11.82,12.22,11.82,11.82,11.02,11.02,11.02,11.02,11.02,11.02,11.42,11.02,9.82,10.22,10.22,9.42,9.82,9.82,9.42
1,1,Conifer Close,0,378,All,24.85,26.05,26.65,26.45,27.25,27.86,28.06,28.86,29.06,29.06,29.66,29.66,30.26,30.66,30.26,30.66,30.26,31.26,32.87,34.07,34.67
2,2,Fladgate Drive,0,565,All,12.22,11.62,11.62,11.82,11.62,10.62,10.62,10.62,10.82,10.62,10.82,10.62,11.02,10.82,9.62,10.02,9.82,9.02,9.22,9.42,8.82
3,4,Highfield Drive,0,71,All,6.01,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,3.61,4.41,4.41,4.41,4.41,4.41,4.41,3.61,4.41,4.41,4.41
4,3,Matai Way,0,557,All,12.22,12.22,12.83,12.83,12.22,12.22,12.22,11.42,12.22,11.42,12.22,12.22,12.22,12.22,12.22,10.62,10.62,10.62,10.62,10.62,10.62
5,5,Vintry Drive,0,362,All,12.22,15.23,15.43,15.03,15.03,15.03,15.03,15.23,15.43,14.23,14.03,14.23,14.63,14.83,15.03,14.83,14.83,15.03,15.63,16.63,16.43
6,6,Croatia Avenue,0,42,All,6.01,6.01,6.01,6.61,6.61,6.61,6.61,6.61,6.61,6.61,7.41,7.41,7.41,8.22,9.02,9.02,9.02,9.82,11.42,13.63,14.43
7,6,Croatia Avenue,42,76,All,6.01,1.8,1.6,1.4,1,1,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2
8,7,Lumbarda Drive,0,152,All,0,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.8,2.4,2.81,2.81,3.21,3.61,4.41,4.81,5.21,5.81
9,8,Tarras Road,0,86,All,12.22,17.64,17.64,18.44,18.44,18.44,19.24,19.24,20.04,20.04,20.04,21.64,22.44,23.25,24.05,24.85,26.25,27.86,28.66,30.26,30.26
10,8,Tarras Road,86,120,All,6.01,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,6.01,6.01,6.61,6.61,6.61,7.01,7.41,7.41
11,9,Kowhai Glen,0,305,All,6.01,2.61,2.61,2.2,2,2,1.6,1.6,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
12,1037,Epiha Road Upper,0,415,All,32.06,31.66,32.06,32.46,28.66,29.46,29.86,30.66,31.06,31.06,31.66,32.06,32.06,32.87,33.67,34.07,34.07,34.47,36.07,36.27,25.65
13,1038,Gossey Drive North,1319,1723,All,32.06,31.66,32.06,32.46,28.66,29.46,29.86,30.66,31.06,31.06,31.66,32.06,32.06,32.87,33.67,34.07,34.07,34.47,36.07,25.65,25.85
14,10,Upper Ahu Ahu Road,0,46,All,6.01,1.2,2.4,3.01,3.21,3.41,3.21,3.01,3.01,3.21,3.21,3.21,3.21,3.21,3.21,2.81,2.81,2.81,2.81,3.21,2.81
