elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,12.22,12.22,12.22,11.82,12.22,12.83,11.82,11.82,11.82,11.02,11.42,11.82,12.22,12.83,11.82,11.82
1,1,Conifer Close,0,378,All,24.85,27.05,28.46,28.66,29.26,31.26,31.86,32.87,33.47,35.07,35.87,36.47,37.07,37.88,38.28,38.08
2,2,Fladgate Drive,0,565,All,12.22,12.02,12.02,11.42,11.62,11.62,11.22,11.42,11.42,10.82,11.22,11.42,11.62,12.22,11.22,11.22
3,4,Highfield Drive,0,71,All,6.01,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,3.81
4,3,Matai Way,0,557,All,12.22,12.83,13.63,12.22,12.83,13.63,13.63,12.22,12.22,12.22,12.22,12.22,12.83,13.63,13.63,12.22
5,5,Vintry Drive,0,362,All,12.22,15.83,16.23,16.63,11.82,14.03,14.03,14.63,14.63,14.83,15.03,15.43,15.83,16.03,16.23,16.23
6,6,Croatia Avenue,0,42,All,6.01,6.01,6.01,6.61,6.61,6.61,6.61,6.61,6.61,6.61,7.41,8.22,8.22,9.82,9.82,9.82
7,6,Croatia Avenue,42,76,All,6.01,1.6,1.4,1.4,1,1,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.6
8,7,Lumbarda Drive,0,152,All,0,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.8,2.2,2.81,3.01,3.61
9,8,Tarras Road,0,86,All,12.22,18.44,19.24,19.24,19.24,20.04,20.84,21.64,21.64,22.44,24.05,25.45,24.85,26.25,27.86,29.46
10,8,Tarras Road,86,120,All,6.01,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,6.01,6.01,6.01
11,9,Kowhai Glen,0,305,All,6.01,2.4,2.4,2.2,2,2,1.6,1.6,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.4
12,1037,Epiha Road Upper,0,415,All,32.06,32.46,33.27,34.47,35.67,32.87,33.47,34.47,35.27,36.27,37.47,37.88,39.08,39.68,40.28,41.28
13,1038,Gossey Drive North,1319,1723,All,32.06,32.46,33.27,34.47,35.67,38.28,38.08,39.28,39.88,41.28,42.28,42.69,43.29,44.49,45.09,36.27
14,10,Upper Ahu Ahu Road,0,46,All,6.01,1.2,2.2,2.81,3.21,3.61,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21
15,10,Upper Ahu Ahu Road,46,68,All,6.01,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,6.01,6.01,6.01
16,11,Lower Ahu Ahu Road,0,158,All,6.01,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,9.02,9.82,10.62,11.42,12.22,14.43
17,11,Lower Ahu Ahu Road,158,179,All,6.01,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,9.02,9.82,10.62,11.42,12.22,14.43
18,12,Kriletich Drive,0,263,All,6.01,2.2,2,2,1.8,1.8,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.2,1.2,1.2
19,917,Port Street East,0,21,All,24.85,25.05,26.25,25.45,25.05,26.25,26.65,27.86,27.45,28.26,29.46,29.06,28.66,28.26,28.26,27.45
20,917,Port Street East,21,396,All,24.85,31.26,39.08,47.7,55.31,63.53,69.54,74.15,77.56,82.57,84.77,86.37,87.78,89.18,89.78,90.18
21,917,Port Street East,396,874,All,24.85,25.05,26.25,25.45,25.05,26.25,26.65,27.86,27.45,28.26,29.46,29.06,28.66,28.26,28.26,27.45
22,917,Port Street East,874,1340,All,12.22,12.83,13.63,12.22,12.83,13.63,13.63,12.22,12.22,12.22,12.22,12.22,12.83,13.63,13.63,12.22
23,917,Port Street East,1340,1431,All,12.22,12.83,13.63,12.22,12.83,13.63,13.63,12.22,12.22,12.22,12.22,12.22,12.83,13.63,13.63,12.22
24,917,Port Street East,1431,2115,All,6.01,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
25,917,Port Street East,2120,2350,All,12.22,15.23,15.23,15.23,15.23,15.23,16.03,15.23,15.23,15.23,16.03,16.03,16.03,16.43,16.83,16.83
26,13,Puriri Dale Way,0,293,All,12.22,13.63,14.03,13.23,13.63,14.43,14.43,14.43,14.43,14.03,13.63,13.63,13.63,14.03,14.43,13.23
27,15,Fendall Close,0,438,All,12.22,16.83,17.64,17.64,18.04,17.03,17.03,17.23,16.83,16.83,17.64,18.04,18.44,19.64,19.64,20.44
28,15,Fendall Close,438,585,All,12.22,19.24,19.64,20.44,20.44,21.24,22.04,22.44,23.65,25.45,27.05,28.66,30.26,31.66,34.07,34.87
29,15,Fendall Close,585,643,All,6.01,7.82,8.22,8.22,8.42,8.42,8.42,8.42,8.42,9.82,11.02,12.02,15.23,16.83,17.03,18.24
30,15,Fendall Close,643,736,All,24.85,27.45,28.66,29.26,25.45,29.26,30.06,32.26,33.27,35.27,36.47,37.47,38.08,39.48,40.68,42.08
31,15,Fendall Close,736,814,All,6.01,3.21,3.21,3.21,3.61,3.21,2.81,2.81,2.81,2.81,2.81,2.81,2.4,2.2,2.2,2.2
32,9339,Weston Way,814,886,All,12.22,11.82,11.82,11.22,10.62,10.42,10.82,11.22,10.22,10.22,10.82,10.82,10.22,10.62,10.62,9.62
33,9339,Weston Way,886,939,All,24.85,26.85,27.86,28.26,28.86,30.46,30.86,26.45,27.05,28.06,29.66,29.86,30.86,31.26,33.07,32.87
34,9339,Weston Way,965,1051,All,12.22,16.83,17.64,17.64,18.04,18.04,18.44,18.04,16.83,16.83,17.64,18.04,18.44,19.64,19.64,20.44
35,9339,Weston Way,1051,1219,All,12.22,15.23,15.23,15.23,15.23,15.23,12.22,13.63,13.63,13.63,14.43,14.43,14.43,15.23,15.23,15.23
36,9339,Weston Way,1237,1589,All,12.22,15.23,15.23,15.23,15.23,12.22,12.22,13.63,13.63,13.63,14.43,14.43,14.43,15.23,15.23,15.23
37,9339,Weston Way,1589,1999,All,12.22,15.23,15.23,15.23,15.23,12.22,12.22,13.63,13.63,13.63,14.43,14.43,14.43,15.23,15.23,15.23
38,9339,Weston Way,1999,2369,All,12.22,15.23,15.23,15.23,15.23,12.22,12.22,13.63,13.63,13.63,14.43,14.43,14.43,15.23,15.23,15.23
39,9339,Weston Way,2385,2696,All,24.85,26.25,27.45,27.05,26.65,27.45,28.26,29.46,29.46,29.86,30.66,31.06,29.66,28.66,28.46,27.86
40,9339,Weston Way,2696,3114,All,24.85,26.25,27.45,27.05,26.65,27.45,28.26,29.46,29.46,29.86,30.66,31.06,31.46,31.06,32.26,31.46
41,9339,Weston Way,3114,3398,All,12.22,15.23,15.23,15.23,15.23,15.23,16.03,15.23,15.23,15.23,16.03,16.03,16.03,16.43,16.83,16.83
42,9339,Weston Way,3398,3457,All,12.22,12.83,13.63,12.22,12.83,13.63,13.63,12.22,12.22,12.22,12.22,12.22,11.82,12.42,11.42,11.62
43,9339,Weston Way,3457,3675,All,6.01,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
44,9167,Foxglove Drive,0,668,All,6.01,4.81,4.81,4.81,4.81,5.01,5.01,5.01,5.01,4.81,4.81,4.81,4.81,4.81,5.01,5.01
45,16,Sarah Lane,0,515,All,6.01,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
46,17,Ash Drive,0,318,All,24.85,28.06,29.66,31.06,31.66,33.87,35.67,37.27,38.88,40.88,42.08,42.89,44.69,46.49,47.7,47.49
47,18,Monaghan Way,0,80,All,12.22,19.64,20.44,21.24,21.64,22.04,22.85,23.65,26.65,28.66,31.06,32.46,34.07,36.07,36.87,37.47
48,1035,Cousins Avenue East,0,61,All,6.01,2.81,2.81,2.4,2.4,2.4,2.4,2,2,2,2,2,2,2,2,2
49,19,Elm Close,0,82,All,6.01,8.62,8.62,8.62,8.62,8.62,8.62,9.42,10.62,12.42,16.43,16.83,18.04,20.44,21.64,23.25
50,19,Elm Close,82,101,All,24.85,27.86,29.06,30.26,30.86,33.47,34.67,35.67,36.87,38.88,40.28,41.48,42.69,44.09,44.69,45.89
51,20,Burkes Creek Road,0,21,All,12.22,17.64,18.44,18.44,18.44,18.44,19.24,19.24,19.24,18.04,18.84,19.44,20.64,21.44,21.24,21.84
52,20,Burkes Creek Road,21,520,All,12.22,17.64,18.44,18.44,18.44,18.44,19.24,19.24,19.24,19.24,20.04,20.84,21.64,22.44,23.65,23.65
53,20,Burkes Creek Road,549,697,All,12.22,16.43,16.83,17.23,16.83,17.64,17.64,17.64,17.64,17.64,18.04,18.44,18.84,19.24,19.24,19.64
54,20,Burkes Creek Road,697,765,All,6.01,5.61,5.61,5.81,6.01,6.21,6.01,6.01,6.21,6.21,6.21,6.81,7.62,8.22,8.42,8.62
55,20,Burkes Creek Road,765,1789,All,12.22,16.43,16.83,17.23,16.83,17.64,17.64,17.64,17.64,17.64,18.04,18.44,18.84,19.24,19.24,19.64
56,21,Tapeka Heights Lane,0,277,All,12.22,14.03,14.43,14.23,13.83,14.63,15.23,14.83,14.83,14.63,14.83,15.03,15.43,15.63,15.83,15.83
57,22,Sir John McKenzie Drive,0,530,All,12.22,18.44,19.24,19.24,19.24,20.04,20.84,21.64,21.64,22.44,24.05,25.45,24.85,26.25,27.86,29.46
58,23,Apple Orchard Lane,0,185,All,6.01,1.8,1.6,1.6,1.4,1.2,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8
59,974,Railway Terrace East,0,730,All,12.22,17.64,18.44,18.44,18.44,18.44,19.24,19.24,19.24,19.24,20.04,20.84,21.64,22.44,23.65,23.65
60,24,George Noble Road,0,272,All,12.22,17.84,18.64,18.84,19.04,19.44,20.04,20.44,20.64,20.24,21.64,22.24,22.85,24.25,25.45,26.25
61,24,George Noble Road,272,286,All,6.01,6.01,6.01,6.61,6.61,6.61,6.61,6.61,6.61,6.61,7.41,8.22,8.22,9.82,9.82,9.82
62,25,Founders Lane,0,597,All,12.22,21.64,23.25,29.46,32.46,36.47,40.68,45.89,49.1,52.91,57.11,60.32,63.73,67.74,71.74,74.55
63,26,Stud Road,0,205,All,6.01,6.01,6.01,6.61,6.61,6.61,6.61,6.61,6.61,6.61,7.41,8.22,8.22,9.82,9.82,9.82
64,27,Gallop Lane,0,116,All,12.22,18.44,19.24,19.24,19.24,20.04,20.84,21.64,21.64,22.44,24.05,25.45,24.85,26.25,27.86,29.46
65,27,Gallop Lane,116,136,All,6.01,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,9.02,9.82,10.62,11.42,12.22,14.43
66,7056,Dawick Street,0,78,All,12.22,18.44,19.24,19.24,19.24,20.04,20.84,21.64,21.64,22.44,24.05,25.45,24.85,26.25,27.86,29.46
67,7056,Dawick Street,78,88,All,6.01,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,9.02,9.82,10.62,11.42,12.22,14.43
68,28,Stirrup Lane,0,261,All,6.01,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,9.02,9.82,10.62,11.42,12.22,14.43
69,29,Riroriro Road,0,122,All,6.01,7.41,7.41,7.41,7.41,6.01,6.21,6.41,6.41,6.41,8.02,8.82,9.62,10.42,11.02,11.42
70,29,Riroriro Road,122,139,All,6.01,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,6.01,6.01,6.01
71,30,Curly McLeod Way,0,69,All,6.01,3.61,3.61,3.61,3.21,3.61,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21
72,30,Curly McLeod Way,69,82,All,12.22,11.02,10.62,10.22,10.02,10.22,10.22,9.62,9.02,8.82,8.42,8.62,8.02,8.02,7.21,6.61
73,32,Karearea Lane,0,56,All,6.01,2.81,2.81,2.4,2.4,2.4,2.4,2,2,2,2,2,1.6,1.6,1.6,1.6
74,32,Karearea Lane,84,154,All,6.01,1.2,1.2,1.2,1.2,1.6,2,1.8,1.8,1.8,1.8,1.6,1.6,1.8,1.8,1.8
75,32,Karearea Lane,154,820,All,12.22,10.62,10.82,11.02,11.42,12.22,12.22,13.63,13.63,13.63,14.43,14.43,14.43,15.23,15.23,15.23
76,32,Karearea Lane,820,1262,All,12.22,19.24,19.64,20.44,20.44,21.24,22.04,22.44,23.65,25.45,27.05,28.66,30.26,31.66,34.07,34.87
77,33,Okoare Lane,0,58,All,12.22,19.64,20.44,21.24,21.64,22.04,22.85,23.65,26.65,28.66,31.06,32.46,34.07,36.07,36.87,37.47
78,35,Leicester Place,0,660,All,6.01,9.02,9.62,20.64,22.44,29.66,33.87,36.47,40.28,44.89,49.1,51.9,55.91,59.32,61.52,64.73
79,36,Paneika Lane,0,370,All,0,0.6,0.8,0.8,0.8,0.8,1.8,3.41,4.81,5.81,6.01,7.01,9.42,11.02,13.83,17.03
80,36,Paneika Lane,370,391,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,36,Paneika Lane,391,520,All,12.22,20.64,21.84,23.05,28.06,31.86,34.07,36.07,39.08,41.48,44.09,46.49,48.9,51.9,53.31,55.71
82,37,Freemason Avenue,0,149,All,12.22,15.23,15.23,15.23,15.23,15.23,16.03,15.23,15.23,15.23,16.03,16.03,16.03,16.43,16.83,16.83
83,37,Freemason Avenue,149,172,All,6.01,8.62,8.62,8.62,8.62,8.62,8.62,9.42,10.62,12.42,16.43,16.83,18.04,20.44,21.64,23.25
84,37,Freemason Avenue,172,362,All,12.22,15.23,15.23,15.23,15.23,15.23,16.03,15.23,15.23,15.23,16.03,14.43,12.42,13.83,14.03,13.03
85,38,Tyler Place,0,279,All,6.01,3.61,3.61,3.61,3.81,3.81,3.81,3.81,3.41,3.61,3.21,3.01,3.01,3.01,2.81,2.81
86,38,Tyler Place,279,322,All,12.22,11.42,11.02,10.62,10.22,10.02,10.42,10.82,9.62,9.42,9.82,9.02,9.02,9.02,8.62,7.82
87,38,Tyler Place,322,334,All,21.84,22.44,22.44,22.65,23.65,25.85,27.45,30.06,32.06,33.67,35.67,36.27,37.27,38.08,39.08,40.28
88,38,Tyler Place,334,389,All,12.22,11.42,11.02,10.62,10.22,10.62,11.02,11.02,10.02,9.42,9.82,9.02,9.02,9.02,8.62,7.82
89,39,Ashlar Court,0,251,All,6.01,3.01,3.01,3.01,2.81,2.61,2.61,2.4,2.4,2.4,2.4,2.4,2.61,2.4,2.4,2.4
90,40,Bravery Road,0,278,All,12.22,16.03,16.43,17.03,16.23,16.83,16.43,16.23,16.03,16.03,16.83,16.63,17.03,17.23,17.23,17.64
91,41,Huamanu Street,0,116,All,6.01,2,1.8,1.8,1.6,1.4,1.2,1.2,1.2,1.2,1.2,1,1,1,1,1
92,41,Huamanu Street,116,134,All,6.01,6.01,6.01,6.61,6.61,6.61,6.61,6.61,6.61,6.61,7.41,8.22,8.22,9.82,9.82,9.82
93,1092,Bronte Road East,0,156,All,12.22,12.22,12.22,11.82,12.22,12.83,11.82,11.82,11.82,11.02,11.42,11.82,12.22,12.83,11.82,11.82
94,1092,Bronte Road East,156,183,All,6.01,3.21,3.21,3.21,3.61,3.21,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.61,2.61,2.61
95,42,Te Manaki Street,0,377,All,12.22,13.63,14.03,13.23,13.63,14.43,14.43,14.43,14.43,14.03,13.63,13.63,13.63,14.03,14.43,13.23
96,44,Dickins Lane,0,474,All,12.22,21.64,23.25,29.46,32.46,36.47,40.68,45.89,49.1,52.91,57.11,60.32,63.73,67.74,71.74,74.55
97,44,Dickins Lane,474,1091,All,12.22,21.64,23.25,29.46,32.46,36.47,40.68,45.89,49.1,52.91,57.11,60.32,63.73,67.74,71.74,74.55
98,43,Infantry Lane,0,95,All,12.22,12.83,13.63,12.22,12.83,13.63,13.63,12.22,12.22,12.22,12.22,12.22,12.83,13.63,13.63,12.22
99,45,Chatfield Lane,0,83,All,12.22,16.83,17.64,17.64,18.04,18.04,18.44,18.04,18.24,18.24,19.04,19.64,20.44,21.04,20.84,21.44
100,20,Burkes Creek Road,765,1789,All,68.74,68.54,69.14,71.34,71.54,73.95,76.55,77.96,78.56,80.36,80.96,81.96,82.57,83.57,84.37,84.77
101,38,Tyler Place,279,322,All,26.45,26.05,25.85,24.65,24.25,25.25,26.25,25.45,25.05,25.65,25.25,24.25,23.85,24.05,24.25,23.45
102,1037,Epiha Road Upper,0,415,All,92.59,92.38,92.18,91.98,91.38,91.18,91.58,91.18,91.78,92.79,92.99,93.19,93.59,93.79,4.81,5.21
103,37,Freemason Avenue,172,362,All,41.28,41.48,42.48,42.48,41.68,45.09,45.49,46.49,47.09,48.7,49.9,50.3,51.1,52.3,52.71,53.51
104,43,Infantry Lane,0,95,All,36.87,37.27,37.88,38.28,38.88,40.28,40.28,41.48,41.48,42.69,42.89,43.49,44.09,44.89,45.49,46.29
105,8,Tarras Road,86,120,All,67.54,66.93,68.34,70.14,70.94,72.95,75.15,76.95,77.35,79.56,79.96,80.76,81.56,82.57,83.57,83.77
106,23,Apple Orchard Lane,0,185,All,44.49,45.49,46.09,42.28,42.48,45.69,46.49,46.89,46.89,48.1,48.5,48.9,48.7,49.1,49.5,49.9
107,9339,Weston Way,814,886,All,81.56,10.62,11.62,14.63,16.03,16.63,16.83,17.03,16.63,16.43,17.23,17.64,17.64,18.84,18.84,19.44
108,8,Tarras Road,86,120,All,45.89,47.29,49.5,50.7,52.3,55.51,57.52,59.12,61.12,63.33,65.33,66.13,66.93,68.14,68.34,69.34
109,38,Tyler Place,334,389,All,89.58,85.17,83.17,80.96,80.36,80.36,65.13,66.93,68.54,70.74,72.55,73.35,73.75,74.75,75.35,75.95
110,38,Tyler Place,322,334,All,92.99,94.59,95.59,95.59,94.99,95.59,95.59,95.19,95.59,96.19,96.39,96.79,96.79,96.99,97.19,97.19
111,32,Karearea Lane,154,820,All,48.5,49.1,51.1,52.1,52.91,55.71,56.51,58.32,60.12,61.92,63.13,64.13,64.53,64.73,65.13,65.53
112,12,Kriletich Drive,0,263,All,91.58,88.78,85.77,83.17,81.36,81.96,82.57,82.77,82.57,83.57,83.57,83.17,83.57,83.37,83.37,83.17
113,917,Port Street East,2120,2350,All,85.37,84.17,83.37,82.57,81.56,82.97,82.77,68.14,70.34,73.35,74.95,75.55,76.35,77.35,77.76,78.56
114,9339,Weston Way,3398,3457,All,92.38,90.58,89.38,87.37,86.97,86.17,86.37,86.37,86.57,87.37,87.78,87.98,88.58,88.58,88.38,88.58
115,9339,Weston Way,1051,1219,All,89.78,88.18,87.37,85.57,85.57,85.37,85.77,8.62,9.22,8.42,10.42,11.22,14.03,17.03,17.84,19.04
116,19,Elm Close,0,82,All,63.53,66.53,70.74,74.95,77.15,80.96,82.97,84.57,85.77,87.17,87.98,88.58,89.18,89.78,90.18,91.18
117,15,Fendall Close,0,438,All,85.77,85.57,86.77,86.17,86.77,87.17,87.58,87.78,88.18,89.18,89.98,90.78,90.98,91.38,91.78,91.98
118,30,Curly McLeod Way,69,82,All,34.27,34.27,34.47,33.67,34.07,35.47,36.27,37.07,37.07,38.28,39.08,39.68,39.88,40.48,40.08,40.08
119,6,Croatia Avenue,0,42,All,76.15,77.35,78.96,79.76,80.76,23.25,25.65,27.45,30.46,32.26,34.47,33.87,35.67,37.07,37.88,39.08
120,16,Sarah Lane,0,515,All,52.71,53.91,55.91,57.72,58.72,61.92,63.93,65.73,67.13,68.94,70.94,71.74,72.55,73.95,74.35,74.95
121,30,Curly McLeod Way,69,82,All,65.33,61.32,60.32,61.72,61.52,64.33,53.11,54.11,54.91,55.91,56.51,56.51,57.31,57.72,57.31,57.92
122,32,Karearea Lane,820,1262,All,22.65,23.05,23.85,24.85,27.45,29.86,31.06,32.67,34.27,35.67,37.07,37.68,38.88,40.28,41.68,42.89
123,20,Burkes Creek Road,765,1789,All,53.91,37.88,39.28,40.48,42.08,45.89,46.69,48.9,50.5,52.3,54.11,55.11,56.11,56.91,58.32,59.32
124,32,Karearea Lane,154,820,All,37.68,38.08,39.48,39.68,40.68,42.69,43.49,44.09,44.69,45.89,46.49,47.09,47.49,48.5,48.9,49.5
