elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
0,1013,Brook Street North,0,220,All,1.5,2.52,3.61,0,0,0,0,0,0,0,0,0,0,1,1.16,1.35,1.56,2.29,12.6,0,0,0,0,0,0,0,0,0,1,1.17,1.37
1,1,Conifer Close,0,378,All,0.1,1.32,3.32,0,0,0,0,0,0,0,0,1,1.2,1.45,1.73,2.55,3.06,13.72,0,0,0,0,0,0,0,1,1.21,1.47,1.77,2.62,3.18
2,2,Fladgate Drive,0,565,All,0.6,1.61,2.72,0,0,0,0,0,0,0,0,0,1,1.2,1.42,1.68,2.48,2.92,13.5,0,0,0,0,0,0,0,0,1,1.2,1.44,1.72
3,4,Highfield Drive,0,71,All,0,0.98,2.04,0,0,0,0,0,0,0,0,0,1,1.16,1.35,1.57,2.31,2.64,13.04,0,0,0,0,0,0,0,0,0,1,1.19,1.41
4,3,Matai Way,0,557,All,3.1,4.27,5.56,0,0,0,0,0,0,0,0,0,1,1.17,1.36,1.59,2.35,2.69,13.13,0,0,0,0,0,0,0,0,1,1.18,1.39,1.63
5,5,Vintry Drive,0,362,All,6.3,7.59,0,0,0,0,0,0,0,0,0,1,1.19,1.41,1.67,2.45,2.87,13.42,0,0,0,0,0,0,0,0,1,1.21,1.46,2.25,2.64
6,6,Croatia Avenue,0,42,All,0,0.09,2.2,4.14,5.23,0,0,0,0,0,0,0,0,0,1,1.15,1.33,1.54,1.77,2.53,12.89,0,0,0,0,0,0,0,0,0,1
7,6,Croatia Avenue,42,76,All,0,0.97,2.01,3.16,4.42,5.78,0,0,0,0,0,0,0,0,0,0,0.5,0.61,0.74,0.89,1.06,1.3,1.63,2.03,2.52,3.18,15.03,0,0,0,0
8,7,Lumbarda Drive,0,152,All,0,0,0,0.5,0.59,0.69,0.81,0.94,1.09,1.3,1.57,4.91,6.19,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0.73,0.87,1.03,1.25,1.55,1.93
9,8,Tarras Road,0,86,All,0,0.09,0.2,0.33,1.48,2.74,4.82,6.11,0,0,0,0,0,0,0,0,0,1,1.16,1.35,1.57,2.32,2.65,13.07,0,0,0,0,0,0,0
