elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,49.3,62.93,0,0,0,0,0,0,0,0,0,0,56.11,63.13,70.54,73.15,75.15,88.38,0,0,0
1,1,Conifer Close,0,378,All,40.28,55.51,68.14,0,0,0,0,0,0,0,0,62.32,63.73,70.54,77.15,83.17,81.96,90.98,0,0,0
2,2,Fladgate Drive,0,565,All,45.49,0,0,0,0,0,0,0,0,0,62.32,66.53,69.34,74.95,82.16,85.97,90.78,0,0,0,0
3,4,Highfield Drive,0,71,All,0,42.28,0,0,0,0,0,0,0,0,0,62.32,61.52,68.94,74.95,80.76,79.16,88.98,0,0,0
4,3,Matai Way,0,557,All,52.71,0,0,0,0,0,0,0,0,0,62.32,65.33,67.74,73.35,79.56,84.37,89.78,0,0,0,0
5,5,Vintry Drive,0,362,All,60.72,0,0,0,0,0,0,0,0,0,62.32,66.33,69.14,74.75,81.96,85.77,90.58,0,0,0,0
6,6,Croatia Avenue,0,42,All,0,27.25,55.91,66.53,75.15,0,0,0,0,0,0,0,0,0,62.32,62.32,62.32,61.92,70.14,81.96,92.59
7,6,Croatia Avenue,42,76,All,0,41.08,52.1,58.72,72.14,85.97,0,0,0,0,0,0,0,0,0,0,49.9,50.9,57.92,64.93,72.14
8,7,Lumbarda Drive,0,152,All,0,0,0,46.69,60.72,73.35,69.74,65.73,70.14,73.35,72.55,83.17,83.97,0,0,0,0,0,0,0,0
9,8,Tarras Road,0,86,All,0,27.86,37.27,41.88,64.13,79.96,85.17,85.57,0,0,0,0,0,0,0,0,0,56.11,64.53,76.35,81.16
10,8,Tarras Road,86,120,All,0,27.86,37.27,41.88,56.71,72.55,70.94,83.57,83.17,0,0,0,0,0,0,0,0,0,55.31,62.53,65.93
11,9,Kowhai Glen,0,305,All,43.49,55.91,61.72,63.53,0,0,0,0,0,0,0,52.91,53.71,55.31,54.51,59.12,61.52,62.93,71.74,82.77,89.78
12,1037,Epiha Road Upper,0,415,All,49.1,63.13,69.54,74.15,0,0,0,0,0,65.33,68.14,73.75,76.75,86.77,0,0,0,0,0,68.54,81.56
13,1038,Gossey Drive North,1319,1723,All,0,54.11,66.53,70.54,0,0,0,0,0,65.33,68.54,74.15,77.15,87.17,0,0,0,0,0,68.54,81.96
14,10,Upper Ahu Ahu Road,0,46,All,46.49,0,0,0,0,0,0,0,0,0,62.32,63.93,67.13,72.95,78.76,0,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,0,49.9,58.72,69.14,75.75,0,0,0,0,0,0,0,0,0,49.9,52.1,52.1,52.91,62.32,74.95,80.36
16,11,Lower Ahu Ahu Road,0,158,All,43.49,56.71,62.93,73.95,0,0,0,0,0,0,0,0,0,62.32,67.74,70.14,68.54,76.35,77.96,90.58,0
17,11,Lower Ahu Ahu Road,158,179,All,0,0,0,0,0,68.54,67.13,63.93,66.53,69.54,71.74,82.97,84.17,0,0,0,0,0,0,0,0
18,12,Kriletich Drive,0,263,All,47.09,59.32,67.74,0,0,0,0,0,0,59.12,55.91,56.91,66.13,75.15,82.36,90.18,85.37,85.17,0,0,0
19,917,Port Street East,0,21,All,41.88,51.3,54.11,59.12,71.54,84.57,0,0,0,0,0,0,0,0,0,0,0,0,59.12,72.95,78.36
20,917,Port Street East,21,396,All,41.88,34.07,36.07,40.28,55.71,65.73,67.33,63.73,66.13,63.13,79.96,81.96,82.16,0,0,0,0,0,0,0,0
21,917,Port Street East,396,874,All,48.3,61.32,0,0,0,0,0,0,0,0,0,0,0,0,62.32,61.12,60.72,75.55,88.18,0,0
22,917,Port Street East,874,1340,All,46.29,63.73,0,0,0,0,0,0,0,0,0,0,0,0,62.32,61.52,61.12,75.95,88.58,0,0
23,917,Port Street East,1340,1431,All,44.29,62.53,0,0,0,0,0,0,0,0,0,0,0,0,62.32,60.72,59.92,74.95,87.58,0,0
24,917,Port Street East,1431,2115,All,43.49,62.73,72.14,0,0,0,0,0,0,0,0,0,0,0,0,56.11,57.52,59.92,67.74,87.58,0
25,917,Port Street East,2120,2350,All,0,59.92,70.14,0,0,0,0,0,0,0,0,0,0,0,0,56.11,57.52,59.92,67.74,87.58,0
26,13,Puriri Dale Way,0,293,All,43.49,0,0,0,0,0,0,0,0,65.33,69.74,72.95,78.36,81.16,86.37,92.18,0,0,0,0,0
27,15,Fendall Close,0,438,All,42.48,64.53,71.94,0,0,0,0,0,68.54,71.94,79.36,87.98,0,0,0,0,54.51,58.12,70.54,81.36,92.18
28,15,Fendall Close,438,585,All,40.28,33.47,48.1,62.73,0,0,0,0,0,0,62.32,63.73,66.93,85.17,0,0,0,0,0,0,68.54
29,15,Fendall Close,585,643,All,0,0,43.49,48.1,61.92,74.75,69.94,65.93,70.54,77.35,81.76,83.57,0,0,0,0,0,49.9,57.11,64.33,67.13
30,15,Fendall Close,643,736,All,45.09,57.52,68.34,75.55,0,0,0,0,68.54,72.55,79.56,77.96,85.57,0,0,0,0,56.11,66.13,80.36,87.58
31,15,Fendall Close,736,814,All,40.28,0,0,0,0,77.96,78.36,79.96,78.36,83.57,0,0,0,0,62.32,66.53,74.55,77.56,86.77,0,0
32,9339,Weston Way,814,886,All,40.28,48.7,0,0,0,0,0,66.93,72.95,75.95,80.76,80.76,86.97,0,0,0,49.9,52.51,68.74,81.56,88.98
33,9339,Weston Way,886,939,All,0,34.87,49.1,65.73,0,0,0,62.32,65.33,68.54,73.35,79.56,81.16,84.37,0,0,0,0,0,0,0
34,9339,Weston Way,965,1051,All,0,34.47,40.68,52.51,68.14,83.17,88.18,0,0,0,0,0,0,0,0,56.11,57.92,87.17,0,0,0
35,9339,Weston Way,1051,1219,All,0,50.9,0,0,0,0,74.95,72.14,77.15,78.36,85.17,0,0,0,0,56.11,71.74,68.54,77.15,92.18,0
36,9339,Weston Way,1237,1589,All,40.28,0,0,0,0,77.96,78.76,80.36,78.76,84.37,0,0,0,0,62.32,75.55,75.55,79.56,91.38,0,0
37,9339,Weston Way,1589,1999,All,40.28,0,0,0,0,77.96,79.56,81.16,79.56,84.77,0,0,0,0,62.32,76.35,76.35,80.36,91.78,0,0
38,9339,Weston Way,1999,2369,All,40.28,0,0,0,0,0,74.95,70.94,76.35,82.77,0,0,0,0,62.32,65.33,73.35,72.55,85.97,0,0
39,9339,Weston Way,2385,2696,All,44.69,0,0,0,0,0,0,66.93,72.14,74.95,80.36,80.36,85.97,0,0,0,0,0,0,68.54,77.15
40,9339,Weston Way,2696,3114,All,43.89,0,0,0,0,0,74.95,71.74,76.75,83.17,0,0,0,0,62.32,64.93,72.55,71.74,85.17,0,0
41,9339,Weston Way,3114,3398,All,40.28,56.51,62.53,0,0,0,0,0,0,65.33,66.53,71.74,75.55,80.36,88.98,0,0,0,0,0,0
42,9339,Weston Way,3398,3457,All,0,57.92,63.73,66.33,0,0,0,0,0,0,54.51,54.51,54.51,56.11,55.71,62.53,63.73,78.76,89.38,0,0
43,9339,Weston Way,3457,3675,All,39.08,35.67,46.89,65.13,72.95,86.37,0,0,0,0,0,0,0,0,49.9,51.5,51.5,52.3,58.72,73.15,79.16
44,9167,Foxglove Drive,0,668,All,41.88,34.07,36.07,40.28,55.71,65.73,84.77,0,0,0,0,0,0,0,0,0,0,0,0,60.72,64.93
45,16,Sarah Lane,0,515,All,47.29,63.53,70.94,74.75,0,0,0,0,0,0,0,0,56.11,64.53,71.74,74.95,78.76,81.16,90.58,0,0
46,17,Ash Drive,0,318,All,39.08,35.67,47.29,49.3,64.53,81.16,86.17,0,0,0,0,0,0,0,0,0,0,0,59.12,72.14,77.96
47,18,Monaghan Way,0,80,All,0,0,0,46.69,60.32,71.74,67.74,64.13,80.36,79.96,82.36,0,0,0,0,0,0,0,0,0,0
48,1035,Cousins Avenue East,0,61,All,0,39.08,50.5,57.92,71.34,85.17,0,0,0,0,0,0,0,0,0,0,0,49.9,56.71,63.73,66.53
49,19,Elm Close,0,82,All,48.3,56.11,48.9,52.3,67.54,81.36,87.58,0,0,0,0,0,0,0,0,0,54.51,57.92,68.54,78.76,87.17
50,19,Elm Close,82,101,All,0,31.66,38.68,50.3,69.54,82.77,87.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,20,Burkes Creek Road,0,21,All,0,54.31,66.73,71.14,76.35,0,0,0,0,0,62.32,67.74,74.15,77.96,89.38,0,0,0,0,0,68.54
52,20,Burkes Creek Road,21,520,All,0,54.51,66.93,71.74,0,0,0,0,0,65.33,68.94,74.95,77.96,88.98,0,0,0,0,0,68.54,82.77
53,20,Burkes Creek Road,549,697,All,47.9,61.72,68.94,0,0,0,0,0,68.54,69.74,74.95,75.55,84.97,0,0,0,0,0,59.12,74.15,84.57
54,20,Burkes Creek Road,697,765,All,40.28,35.87,47.09,52.91,67.74,81.56,87.78,0,0,0,0,0,0,0,0,0,0,49.9,56.11,62.93,65.33
55,20,Burkes Creek Road,765,1789,All,48.3,62.12,69.34,0,0,0,0,0,68.54,69.94,75.15,76.75,85.17,0,0,0,0,0,59.12,74.35,84.77
56,21,Tapeka Heights Lane,0,277,All,0,49.1,59.12,64.53,0,0,0,0,0,0,0,62.32,65.33,72.55,81.16,86.77,83.57,84.37,93.79,0,0
57,22,Sir John McKenzie Drive,0,530,All,45.89,36.27,65.53,68.74,0,0,0,0,0,0,0,0,0,62.32,68.14,70.74,68.94,76.75,78.56,90.78,0
58,23,Apple Orchard Lane,0,185,All,42.89,55.71,61.92,0,0,0,0,0,0,0,54.51,55.31,54.91,56.31,64.13,67.33,67.74,68.14,74.55,84.77,90.18
59,974,Railway Terrace East,0,730,All,0,25.65,35.07,40.48,56.31,79.76,84.97,85.17,0,0,0,0,0,0,0,0,0,0,0,68.54,74.35
60,24,George Noble Road,0,272,All,47.9,61.92,69.14,75.15,0,0,0,0,0,0,0,0,56.11,66.53,73.35,79.96,79.96,81.96,92.18,0,0
61,24,George Noble Road,272,286,All,0,32.46,39.88,43.49,62.93,78.76,80.36,82.77,81.16,80.36,83.17,0,0,0,0,0,0,0,0,0,0
62,25,Founders Lane,0,597,All,0,0,0,0,57.52,72.95,70.54,68.14,73.35,76.35,81.16,81.16,82.36,0,49.9,66.33,83.17,86.37,94.99,96.59,96.59
63,26,Stud Road,0,205,All,0,33.27,48.3,51.7,68.54,83.57,0,0,0,0,0,0,56.11,65.33,72.95,79.56,79.56,89.78,0,0,0
64,27,Gallop Lane,0,116,All,0,30.26,57.52,68.14,0,0,0,0,0,0,0,0,0,62.32,66.13,69.34,66.93,72.95,76.35,88.98,0
65,27,Gallop Lane,116,136,All,42.69,35.27,40.28,40.68,56.11,75.15,70.74,67.54,71.74,73.75,72.34,82.77,83.57,0,0,0,0,0,0,0,0
66,7056,Dawick Street,0,78,All,0,29.46,56.71,66.93,0,0,0,0,0,0,0,0,0,62.32,65.73,68.54,66.13,70.94,75.55,88.18,0
67,7056,Dawick Street,78,88,All,51.5,64.73,69.74,73.15,75.95,87.58,88.98,88.98,90.18,85.17,86.17,88.18,90.38,0,0,0,0,0,0,0,0
68,28,Stirrup Lane,0,261,All,0,52.91,60.72,72.95,0,0,0,0,0,0,0,0,56.11,66.93,74.15,81.16,81.16,82.77,92.99,0,0
69,29,Riroriro Road,0,122,All,45.09,57.31,63.33,74.55,0,0,0,0,0,0,0,0,0,62.32,66.93,69.74,67.33,73.35,76.75,89.78,0
70,29,Riroriro Road,122,139,All,0,28.66,37.88,42.28,59.12,74.15,71.74,84.37,83.57,0,0,0,0,0,0,0,0,0,0,0,0
71,30,Curly McLeod Way,0,69,All,49.9,0,0,0,0,0,0,0,0,0,0,62.32,62.32,69.34,75.55,81.96,88.98,0,0,0,0
72,30,Curly McLeod Way,69,82,All,44.69,57.11,62.73,65.33,75.35,0,0,0,0,0,0,0,0,0,0,49.9,50.9,51.9,0,0,0
73,32,Karearea Lane,0,56,All,46.89,61.52,0,0,0,0,0,0,0,0,0,0,52.91,53.71,53.31,53.31,56.11,58.32,68.94,79.56,85.97
74,32,Karearea Lane,84,154,All,44.29,0,0,0,0,0,0,0,0,59.12,55.31,56.11,55.11,56.71,67.33,71.94,71.14,81.76,80.56,93.39,0
75,32,Karearea Lane,154,820,All,60.32,0,0,0,0,0,0,0,0,65.33,65.33,70.54,72.14,79.56,83.57,87.58,91.38,0,0,0,0
76,32,Karearea Lane,820,1262,All,0,26.25,35.67,49.9,69.34,81.96,86.77,0,0,0,0,0,0,0,0,0,0,0,59.12,73.35,78.76
77,33,Okoare Lane,0,58,All,0,31.26,38.48,42.89,59.92,74.95,77.96,83.17,81.56,81.76,0,0,0,0,0,0,0,0,0,68.54,74.55
78,35,Leicester Place,0,660,All,0,0,0,46.69,62.73,78.36,80.16,81.76,80.76,80.76,0,52.91,61.92,81.36,88.38,92.99,94.79,94.99,98,99.8,99.8
