elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,49.3,48.9,47.29,46.09,46.49,44.29,42.69,37.68,36.27,35.07,34.67,32.46,31.86,31.86,31.86,31.46
1,1,Conifer Close,0,378,All,38.68,39.28,45.29,43.69,43.89,44.09,43.69,42.08,39.48,39.48,39.88,40.28,40.48,41.08,41.08,41.68
2,2,Fladgate Drive,0,565,All,45.09,41.88,38.88,33.27,32.87,36.67,35.47,35.87,35.47,34.87,35.47,34.47,34.47,34.87,35.27,36.07
3,4,Highfield Drive,0,71,All,0,24.45,22.24,22.04,22.65,23.25,22.85,23.05,23.05,25.65,27.25,28.06,28.66,28.86,28.86,29.26
4,3,Matai Way,0,557,All,52.71,52.91,52.71,52.3,51.9,51.3,50.9,48.9,47.7,46.89,46.49,43.49,42.08,41.28,41.48,43.29
5,5,Vintry Drive,0,362,All,57.92,57.72,57.11,56.51,55.71,55.91,55.31,54.71,54.91,53.91,53.31,53.11,52.91,54.11,56.31,59.52
6,6,Croatia Avenue,0,42,All,0,9.82,27.86,35.67,31.66,28.26,26.65,24.45,22.04,21.24,22.44,23.25,22.44,21.64,21.64,21.64
7,6,Croatia Avenue,42,76,All,0,23.25,21.24,20.44,21.24,21.64,21.64,21.64,21.24,23.25,24.45,24.45,24.45,25.45,25.85,25.85
8,7,Lumbarda Drive,0,152,All,0,0,0,9.02,7.41,6.01,4.41,4.41,3.21,3.21,3.21,5.21,4.21,3.21,3.21,3.21
9,8,Tarras Road,0,86,All,0,10.62,8.22,6.01,11.82,11.82,12.83,12.83,12.83,13.03,12.63,13.23,13.03,12.83,12.22,12.42
10,8,Tarras Road,86,120,All,0,10.62,8.22,6.01,4.41,5.21,6.61,9.82,9.82,10.62,10.22,9.82,9.02,9.82,9.82,9.82
11,9,Kowhai Glen,0,305,All,43.49,39.68,37.27,30.26,27.45,26.25,25.05,23.45,21.64,20.44,19.44,19.84,18.24,18.24,17.43,17.43
12,1037,Epiha Road Upper,0,415,All,49.1,49.5,47.49,45.89,46.29,45.29,43.89,41.68,38.68,38.68,38.08,37.47,38.08,38.28,38.48,38.28
13,1038,Gossey Drive North,1319,1723,All,0,37.88,43.49,41.08,40.28,39.48,41.08,37.27,37.27,36.87,37.27,36.87,37.27,37.27,37.88,37.88
14,10,Upper Ahu Ahu Road,0,46,All,46.29,0,0,0,0,0,0,0,0,0,1.4,1.2,0.2,0.2,0.2,0.2
