elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,49.3,58.12,66.13,0,0,0,0,0,0,0,0,0,0,49.9,49.1,53.11,54.31,57.31,69.94,75.95,88.58
1,1,Conifer Close,0,378,All,40.28,49.9,64.33,0,0,0,0,0,0,0,0,52.91,57.92,59.92,61.52,66.93,66.53,74.55,78.36,85.57,92.59
2,2,Fladgate Drive,0,565,All,45.49,51.9,58.92,0,0,0,0,0,0,0,0,0,49.9,55.31,56.71,60.92,62.32,65.13,73.95,81.36,90.58
3,4,Highfield Drive,0,71,All,0,34.87,44.89,55.91,63.93,77.35,0,0,0,0,0,0,0,0,0,43.49,45.09,48.5,50.7,57.52,67.54
4,3,Matai Way,0,557,All,52.71,62.73,70.54,0,0,0,0,0,0,0,0,0,49.9,53.31,54.51,59.52,61.12,62.93,71.34,77.96,89.38
5,5,Vintry Drive,0,362,All,60.72,68.74,0,0,0,0,0,0,0,0,0,52.91,57.72,59.52,60.12,66.53,65.13,73.95,80.16,84.97,0
6,6,Croatia Avenue,0,42,All,0,19.84,49.3,65.13,70.14,0,0,0,0,0,0,0,0,0,43.49,48.7,50.1,52.1,53.31,59.92,75.95
7,6,Croatia Avenue,42,76,All,0,33.67,43.49,54.51,62.93,76.35,0,0,0,0,0,0,0,0,0,0,32.46,34.47,36.47,39.88,53.31
8,7,Lumbarda Drive,0,152,All,0,0,0,40.28,48.3,58.32,63.33,63.73,64.93,66.93,65.33,73.35,74.55,72.14,68.54,71.74,73.35,78.76,83.57,88.18,94.59
9,8,Tarras Road,0,86,All,0,20.04,27.86,35.67,51.7,66.93,79.56,81.96,0,0,0,0,0,0,0,0,0,37.27,43.89,49.1,59.52
10,8,Tarras Road,86,120,All,0,20.04,27.86,35.67,42.69,57.52,64.53,80.36,77.96,77.56,74.55,0,0,0,0,0,0,0,0,0,45.09
