elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,71.74,74.95,81.96,83.57,84.37,85.57,88.58,0,12.22,18.44,24.85,31.06,37.27,37.27,43.49,49.9,56.11,56.11,62.32,62.32,68.54
1,1,Conifer Close,0,378,All,46.69,49.9,62.32,62.32,65.33,73.35,0,12.22,18.44,24.85,31.06,37.27,43.49,49.9,52.91,56.11,62.32,68.54,68.54,71.74,74.95
2,2,Fladgate Drive,0,565,All,88.18,89.78,91.38,90.58,91.38,92.18,93.79,0,12.22,18.44,24.85,31.06,37.27,37.27,43.49,49.9,56.11,56.11,62.32,62.32,68.54
3,4,Highfield Drive,0,71,All,74.95,77.96,87.58,88.98,88.98,90.58,92.18,0,12.22,18.44,24.85,31.06,37.27,37.27,43.49,49.9,56.11,56.11,62.32,62.32,68.54
4,3,Matai Way,0,557,All,81.16,81.16,87.58,87.58,87.58,88.98,90.58,0,12.22,18.44,24.85,31.06,37.27,37.27,43.49,49.9,56.11,56.11,62.32,62.32,68.54
5,5,Vintry Drive,0,362,All,71.74,76.35,82.36,84.37,84.77,87.58,0,12.22,18.44,24.85,31.06,37.27,43.49,49.9,52.91,56.11,62.32,68.54,68.54,71.74,74.95
6,6,Croatia Avenue,0,42,All,38.68,43.49,49.9,49.9,54.51,65.33,71.74,0,12.22,18.44,24.85,31.06,37.27,37.27,43.49,49.9,56.11,56.11,62.32,62.32,68.54
7,6,Croatia Avenue,42,76,All,73.35,76.35,81.16,81.16,81.16,82.77,85.97,90.58,91.38,93.79,94.59,95.39,95.39,95.39,95.39,95.39,95.39,95.39,96.99,96.99,96.99
8,7,Lumbarda Drive,0,152,All,12.22,16.83,21.64,26.65,31.06,42.69,49.1,57.52,63.73,69.34,72.55,76.35,79.56,82.77,82.77,85.17,87.58,0,22.24,45.69,79.76
9,8,Tarras Road,0,86,All,20.84,25.45,31.66,38.68,43.89,53.31,62.32,69.74,0,12.22,18.44,24.85,31.06,31.06,37.27,43.49,43.49,49.9,52.91,59.12,62.32
10,8,Tarras Road,86,120,All,18.44,23.25,29.46,34.07,38.68,46.69,53.71,62.32,68.54,75.55,79.56,80.36,84.37,85.17,0,20.84,58.52,83.57,0,9.82,15.23
11,9,Kowhai Glen,0,305,All,65.33,66.93,71.74,73.35,74.95,76.35,79.56,83.57,0,12.22,18.44,24.85,31.06,31.06,37.27,43.49,43.49,49.9,52.91,59.12,62.32
12,1037,Epiha Road Upper,0,415,All,46.69,49.9,62.32,62.32,0,12.22,24.85,37.27,43.49,52.91,62.32,68.54,74.95,77.96,0,9.02,15.23,24.85,31.06,40.28,49.9
13,1038,Gossey Drive North,1319,1723,All,46.69,49.9,62.32,62.32,0,12.22,24.85,37.27,43.49,52.91,62.32,68.54,74.95,77.96,0,9.02,15.23,24.85,31.06,40.28,49.9
14,10,Upper Ahu Ahu Road,0,46,All,62.93,0,6.61,12.22,14.43,24.85,29.46,37.88,45.09,49.9,57.52,59.12,66.93,70.94,75.55,0,9.02,12.22,18.44,21.64,27.86
15,10,Upper Ahu Ahu Road,46,68,All,43.49,45.89,51.3,49.9,51.3,61.52,67.74,73.35,79.56,85.17,88.98,88.98,0,28.26,63.73,80.76,88.18,90.58,0,9.82,15.23
16,11,Lower Ahu Ahu Road,0,158,All,37.27,37.27,43.49,49.9,56.11,68.54,74.95,81.16,0,12.22,18.44,24.85,31.06,31.06,37.27,43.49,43.49,49.9,52.91,59.12,62.32
17,11,Lower Ahu Ahu Road,158,179,All,9.02,12.22,18.44,20.84,24.85,32.46,37.27,42.69,49.9,56.11,59.12,60.72,66.13,70.14,70.14,76.35,80.36,79.56,82.77,85.97,85.97
18,12,Kriletich Drive,0,263,All,66.93,68.54,74.15,76.35,75.55,77.96,81.16,84.77,0,12.22,18.44,24.85,31.06,31.06,37.27,43.49,43.49,49.9,52.91,59.12,62.32
19,917,Port Street East,0,21,All,81.16,81.16,87.58,87.58,87.58,88.98,0,12.22,18.44,24.85,31.06,37.27,43.49,49.9,52.91,56.11,62.32,68.54,68.54,71.74,74.95
20,917,Port Street East,21,396,All,0,6.01,15.23,23.25,29.46,40.28,49.9,60.72,66.93,74.95,80.36,81.16,85.97,0,6.01,12.22,14.43,19.24,23.25,29.46,34.07
21,917,Port Street East,396,874,All,81.16,81.16,87.58,87.58,87.58,0,12.22,18.44,24.85,37.27,37.27,43.49,49.9,56.11,62.32,62.32,68.54,74.95,74.95,81.16,81.16
22,917,Port Street East,874,1340,All,81.16,81.16,87.58,87.58,87.58,0,12.22,18.44,24.85,37.27,37.27,43.49,49.9,56.11,62.32,62.32,68.54,74.95,74.95,81.16,81.16
23,917,Port Street East,1340,1431,All,81.16,81.16,0,6.01,12.22,20.04,27.86,31.06,37.27,46.69,52.91,56.11,62.32,68.54,71.74,77.96,82.77,84.37,87.58,0,6.01
24,917,Port Street East,1431,2115,All,49.9,56.11,62.32,59.12,62.32,65.33,0,12.22,18.44,24.85,31.06,37.27,43.49,49.9,52.91,56.11,62.32,68.54,68.54,71.74,74.95
25,917,Port Street East,2120,2350,All,49.9,56.11,62.32,59.12,62.32,0,12.22,18.44,24.85,37.27,37.27,43.49,49.9,56.11,62.32,62.32,68.54,74.95,74.95,81.16,81.16
26,13,Puriri Dale Way,0,293,All,93.79,93.79,100,100,100,100,100,0,12.22,18.44,24.85,31.06,37.27,37.27,43.49,49.9,56.11,56.11,62.32,62.32,68.54
27,15,Fendall Close,0,438,All,53.71,59.12,66.93,70.14,73.35,0,15.23,24.85,35.67,45.09,56.11,62.32,68.54,74.15,0,9.02,15.23,24.85,31.06,40.28,49.9
28,15,Fendall Close,438,585,All,31.06,34.07,41.88,49.9,0,12.22,24.85,37.27,43.49,52.91,62.32,68.54,74.95,77.96,0,9.02,15.23,24.85,31.06,40.28,49.9
29,15,Fendall Close,585,643,All,14.43,20.04,27.05,31.66,37.27,46.29,54.51,63.33,69.54,77.15,81.76,81.16,0,9.02,15.23,26.25,32.46,43.49,56.11,68.54,73.35
30,15,Fendall Close,643,736,All,31.06,34.07,41.88,49.9,0,12.22,24.85,37.27,43.49,52.91,62.32,68.54,74.95,0,9.02,18.44,24.85,31.06,40.28,56.11,65.33
31,15,Fendall Close,736,814,All,100,100,100,100,0,12.22,24.85,37.27,43.49,52.91,62.32,68.54,74.95,0,9.02,18.44,24.85,31.06,40.28,56.11,65.33
32,9339,Weston Way,814,886,All,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,12.22,17.64
33,9339,Weston Way,886,939,All,40.28,45.09,50.5,49.9,52.91,62.32,68.54,76.35,81.16,85.97,89.78,91.38,93.79,94.59,96.19,96.99,0,9.02,15.23,24.85,31.06
