elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,71.74,83.57,0,12.22,31.06,49.9,49.9,49.9,62.32,62.32,62.32,68.54,74.95,81.16,87.58,87.58,90.58,93.79,0,24.85,31.06
1,1,Conifer Close,0,378,All,46.69,62.32,74.95,0,18.44,37.27,37.27,43.49,49.9,49.9,56.11,62.32,68.54,74.95,81.16,81.16,84.37,90.58,0,24.85,31.06
2,2,Fladgate Drive,0,565,All,88.18,0,24.85,24.85,43.49,62.32,62.32,62.32,74.95,74.95,74.95,81.16,87.58,87.58,93.79,93.79,93.79,0,18.44,31.06,37.27
3,4,Highfield Drive,0,71,All,74.95,85.97,0,12.22,31.06,49.9,49.9,49.9,62.32,62.32,62.32,68.54,74.95,81.16,87.58,87.58,90.58,93.79,0,24.85,31.06
4,3,Matai Way,0,557,All,81.16,0,24.85,24.85,43.49,62.32,62.32,62.32,74.95,74.95,74.95,81.16,87.58,87.58,93.79,93.79,93.79,0,18.44,31.06,37.27
5,5,Vintry Drive,0,362,All,71.74,0,24.85,24.85,43.49,62.32,62.32,62.32,74.95,74.95,74.95,81.16,87.58,87.58,93.79,93.79,93.79,0,18.44,31.06,37.27
6,6,Croatia Avenue,0,42,All,38.68,57.52,70.94,74.95,90.58,0,18.44,18.44,24.85,31.06,37.27,43.49,49.9,49.9,62.32,68.54,68.54,74.95,77.96,90.58,93.79
7,6,Croatia Avenue,42,76,All,73.35,84.37,95.39,95.39,93.79,98.6,0,6.01,13.63,15.23,18.44,21.64,26.25,34.87,40.28,46.69,42.69,48.3,56.11,68.54,76.35
8,7,Lumbarda Drive,0,152,All,12.22,31.66,46.69,54.51,70.94,88.98,92.18,95.39,95.79,92.99,95.39,98.6,97.8,0,12.22,16.83,17.64,18.44,27.05,39.48,47.49
9,8,Tarras Road,0,86,All,20.84,40.28,55.31,65.73,82.77,94.59,98.6,100,0,6.01,12.22,18.44,24.85,31.06,37.27,43.49,43.49,52.91,62.32,71.74,81.16
10,8,Tarras Road,86,120,All,18.44,38.68,52.91,62.32,77.96,90.58,94.59,97.8,98.2,0,8.22,11.42,15.23,16.83,26.25,31.06,34.87,39.48,49.1,59.12,66.13
11,9,Kowhai Glen,0,305,All,65.33,77.96,88.98,89.78,0,24.85,24.85,31.06,37.27,37.27,49.9,49.9,62.32,62.32,68.54,74.95,74.95,87.58,87.58,93.79,96.99
12,1037,Epiha Road Upper,0,415,All,46.69,62.32,74.95,84.37,0,31.06,43.49,59.12,65.33,81.16,87.58,93.79,93.79,96.99,0,18.44,24.85,34.07,46.69,62.32,71.74
13,1038,Gossey Drive North,1319,1723,All,46.69,62.32,74.95,84.37,0,31.06,43.49,59.12,65.33,81.16,87.58,93.79,93.79,96.99,0,18.44,24.85,34.07,46.69,62.32,71.74
14,10,Upper Ahu Ahu Road,0,46,All,62.93,0,24.85,24.85,43.49,62.32,62.32,62.32,74.95,74.95,74.95,81.16,87.58,87.58,93.79,0,6.01,10.62,21.64,37.27,45.09
15,10,Upper Ahu Ahu Road,46,68,All,43.49,59.92,73.35,74.95,88.98,0,12.22,12.22,18.44,24.85,24.85,31.06,34.07,43.49,49.9,49.9,56.11,56.11,65.33,74.95,79.56
16,11,Lower Ahu Ahu Road,0,158,All,37.27,56.11,68.54,74.95,0,24.85,24.85,31.06,37.27,37.27,49.9,49.9,62.32,62.32,68.54,74.95,74.95,87.58,87.58,93.79,0
17,11,Lower Ahu Ahu Road,158,179,All,9.02,26.25,41.88,48.3,65.33,77.96,77.15,79.56,82.77,84.37,84.37,88.18,80.36,0,12.22,16.83,17.64,18.44,27.05,39.48,47.49
18,12,Kriletich Drive,0,263,All,66.93,78.76,89.78,0,18.44,37.27,37.27,43.49,49.9,49.9,56.11,62.32,68.54,74.95,81.16,81.16,84.37,90.58,0,35.67,0
19,917,Port Street East,0,21,All,81.16,87.58,96.99,96.99,96.99,99.4,0,7.41,15.23,18.44,31.06,34.07,37.27,46.69,56.11,62.32,62.32,68.54,71.74,82.77,90.58
20,917,Port Street East,21,396,All,0,21.64,38.68,51.3,68.54,85.97,92.99,96.99,97.39,97.8,99,100,100,0,15.23,21.64,21.64,29.46,34.07,48.3,56.11
21,917,Port Street East,396,874,All,81.16,87.58,0,12.22,31.06,49.9,49.9,49.9,62.32,62.32,62.32,68.54,74.95,81.16,87.58,87.58,90.58,93.79,96.99,0,12.22
22,917,Port Street East,874,1340,All,81.16,87.58,0,12.22,31.06,49.9,49.9,49.9,62.32,62.32,62.32,68.54,74.95,81.16,87.58,87.58,90.58,93.79,96.99,0,12.22
23,917,Port Street East,1340,1431,All,81.16,87.58,0,12.22,31.06,49.9,49.9,49.9,62.32,62.32,62.32,68.54,74.95,81.16,87.58,87.58,90.58,93.79,96.99,0,12.22
24,917,Port Street East,1431,2115,All,49.9,68.54,74.95,0,18.44,37.27,37.27,43.49,49.9,49.9,56.11,62.32,68.54,74.95,81.16,81.16,84.37,90.58,93.79,98.6,0
25,917,Port Street East,2120,2350,All,49.9,68.54,74.95,0,18.44,37.27,37.27,43.49,49.9,49.9,56.11,62.32,68.54,74.95,81.16,81.16,84.37,90.58,93.79,98.6,0
26,13,Puriri Dale Way,0,293,All,93.79,0,24.85,24.85,43.49,62.32,62.32,62.32,74.95,74.95,74.95,81.16,87.58,87.58,93.79,93.79,0,8.22,20.04,34.07,43.49
27,15,Fendall Close,0,438,All,53.71,71.74,84.77,0,27.86,52.91,70.14,74.95,81.16,87.58,93.79,97.8,0,12.22,21.64,34.07,38.68,46.69,66.93,80.36,88.98
28,15,Fendall Close,438,585,All,31.06,49.9,65.33,74.95,0,31.06,43.49,59.12,65.33,81.16,87.58,93.79,93.79,96.99,0,18.44,24.85,34.07,46.69,62.32,71.74
29,15,Fendall Close,585,643,All,14.43,34.87,50.5,59.52,77.15,90.38,95.19,98,98.6,98.6,99.6,100,0,12.22,21.64,34.07,38.68,46.69,66.93,80.36,88.98
30,15,Fendall Close,643,736,All,31.06,49.9,65.33,74.95,0,31.06,43.49,59.12,65.33,81.16,87.58,93.79,93.79,0,18.44,26.25,34.07,40.28,52.91,70.14,84.37
31,15,Fendall Close,736,814,All,100,0,31.06,37.27,56.11,74.95,87.58,87.58,93.79,93.79,0,12.22,18.44,34.07,43.49,59.12,65.33,77.96,81.16,0,24.85
32,9339,Weston Way,814,886,All,100,100,0,20.84,37.88,66.13,71.74,76.35,83.57,86.77,91.98,95.79,96.39,0,16.83,24.85,30.26,37.27,49.5,63.73,70.94
33,9339,Weston Way,886,939,All,40.28,59.12,71.74,74.95,0,29.46,35.67,46.69,52.91,65.33,71.74,87.58,88.98,92.99,0,13.63,18.44,24.85,37.27,49.9,59.12
34,9339,Weston Way,965,1051,All,22.44,41.88,56.71,65.33,81.96,93.79,97.39,0,0,12.22,21.64,37.27,43.49,56.11,77.96,85.97,87.17,98.2,0,27.86,40.28
35,9339,Weston Way,1051,1219,All,87.58,92.18,0,21.64,49.9,68.54,74.95,81.16,87.58,92.18,96.99,0,9.02,18.44,34.07,40.28,49.9,65.33,74.95,85.97,0
36,9339,Weston Way,1237,1589,All,90.58,0,31.06,37.27,56.11,74.95,87.58,87.58,93.79,93.79,0,12.22,18.44,34.07,43.49,59.12,65.33,77.96,81.16,0,24.85
37,9339,Weston Way,1589,1999,All,90.58,0,31.06,37.27,56.11,74.95,87.58,87.58,93.79,93.79,0,12.22,18.44,34.07,43.49,59.12,65.33,77.96,81.16,0,24.85
38,9339,Weston Way,1999,2369,All,90.58,0,31.06,37.27,56.11,74.95,87.58,87.58,93.79,93.79,0,12.22,18.44,34.07,43.49,59.12,65.33,77.96,81.16,0,24.85
39,9339,Weston Way,2385,2696,All,87.58,0,26.25,34.07,52.91,66.93,73.35,77.96,84.37,85.97,91.38,95.39,96.19,0,16.03,23.25,27.86,33.27,43.49,58.32,67.74
40,9339,Weston Way,2696,3114,All,87.58,0,31.06,37.27,56.11,74.95,87.58,87.58,93.79,93.79,0,12.22,18.44,34.07,43.49,59.12,65.33,77.96,81.16,0,24.85
41,9339,Weston Way,3114,3398,All,66.13,79.16,90.98,0,24.45,42.69,48.3,56.71,62.93,66.13,72.55,85.97,88.18,92.18,98.2,0,7.41,12.22,24.85,44.69,53.71
42,9339,Weston Way,3398,3457,All,58.32,71.74,82.77,85.17,0,28.66,34.07,37.27,50.5,53.71,59.92,65.73,79.56,84.37,90.58,92.18,99,99.4,100,0,19.24
43,9339,Weston Way,3457,3675,All,27.86,42.69,56.11,63.73,81.16,93.39,0,9.02,18.04,25.85,32.67,39.28,40.68,49.1,57.72,69.74,72.14,78.36,80.76,91.18,96.79
44,9167,Foxglove Drive,0,668,All,13.63,32.46,48.3,56.11,71.74,87.58,91.78,0,10.62,13.63,16.83,24.85,27.86,37.27,46.69,56.11,59.12,62.32,68.54,77.96,87.58
45,16,Sarah Lane,0,515,All,56.11,71.74,84.37,85.97,0,24.85,24.85,31.06,37.27,37.27,49.9,49.9,62.32,62.32,68.54,74.95,74.95,87.58,87.58,0,12.22
46,17,Ash Drive,0,318,All,18.04,37.27,53.71,62.53,80.36,92.99,96.99,0,0,7.41,15.23,21.24,29.86,43.49,52.91,60.32,63.33,70.54,76.35,87.58,96.19
47,18,Monaghan Way,0,80,All,15.23,35.67,51.3,62.32,79.56,92.18,95.39,98.6,99,99.4,100,0,7.01,12.63,21.24,28.86,30.46,38.68,48.5,59.32,67.94
48,1035,Cousins Avenue East,0,61,All,54.51,69.34,74.95,80.36,88.98,97.8,0,6.01,13.63,15.23,18.44,21.64,26.25,34.87,40.28,46.69,42.69,48.3,56.11,68.54,76.35
49,19,Elm Close,0,82,All,20.04,39.48,54.51,63.33,81.96,94.19,98.6,0,10.62,13.63,16.83,24.85,27.86,37.27,46.69,56.11,59.12,62.32,68.54,77.96,87.58
50,19,Elm Close,82,101,All,22.24,46.69,62.93,70.74,87.58,97.8,100,0,9.02,8.22,14.43,16.03,20.84,26.25,31.06,35.67,37.88,43.49,52.1,63.73,68.54
51,20,Burkes Creek Road,0,21,All,46.69,62.32,74.95,84.37,91.38,0,23.25,35.67,51.3,54.51,70.14,88.98,90.58,93.79,99.4,0,9.02,21.64,40.28,52.91,65.33
52,20,Burkes Creek Road,21,520,All,46.69,62.32,74.95,84.37,0,31.06,43.49,59.12,65.33,81.16,87.58,93.79,93.79,96.99,0,18.44,24.85,34.07,46.69,62.32,71.74
53,20,Burkes Creek Road,549,697,All,62.32,74.95,87.58,0,27.86,52.91,70.14,74.95,81.16,87.58,93.79,97.8,98.6,0,18.44,26.25,34.07,40.28,52.91,70.14,84.37
54,20,Burkes Creek Road,697,765,All,24.85,43.49,59.12,66.93,84.37,95.39,98.6,0,12.22,16.43,24.05,34.47,40.28,48.7,57.52,70.14,72.55,78.76,84.37,96.99,99
55,20,Burkes Creek Road,765,1789,All,62.32,74.95,87.58,0,27.86,52.91,70.14,74.95,81.16,87.58,93.79,97.8,98.6,0,18.44,26.25,34.07,40.28,52.91,70.14,84.37
56,21,Tapeka Heights Lane,0,277,All,62.32,74.15,85.97,88.98,0,24.85,24.85,31.06,37.27,37.27,49.9,49.9,62.32,62.32,68.54,74.95,74.95,87.58,87.58,0,12.22
57,22,Sir John McKenzie Drive,0,530,All,43.49,60.72,74.95,85.17,0,24.85,24.85,31.06,37.27,37.27,49.9,49.9,62.32,62.32,68.54,74.95,74.95,87.58,87.58,93.79,0
58,23,Apple Orchard Lane,0,185,All,70.94,81.96,91.38,0,18.44,37.27,37.27,43.49,49.9,49.9,56.11,62.32,68.54,74.95,81.16,81.16,84.37,90.58,93.79,98.6,100
59,974,Railway Terrace East,0,730,All,24.85,43.49,59.12,66.93,84.37,95.39,98.6,99.6,0,6.01,12.22,18.44,24.85,31.06,37.27,43.49,43.49,52.91,62.32,71.74,81.16
60,24,George Noble Road,0,272,All,38.68,57.52,70.94,74.95,0,24.85,24.85,31.06,37.27,37.27,49.9,49.9,62.32,62.32,68.54,74.95,74.95,87.58,87.58,0,12.22
61,24,George Noble Road,272,286,All,10.62,29.46,44.29,52.91,70.14,85.17,90.58,87.17,90.58,89.38,92.18,0,6.01,10.62,20.04,24.85,27.05,31.06,38.68,46.69,54.51
62,25,Founders Lane,0,597,All,2.81,21.64,35.67,45.09,62.32,81.16,81.16,84.37,89.78,90.58,94.59,96.99,96.99,0,15.23,21.64,21.64,29.46,34.07,48.3,56.11
63,26,Stud Road,0,205,All,28.66,47.49,62.32,70.14,86.77,96.19,0,9.42,23.65,26.25,39.48,45.49,51.3,60.72,75.95,80.76,81.96,88.18,0,25.45,34.07
