elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
0,1013,Brook Street North,0,220,All,71.74,78.76,89.78,0,24.85,37.27,49.9,49.9,49.9,49.9,62.32,62.32,62.32,74.95,81.16,87.58,87.58,87.58,93.79,0,12.22,24.85,31.06,37.27,37.27,49.9,49.9,62.32,62.32,68.54,74.95
1,1,Conifer Close,0,378,All,46.69,56.11,68.54,0,24.85,37.27,49.9,49.9,49.9,49.9,62.32,62.32,62.32,74.95,81.16,87.58,87.58,87.58,0,18.44,31.06,31.06,43.49,49.9,49.9,62.32,68.54,74.95,74.95,81.16,81.16
2,2,Fladgate Drive,0,565,All,88.18,92.18,94.59,0,24.85,37.27,49.9,49.9,49.9,49.9,62.32,62.32,62.32,74.95,81.16,87.58,87.58,87.58,93.79,0,12.22,24.85,31.06,37.27,37.27,49.9,49.9,62.32,62.32,68.54,74.95
3,4,Highfield Drive,0,71,All,74.95,81.16,93.79,0,24.85,37.27,49.9,49.9,49.9,49.9,62.32,62.32,62.32,74.95,81.16,87.58,87.58,87.58,93.79,0,12.22,24.85,31.06,37.27,37.27,49.9,49.9,62.32,62.32,68.54,74.95
4,3,Matai Way,0,557,All,81.16,84.37,93.79,0,24.85,37.27,49.9,49.9,49.9,49.9,62.32,62.32,62.32,74.95,81.16,87.58,87.58,87.58,93.79,0,12.22,24.85,31.06,37.27,37.27,49.9,49.9,62.32,62.32,68.54,74.95
5,5,Vintry Drive,0,362,All,71.74,79.56,0,18.44,37.27,49.9,62.32,62.32,62.32,68.54,74.95,74.95,74.95,81.16,87.58,93.79,93.79,96.99,0,18.44,31.06,31.06,43.49,49.9,49.9,62.32,68.54,74.95,74.95,81.16,81.16
6,6,Croatia Avenue,0,42,All,38.68,48.3,62.32,74.95,86.37,0,18.44,24.85,24.85,31.06,37.27,43.49,37.27,43.49,62.32,62.32,68.54,68.54,74.95,87.58,93.79,0,12.22,21.64,21.64,31.06,31.06,38.68,43.49,49.9,52.91
7,6,Croatia Avenue,42,76,All,73.35,79.56,88.98,93.79,92.18,98.6,0,6.01,12.22,12.22,16.83,21.64,21.64,27.86,40.28,46.69,46.69,52.91,59.12,70.14,81.16,81.16,88.98,93.79,96.99,96.99,98.6,0,9.02,15.23,18.44
8,7,Lumbarda Drive,0,152,All,12.22,22.44,34.07,50.5,64.13,84.37,90.98,95.39,95.79,93.39,94.99,98.6,97.8,0,15.23,18.44,22.44,24.85,24.05,35.67,48.3,52.91,63.73,69.34,73.35,79.56,81.96,85.17,89.78,93.79,93.79
9,8,Tarras Road,0,86,All,20.84,31.06,44.69,61.92,75.95,92.18,98.6,100,0,6.01,10.62,16.83,18.44,23.25,37.27,43.49,49.9,56.11,62.32,74.95,85.17,88.98,95.79,97.8,0,10.62,16.83,21.64,30.26,37.88,42.69
