elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,71.74,76.35,80.36,82.77,82.77,82.77,83.57,85.17,85.17,85.97,86.77,86.77,100,100,100,100,100,100,100,100,100
1,1,Conifer Close,0,378,All,46.69,49.9,56.11,62.32,62.32,68.54,68.54,75.55,77.96,80.36,81.96,82.77,83.57,84.37,100,100,100,100,100,100,100
2,2,Fladgate Drive,0,565,All,88.18,92.18,92.99,91.38,91.38,92.99,92.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,4,Highfield Drive,0,71,All,74.95,79.56,87.58,89.78,89.78,90.58,91.38,92.18,100,100,100,100,100,100,100,100,100,100,100,100,100
4,3,Matai Way,0,557,All,81.16,81.16,87.58,87.58,87.58,87.58,87.58,87.58,87.58,100,100,100,100,100,100,100,100,100,100,100,100
5,5,Vintry Drive,0,362,All,71.74,77.96,81.16,83.17,83.17,85.17,85.57,86.77,86.77,0,4.41,6.01,9.02,10.62,11.42,13.63,13.63,14.43,18.44,18.44,19.24
6,6,Croatia Avenue,0,42,All,38.68,45.09,49.9,49.9,53.71,56.11,60.72,65.33,68.54,71.74,74.95,76.35,78.76,78.76,78.76,100,100,100,100,100,100
7,6,Croatia Avenue,42,76,All,73.35,77.96,79.56,81.16,79.56,79.56,77.96,81.16,80.36,81.16,77.96,77.96,74.95,76.35,75.55,73.35,73.35,71.74,71.74,69.34,69.34
8,7,Lumbarda Drive,0,152,All,12.22,18.84,21.64,27.05,31.66,38.68,39.48,44.29,45.09,45.09,43.89,44.29,45.09,47.49,44.29,44.29,45.09,43.49,45.89,44.29,44.29
9,8,Tarras Road,0,86,All,20.84,27.45,31.66,38.68,44.69,49.9,52.91,56.31,57.11,59.92,61.52,62.32,62.93,63.73,62.32,64.13,64.93,66.53,68.14,68.94,100
10,8,Tarras Road,86,120,All,18.44,24.85,29.46,34.07,38.68,43.49,44.29,49.1,49.9,51.3,51.3,52.91,53.71,52.91,53.71,52.91,54.51,52.91,52.91,52.91,52.91
11,9,Kowhai Glen,0,305,All,65.33,70.14,71.74,70.94,71.74,71.74,68.54,71.74,65.33,66.93,68.54,68.54,65.33,65.33,65.33,63.73,63.73,63.73,63.73,63.73,63.73
12,1037,Epiha Road Upper,0,415,All,46.69,49.9,56.11,62.32,0,10.62,12.22,18.44,21.64,27.86,31.06,34.07,40.28,43.49,46.69,49.9,52.91,54.51,56.11,56.11,0
13,1038,Gossey Drive North,1319,1723,All,46.69,49.9,56.11,62.32,0,10.62,12.22,18.44,21.64,27.86,31.06,34.07,40.28,43.49,46.69,49.9,52.91,54.51,56.11,0,2.4
14,10,Upper Ahu Ahu Road,0,46,All,62.93,0,6.01,12.22,15.23,18.44,18.44,23.25,23.25,23.25,26.25,24.85,29.46,31.06,31.06,32.46,31.06,32.46,37.27,40.28,40.28
15,10,Upper Ahu Ahu Road,46,68,All,43.49,48.3,51.3,49.9,52.91,55.31,56.71,59.92,62.32,66.13,68.54,70.14,71.74,73.35,72.95,73.35,74.15,74.15,100,100,100
16,11,Lower Ahu Ahu Road,0,158,All,37.27,43.49,43.49,49.9,56.11,62.32,62.32,68.54,71.74,77.96,81.16,81.16,81.16,81.16,100,100,100,100,100,100,100
17,11,Lower Ahu Ahu Road,158,179,All,9.02,13.63,18.44,21.64,26.25,27.86,27.86,29.46,29.46,30.26,27.86,27.86,27.86,27.86,26.25,27.86,28.66,29.46,32.46,31.06,32.46
18,12,Kriletich Drive,0,263,All,66.93,70.94,72.95,74.95,72.55,73.35,73.35,73.75,69.34,69.34,69.34,70.14,69.34,67.74,65.73,65.33,64.53,65.33,66.13,65.33,65.33
19,917,Port Street East,0,21,All,81.16,81.16,87.58,87.58,87.58,87.58,87.58,87.58,87.58,100,100,100,100,100,100,100,100,100,100,100,100
20,917,Port Street East,21,396,All,0,9.02,15.23,24.05,29.46,36.47,40.28,46.69,47.49,50.5,52.91,54.51,56.11,58.32,58.32,59.12,59.12,60.72,61.52,62.32,62.93
21,917,Port Street East,396,874,All,81.16,81.16,87.58,87.58,87.58,87.58,87.58,87.58,87.58,100,100,100,100,100,100,100,100,100,100,100,100
