elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,71.74,79.56,88.18,0,18.44,31.06,37.27,43.49,43.49,49.9,49.9,56.11,62.32,62.32,62.32,68.54,68.54,74.95,74.95,81.16,93.79
1,1,Conifer Close,0,378,All,46.69,56.11,68.54,0,18.44,31.06,37.27,43.49,43.49,49.9,49.9,56.11,62.32,62.32,62.32,68.54,68.54,74.95,74.95,81.16,93.79
2,2,Fladgate Drive,0,565,All,88.18,92.99,95.39,0,18.44,31.06,37.27,43.49,43.49,49.9,49.9,56.11,62.32,62.32,62.32,68.54,68.54,74.95,74.95,81.16,93.79
3,4,Highfield Drive,0,71,All,74.95,82.77,90.58,95.39,95.39,97.39,0,12.22,12.22,18.44,24.85,24.85,31.06,37.27,37.27,37.27,43.49,49.9,49.9,62.32,74.95
4,3,Matai Way,0,557,All,81.16,87.58,90.58,0,18.44,31.06,37.27,43.49,43.49,49.9,49.9,56.11,62.32,62.32,62.32,68.54,68.54,74.95,74.95,81.16,93.79
5,5,Vintry Drive,0,362,All,71.74,81.16,0,18.44,27.86,43.49,56.11,56.11,56.11,56.11,56.11,62.32,68.54,68.54,68.54,74.95,74.95,81.16,81.16,87.58,0
6,6,Croatia Avenue,0,42,All,38.68,49.9,62.32,68.54,77.96,0,24.85,31.06,31.06,31.06,37.27,37.27,40.28,43.49,43.49,49.9,56.11,62.32,62.32,68.54,81.16
7,6,Croatia Avenue,42,76,All,73.35,81.16,87.58,90.58,88.98,92.99,0,9.02,10.62,10.62,12.22,13.63,18.44,20.04,21.64,26.25,29.46,34.07,37.27,41.88,56.11
8,7,Lumbarda Drive,0,152,All,12.22,24.05,34.07,47.49,57.52,74.15,85.97,92.18,92.99,90.58,88.18,88.98,90.58,92.59,89.78,92.18,91.38,93.79,93.79,97.39,99.4
9,8,Tarras Road,0,86,All,20.84,32.87,44.69,58.72,69.34,83.17,96.99,99.4,0,4.41,6.01,10.62,16.03,18.44,20.04,25.45,31.06,37.27,38.68,45.89,59.92
10,8,Tarras Road,86,120,All,18.44,31.06,41.88,52.91,63.73,77.96,90.58,96.19,96.19,96.79,96.59,0,6.81,7.01,9.02,12.42,12.83,17.43,22.65,26.85,39.48
11,9,Kowhai Glen,0,305,All,65.33,73.35,80.36,83.57,85.17,90.58,0,12.22,12.22,18.44,24.85,24.85,31.06,37.27,37.27,37.27,43.49,49.9,49.9,62.32,74.95
12,1037,Epiha Road Upper,0,415,All,46.69,56.11,68.54,77.96,0,24.85,46.69,62.32,62.32,68.54,74.95,77.96,84.37,87.58,93.79,0,9.02,15.23,21.64,27.86,43.49
13,1038,Gossey Drive North,1319,1723,All,46.69,56.11,68.54,77.96,0,24.85,46.69,62.32,62.32,68.54,74.95,77.96,84.37,87.58,93.79,0,9.02,15.23,21.64,27.86,43.49
14,10,Upper Ahu Ahu Road,0,46,All,62.93,0,15.23,27.86,34.07,49.9,62.32,65.33,65.33,65.33,68.54,68.54,71.74,74.95,74.95,79.56,79.56,84.37,88.98,93.79,0
15,10,Upper Ahu Ahu Road,46,68,All,43.49,52.91,64.53,68.54,76.35,0,18.44,24.85,24.85,24.85,18.44,18.44,24.85,24.85,24.85,31.06,34.07,40.28,40.28,46.69,59.12
16,11,Lower Ahu Ahu Road,0,158,All,37.27,43.49,56.11,68.54,0,18.44,31.06,37.27,37.27,40.28,43.49,43.49,49.9,52.91,49.9,56.11,62.32,65.33,68.54,74.95,85.97
17,11,Lower Ahu Ahu Road,158,179,All,9.02,20.04,31.06,41.88,51.3,62.32,73.35,76.35,74.95,73.35,70.14,72.55,70.94,72.55,67.33,69.74,70.14,68.54,72.14,73.35,84.37
18,12,Kriletich Drive,0,263,All,66.93,74.55,81.96,0,18.44,31.06,37.27,43.49,43.49,49.9,49.9,56.11,62.32,62.32,62.32,68.54,68.54,74.95,74.95,81.16,93.79
19,917,Port Street East,0,21,All,81.16,87.58,90.58,93.79,93.79,96.99,0,12.22,12.22,18.44,24.85,24.85,31.06,37.27,37.27,37.27,43.49,49.9,49.9,62.32,74.95
20,917,Port Street East,21,396,All,0,12.22,27.86,44.29,55.31,71.74,87.58,93.79,95.39,96.19,96.99,98.6,99.4,99.4,99.4,99.8,99.8,0,16.83,32.46,57.11
21,917,Port Street East,396,874,All,81.16,87.58,90.58,0,18.44,31.06,37.27,43.49,43.49,49.9,49.9,56.11,62.32,62.32,62.32,68.54,68.54,74.95,74.95,81.16,93.79
22,917,Port Street East,874,1340,All,81.16,87.58,90.58,0,18.44,31.06,37.27,43.49,43.49,49.9,49.9,56.11,62.32,62.32,62.32,68.54,68.54,74.95,74.95,81.16,93.79
23,917,Port Street East,1340,1431,All,81.16,87.58,0,18.44,27.86,43.49,56.11,56.11,56.11,56.11,56.11,62.32,68.54,68.54,68.54,74.95,74.95,81.16,81.16,87.58,0
24,917,Port Street East,1431,2115,All,49.9,62.32,68.54,0,18.44,31.06,37.27,43.49,43.49,49.9,49.9,56.11,62.32,62.32,62.32,68.54,68.54,74.95,74.95,81.16,93.79
25,917,Port Street East,2120,2350,All,49.9,62.32,68.54,0,18.44,31.06,37.27,43.49,43.49,49.9,49.9,56.11,62.32,62.32,62.32,68.54,68.54,74.95,74.95,81.16,93.79
26,13,Puriri Dale Way,0,293,All,93.79,95.39,100,100,100,100,0,12.22,12.22,18.44,24.85,24.85,31.06,37.27,37.27,37.27,43.49,49.9,49.9,62.32,74.95
27,15,Fendall Close,0,438,All,53.71,65.33,76.35,0,24.85,45.09,63.73,70.14,73.35,77.96,82.77,87.58,92.18,95.39,0,8.22,11.42,19.24,26.25,35.67,52.91
28,15,Fendall Close,438,585,All,31.06,41.88,54.51,68.54,0,24.85,46.69,62.32,62.32,68.54,74.95,77.96,84.37,87.58,93.79,0,9.02,15.23,21.64,27.86,43.49
29,15,Fendall Close,585,643,All,14.43,27.86,39.48,52.51,63.33,76.95,91.18,96.39,96.79,97.6,97.8,98.6,0,9.02,12.22,21.64,24.85,32.46,43.49,52.91,65.33
30,15,Fendall Close,643,736,All,31.06,41.88,54.51,68.54,0,24.85,46.69,62.32,62.32,68.54,74.95,77.96,84.37,87.58,93.79,0,9.02,15.23,21.64,27.86,43.49
31,15,Fendall Close,736,814,All,100,0,21.64,34.07,43.49,59.12,81.16,87.58,90.58,93.79,93.79,96.99,0,9.02,12.22,21.64,24.85,32.46,43.49,52.91,65.33
32,9339,Weston Way,814,886,All,100,0,20.04,32.46,42.69,57.92,72.55,81.16,80.36,85.17,86.77,90.18,94.19,96.39,0,7.41,10.42,16.83,23.25,31.66,46.09
33,9339,Weston Way,886,939,All,40.28,52.1,63.73,68.54,0,21.64,35.67,49.9,52.91,60.72,63.73,71.74,76.35,79.56,82.77,87.58,90.58,0,10.62,18.44,32.46
34,9339,Weston Way,965,1051,All,22.44,34.07,46.69,58.32,68.54,81.96,94.99,0,11.42,28.66,38.68,42.69,53.71,64.53,73.35,77.96,82.77,88.98,0,13.63,29.46
35,9339,Weston Way,1051,1219,All,87.58,90.58,0,24.85,37.27,56.11,71.74,77.96,81.16,87.58,90.58,93.79,96.99,0,6.01,13.63,20.04,24.85,34.07,43.49,62.32
36,9339,Weston Way,1237,1589,All,90.58,0,21.64,34.07,43.49,59.12,81.16,87.58,90.58,93.79,93.79,96.99,0,9.02,12.22,21.64,24.85,32.46,43.49,52.91,65.33
37,9339,Weston Way,1589,1999,All,90.58,0,21.64,34.07,43.49,59.12,81.16,87.58,90.58,93.79,93.79,96.99,0,9.02,12.22,21.64,24.85,32.46,43.49,52.91,65.33
38,9339,Weston Way,1999,2369,All,90.58,0,21.64,34.07,43.49,59.12,81.16,87.58,90.58,93.79,93.79,96.99,0,9.02,12.22,21.64,24.85,32.46,43.49,52.91,65.33
39,9339,Weston Way,2385,2696,All,87.58,90.58,0,20.84,31.26,47.09,62.93,68.54,70.14,72.95,71.74,74.15,78.36,82.77,85.97,90.58,90.98,0,9.02,16.43,30.66
40,9339,Weston Way,2696,3114,All,87.58,90.58,0,24.85,37.27,56.11,71.74,77.96,81.16,87.58,90.58,93.79,96.99,96.99,97.8,98.6,98.6,0,0,16.83,35.67
41,9339,Weston Way,3114,3398,All,66.13,74.95,83.17,0,20.84,36.47,49.9,57.52,59.12,62.32,65.33,70.14,74.15,77.96,79.56,84.37,87.58,90.58,92.99,0,19.24
42,9339,Weston Way,3398,3457,All,58.32,65.33,74.15,79.56,81.16,0,26.25,32.46,34.87,42.69,45.09,49.9,55.31,62.93,65.33,70.14,72.55,82.77,87.78,92.59,0
43,9339,Weston Way,3457,3675,All,27.86,35.67,45.09,57.52,66.93,81.16,93.79,0,7.41,9.02,13.63,16.83,26.25,27.86,30.26,36.47,49.1,53.71,59.92,66.13,78.76
44,9167,Foxglove Drive,0,668,All,13.63,24.85,37.27,49.9,59.12,73.35,85.17,90.58,88.98,85.97,84.37,83.57,82.77,84.37,84.37,84.37,0,0,10.62,18.44,32.46
45,16,Sarah Lane,0,515,All,56.11,65.33,74.95,81.16,0,18.44,31.06,37.27,37.27,40.28,43.49,43.49,49.9,52.91,49.9,56.11,62.32,65.33,68.54,74.95,85.97
46,17,Ash Drive,0,318,All,18.04,29.86,43.09,55.71,66.53,80.36,94.59,0,7.82,11.82,15.23,31.66,37.27,39.48,42.69,53.71,57.11,62.93,67.74,77.96,88.98
47,18,Monaghan Way,0,80,All,15.23,29.46,40.28,52.91,65.33,79.56,92.18,96.99,97.8,98.6,99.8,0,7.41,10.62,10.62,16.83,16.83,23.25,27.86,34.07,46.69
48,1035,Cousins Avenue East,0,61,All,54.51,64.53,68.54,74.95,76.35,86.77,98.6,0,4.41,7.41,9.02,12.22,15.23,17.64,18.44,24.85,26.25,29.46,34.87,40.28,52.1
49,19,Elm Close,0,82,All,20.04,31.66,44.29,56.11,68.54,82.77,96.99,0,6.01,8.22,10.62,15.23,19.24,23.25,24.05,34.07,36.47,41.88,46.69,51.3,63.73
50,19,Elm Close,82,101,All,22.24,39.28,52.51,64.53,74.95,86.77,99.4,0,4.41,7.41,9.02,12.22,15.23,17.64,18.44,24.85,26.25,29.46,34.87,40.28,52.1
51,20,Burkes Creek Road,0,21,All,46.69,56.11,68.54,77.96,81.96,0,28.66,39.48,50.5,52.91,62.32,73.35,77.96,81.96,86.77,91.38,0,9.82,16.03,24.05,38.68
52,20,Burkes Creek Road,21,520,All,46.69,56.11,68.54,77.96,0,24.85,46.69,62.32,62.32,68.54,74.95,77.96,84.37,87.58,93.79,96.99,96.99,0,12.22,20.04,34.07
53,20,Burkes Creek Road,549,697,All,62.32,70.14,77.96,0,24.85,45.09,63.73,70.14,73.35,77.96,82.77,87.58,92.18,95.39,0,8.22,11.42,19.24,26.25,35.67,52.91
54,20,Burkes Creek Road,697,765,All,24.85,37.27,49.9,59.12,71.74,84.37,96.99,0,9.02,12.22,30.26,34.07,45.09,49.9,55.31,62.32,71.74,76.35,85.97,92.18,0
55,20,Burkes Creek Road,765,1789,All,62.32,70.14,77.96,0,24.85,45.09,63.73,70.14,73.35,77.96,82.77,87.58,92.18,95.39,96.99,97.8,97.8,99,99.8,0,21.64
