elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,71.74,76.35,79.56,81.16,82.77,85.97,87.58,88.98,88.98,90.58,91.38,91.38,100,100,100,100
1,1,Conifer Close,0,378,All,46.69,49.9,62.32,62.32,65.33,74.95,74.95,81.16,81.16,82.77,84.37,84.37,85.97,85.97,100,100
2,2,Fladgate Drive,0,565,All,88.18,90.58,91.38,89.38,90.58,92.99,93.39,100,100,100,100,100,100,100,100,100
3,4,Highfield Drive,0,71,All,74.95,79.56,81.16,87.58,88.98,91.38,92.18,93.79,100,100,100,100,100,100,100,0
4,3,Matai Way,0,557,All,81.16,81.16,81.16,84.37,87.58,90.58,90.58,90.58,93.79,100,100,100,100,100,100,100
5,5,Vintry Drive,0,362,All,71.74,77.96,80.76,81.96,0,15.23,18.44,18.44,18.44,21.64,21.64,21.64,21.64,24.85,23.25,24.85
6,6,Croatia Avenue,0,42,All,38.68,45.09,50.5,49.9,54.51,65.33,66.93,69.34,73.35,76.35,77.96,79.56,80.36,81.16,81.96,100
7,6,Croatia Avenue,42,76,All,73.35,77.96,77.96,79.56,79.56,83.97,84.37,85.17,84.77,84.37,79.96,79.96,77.96,78.36,78.76,77.15
8,7,Lumbarda Drive,0,152,All,12.22,18.44,23.25,25.85,31.66,44.69,45.49,48.3,49.9,51.3,52.1,51.3,52.91,52.1,49.9,49.5
9,8,Tarras Road,0,86,All,20.84,27.05,32.87,38.28,44.29,55.31,59.12,61.12,62.53,64.93,66.93,67.33,68.54,68.54,68.54,70.54
10,8,Tarras Road,86,120,All,18.44,24.85,31.06,34.07,38.68,49.1,49.9,52.91,54.51,56.11,56.71,57.52,57.52,59.12,59.12,58.32
11,9,Kowhai Glen,0,305,All,65.33,68.54,70.94,70.14,73.35,77.96,74.95,74.95,70.94,71.74,73.35,71.74,70.94,69.34,70.14,70.14
12,1037,Epiha Road Upper,0,415,All,46.69,49.9,62.32,62.32,65.33,0,15.23,20.04,24.85,27.86,32.46,37.27,38.68,41.88,45.09,48.3
13,1038,Gossey Drive North,1319,1723,All,46.69,49.9,62.32,62.32,65.33,74.95,74.95,81.16,81.16,82.77,84.37,84.37,85.97,85.97,100,0
14,10,Upper Ahu Ahu Road,0,46,All,62.93,0,9.02,10.62,16.83,27.86,27.86,31.06,31.06,32.46,34.07,32.46,35.67,37.27,34.07,37.27
15,10,Upper Ahu Ahu Road,46,68,All,43.49,47.49,52.91,49.9,52.91,61.52,62.93,65.33,68.54,70.14,73.35,73.35,74.95,76.35,76.35,77.15
16,11,Lower Ahu Ahu Road,0,158,All,37.27,43.49,49.9,49.9,56.11,68.54,68.54,71.74,74.95,81.16,81.16,81.16,84.37,84.37,100,100
17,11,Lower Ahu Ahu Road,158,179,All,9.02,13.63,20.04,20.04,24.85,34.07,34.07,37.27,37.27,38.68,37.27,34.87,34.07,32.46,31.06,31.06
18,12,Kriletich Drive,0,263,All,66.93,70.14,72.55,74.15,74.15,79.56,79.56,77.96,74.15,73.35,74.15,73.35,73.75,72.55,71.34,70.94
19,917,Port Street East,0,21,All,81.16,81.16,81.16,84.37,87.58,90.58,90.58,90.58,93.79,100,100,100,100,100,100,100
20,917,Port Street East,21,396,All,0,9.02,16.83,23.25,29.46,41.88,46.69,51.3,52.91,55.31,57.52,59.12,61.52,63.73,64.53,66.13
21,917,Port Street East,396,874,All,81.16,81.16,81.16,84.37,87.58,90.58,90.58,90.58,93.79,100,100,100,100,100,100,100
22,917,Port Street East,874,1340,All,81.16,81.16,81.16,84.37,87.58,90.58,90.58,90.58,93.79,100,100,100,100,100,100,100
23,917,Port Street East,1340,1431,All,81.16,81.16,81.16,84.37,87.58,90.58,90.58,90.58,93.79,100,100,100,100,100,100,100
24,917,Port Street East,1431,2115,All,49.9,56.11,62.32,56.11,62.32,65.33,65.33,66.93,68.54,68.54,70.14,71.74,73.35,73.35,73.35,74.95
25,917,Port Street East,2120,2350,All,49.9,56.11,62.32,56.11,62.32,65.33,65.33,66.93,68.54,68.54,70.14,71.74,73.35,73.35,73.35,74.95
26,13,Puriri Dale Way,0,293,All,93.79,94.59,100,100,100,100,100,100,100,100,100,100,100,100,100,100
27,15,Fendall Close,0,438,All,53.71,62.32,66.13,67.74,71.74,0,15.23,20.04,24.85,27.86,32.46,37.27,38.68,41.88,45.09,48.3
28,15,Fendall Close,438,585,All,31.06,37.27,43.49,49.9,60.72,70.14,73.35,77.96,81.16,84.37,85.97,85.97,87.58,100,100,100
29,15,Fendall Close,585,643,All,14.43,22.44,27.86,31.66,37.88,48.3,51.3,54.11,55.31,58.32,58.72,59.12,60.72,60.72,61.52,62.32
