elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,Conifer Close,0,378,All,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,2,Fladgate Drive,0,565,All,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,4,Highfield Drive,0,71,All,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,Matai Way,0,557,All,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,5,Vintry Drive,0,362,All,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,6,Croatia Avenue,0,42,All,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,6,Croatia Avenue,42,76,All,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,7,Lumbarda Drive,0,152,All,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
9,8,Tarras Road,0,86,All,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
10,8,Tarras Road,86,120,All,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5
11,9,Kowhai Glen,0,305,All,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
12,1037,Epiha Road Upper,0,415,All,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6
13,1038,Gossey Drive North,1319,1723,All,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
14,10,Upper Ahu Ahu Road,0,46,All,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
15,10,Upper Ahu Ahu Road,46,68,All,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6
16,11,Lower Ahu Ahu Road,0,158,All,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
17,11,Lower Ahu Ahu Road,158,179,All,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18,12,Kriletich Drive,0,263,All,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
19,917,Port Street East,0,21,All,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20,917,Port Street East,21,396,All,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
21,917,Port Street East,396,874,All,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
22,917,Port Street East,874,1340,All,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,917,Port Street East,1340,1431,All,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6
24,917,Port Street East,1431,2115,All,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
25,917,Port Street East,2120,2350,All,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
26,13,Puriri Dale Way,0,293,All,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,15,Fendall Close,0,438,All,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
28,15,Fendall Close,438,585,All,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
29,15,Fendall Close,585,643,All,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
30,15,Fendall Close,643,736,All,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
31,15,Fendall Close,736,814,All,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
32,9339,Weston Way,814,886,All,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
33,9339,Weston Way,886,939,All,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
34,9339,Weston Way,965,1051,All,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
35,9339,Weston Way,1051,1219,All,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6
36,9339,Weston Way,1237,1589,All,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6
37,9339,Weston Way,1589,1999,All,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6
38,9339,Weston Way,1999,2369,All,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9
39,9339,Weston Way,2385,2696,All,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
40,9339,Weston Way,2696,3114,All,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6
41,9339,Weston Way,3114,3398,All,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5
42,9339,Weston Way,3398,3457,All,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
43,9339,Weston Way,3457,3675,All,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,9167,Foxglove Drive,0,668,All,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
45,16,Sarah Lane,0,515,All,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
46,17,Ash Drive,0,318,All,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6
47,18,Monaghan Way,0,80,All,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
48,1035,Cousins Avenue East,0,61,All,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
49,19,Elm Close,0,82,All,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
50,19,Elm Close,82,101,All,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4
51,20,Burkes Creek Road,0,21,All,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
52,20,Burkes Creek Road,21,520,All,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6
53,20,Burkes Creek Road,549,697,All,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
54,20,Burkes Creek Road,697,765,All,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
55,20,Burkes Creek Road,765,1789,All,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9
56,21,Tapeka Heights Lane,0,277,All,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
57,22,Sir John McKenzie Drive,0,530,All,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
58,23,Apple Orchard Lane,0,185,All,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
59,974,Railway Terrace East,0,730,All,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
60,24,George Noble Road,0,272,All,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
61,24,George Noble Road,272,286,All,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
