elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0,1013,Brook Street North,0,220,All,125,131.2,137.5,143.8,150,156.2,162.5,168.8,175,181.2,187.5,193.8,200,200,200,200
1,1,Conifer Close,0,378,All,83.3,91.7,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200,200
2,2,Fladgate Drive,0,565,All,150,157.1,164.3,171.4,178.6,185.7,192.9,200,200,200,200,200,200,200,200,200
3,4,Highfield Drive,0,71,All,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200,200,200,200,200,200,200,200
4,3,Matai Way,0,557,All,135.7,142.9,150,157.1,164.3,171.4,178.6,185.7,192.9,200,200,200,200,200,200,200
5,5,Vintry Drive,0,362,All,125,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200,200,200,200,200,200,200
6,6,Croatia Avenue,0,42,All,75,83.3,91.7,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200
7,6,Croatia Avenue,42,76,All,130,133.3,136.7,140,143.3,146.7,150,153.3,156.7,160,163.3,166.7,170,173.3,176.7,180
8,7,Lumbarda Drive,0,152,All,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92
9,8,Tarras Road,0,86,All,57.1,64.3,71.4,78.6,85.7,92.9,100,107.1,114.3,121.4,128.6,135.7,142.9,150,157.1,164.3
10,8,Tarras Road,86,120,All,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104,108
11,9,Kowhai Glen,0,305,All,113.3,116.7,120,123.3,126.7,130,133.3,136.7,140,143.3,146.7,150,153.3,156.7,160,163.3
12,1037,Epiha Road Upper,0,415,All,83.3,91.7,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200,200
13,1038,Gossey Drive North,1319,1723,All,83.3,91.7,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200,200
14,10,Upper Ahu Ahu Road,0,46,All,106.2,0,5.3,10.5,15.8,21.1,26.3,31.6,36.8,42.1,47.4,52.6,57.9,63.2,68.4,73.7
15,10,Upper Ahu Ahu Road,46,68,All,80,86.7,93.3,100,106.7,113.3,120,126.7,133.3,140,146.7,153.3,160,166.7,173.3,180
16,11,Lower Ahu Ahu Road,0,158,All,72.7,81.8,90.9,100,109.1,118.2,127.3,136.4,145.5,154.5,163.6,172.7,181.8,190.9,200,200
17,11,Lower Ahu Ahu Road,158,179,All,22.9,25.7,28.6,31.4,34.3,37.1,40,42.9,45.7,48.6,51.4,54.3,57.1,60,62.9,65.7
18,12,Kriletich Drive,0,263,All,116.7,120,123.3,126.7,130,133.3,136.7,140,143.3,146.7,150,153.3,156.7,160,163.3,166.7
19,917,Port Street East,0,21,All,135.7,142.9,150,157.1,164.3,171.4,178.6,185.7,192.9,200,200,200,200,200,200,200
20,917,Port Street East,21,396,All,8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100,108.3,116.7,125,133.3
21,917,Port Street East,396,874,All,135.7,142.9,150,157.1,164.3,171.4,178.6,185.7,192.9,200,200,200,200,200,200,200
22,917,Port Street East,874,1340,All,135.7,142.9,150,157.1,164.3,171.4,178.6,185.7,192.9,200,200,200,200,200,200,200
23,917,Port Street East,1340,1431,All,135.7,142.9,150,157.1,164.3,171.4,178.6,185.7,192.9,200,200,200,200,200,200,200
24,917,Port Street East,1431,2115,All,88.9,94.4,100,105.6,111.1,116.7,122.2,127.8,133.3,138.9,144.4,150,155.6,161.1,166.7,172.2
25,917,Port Street East,2120,2350,All,88.9,94.4,100,105.6,111.1,116.7,122.2,127.8,133.3,138.9,144.4,150,155.6,161.1,166.7,172.2
26,13,Puriri Dale Way,0,293,All,180,190,200,200,200,200,200,200,200,200,200,200,200,200,200,200
27,15,Fendall Close,0,438,All,91.7,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200,200,200
28,15,Fendall Close,438,585,All,70,80,90,100,110,120,130,140,150,160,170,180,190,200,200,200
29,15,Fendall Close,585,643,All,38.9,44.4,50,55.6,61.1,66.7,72.2,77.8,83.3,88.9,94.4,100,105.6,111.1,116.7,122.2
30,15,Fendall Close,643,736,All,70,80,90,100,110,120,130,140,150,160,170,180,190,200,200,200
31,15,Fendall Close,736,814,All,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
32,9339,Weston Way,814,886,All,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
33,9339,Weston Way,886,939,All,78.6,85.7,92.9,100,107.1,114.3,121.4,128.6,135.7,142.9,150,157.1,164.3,171.4,178.6,185.7
34,9339,Weston Way,965,1051,All,61.1,66.7,72.2,77.8,83.3,88.9,94.4,100,105.6,111.1,116.7,122.2,127.8,133.3,138.9,144.4
35,9339,Weston Way,1051,1219,All,145.5,154.5,163.6,172.7,181.8,190.9,200,200,200,200,200,200,200,200,200,200
36,9339,Weston Way,1237,1589,All,177.8,188.9,200,200,200,200,200,200,200,200,200,200,200,200,200,200
37,9339,Weston Way,1589,1999,All,177.8,188.9,200,200,200,200,200,200,200,200,200,200,200,200,200,200
38,9339,Weston Way,1999,2369,All,177.8,188.9,200,200,200,200,200,200,200,200,200,200,200,200,200,200
39,9339,Weston Way,2385,2696,All,145.5,154.5,163.6,172.7,181.8,190.9,200,200,200,200,200,200,200,200,200,200
40,9339,Weston Way,2696,3114,All,145.5,154.5,163.6,172.7,181.8,190.9,200,200,200,200,200,200,200,200,200,200
41,9339,Weston Way,3114,3398,All,114.3,121.4,128.6,135.7,142.9,150,157.1,164.3,171.4,178.6,185.7,192.9,200,200,200,200
42,9339,Weston Way,3398,3457,All,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170
43,9339,Weston Way,3457,3675,All,64,68,72,76,80,84,88,92,96,100,104,108,112,116,120,124
44,9167,Foxglove Drive,0,668,All,37.1,40,42.9,45.7,48.6,51.4,54.3,57.1,60,62.9,65.7,68.6,71.4,74.3,77.1,80
45,16,Sarah Lane,0,515,All,94.1,100,105.9,111.8,117.6,123.5,129.4,135.3,141.2,147.1,152.9,158.8,164.7,170.6,176.5,182.4
46,17,Ash Drive,0,318,All,41.7,50,58.3,66.7,75,83.3,91.7,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7
47,18,Monaghan Way,0,80,All,40,46.7,53.3,60,66.7,73.3,80,86.7,93.3,100,106.7,113.3,120,126.7,133.3,140
48,1035,Cousins Avenue East,0,61,All,93.3,96.7,100,103.3,106.7,110,113.3,116.7,120,123.3,126.7,130,133.3,136.7,140,143.3
49,19,Elm Close,0,82,All,50,58.3,66.7,75,83.3,91.7,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7,175
50,19,Elm Close,82,101,All,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,200
51,20,Burkes Creek Road,0,21,All,83.3,91.7,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200,200
52,20,Burkes Creek Road,21,520,All,83.3,91.7,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200,200
53,20,Burkes Creek Road,549,697,All,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200,200,200,200
54,20,Burkes Creek Road,697,765,All,62.5,68.8,75,81.2,87.5,93.8,100,106.2,112.5,118.8,125,131.2,137.5,143.8,150,156.2
55,20,Burkes Creek Road,765,1789,All,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200,200,200,200
56,21,Tapeka Heights Lane,0,277,All,100,105.9,111.8,117.6,123.5,129.4,135.3,141.2,147.1,152.9,158.8,164.7,170.6,176.5,182.4,188.2
57,22,Sir John McKenzie Drive,0,530,All,80,90,100,110,120,130,140,150,160,170,180,190,200,200,200,200
58,23,Apple Orchard Lane,0,185,All,123.3,126.7,130,133.3,136.7,140,143.3,146.7,150,153.3,156.7,160,163.3,166.7,170,173.3
59,974,Railway Terrace East,0,730,All,62.5,68.8,75,81.2,87.5,93.8,100,106.2,112.5,118.8,125,131.2,137.5,143.8,150,156.2
