"file_row_index","file_section_name","file_seg_name","file_section_id","file_loc_from","file_loc_to","file_lane_name","file_length","file_area_m2","file_can_treat_flag","file_is_rehab_route_flag","file_is_roundabout_flag","file_next_surf","file_urban_rural","file_onrc","file_nzta_hierarchy","file_onf_street_category","file_onf_movement_rank","file_onf_freight","file_road_use","file_road_class","file_no_of_lanes","file_pave_use","file_adt","file_heavy_perc","file_no_of_bus_routes","file_traff_growth_perc","file_surf_class","file_surf_date","file_surf_function","file_surf_material","file_surf_life_expected","file_surf_layer_no","file_surf_thick","file_pave_type","file_pave_date","file_pave_remlife","file_msd_remlife_lwp","file_msd_remlife_rwp","file_fwd_d0_85","file_fwd_sci_85","file_su_fault_qty","file_pa_fault_qty","file_roughsegment_date","file_naasra_85","file_hsd_date","file_rut_lwpmean_85","file_rut_rwpmean_85","file_cond_survey_date","file_pct_allig","file_pct_lt_crax","file_pct_poth","file_pct_scabb","file_pct_flush","file_pct_shove","file_pct_edgebreak"
0,"Brook Street North",869000,1013,0,220,"All",220,1664,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,184,4,0,2,"seal","7/01/2004","R","2CHIP",16,2,16,TRUE,"19/08/1993",20,-1,-1,-1,-1,0,0,"2/10/2023",80,"1/04/2024",3,1,"1/04/2024",0,0,0,1.5,0,0,0
1,"Conifer Close",219000,1,0,378,"All",378,3780,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,739,4,0,2,"seal","14/03/2014","R","2CHIP",12,4,23,TRUE,"2/04/1959",-15,-1,-1,-1,-1,0,0,"7/10/2023",131,"1/04/2024",4,1,"1/04/2024",0.1,0,0,0.1,0,0.3,0
2,"Fladgate Drive",341000,2,0,565,"All",565,4238,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,532,2,0,2,"seal","3/03/2003","R","2CHIP",14,3,20,TRUE,"2/03/1966",-8,-1,-1,-1,-1,0,0,"9/10/2023",86,"1/04/2024",3,1,"1/04/2024",0,0,0,0.4,0.2,0,0
3,"Highfield Drive",14000,4,0,71,"All",71,497,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,100,2,0,2,"seal","21/12/2007","R","LOCK",12,2,23,TRUE,"2/03/1966",-8,-1,-1,-1,-1,0,0,"1/04/2024",60,"1/04/2024",2,1,"1/04/2024",1.6,0,0,0,0,0,0
4,"Matai Way",346000,3,0,557,"All",557,5124,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,679,2,0,2,"seal","11/01/2005","R","2CHIP",14,5,21,TRUE,"25/02/1982",8,-1,-1,-1,-1,0,0,"10/10/2023",76,"1/04/2024",3,1,"1/04/2024",0,0,0,3.1,0,0,0
5,"Vintry Drive",487000,5,0,362,"All",362,3475,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1248,5,0,2,"seal","26/11/2008","R","2CHIP",12,6,45,TRUE,"30/08/1984",11,-1,-1,-1,-1,0,0,"8/10/2023",116,"1/04/2024",3,1,"1/04/2024",0,0,0,6.3,0,0.5,0
6,"Croatia Avenue",419000,6,0,42,"All",42,336,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,50,6,0,2,"seal","19/02/2015","R","2CHIP",12,2,25,TRUE,"3/10/1978",5,-1,-1,-1,-1,0,0,"1/04/2024",80,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
7,"Croatia Avenue",816000,6,42,76,"All",34,272,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,50,6,0,2,"ac","4/12/1984","R","AC",30,1,14,TRUE,"3/10/1978",5,-1,-1,-1,-1,0,0,"1/04/2024",80,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
8,"Lumbarda Drive",90000,7,0,152,"All",152,1748,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,99,2,0,2,"ac","1/04/2016","R","AC",25,3,71,TRUE,"3/01/1986",12,-1,-1,-1,-1,0,0,"7/10/2023",103,"1/04/2024",1,1,"1/04/2024",0,0,0,0,0,0,0
9,"Tarras Road",753000,8,0,86,"All",86,860,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,130,2,0,2,"seal","27/11/2015","R","2CHIP",14,4,33,TRUE,"2/01/1974",0,-1,-1,-1,-1,0,0,"1/04/2024",82,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
