elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,treat_2023,reason_2023,comment_2023,treat_2024,reason_2024,comment_2024,treat_2025,reason_2025,comment_2025,treat_2026,reason_2026,comment_2026,treat_2027,reason_2027,comment_2027,treat_2028,reason_2028,comment_2028,treat_2029,reason_2029,comment_2029,treat_2030,reason_2030,comment_2030,treat_2031,reason_2031,comment_2031,treat_2032,reason_2032,comment_2032,treat_2033,reason_2033,comment_2033,treat_2034,reason_2034,comment_2034,treat_2035,reason_2035,comment_2035,treat_2036,reason_2036,comment_2036,treat_2037,reason_2037,comment_2037,treat_2038,reason_2038,comment_2038
0,1013,Brook Street North,0,220,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Conifer Close,0,378,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Fladgate Drive,0,565,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Highfield Drive,0,71,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preseal_CS,pdi =35.75; sdi =29.77; age =30,mesh_cracks =12.75; shove =1.77; poth =1.8
4,3,Matai Way,0,557,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Vintry Drive,0,362,All,,,,,,,,,,,,,ChipSeal_P,pdi =4.71; sdi =10.57; age =18,mesh_cracks =0.43; shove =1.67; poth =0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Croatia Avenue,0,42,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,Croatia Avenue,42,76,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,Lumbarda Drive,0,152,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,Tarras Road,0,86,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8,Tarras Road,86,120,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9,Kowhai Glen,0,305,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1037,Epiha Road Upper,0,415,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.61; sdi =6.1; age =14,mesh_cracks =0.66; shove =1.25; poth =0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1038,Gossey Drive North,1319,1723,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =32.62; sdi =37.7; age =24,mesh_cracks =6.39; shove =2.65; poth =1.72
14,10,Upper Ahu Ahu Road,0,46,All,,,,ChipSeal_P,committed,committed import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,Upper Ahu Ahu Road,46,68,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,Lower Ahu Ahu Road,0,158,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,11,Lower Ahu Ahu Road,158,179,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,Kriletich Drive,0,263,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,917,Port Street East,0,21,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,917,Port Street East,21,396,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,917,Port Street East,396,874,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,917,Port Street East,874,1340,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,917,Port Street East,1340,1431,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,917,Port Street East,1431,2115,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,917,Port Street East,2120,2350,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,13,Puriri Dale Way,0,293,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,15,Fendall Close,0,438,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =6.05; sdi =7.06; age =15,mesh_cracks =1.82; shove =0.34; poth =0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,15,Fendall Close,438,585,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,15,Fendall Close,585,643,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,15,Fendall Close,643,736,All,,,,,,,,,,,,,ChipSeal_P,pdi =7.34; sdi =5.81; age =10,mesh_cracks =3.76; shove =1.08; poth =0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,15,Fendall Close,736,814,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preseal_CS,pdi =23.6; sdi =16.35; age =33,mesh_cracks =7.52; shove =3.19; poth =1.24,ChipSeal_H,pdi =0; sdi =0; age =0,mesh_cracks =0; shove =0; poth =0,,,,,,
32,9339,Weston Way,814,886,All,,,,,,,,,,,,,Preseal_AC,pdi =16.13; sdi =3.31; age =25,mesh_cracks =13.24; shove =0.27; poth =0.25,ThinAC_H,pdi =0; sdi =0; age =0,mesh_cracks =0; shove =0; poth =0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9339,Weston Way,886,939,All,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =10.26; sdi =10.91; age =17,mesh_cracks =2.41; shove =1.49; poth =0.46,,,,,,,,,,,,,,,,,,,,,,,,
34,9339,Weston Way,965,1051,All,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =9.82; sdi =11.85; age =18,mesh_cracks =3.34; shove =1.18; poth =0.26,,,,,,,,,,,,,,,,,,,,,
35,9339,Weston Way,1051,1219,All,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =7.69; sdi =8.07; age =21,mesh_cracks =1.69; shove =0.48; poth =0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,9339,Weston Way,1237,1589,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =10.42; sdi =7.4; age =20,mesh_cracks =1.57; shove =3.29; poth =0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
