elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,20_1_150,20_1_150,20_1_150,20_1_150,20_1_150,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8,16.31_1_128.8
1,1,Conifer Close,0,378,All,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.48_1_122.22,15.15_1_119.57
2,2,Fladgate Drive,0,565,All,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,19.1_1_150,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84,15.81_1_124.84
3,4,Highfield Drive,0,71,All,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07,16.1_1_127.07
4,3,Matai Way,0,557,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52,16.03_1_126.52
5,5,Vintry Drive,0,362,All,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88,15.82_1_124.88
6,6,Croatia Avenue,0,42,All,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91,16.2_1_127.91
7,6,Croatia Avenue,42,76,All,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,39_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150
8,7,Lumbarda Drive,0,152,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150
9,8,Tarras Road,0,86,All,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,16.11_1_127.18,16.11_1_127.18,16.11_1_127.18,16.11_1_127.18,16.11_1_127.18,16.11_1_127.18,16.11_1_127.18,16.11_1_127.18,16.11_1_127.18,16.11_1_127.18,16.11_1_127.18,16.11_1_127.18,16.11_1_127.18
10,8,Tarras Road,86,120,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150
11,9,Kowhai Glen,0,305,All,34_1_150,34_1_150,34_1_150,34_1_150,34_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150
12,1037,Epiha Road Upper,0,415,All,10_1_150,10_1_150,10_1_150,10_1_150,9.03_1_123.14,9.03_1_123.14,9.03_1_123.14,9.03_1_123.14,9.03_1_123.14,9.03_1_123.14,9.03_1_123.14,9.03_1_123.14,9.03_1_123.14,9.03_1_123.14,8.84_1_120.53,8.84_1_120.53,8.84_1_120.53,8.84_1_120.53,8.84_1_120.53,8.84_1_120.53,8.84_1_120.53
13,1038,Gossey Drive North,1319,1723,All,12_1_150,12_1_150,12_1_150,12_1_150,9.03_1_123.08,9.03_1_123.08,9.03_1_123.08,9.03_1_123.08,9.03_1_123.08,9.03_1_123.08,9.03_1_123.08,9.03_1_123.08,9.03_1_123.08,9.03_1_123.08,8.83_1_120.45,8.83_1_120.45,8.83_1_120.45,8.83_1_120.45,8.83_1_120.45,8.83_1_120.45,8.83_1_120.45
14,10,Upper Ahu Ahu Road,0,46,All,17_1_150,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,16.17_1_127.64,15.96_1_125.99,15.96_1_125.99,15.96_1_125.99,15.96_1_125.99,15.96_1_125.99,15.96_1_125.99
15,10,Upper Ahu Ahu Road,46,68,All,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,4_1_150,4_1_150,4_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150,16_1_150
16,11,Lower Ahu Ahu Road,0,158,All,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49,15.9_1_125.49
17,11,Lower Ahu Ahu Road,158,179,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150
18,12,Kriletich Drive,0,263,All,35_1_150,35_1_150,35_1_150,35_1_150,35_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150
19,917,Port Street East,0,21,All,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,18.1_1_150,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87,14.8_1_116.87
20,917,Port Street East,21,396,All,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,11.9_1_150,14.62_1_115.4,14.62_1_115.4,14.62_1_115.4,14.62_1_115.4,14.62_1_115.4,14.62_1_115.4,14.62_1_115.4,14.62_1_115.4
21,917,Port Street East,396,874,All,14.1_1_150,14.1_1_150,14.1_1_150,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.88_1_117.5,14.43_1_113.92
22,917,Port Street East,874,1340,All,17.1_1_150,17.1_1_150,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.89_1_117.53,14.44_1_113.96,14.44_1_113.96
23,917,Port Street East,1340,1431,All,17.1_1_150,17.1_1_150,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.98_1_118.23,14.53_1_114.69,14.53_1_114.69
24,917,Port Street East,1431,2115,All,17.9_1_150,17.9_1_150,17.9_1_150,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,14.73_1_116.3
25,917,Port Street East,2120,2350,All,18_1_150,18_1_150,18_1_150,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,15.13_1_119.42,14.73_1_116.3
26,13,Puriri Dale Way,0,293,All,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48,15.26_1_120.48
27,15,Fendall Close,0,438,All,12_1_150,12_1_150,12_1_150,8.91_1_121.54,8.91_1_121.54,8.91_1_121.54,8.91_1_121.54,8.91_1_121.54,8.91_1_121.54,8.91_1_121.54,8.91_1_121.54,8.91_1_121.54,8.77_1_119.66,8.77_1_119.66,8.77_1_119.66,8.77_1_119.66,8.77_1_119.66,8.77_1_119.66,8.77_1_119.66,8.77_1_119.66,8.77_1_119.66
28,15,Fendall Close,438,585,All,10_1_150,10_1_150,10_1_150,10_1_150,9.58_1_130.7,9.58_1_130.7,9.58_1_130.7,9.58_1_130.7,9.58_1_130.7,9.58_1_130.7,9.58_1_130.7,9.58_1_130.7,9.58_1_130.7,9.58_1_130.7,9.37_1_127.72,9.37_1_127.72,9.37_1_127.72,9.37_1_127.72,9.37_1_127.72,9.37_1_127.72,9.37_1_127.72
29,15,Fendall Close,585,643,All,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150
30,15,Fendall Close,643,736,All,10_1_150,10_1_150,10_1_150,10_1_150,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.67_1_118.26,8.5_1_115.96,8.5_1_115.96,8.5_1_115.96,8.5_1_115.96,8.5_1_115.96,8.5_1_115.96,8.5_1_115.96,8.5_1_115.96
31,15,Fendall Close,736,814,All,22_1_150,22_1_150,8.69_1_118.56,8.69_1_118.56,8.69_1_118.56,8.69_1_118.56,8.69_1_118.56,8.69_1_118.56,8.69_1_118.56,8.69_1_118.56,8.69_1_118.56,8.52_1_116.24,8.52_1_116.24,8.52_1_116.24,8.52_1_116.24,8.52_1_116.24,8.52_1_116.24,8.52_1_116.24,8.52_1_116.24,8.52_1_116.24,8.35_1_113.85
32,9339,Weston Way,814,886,All,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,22_1_150,9.95_1_114.77,9.95_1_114.77,9.95_1_114.77,9.95_1_114.77,9.95_1_114.77,9.95_1_114.77,9.95_1_114.77,9.95_1_114.77,9.95_1_114.77,9.95_1_114.77,9.95_1_114.77,9.95_1_114.77
33,9339,Weston Way,886,939,All,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,14_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150,13_1_150
34,9339,Weston Way,965,1051,All,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,18_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,11_1_150,8.33_1_113.54,8.33_1_113.54,8.33_1_113.54,8.33_1_113.54,8.33_1_113.54,8.33_1_113.54,8.33_1_113.54
35,9339,Weston Way,1051,1219,All,16_1_150,16_1_150,8.55_1_116.55,8.55_1_116.55,8.55_1_116.55,8.55_1_116.55,8.55_1_116.55,8.55_1_116.55,8.55_1_116.55,8.55_1_116.55,8.55_1_116.55,8.38_1_114.3,8.38_1_114.3,8.38_1_114.3,8.38_1_114.3,8.38_1_114.3,8.38_1_114.3,8.38_1_114.3,8.38_1_114.3,8.38_1_114.3,8.21_1_111.98
36,9339,Weston Way,1237,1589,All,16_1_150,8.49_1_115.81,8.49_1_115.81,8.49_1_115.81,8.49_1_115.81,8.49_1_115.81,8.49_1_115.81,8.49_1_115.81,8.49_1_115.81,8.49_1_115.81,8.32_1_113.44,8.32_1_113.44,8.32_1_113.44,8.32_1_113.44,8.32_1_113.44,8.32_1_113.44,8.32_1_113.44,8.32_1_113.44,8.32_1_113.44,8.14_1_110.98,8.14_1_110.98
37,9339,Weston Way,1589,1999,All,16_1_150,16_1_150,8.47_1_115.54,8.47_1_115.54,8.47_1_115.54,8.47_1_115.54,8.47_1_115.54,8.47_1_115.54,8.47_1_115.54,8.47_1_115.54,8.47_1_115.54,8.3_1_113.16,8.3_1_113.16,8.3_1_113.16,8.3_1_113.16,8.3_1_113.16,8.3_1_113.16,8.3_1_113.16,8.3_1_113.16,8.3_1_113.16,8.12_1_110.7
38,9339,Weston Way,1999,2369,All,16_1_150,8.92_1_121.63,8.92_1_121.63,8.92_1_121.63,8.92_1_121.63,8.92_1_121.63,8.92_1_121.63,8.92_1_121.63,8.92_1_121.63,8.92_1_121.63,8.75_1_119.36,8.75_1_119.36,8.75_1_119.36,8.75_1_119.36,8.75_1_119.36,8.75_1_119.36,8.75_1_119.36,8.75_1_119.36,8.75_1_119.36,8.58_1_117.03,8.58_1_117.03
39,9339,Weston Way,2385,2696,All,16_1_150,16_1_150,12.11_1_121.14,12.11_1_121.14,12.11_1_121.14,12.11_1_121.14,12.11_1_121.14,12.11_1_121.14,12.11_1_121.14,12.11_1_121.14,12.11_1_121.14,12.11_1_121.14,12.11_1_121.14,12.11_1_121.14,11.88_1_118.82,11.88_1_118.82,11.88_1_118.82,11.88_1_118.82,11.88_1_118.82,11.88_1_118.82,11.88_1_118.82
40,9339,Weston Way,2696,3114,All,16_1_150,8.9_1_121.33,8.9_1_121.33,8.9_1_121.33,8.9_1_121.33,8.9_1_121.33,8.9_1_121.33,8.9_1_121.33,8.9_1_121.33,8.9_1_121.33,8.77_1_119.6,8.77_1_119.6,8.77_1_119.6,8.77_1_119.6,8.77_1_119.6,8.77_1_119.6,8.77_1_119.6,8.77_1_119.6,8.77_1_119.6,8.64_1_117.82,8.64_1_117.82
41,9339,Weston Way,3114,3398,All,16_1_150,16_1_150,16_1_150,12.29_1_122.93,12.29_1_122.93,12.29_1_122.93,12.29_1_122.93,12.29_1_122.93,12.29_1_122.93,12.29_1_122.93,12.29_1_122.93,12.29_1_122.93,12.29_1_122.93,12.29_1_122.93,12.29_1_122.93,12.09_1_120.94,12.09_1_120.94,12.09_1_120.94,12.09_1_120.94,12.09_1_120.94,12.09_1_120.94
42,9339,Weston Way,3398,3457,All,20_1_150,20_1_150,20_1_150,20_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,12.56_1_125.58,12.56_1_125.58
43,9339,Weston Way,3457,3675,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,17_1_150,17_1_150,17_1_150,17_1_150,17_1_150,17_1_150,17_1_150,17_1_150,17_1_150,17_1_150,17_1_150,17_1_150,17_1_150
44,9167,Foxglove Drive,0,668,All,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150,19_1_150
45,16,Sarah Lane,0,515,All,16.9_1_150,16.9_1_150,16.9_1_150,16.9_1_150,16.9_1_150,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25,15.61_1_123.25
46,17,Ash Drive,0,318,All,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,11.82_1_118.16,11.82_1_118.16,11.82_1_118.16,11.82_1_118.16,11.82_1_118.16,11.82_1_118.16,11.82_1_118.16,11.82_1_118.16,11.82_1_118.16,11.82_1_118.16,11.82_1_118.16,11.82_1_118.16,11.61_1_116.08,11.61_1_116.08
47,18,Monaghan Way,0,80,All,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,15_1_150,16.76_1_132.34,16.76_1_132.34,16.76_1_132.34,16.76_1_132.34,16.76_1_132.34,16.76_1_132.34,16.76_1_132.34,16.76_1_132.34,16.76_1_132.34,16.76_1_132.34
48,1035,Cousins Avenue East,0,61,All,28_1_150,28_1_150,28_1_150,28_1_150,28_1_150,28_1_150,28_1_150,28_1_150,28_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150,24_1_150
49,19,Elm Close,0,82,All,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,12_1_150,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39,15.88_1_125.39
