elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,7.4,7.5,7.7,7.8,8,8.1,8.3,8.5,8.6,8.8,9,9.2,9.3,9.5,9.7,9.9,10.1,10.3,10.5,10.7,10.9
1,1,Conifer Close,0,378,All,29.6,30.2,30.8,31.4,32,32.6,33.3,34,34.6,35.3,36,36.8,37.5,38.2,39,39.8,40.6,41.4,42.2,43.1,43.9
2,2,Fladgate Drive,0,565,All,10.6,10.9,11.1,11.3,11.5,11.7,12,12.2,12.5,12.7,13,13.2,13.5,13.8,14,14.3,14.6,14.9,15.2,15.5,15.8
3,4,Highfield Drive,0,71,All,2,2,2.1,2.1,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.9,2.9,3
4,3,Matai Way,0,557,All,13.6,13.9,14.1,14.4,14.7,15,15.3,15.6,15.9,16.2,16.6,16.9,17.2,17.6,17.9,18.3,18.6,19,19.4,19.8,20.2
5,5,Vintry Drive,0,362,All,62.4,63.6,64.9,66.2,67.5,68.9,70.3,71.7,73.1,74.6,76.1,77.6,79.1,80.7,82.3,84,85.7,87.4,89.1,90.9,92.7
6,6,Croatia Avenue,0,42,All,3,3.1,3.1,3.2,3.2,3.3,3.4,3.4,3.5,3.6,3.7,3.7,3.8,3.9,4,4,4.1,4.2,4.3,4.4,4.5
7,6,Croatia Avenue,42,76,All,3,3.1,3.1,3.2,3.2,3.3,3.4,3.4,3.5,3.6,3.7,3.7,3.8,3.9,4,4,4.1,4.2,4.3,4.4,4.5
8,7,Lumbarda Drive,0,152,All,2,2,2.1,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.8,2.9,2.9
9,8,Tarras Road,0,86,All,2.6,2.7,2.7,2.8,2.8,2.9,2.9,3,3,3.1,3.2,3.2,3.3,3.4,3.4,3.5,3.6,3.6,3.7,3.8,3.9
10,8,Tarras Road,86,120,All,2.6,2.7,2.7,2.8,2.8,2.9,2.9,3,3,3.1,3.2,3.2,3.3,3.4,3.4,3.5,3.6,3.6,3.7,3.8,3.9
11,9,Kowhai Glen,0,305,All,6.5,6.6,6.7,6.9,7,7.2,7.3,7.4,7.6,7.7,7.9,8.1,8.2,8.4,8.6,8.7,8.9,9.1,9.3,9.4,9.6
12,1037,Epiha Road Upper,0,415,All,339.4,346.1,353.1,360.1,367.3,374.7,382.2,389.8,397.6,405.6,413.7,422,430.4,439,447.8,456.7,465.9,475.2,484.7,494.4,504.3
13,1038,Gossey Drive North,1319,1723,All,352.7,359.7,366.9,374.2,381.7,389.4,397.2,405.1,413.2,421.5,429.9,438.5,447.3,456.2,465.3,474.6,484.1,493.8,503.7,513.8,524
14,10,Upper Ahu Ahu Road,0,46,All,2,2,2.1,2.1,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.9,2.9,3
15,10,Upper Ahu Ahu Road,46,68,All,2,2,2.1,2.1,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.9,2.9,3
16,11,Lower Ahu Ahu Road,0,158,All,5.8,6,6.1,6.2,6.3,6.4,6.6,6.7,6.8,7,7.1,7.3,7.4,7.6,7.7,7.9,8,8.2,8.3,8.5,8.7
17,11,Lower Ahu Ahu Road,158,179,All,5.8,6,6.1,6.2,6.3,6.4,6.6,6.7,6.8,7,7.1,7.3,7.4,7.6,7.7,7.9,8,8.2,8.3,8.5,8.7
18,12,Kriletich Drive,0,263,All,13.6,13.8,14.1,14.4,14.7,15,15.3,15.6,15.9,16.2,16.5,16.9,17.2,17.5,17.9,18.2,18.6,19,19.4,19.8,20.1
19,917,Port Street East,0,21,All,20,20.4,20.8,21.2,21.6,22.1,22.5,23,23.4,23.9,24.4,24.9,25.4,25.9,26.4,26.9,27.5,28,28.6,29.1,29.7
20,917,Port Street East,21,396,All,20,20.4,20.8,21.2,21.6,22.1,22.5,23,23.4,23.9,24.4,24.9,25.4,25.9,26.4,26.9,27.5,28,28.6,29.1,29.7
21,917,Port Street East,396,874,All,20,20.4,20.8,21.2,21.6,22.1,22.5,23,23.4,23.9,24.4,24.9,25.4,25.9,26.4,26.9,27.5,28,28.6,29.1,29.7
22,917,Port Street East,874,1340,All,20,20.4,20.8,21.2,21.6,22.1,22.5,23,23.4,23.9,24.4,24.9,25.4,25.9,26.4,26.9,27.5,28,28.6,29.1,29.7
23,917,Port Street East,1340,1431,All,18,18.4,18.7,19.1,19.5,19.9,20.3,20.7,21.1,21.5,21.9,22.4,22.8,23.3,23.8,24.2,24.7,25.2,25.7,26.2,26.7
24,917,Port Street East,1431,2115,All,7.2,7.3,7.5,7.6,7.8,7.9,8.1,8.3,8.4,8.6,8.8,9,9.1,9.3,9.5,9.7,9.9,10.1,10.3,10.5,10.7
25,917,Port Street East,2120,2350,All,7.2,7.3,7.5,7.6,7.8,7.9,8.1,8.3,8.4,8.6,8.8,9,9.1,9.3,9.5,9.7,9.9,10.1,10.3,10.5,10.7
26,13,Puriri Dale Way,0,293,All,10.1,10.3,10.5,10.8,11,11.2,11.4,11.6,11.9,12.1,12.4,12.6,12.9,13.1,13.4,13.6,13.9,14.2,14.5,14.8,15.1
27,15,Fendall Close,0,438,All,94.6,96.5,98.4,100.4,102.4,104.4,106.5,108.6,110.8,113,115.3,117.6,119.9,122.3,124.8,127.3,129.8,132.4,135.1,137.8,140.5
28,15,Fendall Close,438,585,All,230.8,235.4,240.1,244.9,249.8,254.8,259.9,265.1,270.4,275.8,281.3,287,292.7,298.6,304.5,310.6,316.8,323.2,329.6,336.2,342.9
29,15,Fendall Close,585,643,All,230.8,235.4,240.1,244.9,249.8,254.8,259.9,265.1,270.4,275.8,281.3,287,292.7,298.6,304.5,310.6,316.8,323.2,329.6,336.2,342.9
