elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0,1013,Brook Street North,0,220,All,959,1925,1017,1051,1086,1123,1160,1199,1238,1279,1321,1364,1408,1454,1500,1549,0,0,0,0,0
1,1,Conifer Close,0,378,All,7302,11473,12367,4670,4857,5051,5250,5455,5667,5885,6110,6341,6580,6827,7080,10228,0,0,0,0,0
2,2,Fladgate Drive,0,565,All,1767,3584,1871,1934,2000,2067,2136,2207,2280,2356,2433,2513,2595,2679,2766,3978,0,0,0,0,0
3,4,Highfield Drive,0,71,All,941,1541,706,737,768,800,832,866,901,937,973,1011,1050,1090,1132,1174,0,0,0,0,0
4,3,Matai Way,0,557,All,1414,2861,1500,1552,1606,1661,1718,1776,1836,1898,1962,2027,2095,2164,2235,2308,0,0,0,0,0
5,5,Vintry Drive,0,362,All,3648,6242,2758,2862,2970,3081,3195,3312,3433,3557,3685,3817,3953,4093,4237,6109,0,0,0,0,0
6,6,Croatia Avenue,0,42,All,625,835,1139,1846,2029,823,867,911,957,1004,1052,1101,1152,1205,1259,1314,0,0,0,0,0
7,6,Croatia Avenue,42,76,All,625,1244,1417,1555,1679,1797,745,767,788,811,834,857,881,906,931,957,0,0,0,0,0
8,7,Lumbarda Drive,0,152,All,583,650,718,789,862,938,1016,1098,1183,1271,1899,3673,4023,1581,1656,1733,0,0,0,0,0
9,8,Tarras Road,0,86,All,1103,1630,1736,1847,1964,3753,4066,4379,1661,1736,1812,1891,1972,2056,2142,2231,0,0,0,0,0
10,8,Tarras Road,86,120,All,1125,1193,1265,1339,1417,2087,2216,4231,4580,1788,1862,1937,2015,2094,2176,2260,0,0,0,0,0
11,9,Kowhai Glen,0,305,All,703,1183,1338,1466,634,655,676,698,720,743,767,791,816,841,868,895,0,0,0,0,0
12,1037,Epiha Road Upper,0,415,All,2719,6471,7175,7802,2908,3021,3137,3257,3380,3508,3639,5258,5482,11015,3740,3883,0,0,0,0,0
13,1038,Gossey Drive North,1319,1723,All,2313,5507,6106,6640,2474,2570,2669,2771,2876,2985,3096,4474,4665,9374,3182,3305,0,0,0,0,0
14,10,Upper Ahu Ahu Road,0,46,All,1291,847,882,919,957,995,1035,1500,1576,1655,1737,1824,1918,2015,2116,1420,0,0,0,0,0
15,10,Upper Ahu Ahu Road,46,68,All,1177,1255,2405,2613,2821,1067,1114,1162,1211,1261,1313,1366,1421,1477,1534,1593,0,0,0,0,0
16,11,Lower Ahu Ahu Road,0,158,All,966,1304,2609,2915,1208,1277,1348,1421,1496,1574,1653,1734,1818,1905,1993,2085,0,0,0,0,0
17,11,Lower Ahu Ahu Road,158,179,All,954,1025,1099,1176,1255,1339,1426,1516,1610,1708,1811,4805,5216,2059,2144,2231,0,0,0,0,0
18,12,Kriletich Drive,0,263,All,2289,4671,5339,2488,2569,2653,2740,2829,2921,3015,3112,3212,4618,4801,4992,5189,0,0,0,0,0
19,917,Port Street East,0,21,All,2501,5015,5765,6382,6954,7510,2892,2978,3067,3159,3253,3349,3448,3550,3654,3761,0,0,0,0,0
20,917,Port Street East,21,396,All,3272,3858,4449,5050,5664,6295,6944,10609,11631,12701,13819,26964,29775,6970,7249,7537,0,0,0,0,0
21,917,Port Street East,396,874,All,1672,3353,1769,1823,1878,1934,1992,2052,2113,2175,2240,2306,2374,2443,2514,2588,0,0,0,0,0
22,917,Port Street East,874,1340,All,2299,3667,1703,1758,1816,1874,1935,1997,2060,2125,2192,2261,2332,2404,2479,2555,0,0,0,0,0
23,917,Port Street East,1340,1431,All,2597,5216,2315,2391,2469,2548,2630,2714,2800,2889,2980,3073,3169,3267,3368,3472,0,0,0,0,0
24,917,Port Street East,1431,2115,All,716,1689,1883,807,839,872,906,941,977,1014,1052,1091,1131,1172,1214,1257,0,0,0,0,0
25,917,Port Street East,2120,2350,All,1477,3465,3838,1624,1680,1737,1796,1857,1919,1982,2048,2115,2184,2254,2327,2402,0,0,0,0,0
26,13,Puriri Dale Way,0,293,All,2304,4761,2446,2534,2625,2719,2816,2916,3018,3124,3233,3345,3460,4987,5189,5400,0,0,0,0,0
27,15,Fendall Close,0,438,All,4095,6361,7161,3114,3248,3385,3527,3673,3824,3979,5766,7953,1849,1877,1956,2036,0,0,0,0,0
28,15,Fendall Close,438,585,All,2530,3752,4006,7687,3087,3241,3400,3563,3730,3903,4080,4263,4450,8528,4367,4561,0,0,0,0,0
29,15,Fendall Close,585,643,All,1526,1649,1775,1907,2045,2188,2336,3471,3711,3964,7606,8270,3226,3386,3550,3719,0,0,0,0,0
30,15,Fendall Close,643,736,All,8800,9359,17909,19467,6787,7107,7437,7778,8130,8493,12353,12986,17988,8486,8868,9263,0,0,0,0,0
31,15,Fendall Close,736,814,All,4531,3145,3268,3394,3524,3658,3796,5486,5729,7887,4298,4456,4618,4785,4957,7153,0,0,0,0,0
32,9339,Weston Way,814,886,All,7957,13067,14675,5474,7868,8614,9478,10298,10860,11316,11735,6549,9404,10355,11417,12397,0,0,0,0,0
33,9339,Weston Way,886,939,All,6364,12629,16999,18652,6794,7044,7301,7565,7837,11307,11845,12397,12964,13574,8274,8570,0,0,0,0,0
34,9339,Weston Way,965,1051,All,5098,6951,7607,8203,8787,16917,18478,2185,2218,2311,2406,2504,2605,2709,2815,2925,0,0,0,0,0
35,9339,Weston Way,1051,1219,All,5485,11540,5778,5998,6226,6461,6702,9685,10118,10570,14551,7528,7801,8083,8374,8673,0,0,0,0,0
36,9339,Weston Way,1237,1589,All,11308,4943,5134,5330,5533,5742,8299,8678,9072,18275,6743,6990,7245,7507,7777,11223,0,0,0,0,0
37,9339,Weston Way,1589,1999,All,9193,4019,4174,4334,4498,4668,6747,7055,7376,14858,5482,5683,5890,6103,6323,9125,0,0,0,0,0
38,9339,Weston Way,1999,2369,All,7654,3346,3472,3603,3737,3875,4018,4164,6012,8262,4538,4701,4868,5041,5219,5402,0,0,0,0,0
39,9339,Weston Way,2385,2696,All,7452,5536,5730,5929,6134,6345,6563,6787,7018,7256,10450,10868,14900,7622,7877,8140,0,0,0,0,0
40,9339,Weston Way,2696,3114,All,9747,5957,6165,6379,6600,6827,7061,7303,10520,14429,6587,6813,7046,7286,7533,7788,0,0,0,0,0
41,9339,Weston Way,3114,3398,All,4238,7481,8383,3658,3794,3934,4078,4226,4379,4537,4699,4866,7018,7303,10017,5246,0,0,0,0,0
42,9339,Weston Way,3398,3457,All,2776,4434,4935,5371,2226,2303,2381,2462,2545,2630,2718,2808,2901,2996,4311,4474,0,0,0,0,0
43,9339,Weston Way,3457,3675,All,1376,1450,1528,4032,4351,4667,1808,1877,1948,2020,2094,2171,2249,2329,2411,2496,0,0,0,0,0
44,9167,Foxglove Drive,0,668,All,1365,1450,1539,1632,1731,1834,3496,1331,1386,1443,1501,1560,1622,1684,1749,1815,0,0,0,0,0
45,16,Sarah Lane,0,515,All,1691,3483,4051,4535,2007,2092,2179,2269,2361,2456,2554,2655,2759,2866,2976,3089,0,0,0,0,0
